,condition,coord_pair,date,description,engine hours (total),id,lat,length overall (LOA),long,make / manufacturer,map_URL,model name / number,price,propulsion type,region,title,url,year manufactured
0,,"['40.568933', '-98.374329']",2016-12-19 14:39,"2014 Lund Pro-V powered by a Mercury Verado 300 with a 9.9 Murcury Kicker with Troll Master. Boat is loaded to the max! Electronics are as follows Lowrance HDS 12 gen 3, Lowrance HDS 10 gen 2, Lowrance HDS 9 gen 3 and 3-D structure scan all updated. Linked with a new this year Motorguide XI-5. Balz out mounts for the 12"" and 10"" monitors. Lowrance link 5 marine radio and antenna. 8 Cabelas quick draw rod holders, 8 Lund sport tracks and 2 Lund sport tracks with anchor claws. Infinity stereo blue tooth capable, two live wells, plenty of rod storage, separate bait well, 5 interstate batteries with on board charger, wave whacked, built in cooler and plenty of storage. Snap cover fits perfect and rock cover on the front of the boat to prevent rock chips and has been on since new. Upgraded trailer package. Bunk trailer coated and upgraded wheels. I'm sure I'm forgetting something but the boat is in like new condition waxed every time it comes out of the water. Boat hours are at 104 and boat is available right now. I will take vehicles on trade but not other boats already have a new one picked out. MOTIVATED TO SELL Chad show contact info",,5925848380,40.568933,21,-98.374329,,"https://maps.google.com/maps/preview/@40.568933,-98.374329,16z",,$61000,power, (HASTINGS),LIKE NEW!!! 2014 LUND PRO-V 2075,https://grandisland.craigslist.org/boa/5925848380.html,
1,good,"['40.626700', '-100.054700']",2016-12-19 11:52,"16 foot John boat with duck blind with new camo, with bow fishing platform with lights",,5925607424,40.626700,16,-100.054700,Lowe,"https://maps.google.com/maps/preview/@40.626700,-100.054700,16z",,$4200,power, (Eustis),16 foot John boat 25 horse Johnson,https://grandisland.craigslist.org/boa/5925607424.html,
2,,"['40.928600', '-98.387300']",2016-12-19 09:55,"1998 Sea Ark Sun Star Deck boat 20.5ft VIN# SOM11247A898 Front Live well 3 Swivel Fishing Seats Ski Ladder Lots of Storage Ski Storage Front Casting deck Canopy Snap in Carpet Wired for trolling motor Rated for 9 persons 20 pitch Stainless Steel Laser II prop 35mph plus boat 1998 B.T. Bunk Trailer VIN# 	4WVBC2212WED03445 1998 90hp Mercury Oil Injected Ser# 0G652889 Price: $10,500 o.b.o Call show contact info",,5899048799,40.928600,205,-98.387300,Sea Ark,"https://maps.google.com/maps/preview/@40.928600,-98.387300,16z",Sun Star,$10500,power," (Grand Island, NE)",1998 Sea Ark Sun Star Deck boat 20.5ft 90hp Mercury,https://grandisland.craigslist.org/boa/5899048799.html,1998
3,excellent,"['40.928600', '-98.387300']",2016-12-19 09:55,"2008 StarCraft 179 Pro V Multi Species Side Console VIN# STR12815J708 Second Owner Great for Family Fishing & Water Sports Less Than 40 Hours on Boat Lowrance X50 DS Locator w/ Temp & Voltage MotorGuide 12 volt 46lbs. Thrust Trolling Motor 2 Swivel Seats Lockable In Floor Rod Storage Built In Tackle Storage Large Rear Live Well Rear Bait Well Large Front & Rear Casting Decks LED Trailer Lights Good Tires Good Bearings 4 Persons Rating Dry Weight 1,075 lbs Beam 85"" Length 18' Mercury 60hp Four Stroke EFI Ser# 1C025716 2009 Shoreland'r Single Axle Roller Trailer VIN# 1MDAHKK169A420774 Price: $11,700 Call show contact info",40,5899049437,40.928600,18,-98.387300,StarCraft,"https://maps.google.com/maps/preview/@40.928600,-98.387300,16z",179 Pro V,$11700,power," (Grand Island, NE)",2008 StarCraft 179 Pro V Multi Species Side Console w/ 60hp 4 Stroke,https://grandisland.craigslist.org/boa/5899049437.html,2008
4,excellent,,2016-12-19 02:54,1991 bayliner $4000 firm 3.0 mercruiser brand new motor Eletronic ignition Has brand new intake exhaust Performance head and valves Was made to run guaranteed Will do 43-48 miles per hour Not all torn up seats in great condition Carpet in good condition motor alone is worth the $5000 Was installed last season wasnt took at all this year Have 5 kids and they cost money over having a toy Has fishing pole holders cabelas brand Good battery Can pull anything skier tube ect or go fishing Good trailer with spare tire  has custom cover that goes with it and canopy Call or text anytime clean and clear title on boat and trailer  both have titles show contact info,33,5918651460,,19,,Bayliner,,,$4000,power, (Gi ne),1991 bayliner,https://grandisland.craigslist.org/boa/5918651460.html,1991
5,,"['40.751900', '-99.527800']",2016-12-18 12:25,"I have 2, 7.5 horse Evinrude engines for sale...one runs good, the other is only missing the pull start...these are short shaft tiller engines...also have 2 nice gas tanks with hoses... asking $500 for everything...call or text show contact info (will consider trades)",,5920228005,40.751900,14,-99.527800,,"https://maps.google.com/maps/preview/@40.751900,-99.527800,16z",,$500,power, (Overton),2 engines and 2 tanks,https://grandisland.craigslist.org/boa/5920228005.html,
6,like new,"['40.928600', '-98.387300']",2016-12-17 22:11,Older larson boat for sale awesome condition 65 horse mercury fish finder brand new condition brand new two person tube trailor in great shape good tires call with any questions brand new boat cover motor fresh,00,5923854848,40.928600,18,-98.387300,Larson,"https://maps.google.com/maps/preview/@40.928600,-98.387300,16z",00,$1500,power, (Grand island),Larson boat for sale,https://grandisland.craigslist.org/boa/5923854848.html,1973
7,,"['40.921900', '-98.341100']",2016-12-17 15:59,Hobie Cat needs sail and other work. Trailer included. Best offer call show contact info,,5923528755,40.921900,12,-98.341100,,"https://maps.google.com/maps/preview/@40.921900,-98.341100,16z",,,sail,,Hobie Cat sail boat,https://grandisland.craigslist.org/boa/5923528755.html,
8,good,"['40.770000', '-98.379000']",2016-12-17 13:42,"For Sale! 2004 Tracker Pro V 17. Now only $7990! Minn kota Terrova with I-pilot, GPS, and cruise control and functions with remote. 2 live wells 1 auto aerated. 3 swivel seats and 1 casting chair. Lockable rod storage and rod holders. Fish finder, cover and much more. 75hp 2 stroke Mercury power trim. Boat does have sent on right side but is only cosmetic. Full walk through windshield. No leaks. Trailer included. Don't forget to check out and Like Belville Power Sports Facebook page for new arrivals and other inventory options.  Located in Doniphan.  Call or text anytime.",,5923342688,40.770000,17,-98.379000,Tracker,"https://maps.google.com/maps/preview/@40.770000,-98.379000,16z",Pro v 17,$7990,power, (Doniphan),2004 Tracker Pro V 17 Deep V I-Pilot !!!!,https://grandisland.craigslist.org/boa/5923342688.html,2004
9,,"['40.302700', '-99.899700']",2016-12-16 12:58,"18 FOOT STARCRAFT ALUMINUM BOAT WITH GREAT 20FOOT TRAILER W/BRAKES;  85 EVINRUDE AND HONDA KICKER MOTOR....ALL EXCELLENT CONDITION;   CUSTOM BIMINI TOP FOR TALL GUY; CLEAN AND UPHOLSTERY IN GREAT CONDITION;  ALL WORKS AS IT SHOULD AND READY FOR USE ONCE BATTERIES CHARGED. BOAT SETUP FOR DEEP WATER FISHING IN COLORADO OR ALSO SHALLOW LAKES LIKE IN NEBRASKA.   HAVE 2 WALKER DOWNRIGGERS AND ONE CANNON ELECTRIC DOWNRIGGER OVER MOTOR....4 FOOT BOOM OVER MOTOR AND WORKS GREAT.  COMES WITH ANCHORS, GAS TANKS, FLOTATION DEVICES ., ETC...... AS I AM RETIRING FROM FISHING THERE WILL BE A LOT OF GEAR, RODS, TACKLE, MISC.,  THAT WILL GO WITH THIS SALE.....YOU SHOULD NOT HAVE TO BUY ANYTHING BUT PERHAPS A BATTERY OR TWO. CALL show contact info AND TALK TO ME ......I WILL NOT TAKE TEXT OR RETURN TEXT....I WILL DELETE EACH ONE WITH NO ACTION.   IF YOU WANT TO BUY MY BOAT ....CALL ME LIKE A MAN AND WE WILL VISIT ABOUT THIS BOAT. I ALSO DON'T NEED ANY HELP SELLING MY BOAT AT ALL..... THIS BOAT IS FOR SALE.....THIS AD WILL BE REMOVED WHEN IT IS SOLD.  THANK YOU!",,5921896515,40.302700,18,-99.899700,,"https://maps.google.com/maps/preview/@40.302700,-99.899700,16z",,$6500,power," (ARAPAHOE,NE)",18 FOOT STARCRAFT ALUMINUM,https://grandisland.craigslist.org/boa/5921896515.html,
10,excellent,,2016-12-14 21:32,75 horsepower Johnson completely gone through runs excellent where did you go on your boat which we can do if you need,,5879980204,,21,,,,,$1400,power, (Fairmont boat Bonanza),"1983 75 HP Johnson power tilt trim $1,400 obo",https://grandisland.craigslist.org/boa/5879980204.html,1983
