,condition,coord_pair,date,description,engine hours (total),id,lat,length overall (LOA),long,make / manufacturer,map_URL,model name / number,price,propulsion type,region,title,url,year manufactured
0,,"['40.478853', '-105.173998']",2016-12-20 17:03,"I have two bass boats with engines that run one is a Glastron 17 foot with a 140 HP Evinrude and the other is a Skeeter 17 foot with a 150 HP  Evinrude both have power trim and tilt. The 140 HP is a 1984 and the 150 HP is a 1978. Both need a little work such as carpeting and seats. I also have a 1991 Johnson 115 HP engine all have keys and controls.. I am asking $900 for each boat with motor and $1,200 for the Johnson engine in great condition.",,5895767504,40.478853,17,-105.173998,,"https://maps.google.com/maps/preview/@40.478853,-105.173998,16z",,,power,,Boats and Motors,https://northplatte.craigslist.org/boa/5895767504.html,
1,,"['41.407072', '-102.347260']",2016-12-17 19:11,"Selling my 1995 glastron fish and ski it has power drive i pilot trolling motor,elite 7 and elite 5 fish finders, travel cover, 2 bank charger, Bimini top, new tires and spare is new. Any questions you can call show contact info",,5923726082,41.407072,19,-102.347260,Glastron,"https://maps.google.com/maps/preview/@41.407072,-102.347260,16z",Fish and ski,$6800,power, (Oshkosh),1995 glastron 19.5 fish and ski,https://northplatte.craigslist.org/boa/5923726082.html,1995
2,excellent,"['42.099241', '-102.871170']",2016-12-14 13:40,"Selling my 1990 Master Craft Inboard boat. Has a 351 motor, runs like a champ, nothing is wrong with it. Minimal ware n tare on the seats but other than that its in great shape. FIRM ON PRICE. NO TRADES, CASH ONLY. CONTACT BY EMAIL ONLY.",,5919363208,42.099241,19,-102.871170,Master Craft,"https://maps.google.com/maps/preview/@42.099241,-102.871170,16z",,$6000,power,,1990 Master Craft Inboard Boat,https://northplatte.craigslist.org/boa/5919363208.html,1990
3,like new,,2016-12-12 14:17,"Like New condition! One Owner Stored inside Complete with sail, rigging, trailer, spare tire and tongue jack.",,5916555774,,13,,Hobie,,Wave,$4900,sail, (Johnson Lake),2009 Hobie Wave 13' Catamaran,https://northplatte.craigslist.org/boa/5916555774.html,2009
4,,"['41.132600', '-100.774600']",2016-12-12 06:17,Around 1960 boat with 70's 9.5 hp Johnson motor. The boat motor runs decent for age and the boat is very stable in water. Seats need redone with new foam.  Maybe a person could turn it into a cheap duck hunting boat? Or its still good to fish with next spring.,,5915862215,41.132600,14,-100.774600,,"https://maps.google.com/maps/preview/@41.132600,-100.774600,16z",,$600,power,,14ft boat with motor,https://northplatte.craigslist.org/boa/5915862215.html,1960
5,good,,2016-12-10 14:46,"Take an additional 10% off asking price till December 31! Prices will go back up after the new year! -Sunstream canopy frame (120""x24') $450 -Shoremaster narrow pontoon lift. Great for 16' to 18' pontoons and shallow water. $500 -2000lb narrow Hewitt lift. Great for 16' to 18' pontoons and shallow water. Like new asking $750 -4000lb Shorestation vertical lift. Wireless remote direct drive motor. 24' white canopy and set up for ski boat. $4250 -4000lb Shorestation vertical lift with canopy. Hand crank. $2750 -3000lb Shorestation vertical lift with canopy. Hand crank. $2750 -3600lb Steel Shorestation. Nice older steel lift with canopy. Hand crank. $750 -3600lb Steel Shorestation. No canopy. Hand crank. $450 -3000lb Hewitt cantilever lift. 22' canopy and hand crank. $2750 -3600lb Hewitt cantilever lift. 22' canopy and direct drive motor. $2750 -4000lb New non current Shoremaster hydraulic lift. Over $7500 new. Asking $3500. -3  900lb Hewitt PWC lifts. $450 each. -700lb Hewitt PWC lift $300. -Older Shoremaster PWC lift $250. -24'x120"" Shorestation canopy frame $450 -3  22'x108"" Shorestation canopies $425 each. -Hewitt 6'x16' Roll-A-Dock $1100 -EZ Dock floating 6'x8' and 10' ramp $750. Also have several miscellaneous Shoremaster canopies available just call with size you are looking for and will let you know what we have. Everything is sold as! Cash and Carry only! Will help load onto trailer when picked up. Call/text me anytime. My name is Chanz. show contact info Thanks",0,5913964468,,0,,Shoremaster,,Shorestation,$1500,human," (Lake waconda (Union, Ne))",Used docks and lifts for sale,https://northplatte.craigslist.org/boa/5913964468.html,2000
6,good,,2016-12-04 14:53,7 1/2 x 4 ft mst pickup in gothenburg no holds cash 325 with electric trolling motor and battery,,5905319759,,8,,,,,$250,power, (Gothenburg),boat,https://northplatte.craigslist.org/boa/5905319759.html,
7,,"['40.204900', '-100.627900']",2016-12-04 12:02,"85 hp force motor runs great,roller trailer,95% new tires,2 live wells,1 bait well,clean title,boat and trailer up to date on tags,800 obo,cash no scams",,5905070444,40.204900,17,-100.627900,,"https://maps.google.com/maps/preview/@40.204900,-100.627900,16z",,$800,power, (mccook),17ft monarch bass boat,https://northplatte.craigslist.org/boa/5905070444.html,
8,,"['40.254134', '-100.310471']",2016-12-04 11:42,Good running boat needs a little tlc. Has a power steering leak. We don't use it enough to justify paying to fix it. If you are a better mechanic than I am would be a real bargain.,,5905040148,40.254134,18,-100.310471,VIP,"https://maps.google.com/maps/preview/@40.254134,-100.310471,16z",,$1400,power, (BARTLEY),1991 VIP fish and ski,https://northplatte.craigslist.org/boa/5905040148.html,1991
9,excellent,"['40.574700', '-99.825800']",2016-12-02 22:22,"COMPLETE BOAT--READY TO FISH Yamaha 40 Outboard Motor, Minkota 40 thrust,  Shorelander Easy Load Trailer, 2 Fishfinders,  3 Interstate Marine Batteries & Charger, Live Well, Lots of Storage, Three seats, AM/FM/CD Stereo. I purchased this boat 2009.   I have fished out of this boat for years with no issues what so ever and I fish every week.   Everything on the boat works and is in great condition.  I live on a lake so you can take it out before you buy it.   $6000 obo",,5890900043,40.574700,16,-99.825800,CrestLiner,"https://maps.google.com/maps/preview/@40.574700,-99.825800,16z",,$6000,power, (Elwood),2003  16' CrestLiner Fishing Boat,https://northplatte.craigslist.org/boa/5890900043.html,2003
