,condition,coord_pair,date,description,engine hours (total),id,lat,length overall (LOA),long,make / manufacturer,map_URL,model name / number,price,propulsion type,region,title,url,year manufactured
0,excellent,[],2016-12-20 19:00,"1986 Skeeter Starfire 150. 150 horsepower Mercury Optimax motor MotorGuide tracker 45 trolling motor foot controlled. Brand new never used on-board 20 amp 2 bank battery charger 3 batteries, new prop. New leather seats Trailer and tie-downs included with boat cover and life jackets It comes with the skeeter trailer. The body of the boat is in beautiful, excellent condition as well as the seats and interior. **The motor needs an overhaul so this might be your winter project on a beautiful fiberglass boat. $2500 obo.",0000,5927575570,,17,,Skeeter,https://maps.google.com/?q=loc%3A+Laredo+Rd%2E+at+Lincoln+St%2E+Papillion+NE+US,Mercury Optimax,$2500,power, (96th &Hwy 370),Boat for Sale,https://omaha.craigslist.org/boa/5927575570.html,1986
1,,,2016-12-20 17:52,"for sale is a Polaris jet ski. it does not look very old it looks to be within 10 years old, I got it at a storage locker auction it has no title and no engine or trailer. its just the Polaris freedom jet ski selling for $300 o.b.o. call or text show contact info",,5917025190,,6,,,,,,power,,"polaris jet ski,noengine",https://omaha.craigslist.org/boa/5917025190.html,
2,excellent,,2016-12-20 14:51,1994 Celebrity 240 Status. 454 big block. Bravo 1 mercruiser out-drive. Boat is 24 feet long with cuddy cabin. 384 hours. This boat runs and drives great. Always comes out of the water after use and stored inside. Comes with a TrailMaster trailer which is in great shape. Also has a Bimini top. 8500. Call or Text for questions. Thanks.,384,5927272652,,24,,celebrity,,240,$8500,power, (council bluffs),1994 Celebrity 240 cuddy cabin 454 big block,https://omaha.craigslist.org/boa/5927272652.html,1994
3,,,2016-12-20 14:45,99 Tracker Tournament V with 115 Mercury motor and trailer. The motor runs good. I replaced the front deck and got halfway done with the new carpet. So it needs some work. It's painted black and carpet is black. I have the carpet to finish it. Great winter project.,,5927264016,,18,,,,,$2000,power,,99 Tracker Tournament V,https://omaha.craigslist.org/boa/5927264016.html,
4,good,,2016-12-20 14:12,"I have a very nice 21' deck boat for sale. The boat includes: -5.0 Mercruiser motor with ~250hours -2014 trailer with less than 500 miles of trailering, 5 pin harness with hydraulic surge brakes, work great -Brand new 2-way 6"" speakers with 500 watt amp, 6 disc changer, blue tooth compatible -Large 3 1/2'+ rear swimming platform -New bilge pump with float - Newer deep cycle batteries -Bimini top, like new -2 piece snap off cover, like new -Snap in carpet -Overall gel coat is in good shape -Stainless steel prop -Seats overall are in good condition with no tears or rips, tops of front seats have yellow sun fade Give me a call and we can discuss, show contact info Jason",250,5927214649,,21,,Starcraft,,Aurora,$16850,power, (Sgt. Bluff),2005 Starcraft Aurora Deckboat,https://omaha.craigslist.org/boa/5927214649.html,2005
5,,"['41.042495', '-96.111016']",2016-12-20 13:33,Johnson 25 hp motor was taken off a 1996 pontoon.  I used it to launch.  Runs good. I don't know much about it since I just bought it.  I had to get 9.9 hp for my lake. Please call Greg at 40two-89zero-271eight.,,5911523607,41.042495,48,-96.111016,,"https://maps.google.com/maps/preview/@41.042495,-96.111016,16z",,$800,power, (Cedar Creek),Johnson 25 hp motor,https://omaha.craigslist.org/boa/5911523607.html,
6,good,"['42.010900', '-93.167300']",2016-12-20 13:17,Double Decked Party Barge! New Floor and throttle cables for motor! Flotation added below the floor. Fun time! Needs - one throttle cable (others too short) and steering cable -steering wheel (have old one) - battery,,5927128171,42.010900,25,-93.167300,,"https://maps.google.com/maps/preview/@42.010900,-93.167300,16z",,$4500,power,,Double Decker Party Barge,https://omaha.craigslist.org/boa/5927128171.html,
7,good,[],2016-12-20 13:10,"I have a collection of old sail boat models,  (10 pieces) for sale. I have moved into a smaller home and do not have the room to display them anymore. As you can see, I have them on my back door steps. lol I am not sure how old they are, but I have had them for quite some time. They are in good shape as you can see, and various sizes. The biggest one is a scooner,(44""Lx33""Hx12""W)  And one of the boats are a set of bookends, and the Chinese junk has a lite in it. Was asking $400 for the collection, but I need the room, so the first $300 takes them. I give over $200 for the scooner several years ago. If interested Please call Floyd at show contact info Thank You, and MERRY CHRISTMAS",,5911444901,,3,,,https://maps.google.com/?q=loc%3A+%33%34%35+S+Jean+Dr%2E+Fremont+NE+US,,$300,sail," (Fremont,NE)",Model Boat Collection,https://omaha.craigslist.org/boa/5911444901.html,
8,good,,2016-12-20 12:56,Bought last year only had it out on the water twice this year. Would consider partial trade for a jon boat. Thanks Matt,,5889162252,,14,,Kennedy,,Mini Toon,$2000,human,,Kennedy Mini Pontoon Boat w/ trailer,https://omaha.craigslist.org/boa/5889162252.html,
9,,,2016-12-20 04:13,"Selling my Boat 1968 18"" V-Sonic 327 Small Block Chevy Runs Great but the block is cracked New Exhaust Manifolds the Boat is Not in Real bad shape BUT will need some work Fish dept finder with the 2 finned prop that i have did 42mph @3800rpm, with the Wife out of work and disabled i just don't have the time or Money to fix it right now I started to Pick up Parts for it they all go with it $800 obo Cash",,5923074202,,18,,Mark Twain,,,,power,,1968 18' Mark Twain,https://omaha.craigslist.org/boa/5923074202.html,
