,condition,coord_pair,date,description,engine hours (total),id,lat,length overall (LOA),long,make / manufacturer,map_URL,model name / number,price,propulsion type,region,title,url,year manufactured
0,,,2016-12-17 08:26,"RXT has 35 hours and GTX has 31 hours.  I am also including Sea Doo covers for both, four life vests, Tatoo wakeboard, extra keys, including instructional keys, and all manuals. These skis have never been tied to docks, so they do not have scratches. We only put 6 hours on both last year and need the storage space in my garage.",,5912266905,,10,,,,,$3000,power,,RXT and GTX Jetskis___^%^___Sea Doo from 05 with Trailer,https://scottsbluff.craigslist.org/boa/5912266905.html,
1,excellent,"['42.114900', '-102.888000']",2016-12-15 11:32,"This is a great running inboard boat.  I apologize for not having the details but can provide them upon request.  I am selling because I had to move to the east coast and couldn't pull it.  It is in my dads shed and he will be the one showing the boat.  He lives in Alliance and the boat is just out of town.  It is in great shape.  I only had it for one season, then I moved.  It has been kept inside and has a Cabelas cover.  It has been winterized.  The engine runs great and all electronics work.  Also has a fish finder.  Please contact Dean Huckfeldt at show contact info for more details.  He has also ridden in the boat so he knows how good it works.  Comes with trailer. Thank you.",,5920604633,42.114900,17,-102.888000,Renken,"https://maps.google.com/maps/preview/@42.114900,-102.888000,16z",Classic,$4000,power, (Alliance),Boat Renken Classic,https://scottsbluff.craigslist.org/boa/5920604633.html,
2,excellent,"['42.099623', '-102.870827']",2016-12-14 12:37,"Selling my 1990 Master Craft Inboard boat. Has a 351 motor, runs like a champ, nothing is wrong with it. Minimal ware n tare on the seats but other than that its in great shape. FIRM ON PRICE. NO TRADES, CASH ONLY. CONTACT BY EMAIL ONLY.",,5919358343,42.099623,19,-102.870827,Master Craft,"https://maps.google.com/maps/preview/@42.099623,-102.870827,16z",,$6000,power, (Alliance),1990 Master Craft Inboard Boat,https://scottsbluff.craigslist.org/boa/5919358343.html,1990
3,excellent,,2016-12-11 08:16,"CHRISTMAS SALE Four paddleboards (SUP) left. These are rental/demo boards with very little wear, normal retail price is $499 (paddle and life jacket extra). SPECIAL PRICE at $280 with paddle and life jacket while they last!",,5914768598,,11,,Emotion,,Traverse,$280,human, (Kimball),Paddle Boards (SUP),https://scottsbluff.craigslist.org/boa/5914768598.html,2015
4,good,,2016-12-10 13:36,"Take an additional 10% off asking price till December 31! Prices will go back up after the new year! -Sunstream canopy frame (120""x24') $450 -Shoremaster narrow pontoon lift. Great for 16' to 18' pontoons and shallow water. $500 -2000lb narrow Hewitt lift. Great for 16' to 18' pontoons and shallow water. Like new asking $750 -4000lb Shorestation vertical lift. Wireless remote direct drive motor. 24' white canopy and set up for ski boat. $4250 -4000lb Shorestation vertical lift with canopy. Hand crank. $2750 -3000lb Shorestation vertical lift with canopy. Hand crank. $2750 -3600lb Steel Shorestation. Nice older steel lift with canopy. Hand crank. $750 -3600lb Steel Shorestation. No canopy. Hand crank. $450 -3000lb Hewitt cantilever lift. 22' canopy and hand crank. $2750 -3600lb Hewitt cantilever lift. 22' canopy and direct drive motor. $2750 -4000lb New non current Shoremaster hydraulic lift. Over $7500 new. Asking $3500. -3  900lb Hewitt PWC lifts. $450 each. -700lb Hewitt PWC lift $300. -Older Shoremaster PWC lift $250. -24'x120"" Shorestation canopy frame $450 -3  22'x108"" Shorestation canopies $425 each. -Hewitt 6'x16' Roll-A-Dock $1100 -EZ Dock floating 6'x8' and 10' ramp $750. Also have several miscellaneous Shoremaster canopies available just call with size you are looking for and will let you know what we have. Everything is sold as! Cash and Carry only! Will help load onto trailer when picked up. Call/text me anytime. My name is Chanz. show contact info Thanks",0,5913967446,,0,,Shoremaster,,Shorestation,$1500,human," (Lake waconda (Union, Ne))",Used docks and lifts for sale,https://scottsbluff.craigslist.org/boa/5913967446.html,2000
5,fair,,2016-12-04 10:50,"Jon Boat for sale, All Aluminum, I Replaced some Rivets with Bolts, there is slight leakage of about a gallon or so in an hour. I did not seal anything, so the leak can be easily stopped with professional repairs (ie: new Rivets). Great for shallow lakes or streams. Has a place for an out board on the aft bulkhead. 14 foot approx. 6 person? has oar locks, etc. Painted Brown for Duck Hunting.",,5901712715,,14,,Jon,,,$200,human," (Chappell, NE.)",14' Jon Boat for Sale,https://scottsbluff.craigslist.org/boa/5901712715.html,
6,like new,[],2016-11-28 16:58,2015 (MINT) Bass Tracker 175 PRO TXW Mercury 60 ELPT 4-Stroke (40 Hours) Motor Guide 55LB. T.M. X15 Low. 7 HDS Touch with RAM MOUNT Power Pole Mini 10 Ft. Factory Cover Spare Tire On-Board Charger 2 Pedestal Fishing Seats Ratchet Tie Downs Extra Props Contact: Donald Donavich at show contact info off WED. & THUR.,40,5861571954,,17,,Mercury 60 ELPT 4-Stk.,https://maps.google.com/?q=loc%3A+%35%32%32%35+Prairie+Stone+Pkwy%2E+Hoffman+Estates+NE+US,Tracker / Pro 175 TXW,$13995,power, (5225 Prairie Stone Pkwy.),2015 BASS TRACKER 175 PRO TXW,https://scottsbluff.craigslist.org/bod/5861571954.html,2015
7,like new,[],2016-11-23 11:40,"YA GOTTA READ THIS! It's all about the Honor Roll! Remember when you were a kid and you got a report card. You were really proud of yourself and so were your parents when you brought home a A's and B's. But when a ""C"" or worse was on your card, both you and your parents were disappointed. So why buy a ""C to F"" rated boat? Do you want to bring that home? Doubt it. It's all about quality and selection backed by expertise and years and years of knowledge. RPMSPORTS.COM only represents A+ to B- rated boats. There are thousands of ""C to F"" rated boats available so we'll let the other dealers have them. They have to make a living, too. RPMSPORTS only sells the best, so nice most of our inventory looks like brand new showroom boats. RPMSPORTS is the only dealer to standardize a one year RPMSPORTS warranty. So you know for sure you are buying a quality product. RPMSPORTS has unbeatable financing, so good that most banks and credit unions cannot compete. . ...GUARANTEED!  Go to our site called RPMSPORTS.COM  and study all we offer and enjoy some exciting videos of boating and skiing. If you have a boat to sell, read about our selling service to get the most for your boat without you having to work to do it. Providing Financing is the number one selling feature you can have.",,5889435815,,20,,,https://maps.google.com/?q=loc%3A+%31%39%37%30+Terminal+Loop+McQueeney+NE+US,,,power,,"bayliner,mastercraft,larson and many more",https://scottsbluff.craigslist.org/boa/5889435815.html,
8,excellent,,2016-11-23 11:06,2008 Four Winns F204 Deckboat. Boat is very clean and has been meticulously maintained with lots of upgrades.  Boat is 21' feet long and 8.6' feet wide and has a 11 person capacity.  Motor is a Volvo Penta 5.0GL engine with SX drive.,,5889522454,,21,,,,,$20000,power, (Texas),Four Winns F204 - Original owner-444,https://scottsbluff.craigslist.org/boa/5889522454.html,
9,new,[],2016-11-23 10:20,"New 2016 South Bay Pontoon S222 FCR, Merc 75hp 4-Stroke, New 2017 Shoreland'r Trailer. Cruise Pontoon in the front and Full Fishing in the Stern.  Lots of seating. LAST ONE LEFT! Full cover, full sea grass flooring (no carpet), bow troll motor outlet, stainless ski tow, upgraded stereo, upgraded furniture pkg., Hummingbird fish/depth, reclining captains chair, LED docking lights, portable cupholders,  large livewell, 25"" logs, much more! Payment as low as $ 190.00 per month WAC!  Historic low rates!  The 200 series is new for 2016, replacing the old 400 series.  Outstanding Warranty!  www.valleymarine.net show contact info",0,5857726036,,22,,SOUTH BAY,https://maps.google.com/?q=loc%3A+%36%33%30%31+TWIN+RIVERS+CIRCLE+VALLEY+NE+US,S 222 FCR,$26680,power, (Omaha),NEW 2016 South Bay Pontoon Cruise/Fish,https://scottsbluff.craigslist.org/bod/5857726036.html,2016
