,condition,coord_pair,date,description,engine hours (total),id,lat,length overall (LOA),long,make / manufacturer,map_URL,model name / number,price,propulsion type,region,title,url,year manufactured
0,excellent,"['36.123200', '-115.090200']",2016-12-19 17:42,Nice open bow boat with rebuilt 5.7--350 Chevrolet V8 engine with 300hp. Starts every time and idles smooth. Sounds like a hot rod! New seats with aluminum pedestals and new Berber carpeting. New leather steering wheel and recovered dash. No scratches or scrapes on outside of boat which is very hard to find on a boat of this age! New custom wheels and tires on trailer. I have clean titles for boat and trailer in my name.  Call show contact info,,5913666318,36.123200,19,-115.090200,,"https://maps.google.com/maps/preview/@36.123200,-115.090200,16z",,$4100,power, (SE Las Vegas),Sea Ray 19ft Open Bow Boat Chevy V8,https://lasvegas.craigslist.org/boa/5913666318.html,
1,,"['35.132200', '-118.449000']",2016-12-19 17:11,"Selling a Glasspar Bass Boat for 1100.00 OBO no paper work on the boat bought it to fix up but things changed. The boat needs to be redone but it's all there, has a Johnson 60 out board engine don't know if it runs been sitting for the past year since I got the boat. If interested send me and e-mail and I will get back to you",,5926089982,35.132200,16,-118.449000,,"https://maps.google.com/maps/preview/@35.132200,-118.449000,16z",,$1100,power, (Tehachapi California),Glasspar Bass Boat,https://lasvegas.craigslist.org/boa/5926089982.html,
2,good,,2016-12-19 16:10,Good jet boat runs excellent have clean title Cash only great X Mas gift,200,5926160293,,16,,SeaRay,,Searayder,$2500,power, (Las Vegas),1995 sea rayder,https://lasvegas.craigslist.org/boa/5926160293.html,1995
3,excellent,"['36.570300', '-114.473200']",2016-12-19 16:07,"Excellent condition Old Town Guide ""Otter"" kayak. Approximately 9.5' and inside kept. Kayak only, does not include paddle.",,5926157108,36.570300,95,-114.473200,Guide Otter/Old Town,"https://maps.google.com/maps/preview/@36.570300,-114.473200,16z",,$150,human," (Overton, NV)",Old Town Kayak,https://lasvegas.craigslist.org/boa/5926157108.html,
4,,,2016-12-19 16:03,Pyle In dash marine AM/FM/ pLL TUNING RADIO W/USB/SD/READER NEW NEVER USED,,5914228106,,0,,,,,$80,sail,,Pyle In dash marine AM/FM/ pLL TUNING RADIO W/USB/SD/READER,https://lasvegas.craigslist.org/boa/5914228106.html,
5,fair,,2016-12-19 15:58,"Cobra Bayliner Boat has clean title Bill of sale for trailer Needs work on the interior, needs gas, oil and battery for motor to start. Project boat Two stroke If interested please call to get address",,5894822248,,13,,Bayliner,,Cobra,$999,power,,"Cobra Bayliner , needs work, project boat",https://lasvegas.craigslist.org/boa/5894822248.html,1988
6,excellent,"['36.211766', '-115.210769']",2016-12-19 15:55,1991 20' MastercraftWakeBoard ski Boat Pro star 190. Ford 351 INDMAR Windsor engine with only 00552.1 hours. w/Complete tune-up This boat has a teak swim platform Brand New interior /w Kenwood stereo and a JL audio 80W amplifier for the tower speakers and 4 Kicker 6 1/2 speakers plus Air boom Tower Two Brand new Bimini tops plus a Tandem axle trailer buy shadow trailers come with disc brakes on one axle  Always stored in excellent condition $ 15.000 please call for info show contact info Thanks,552,5895515185,36.211766,20,-115.210769,Mastercraft,"https://maps.google.com/maps/preview/@36.211766,-115.210769,16z",Prostar 190,$15,power, (North Las Vegas),1991 20' Mastercraft WakeBoard ski Boat Prostar 190,https://lasvegas.craigslist.org/boa/5895515185.html,1991
7,good,,2016-12-19 15:33,"This Boat is ready for the next boating season, Runs perfect with brand new fuel pump and carb kit. 1986 Ebko great looking boat for the year.  Nice trailer too 2 stroke engine 125 HP Force Motor  - Great for Salt water also",,5897895475,,16,,Ebko,,Monte Carlo,$1400,power, (Laughlin),16 foot Motor Boat Runs perfect!,https://lasvegas.craigslist.org/boa/5897895475.html,1986
8,good,[],2016-12-19 14:50,I'm selling my jet ski 2006 Yamaha Vx 3 seats Working good no problems Comes with his trailer Selling reason need money asap Estoy vendiendo my jet ski 2006 Yamaha vx es para 3 pasajeros  viene con su traila funciona como debe de funcionar no tiene problemas la razón de venta es por que necesito el dinero título en mano,97,5926065603,,10,,Yamaha motor,https://maps.google.com/?q=loc%3A+Las+vegas+Las+Vegas+NV+US,Wave runner Vx 1100,$3500,power, (Summerlin),Jet ski type personal,https://lasvegas.craigslist.org/boa/5926065603.html,2006
9,,,2016-12-19 14:47,sailboat for sale $650 obo no title or trade for an ATV vehicle show contact info,,5894114890,,01,,,,,,sail,,sailboat for sale or trade,https://lasvegas.craigslist.org/boa/5894114890.html,
