,condition,coord_pair,date,description,engine hours (total),id,lat,length overall (LOA),long,make / manufacturer,map_URL,model name / number,price,propulsion type,region,title,url,year manufactured
0,like new,"['39.380900', '-119.685900']",2016-12-19 16:12,"Great kayak in LIKE NEW CONDITION (used it 3 times at Lake Tahoe). This kayak is very comfortable, easy to transport and weights only 48lbs. Had lots of funs with it since it moves pretty fast. Asking $460 or B/O. I am including a picture of the Perception Kayak (basically the same kayak) so can see what it retails for. Esta es un kayak que solo he usado 3 veces y esta como nuevo.",,5912165421,39.380900,12,-119.685900,PERCEPTION,"https://maps.google.com/maps/preview/@39.380900,-119.685900,16z",Wave 12,$460,human, (South Reno),"Perception Kayak 12"" LIKE NEW",https://reno.craigslist.org/boa/5912165421.html,
1,good,"['39.021800', '-119.731400']",2016-12-19 15:26,"For sale is my 1998 Mariah 180 Shabah bow rider. Includes cover, water skis, Big Bertha tube, tow rope for tube, ski rope, and 4 life vests.",,5889442498,39.021800,18,-119.731400,Mariah,"https://maps.google.com/maps/preview/@39.021800,-119.731400,16z",Shabah 180,$6500,power, (Minden),1998 Mariah 180 Shabah 18' Bow Rider,https://reno.craigslist.org/boa/5889442498.html,1998
2,fair,"['39.497200', '-119.776400']",2016-12-19 14:00,Selling Two Boats ...Both Identical. One of them needs minor work. The other one will run but needs quite a lot of work to be done. Both boats are in decent condition. Both are Inboard / Outboard and have Ford 302 Engines. The two I/O Drives and Engines alone are well worth $800.00,,5925998610,39.497200,19,-119.776400,Glastron,"https://maps.google.com/maps/preview/@39.497200,-119.776400,16z",,$800,power, (Reno),Two Boats FOR SALE,https://reno.craigslist.org/boa/5925998610.html,1985
3,fair,,2016-12-19 13:16,"Bayliner boat and trailer needs work. Must sell to make room good dependable boat. $5,000.00 dropped to now $4,000 MUST SELL OBO Call only PLEASE. Thank you.",,5925934750,,26,,Bayliner,,,$4,power, (SUN VALLEY),Bayliner cabin cruser,https://reno.craigslist.org/boa/5925934750.html,
4,,"['39.626900', '-119.708100']",2016-12-19 12:30,"They are still in the box, brand new.  $250.00 for both or $125.00 each, firm on price. Intex Challenger K1 Kayak, 1-Person Inflatable Kayak Set with Aluminum Oars and High Output Air Pump  . E-mail if interested..  Thank you!!!",,5908320254,39.626900,1,-119.708100,,"https://maps.google.com/maps/preview/@39.626900,-119.708100,16z",,$250,human," (Wingfield Springs, Sparks)",Brand new Kayaks,https://reno.craigslist.org/boa/5908320254.html,
5,,"['39.641200', '-119.873500']",2016-12-19 12:16,As is .. free boat .. trailer needs 2 tires .. they won't hold air.. has a 302 .. no good .. needs lot of work,,5925844143,39.641200,24,-119.873500,Bayliner,"https://maps.google.com/maps/preview/@39.641200,-119.873500,16z",,$250,power, (Lemmon valley),Free boat .. if you want the trailer $250,https://reno.craigslist.org/boa/5925844143.html,
6,excellent,"['39.180600', '-120.144500']",2016-12-19 11:03,"Ocean Kayak Rental Fleet for sale! Our models include the Single Frenzy 9ft (SOT), Single Scrambler 11ft (SOT), Tandem Malibu Two 12ft (SOT), Tandem Malibu Two XL 13'4ft (SOT), and the Tandem Cabo 16ft (SOT). All models start at 30% off MSRP. Call today for more information.",,5898251901,39.180600,16,-120.144500,Ocean Kayak,"https://maps.google.com/maps/preview/@39.180600,-120.144500,16z",,,human,,Kayak Rental Fleet For Sale!,https://reno.craigslist.org/boa/5898251901.html,2016
7,like new,,2016-12-19 10:55,"2014 Centurion Enzo FX44 Wakeboard Boat with 2 axle Centurion Trailer. Over $150k MSRP. Only 29 Hours, like new! The world best surf boat, Ballast fills and drains in under 1 minute with no pumps required! Supercharged 6.2L V8 Engine producing 550hp. Hammerhead Bow. 24ft. Seats 16 People. Outfitted with professional configuration (Ramfill Ballast and CATS system). Wind dam. Wake Board racks. Heater. Touch Vision Center. 2nd Battery Package. Light it up Package. Built in Ice Chest. Full Wetsounds stereo system. LED lighting. Factory Cover. Bimini Top. Too much to list! Still under 5 Year Factory Warranty! Call/Text/Email. Winter Special $79,999!!! Wakesetter, Malibu, Supra, Mastercraft, Air Nautique, Tige, Moomba, Wake Boat, Surf Boat, Lake, Wake surf, fs44, fs22, fx22, fx44,",29,5912809555,,24,,Centurion,,FX44 Enzo,$79999,power,,2014 Centurion Enzo FX44. 550hp Supercharged. LOW HOURS.,https://reno.craigslist.org/boa/5912809555.html,2014
8,,"['39.170400', '-119.778200']",2016-12-19 10:48,HAVE 2 BRAND NEW THICK CUSHINED BOAT SEATS FOR A ALUMINUM BOAT...BOUGHT AT CABELAS...ONE SWIVEL BOAT SEAT MOUNT.....BEST OFFER.....THANKS,,5920572230,39.170400,14,-119.778200,CABELAS,"https://maps.google.com/maps/preview/@39.170400,-119.778200,16z",,,human,,SEATS FOR ALUMINUM BOAT..BRAND NEW,https://reno.craigslist.org/boa/5920572230.html,
9,,,2016-12-19 10:14,'99 Sea Eagle inflatable boat with  electric motor and  trailor   length is 10  6'   asking $900.  please call 775 690-545one   clean title   sorry no pictures at the moment,,5900697735,,19,,,,,$900,power, (carson city),'99 Sea Eagle inflatable boat and trailor,https://reno.craigslist.org/boa/5900697735.html,
