,condition,coord_pair,date,description,engine hours (total),id,lat,length overall (LOA),long,make / manufacturer,map_URL,model name / number,price,propulsion type,region,title,url,year manufactured
0,,,2016-12-20 17:16,Call show contact info big block 24 ft outlaw bravo 3 outdrive 12000 obo trades considered plus cash looking for pontoon boat,,5890576850,,24,,,,,$12000,power,,1992 BAHA OutLaw 454 BigBlock 24 ft Beautiful,https://albany.craigslist.org/boa/5890576850.html,
1,,"['39.662535', '-74.964523']",2016-12-20 13:36,"Ski is a 15 and is a 2 up with convenient package and only 12 hrs,ski runs like new,why pay all those fees at a dealer when you can get a new ski here for cheaper. Has cover and SEADOO  safety kit also included along with flush kit. No trailer is one is needed I have new singles for  $600 cost contact me and dbls for $1350 Ski is $4850",,5910139922,39.662535,10,-74.964523,,"https://maps.google.com/maps/preview/@39.662535,-74.964523,16z",,$4850,power, (Williamstown NJ),2015 Seadoo Spark Waverunner with 12 hrs and warranty,https://albany.craigslist.org/boa/5910139922.html,
2,,"['39.662139', '-74.965210']",2016-12-20 13:18,"Ski is a 15 and is a 2 up with convenient package and only 12 hrs,ski runs like new,why pay all those fees at a dealer when you can get a new ski here for cheaper. Has cover and SEADOO safety kit also included along with flush kit. No trailer is one is needed I have new singles for $600 cost contact me and dbls for $1350 Ski is $4850 If needed transportation i can arrange at your cost..",,5917847607,39.662139,11,-74.965210,,"https://maps.google.com/maps/preview/@39.662139,-74.965210,16z",,$4850,power, (williamstown nj),"seadoo waverunner,2015 with only 12 hrs great deal for the holidays",https://albany.craigslist.org/boa/5917847607.html,
3,good,,2016-12-20 11:48,"1996 Wellcraft 19.5' open bow center console fishing boat on a roadworthy trailer. The boat needs some fiberglass work on gunnels and deck above the waterline and some gellcoat work just about the waterline. Otherwise the hull is in a good shape - no blisters and no soft spots. Trailer is roadworthy and in a very good condition, good tires, frame and bearings. Look at the pictures and feel free to contact me with questions about it. Purchased it for restoration project but currently got enough projects and I want to consolidate the space. Boat comes with a title and the trailer needs to be registered as home made. Outboard motor and controls not included. Asking $1499",,5919822476,,19,,wellcraft,,CCF195,$1499,power, (East Syracuse),1996 Wellcraft 195 CCF Boat With Traler,https://albany.craigslist.org/boa/5919822476.html,1996
4,new,"['42.713000', '-73.773900']",2016-12-20 11:45,"Bought them, found out they are the wrong size, forgot to send them back. There are two.",,5926877705,42.713000,29,-73.773900,SeattoSummit,"https://maps.google.com/maps/preview/@42.713000,-73.773900,16z",Travel Vover,$25,human,,Kayak Travel Covers,https://albany.craigslist.org/boa/5926877705.html,2016
5,excellent,,2016-12-20 11:43,This 2008 Stuart Marine Mariner 19 is a centerboard day sailor that's as easy to sail and own as it gets. Cabin accommodates 2 adults +2 Children. Boat's displacement is 1300lbs and can be easily towed. Sheets are in a very good condition with small stains. Entire rigging is fully functional and solid. Cushions are tear ans scuff free. Hull is solid w/ no blisters or cracks. This spring all bushings on centerboard and rudder were replaced. All windows and deck vents are sound and tight. Tohatsu 2-stroke 3.5HP with integrated tank is a light weight very efficient yet very capable of pushing the boat with 4 persons on-board. Spare fuel tank (1Gal) in storage compartment under starboard cockpit seat. -Blue gelcoat with white stripe and red bottom paint -Aluminum mast with 1/19 wire rigging and a roller furling headstay -Neil Pryde headsail -Neil Pryde mainsail with lazy jacks and sail bag -Mooring cleats -Jiffy reefing kit -Topping lift kit -Spreader & turnbuckle boots -Light & battery box kit with 12V 1W Solar Panel -Self bailing cockpit -Bulkhead compass -10lb folding anchor with rope -West marine paddle -Folding ladder -Custom cockpit closed-cell cushions -(1) type IV throw able PFD -Adjustable transom bracket for outboard motor -Dock lines and fenders -Transom mounted stainless swimming ladder -4-pc interior cushions -2-pc cockpit cushions -Fire extinguisher -Sanipottie- prortable  tolet -Line cleats -Tiller extention -Sail feed slot cover Painted trailer registered as home made is fully functional : -Single axle -Tires and lights in very good condition To get more information on specs please visit: https://stuartmarine.squarespace.com/used-mariner-centerboard/ Asking $19900,,5893074313,,19,,Stuart Marine,,Mariner CB 19,$19900,sail, (East Syracuse),08 Mariner 19' Cabin Sailboat w/ Outboard and Trailer,https://albany.craigslist.org/boa/5893074313.html,2008
6,like new,"['42.790400', '-73.980900']",2016-12-20 11:39,"I'm selling my 2013 Sea Doo RXPX 260, with only 36hrs. on it. It has the new updated 2016 hand grips with palm rests ($100), custom Seadoo cover ($200) and is in show room condition. I will include the Sea Doo life jacket ($100) as well. It is currently sitting on, and included in the sale, a brand new 2016 Yaht Club PWC trailer ($900). I must sell, serious inquires only.",36,5892351305,42.790400,12,-73.980900,Sea Doo,"https://maps.google.com/maps/preview/@42.790400,-73.980900,16z",RXPX 260,$10500,power,,2013 Sea Doo RXPX 260,https://albany.craigslist.org/boa/5892351305.html,2013
7,,,2016-12-20 10:55,Wanted looking for a pontoon something 2000 and newer I have a wide range of money I can spend depending on what you have please send me an email if I don't get back with you it wasn't what I was looking for thank you very much.,,5922974358,,1,,,,,,power,,pontoon boat,https://albany.craigslist.org/boa/5922974358.html,
8,like new,"['43.070800', '-73.740800']",2016-12-20 10:17,"Beautiful Bow rider!, snap in carpet, Large swim platform, bathroom never used, FRESH WATER BOAT!! Like new!! Fountain, Baja, Checkmate, Sea Ray, Donzi, Hustler, Formula, Nordic, Wellcraft, Scarab, Monterey, Cruisers, Chaparral",60,5899885678,43.070800,24,-73.740800,Monterey,"https://maps.google.com/maps/preview/@43.070800,-73.740800,16z",244 FSX,$50000,power, (Saratoga Springs),Monterey 244 FSX,https://albany.craigslist.org/boa/5899885678.html,2014
9,new,[],2016-12-20 09:39,"Standard 115 HP Motor Auto Bilge Pump 12 Volt Charging Port Rod Holders Aluminum Leaning Post Factory Galvanized Trailer CALL FRANK D. FOR DETAILS ,  TRADES WELCOME AND FULL FINANCING AVAILABLE show contact info",0,5926694650,,21,,KEY LARGO,https://maps.google.com/?q=loc%3A+%31%32%33%36%34+RTE+%39W+COXSACKIE+NY+US,2000 CC,$43999,power, (COXSACKIE),2017 2000 cc KEY LARGO,https://albany.craigslist.org/boa/5926694650.html,2017
