,condition,coord_pair,date,description,engine hours (total),id,lat,length overall (LOA),long,make / manufacturer,map_URL,model name / number,price,propulsion type,region,title,url,year manufactured
0,,,2016-12-20 16:30,"Lovely wooden boat. 17 foot. New bottom,  new interior, rebuilt engine, rebuilt carbs. New varnish and bottom paint.  No rot or soft spots. Chrome is in very good shape. Tripple carb grey marine engine.  135 horsepower. Runs as it should. Wonderful exhaust note. Double axle early bunk trailer with fresh paint and wiring. I have the original boat cover. Good title . It has all  the  build documentation from Chris Craft. COPD makes it very hard for me to maintain the paint and varnish so she needs a new owner. Come and hear it run.",,5916926716,,17,,Chris Craft,,,$9900,power, (Newfane),Classic mahogany 1956 CHRIS CRAFT 17 foot Special Sportsman,https://buffalo.craigslist.org/boa/5916926716.html,1956
1,,"['42.949100', '-78.897800']",2016-12-20 14:56,"1980 Starcraft American, 18.5 ft fiberglass. Great project boat. Has an inboard/outboard 305 Chevy engine with Volvo conversion and a Volvo 280 conversion outdrive. $400 or best offer.",,5918955923,42.949100,19,-78.897800,Starcraft,"https://maps.google.com/maps/preview/@42.949100,-78.897800,16z",American,$400,power, (Tonawanda),Boat with Trailer,https://buffalo.craigslist.org/boa/5918955923.html,1980
2,,"['42.837100', '-78.748400']",2016-12-20 14:55,"I have had the boat for 2 summers and i bought the boat from the original owner. I enjoyed my time with the boat but i am looking to sell due to some financial issues. Comes with trailer plus all accessories for the boat. 5.7 L 330hp 23 foot toilet,cuddy area, lots of rope, bumpers, color changing led lights inside boat, 10 life jackets, horn, fire extinguisher, inner tube, etc comes with 2 batteries new alternator boat cover and trailer are included. trim tabs, bow adjustment all work!!!!! THERE IS NOTHING WRONG WITH THE BOAT IT RUNS AND IT IS WINTERIZED AT A WHEELHOUSE. SERIOUS OFFERS ONLY.",,5914777729,42.837100,23,-78.748400,,"https://maps.google.com/maps/preview/@42.837100,-78.748400,16z",,$4500,power, (cheektowaga),1988 Wellcraft Marine Corp ELITE 222,https://buffalo.craigslist.org/boa/5914777729.html,
3,,,2016-12-20 14:12,"mercury 50hp outboard motor runs well, needs new impeller. trailer in good condition. 5 seats. trolling motor, depth finder, life jackets included. Call 860-3one44",,5927120240,,16,,,,,$1800,power,,16' aluminum fishing boat,https://buffalo.craigslist.org/boa/5927120240.html,
4,good,"['42.721500', '-78.932700']",2016-12-20 13:33,"16' aluminum Cherokee Deep V. Side counsel. No leaks new transom. 12 gallon gas tank, battery. 55 lb. Minn kota now mount. 1987 50 hp johnson long shaft vro disconnected runs good clean. 2003 4 stroke  mercury 6hp kicker. Trailer. All paperwork. Great fishing boat. 2750 no emails 716239-9nine09.",,5894624227,42.721500,16,-78.932700,,"https://maps.google.com/maps/preview/@42.721500,-78.932700,16z",,$2750,power, (Hamburg),16' Aluminum,https://buffalo.craigslist.org/boa/5894624227.html,
5,,"['42.487700', '-79.328300']",2016-12-20 13:33,"Far to much to list! If you are a serious buyer please email me. Asking $42,000 Boat is currently in dry dock and has had a recent survey, double cabin, engine and transmission have been professionally rebuilt, all electrical and plumbing has been gone through, all the teak wood has been refinished. Selling do to Heath and age issues, we have a lot money invested in this boat and would like to see it go to someone that will enjoy it as we have. Also has a custom cover for winter storage that we go with it, it has two bedrooms and two bathrooms, full galley. I DO NOT WANT ANY HELP SELLING!",,5927022110,42.487700,34,-79.328300,Marine Trader,"https://maps.google.com/maps/preview/@42.487700,-79.328300,16z",Trawler,$42000,power, (Dunkirk),Marine Trader Trawler,https://buffalo.craigslist.org/boa/5927022110.html,1978
6,like new,[],2016-12-20 09:37,"**LIKE NEW** -2013 Loadmaster Tandem Axle Boat Trailer- Bunk Style -For a 22' to 24.5' boat. -Fully adjustable post and bunks if you need to. -Electric Brakes with emergency battery back up. -Steel painted trailer. -2"" ball coupler. -Wheel jack -Spare Tire & Mount (Never Used) -Seatbelt material winch strap. -ALL trailer lights are working! -7 pin round connector. Can convert to flat connector. -Only towed 8 times in three years to the 1000 Islands and back. Last picture shown is the boat that was on it. A 1988 23.5 Four Winns Sundowner. It is a hell of a trailer. Sturdy to the max. See the many pictures. Email me with any questions. Clean title.",,5898462218,,24,,Loadmaster,https://maps.google.com/?q=loc%3A+Holt+at+Klem+Webster+NY+US,Tandem Axle w/electric brakes,$4800,power, (Webster),Boat Trailer ~ 2013 Tandem Axle Loadmaster w/Electric Brakes,https://buffalo.craigslist.org/boa/5898462218.html,2013
7,new,"['42.733400', '-78.838900']",2016-12-20 09:09,"Trailer Receiver Locking Pins  NEW Smith & Wesson Duel Bent Pin Lock Towing Security Fits both 1 ¼  and 2"" receivers Pin diameters ½ "" and 5/8"" New never opened cost $20 plus tax selling for $15",,5915122293,42.733400,10,-78.838900,,"https://maps.google.com/maps/preview/@42.733400,-78.838900,16z",,$15,human,,Trailer Receiver Locking Pins  NEW,https://buffalo.craigslist.org/boa/5915122293.html,
8,,,2016-12-20 07:03,"I,m looking for an 8 ,10 foot row boat,aluminium, no wood to heavy,to lift up on truck .JON BOAT..OK..MUST HOLD OUT WATER..NO JUNK..JUST LOOKIN FOR SOMETHING TO ROW THE LITTLE ONES AROUND IN..  CHEAP.  I CAN PAINT,  DONT WANT TO DO REPAIRS THOUGH..GOT ONE HANGIN AROUND.PFD,,S  OARS,TROLLIN MOTOR..IS GREAT..NO TRAILERS THANKS,, LOCAL.. LOCKPORT/NORTH... show contact info ..CASH...",,5910570985,,810,,NA,,NA,,human,,ROW BOAT  WANTED,https://buffalo.craigslist.org/boa/5910570985.html,
9,,,2016-12-19 21:58,I'm looking to buy a used JetSki dolly or beach cart. something that I can use to get my JetSki in and out of the water at our Beachhouse. Please send pics and asking price Thanks,,5926323712,,10,,,,,,human,,WTB jetski dolly beach cart,https://buffalo.craigslist.org/boa/5926323712.html,
