,condition,coord_pair,date,description,engine hours (total),id,lat,length overall (LOA),long,make / manufacturer,map_URL,model name / number,price,propulsion type,region,title,url,year manufactured
0,,"['42.169383', '-77.099991']",2016-12-20 15:14,"Nicely hand crafted/painted Amy R Payson wooden 1/8 scale model sailboat/friendship sloop, built from a kit in The Wooden Boat Catalog out of Brooklin, Maine.  Wind powered boat with RC controlled tiller.  Includes Dacron sails, full rigging, Futuba RC receiver and transmitter unit.  Dimensions: 48"" long x 14"" wide x 66"" tall. First launched 2001.",,5927217326,42.169383,4,-77.099991,,"https://maps.google.com/maps/preview/@42.169383,-77.099991,16z",Amy R Payson sloop,$1000,sail, (Painted Post),Remote Controlled Wooden Model Sailboat,https://elmira.craigslist.org/boa/5927217326.html,
1,,,2016-12-19 19:17,"Selling a 230 proline. 200 hp outboard motor. Runs great. Trailer in good shape. Must go, will trade for a wrangler.",,5926167507,,230,,,,,$3000,power, (pine valley),230 proline fishing boat,https://elmira.craigslist.org/boa/5926167507.html,
2,,"['42.072600', '-77.676700']",2016-12-19 15:07,Boat nice cond. with oars and papers last price  $300   call  607-22five-490four,,5895178062,42.072600,14,-77.676700,,"https://maps.google.com/maps/preview/@42.072600,-77.676700,16z",,$300,human, (Rexville),Boat 14ft aluminum,https://elmira.craigslist.org/boa/5895178062.html,
3,,"['42.206094', '-76.892777']",2016-12-19 13:52,I have a like new used 3 times 2015 Pungo 120 has fishing rod holder and cup holders plus life jacket comes with paddle sweet ride has the best seat on the market.$800 or B/O GIVE ME A CALL TO SEE IT THANKS FOR LOOKING OR TEXT,,5925709727,42.206094,12,-76.892777,,"https://maps.google.com/maps/preview/@42.206094,-76.892777,16z",,$800,human, (HHDS),2015 Wilderness Pungo 12ft with extras,https://elmira.craigslist.org/boa/5925709727.html,
4,,"['42.100800', '-76.812000']",2016-12-19 11:58,I'm selling my 19 foot 1973 sea ray srv 190 and trailer have all the paper work for boat and trailer looking for extra Christmas money. Has a new electronic ignition in it. had the boat running in the beginning of the year but after we towed it home it stopped getting power to the ignition. Boat is registered till 2019 asking 400 or best offer show contact info Needs work but not in to bad of condition for how old it is.,,5925513932,42.100800,19,-76.812000,,"https://maps.google.com/maps/preview/@42.100800,-76.812000,16z",,$400,power, (Elmira),1973 sea ray srv,https://elmira.craigslist.org/boa/5925513932.html,
5,excellent,"['42.180500', '-76.834500']",2016-12-18 20:09,"2008 aluminum 16 1/2 ft  Crestliner Boat n trailer. Mercury 50hp, 4 stroke EFI 2014 with transferable warranty till 2021, less than 20 hrs on motor.  Electric anchor wench, Hummingbird fish/depth finder, live well, and storage. Boat has always been stored under cover, winterized and serviced on regular basis. This boat has always been VERY well taken care of and ready for the water!  $10,000",,5902834322,42.180500,16,-76.834500,Crestcraft,"https://maps.google.com/maps/preview/@42.180500,-76.834500,16z",,,power,,2008 Crestliner boat and trailer,https://elmira.craigslist.org/boa/5902834322.html,2008
6,excellent,[],2016-12-16 16:24,I have a 8ft John boat repainted carpeted with fishing deck. $300.00 OBO. No title,,5922194535,,8,,,https://maps.google.com/?q=loc%3A+%32%31%30%31+sorbers+st+Painted+post+NY+US,,$300,human,,8ft John boat,https://elmira.craigslist.org/boa/5922194535.html,
7,excellent,,2016-12-15 22:09,This is a really nice 3 hp trolling motor.  Has the flip up lower unit for storage in its own carry case.  Nice condition.  Contact me for more details.  Thanks Jerry. show contact info,,5892392468,,40,,Evinrude,,,$375,power, (Hector NY),Evinrude boat motor with flip up lover unit,https://elmira.craigslist.org/boa/5892392468.html,
8,good,,2016-12-15 22:07,Very nice yacht. Live on it all summer. Dual air conditioning and heat. Brand new flybridge top last October.  Call if interested.  Thanks,,5892388028,,40,,Luhrs,,Motoryacht,$35000,power, (Watkins glen),1991 Luhrs motor yacht,https://elmira.craigslist.org/boa/5892388028.html,1991
9,,"['42.101056', '-76.816857']",2016-12-15 17:13,1957 16 ft. penn yan wooden boat 95% restored 1957 35 hp. johnson newer trailer please call show contact info Would trade for running 1970 or older car of equal value.,,5899962719,42.101056,14,-76.816857,,"https://maps.google.com/maps/preview/@42.101056,-76.816857,16z",,$2500,power, (elmira),1957 wooden 16ft. penn yan,https://elmira.craigslist.org/boa/5899962719.html,
10,good,[],2016-12-15 14:56,"Classic Glass- 1966- 47 Ft. Chris Craft Commander. Twin 8V53N diesel engines. three private staterooms, Main Salon, full galley, 2 baths, dinette, Upper and lower refrigerators, 2 air conditioners, washer/dryer, Heater, Garmin GPS,VHS,Autohelm,Radar, Trim tabs, New Awlgrip hull paint, new canvas,8ft.dingy, boat crane, lots more. Interior and Hull restored. Easy maintenance outside- lots of wood inside.Sleeps ten. Great livaboard.",4526,5920735201,,47,,Chris Craft,https://maps.google.com/?q=loc%3A+%33%37%30%30+Big+Pond+Road+COLUMBIA+CROSS+ROADS+NY+US,Commander,$65000,power, (3700 Big Pond Rd.),47 Ft. Chris Craft Commander,https://elmira.craigslist.org/boa/5920735201.html,1966
11,excellent,"['42.557253', '-77.321777']",2016-12-14 11:33,"Classic kayaks, excellent shape.  $175 for one or $300 for the pair.",,5919047570,42.557253,8,-77.321777,Wavesport,"https://maps.google.com/maps/preview/@42.557253,-77.321777,16z",,$300,human, (Prattsburgh),Whitewater kayaks - Wavesport X and Z,https://elmira.craigslist.org/boa/5919047570.html,
12,good,,2016-12-14 09:42,"Vintage - 5.5 H.P. Johnson Outboard Motor and Fuel Tank, $325.00 or consider offer.",,5918879935,,5,,Johnson,,5.5 HP,$325,power, (Cayuta),Johnson Outboard Motor,https://elmira.craigslist.org/boa/5918879935.html,1954
13,,"['42.494925', '-76.887819']",2016-12-13 12:27,Great boat. Runs and is water ready. Did just winterize it.   Hoping to sell before Christmas.,,5917722106,42.494925,19,-76.887819,,"https://maps.google.com/maps/preview/@42.494925,-76.887819,16z",,$2500,power, (Hector),1987 glastron boat,https://elmira.craigslist.org/boa/5917722106.html,
14,,"['42.180500', '-76.834500']",2016-12-13 11:59,"1951 Thompson Wooden runabout Serial Number 51452XR Approx 15ft length Full restoration candidate - buy it before I cut it up into a bar/bookshelve/childrens play park Winter project! I was going to cut an opening and counter top it for a one off patio bar - no time! Would be a great first restoration or instructional project Has a ton of awesome features on the boat for the true collector Look at the pictures! $900 obo Call or Text show contact info Horseheads, NY Bill of Sale Only Can help load or deliver",0,5877523434,42.180500,15,-76.834500,Thompson,"https://maps.google.com/maps/preview/@42.180500,-76.834500,16z",Wooden,$900,power, (Horseheads),1951 Thompson Classic Wooden runabout project boat must see,https://elmira.craigslist.org/boa/5877523434.html,1951
15,good,,2016-12-12 08:43,1997 Nitro Savage 884 Bass Boat with 150 HP Mercury Outboard motor and trailer. Comes with trailer $6995 OBO,,5915921606,,18,,Nitro savage,,Savage 884,$6995,power, (Campbell),Nitro Savage Fishing Boat,https://elmira.craigslist.org/boa/5915921606.html,1997
16,,,2016-12-12 03:42,"Aluminum Row Boat, with oars , refinish or leave it the way it is still floats., I also am selling an out board motor , Willing to let both go for $400",,5915798355,,14,,,,,$200,human, (Elmira),Aluminum Row Boat,https://elmira.craigslist.org/boa/5915798355.html,
17,like new,,2016-12-11 18:45,2003 triton 18ft bass boat with trailer. Johnson 175 hp motor dual battery switch lcd fish finder sonar live bait circulation system trolling motor boat cover life jackets included. kbb value $11650.00 selling for $10000 to settle estate please call show contact info leave message if no answer,,5915422555,,18,,,,,$10000,power, (bath),2003 triton bass boat,https://elmira.craigslist.org/boa/5915422555.html,
18,,,2016-12-10 15:26,25 ft fishing boat and trailer needs some motor work but the rest of the boat is decent no time to work on it would be a nice boat with the motor fixed call show contact info,,5879300511,,25,,,,,$3000,power, (corning),25 ft baretta fishing boat,https://elmira.craigslist.org/boa/5879300511.html,
19,,"['42.422500', '-77.691800']",2016-12-07 07:19,2013 Evinrude 4 stroke 6 horsepower outboard motor long shaft. Comes with an electric trolling motor and gas can hookup. We bought brand new in 2013 and only used a few times paid $2100. Please no emails. Call 6zero7 3eight2 69six zero,,5909042328,42.422500,15,-77.691800,,"https://maps.google.com/maps/preview/@42.422500,-77.691800,16z",,$1195,power, (Arkport),2013 Evinrude 4 stroke 6hp,https://elmira.craigslist.org/boa/5909042328.html,
20,good,,2016-12-05 13:33,"1995 Sea nymph 16 foot fishing boat 30 horsepower Evinrude Comes with trailer Runs and drives great $3,800 Call show contact info for more info",,5876049162,,16,,Sea Nymph,,,$3800,power, (Hammondsport),1995 SEA NYMPH,https://elmira.craigslist.org/boa/5876049162.html,1995
21,good,,2016-12-04 23:26,17 ft boat for sale great condition 50hp engine runs like a champ all lights on boat work no leaks bilage pump works new tires on trailer,,5905810294,,17,,,,,$800,power,,17 ft boat for sale,https://elmira.craigslist.org/boa/5905810294.html,
