,condition,coord_pair,date,description,engine hours (total),id,lat,length overall (LOA),long,make / manufacturer,map_URL,model name / number,price,propulsion type,region,title,url,year manufactured
0,good,,2016-12-20 15:05,"Full roller trailer for up to a 16' boat. New rollers,paint,winch and coupler. Transferable registration. $450",,5915323829,,19,,,,,$450,power, (Lafargeville),Boat trailer for 16 FT.,https://watertown.craigslist.org/boa/5915323829.html,
1,,"['43.974300', '-75.912200']",2016-12-20 13:53,"Works. New battery,title on hand.Cash or trade( show me what u have)",,5901552008,43.974300,15,-75.912200,,"https://maps.google.com/maps/preview/@43.974300,-75.912200,16z",,$1,power,,Nice Boat,https://watertown.craigslist.org/boa/5901552008.html,
2,,,2016-12-20 13:35,"Please don't reply if you don't have $ im sick n tired of peasants trying to low ball. 2016 Kawasaki Ultra LX 2016 Heavy Duty Caravan Trailer with LED Lights and Trailer jack 2016 OEM Kawasaki Jet Ski Cover Brand New in Box Warranty Expires 6/30/2017 (you can also buy up to 4yrs) 2 fresh water hours on this jetski, no time to use it unfortunately Comes with new Anchor, new Ropes, new Bumper Fenders, new Fire Extinguisher Located in Lincoln, RI 02865 Price is VERY FIRM at $10,000 CASH. No Trades",,5912362305,,13,,,,,,power,,2016 Kawasaki Ultra LX w/ Warranty,https://watertown.craigslist.org/boa/5912362305.html,
3,excellent,,2016-12-20 11:49,This 2008 Stuart Marine Mariner 19 is a centerboard day sailor that's as easy to sail and own as it gets. Cabin accommodates 2 adults +2 Children. Boat's displacement is 1300lbs and can be easily towed. Sheets are in a very good condition with small stains. Entire rigging is fully functional and solid. Cushions are tear ans scuff free. Hull is solid w/ no blisters or cracks. This spring all bushings on centerboard and rudder were replaced. All windows and deck vents are sound and tight. Tohatsu 2-stroke 3.5HP with integrated tank is a light weight very efficient yet very capable of pushing the boat with 4 persons on-board. Spare fuel tank (1Gal) in storage compartment under starboard cockpit seat. -Blue gelcoat with white stripe and red bottom paint -Aluminum mast with 1/19 wire rigging and a roller furling headstay -Neil Pryde headsail -Neil Pryde mainsail with lazy jacks and sail bag -Mooring cleats -Jiffy reefing kit -Topping lift kit -Spreader & turnbuckle boots -Light & battery box kit with 12V 1W Solar Panel -Self bailing cockpit -Bulkhead compass -10lb folding anchor with rope -West marine paddle -Folding ladder -Custom cockpit closed-cell cushions -(1) type IV throw able PFD -Adjustable transom bracket for outboard motor -Dock lines and fenders -Transom mounted stainless swimming ladder -4-pc interior cushions -2-pc cockpit cushions -Fire extinguisher -Sanipottie- prortable tolet -Line cleats -Tiller extention -Sail feed slot cover Painted trailer registered as home made is fully functional : -Single axle -Tires and lights in very good condition To get more information on specs please visit: https://stuartmarine.squarespace.com/used-mariner-centerboard/ Asking $19900,,5907545959,,19,,Stuart Marine,,Mariner CB 19,$19900,sail, (Jamesville),08 Mariner 19' Cabin Sailboat w/ Outboard and Trailer,https://watertown.craigslist.org/boa/5907545959.html,2008
4,good,,2016-12-20 11:48,"1996 Wellcraft 19.5' open bow center console fishing boat on a roadworthy trailer. The boat needs some fiberglass work on gunnels and deck above the waterline and some gellcoat work just about the waterline. Otherwise the hull is in a good shape - no blisters and no soft spots. Trailer is roadworthy and in a very good condition, good tires, frame and bearings. Look at the pictures and feel free to contact me with questions about it. Purchased it for restoration project but currently got enough projects and I want to consolidate the space. Boat comes with a title and the trailer needs to be registered as home made. Outboard motor and controls not included. Asking $1499",,5919822003,,19,,wellcraft,,CCF195,$1499,power, (East Syracuse),1996 Wellcraft 195 CCF Boat With Traler,https://watertown.craigslist.org/boa/5919822003.html,1996
5,,"['43.935748', '-76.100345']",2016-12-19 17:36,6hp Johnson great runner use it often. $400 show contact info,,5895188561,43.935748,1,-76.100345,,"https://maps.google.com/maps/preview/@43.935748,-76.100345,16z",,$400,power, (Sackets harbor),6hp johnson,https://watertown.craigslist.org/boa/5895188561.html,
6,,"['44.328300', '-75.465100']",2016-12-19 10:30,"1968 Starcraft aluminum, 16 ft. Open bow.40 horse evinrude engine.comes with trailer.Runs well.",,5907819352,44.328300,16,-75.465100,,"https://maps.google.com/maps/preview/@44.328300,-75.465100,16z",,$600,power, (Gouverneur),16ft. Boat (price reduced),https://watertown.craigslist.org/boa/5907819352.html,
7,good,"['44.315233', '-75.919005']",2016-12-19 09:31,"1994 Cruisers Inc. Rogue 2670 beam 9 1/2 feet wide, Bravo three drive with 454 cu. in. big block great on fuel with this drive Bravo III. Aft. cabin is large, stand up bathroom and shower, full camper canvas, Windlass anchor ( automatic anchor ) Buy now and I will pull out and store it for free!",800,5925292458,44.315233,28,-75.919005,Cruisers inc.,"https://maps.google.com/maps/preview/@44.315233,-75.919005,16z",2670 Rogue,$14500,power, (Alexanadria bay),Nice Cruisers inc. Rogue 2670 Bravo Three Drive,https://watertown.craigslist.org/boa/5925292458.html,1994
8,,"['44.747200', '-74.999200']",2016-12-19 09:16,1984 starcraft boat.trailer for sale boat has a 90hp evenrude and it runs good. recently purchased a pontoon boat and do not use this one need to make some room.,,5925274717,44.747200,18,-74.999200,starcraft,"https://maps.google.com/maps/preview/@44.747200,-74.999200,16z",,$1500,power, (NORWOOD),1984 starcraft boat,https://watertown.craigslist.org/boa/5925274717.html,1984
9,good,"['43.462514', '-76.514733']",2016-12-19 07:59,1967 Penn Yann. 17' fiberglass. Inboard/outboard OMC GM 6 cylinder 155hp. 700 hours on it. No tears in the seats and floor is solid. Has radio and depth finder. Comes with a 1967 Tee Nee trailer. Model 1700. The sale of this boat helps to support our non-profit organization. Don't like our price? Make us an offer.,700,5925207043,43.462514,17,-76.514733,,"https://maps.google.com/maps/preview/@43.462514,-76.514733,16z",,$1500,power," (Oswego, NY)",1967 Penn Yann,https://watertown.craigslist.org/boa/5925207043.html,
