,condition,coord_pair,date,description,engine hours (total),id,lat,length overall (LOA),long,make / manufacturer,map_URL,model name / number,price,propulsion type,region,title,url,year manufactured
0,,"['35.649800', '-82.710600']",2016-12-20 13:59,"I have a Bayliner boat for sale. Has a  Mercury 4.3 motor. In good shape, runs good. $6700 (no trades) (no text) Call Larry at show contact info",,5927066652,35.649800,19,-82.710600,,"https://maps.google.com/maps/preview/@35.649800,-82.710600,16z",,$6700,power,,Bayliner,https://asheville.craigslist.org/boa/5927066652.html,
1,good,,2016-12-20 13:19,"Snap Dragon Skirt, size Large, in good condition, the trim material is just for looks it has come unglued some, this has Nothing to do with the integrity of the skirt, it can be glued back or just removed. There is no holes. Thanks",,5927035146,,0,,,,,$40,human, (Sylva),Kayak Skirt,https://asheville.craigslist.org/boa/5927035146.html,
2,,,2016-12-20 09:54,I'm selling my 1982 bomber bass boat. Motor needs a timing advance plate. Motor has a new water pump and new lower unit oil. Boat is in fair condition. Trailer is in fair condition. Has a title.,,5926712338,,15,,Bomber,,,$700,power, (Old Fort N.C.),1982Bomber bass boat,https://asheville.craigslist.org/boa/5926712338.html,1982
3,good,,2016-12-20 06:05,"Up for sale is a nice run about boat . Has a cobra302 runs good and is really good on gas,  all it needs is some seats repaired . Thanks for looking .",,5895101134,,19,,Four winns 190 horizon,,190,$5000,power, (Asheville),1994 Four winns 190 horizon,https://asheville.craigslist.org/boa/5895101134.html,1994
4,,,2016-12-20 05:53,1989 14/05'' 9.9 YAMAHA 2 STROKE,,5890157266,,15,,,,,$2800,power, (Greenville SC),SEA NYMPH,https://asheville.craigslist.org/boa/5890157266.html,
5,,"['35.852800', '-82.525400']",2016-12-19 22:19,Have a 4x4 work truck and other things would like to trade on pontoon boat or camper.  Just text what you have.,,5917972404,35.852800,20,-82.525400,,"https://maps.google.com/maps/preview/@35.852800,-82.525400,16z",,,power,,ISO camper I can trade truck and other things in on,https://asheville.craigslist.org/boa/5917972404.html,
6,,"['35.706400', '-82.631100']",2016-12-19 19:15,Trade my dragster for a nice bass boat,,5910197253,35.706400,225,-82.631100,,"https://maps.google.com/maps/preview/@35.706400,-82.631100,16z",,,power,,Trade dragster for bass boat,https://asheville.craigslist.org/boa/5910197253.html,
7,,"['35.734600', '-81.704200']",2016-12-19 18:35,"2001 13ft Whaler sport, good condition, runs good, 40hp 2 stroke with power trim,  I have a oversized 2006 Loadmaster trailer . I can deliver. $5900 will take a 2 axel car trailer in on trade. show contact info will sell for less without trailer",,5913324081,35.734600,13,-81.704200,,"https://maps.google.com/maps/preview/@35.734600,-81.704200,16z",,$5900,power, (Morganton NC),2001 13ft Boston Whaler sport/ trailer,https://asheville.craigslist.org/boa/5913324081.html,
8,,"['35.852800', '-82.525400']",2016-12-19 17:04,Polaris jet ski. Has a bad cylinder but in great shape otherwise. Great father son project or present for do it yourselfer. Ski only 200 with trailer 400 or trade on gun or firewood.,,5910026903,35.852800,8,-82.525400,,"https://maps.google.com/maps/preview/@35.852800,-82.525400,16z",,$200,power,,96 Polaris jet ski.,https://asheville.craigslist.org/boa/5910026903.html,
9,fair,"['35.463700', '-82.535400']",2016-12-19 16:28,"parting out 20ft Regency Shallow V deck boat Chevy 350 300HP V8 OMC   stern drive, dual axle trailer. Low time only about 200 hours. low time high performance heavy duty marine motor with 4 barrel complete with all accessories. Make offer can hear run. Hoss of a marine engine. Got that hot V8 rumble. Straining at the leash. $2000 OBO Also selling compltete OMC King Cobra stern out drive with hydraulics and gimbal Part or all $1500 OBO. Model 985685 20 ft two axle 5000 lb trailer for above $1500 Please do not send email asking if it is still available. I will take down the add when it is sold. Sell entire boat $2500 OBO great winter project, no upholstery some water damage to wood flooring. The stern drive with gimbal sells on Ebay for over $2000. The trailer is worth over $1500. Basic carpenter skills get you nice boat with low time. New one over $20,000.",,5917668395,35.463700,20,-82.535400,,"https://maps.google.com/maps/preview/@35.463700,-82.535400,16z",,$2500,power, (SKYLAND),Regency 20ft Deck boat 300HP 350 GMC V8 parting out,https://asheville.craigslist.org/boa/5917668395.html,
10,,,2016-12-19 16:05,17 Ft Old Town Discovery 3 Man Square Back Canoe. Boat Has Custom Trailer For Easy Loading. Comes With 50lb Minn Kota Trolling Motor. Boat Has Drain Plug and Also Wise Swivel Seat In Front. Great Boat Never Had Canoe So Stable. Only Phone Calls Please Eight Zero Three Seven One Six Four Six Six One,,5925917779,,17,,Old Town,,Discovery,$1600,power, (Irmo),17 ft old town discovery 3 man canoe,https://asheville.craigslist.org/boa/5925917779.html,2006
11,good,"['35.580800', '-82.607800']",2016-12-19 14:04,"1 owner. 2012 FZR and VXS. 1.8liter engines. FZR is supercharged. These are factory with no modifications of any type. They have been maintained at Harper Yamaha in Hendersonville. They do have some cosmetic issues caused by docks over the past 4 years. Most of it can be taken care of by replacing the protective plastic around each boat. Dual trailer will come with them. For all options and specs I would just Google them would be the fastest way. One has about 98 hours and the other has about 95 hours on it. Looking for $10k or best offer. Please call, text, or email me if you have any questions",,5925728685,35.580800,11,-82.607800,,"https://maps.google.com/maps/preview/@35.580800,-82.607800,16z",,$10000,power, (Asheville),Yamaha Jetskis,https://asheville.craigslist.org/boa/5925728685.html,2012
12,excellent,[],2016-12-19 11:42,"Nice 1992 Tracker Marine Party Hut with tri-toon powered by Johnson 40hp. Includes full camper canvas, fresh water, stove, ice box, sleeper lounges, enclosed head.",,5920355140,,30,,Tracker Marine,https://maps.google.com/?q=loc%3A+%37%30%34+HIGHWAY+%32%39%34+Murphy+NC+US,30 Party Hut,$9995,power, (Murphy),1992 30 Tracker Party Hut Tri-Toon 40hp,https://asheville.craigslist.org/boa/5920355140.html,1992
