,condition,coord_pair,date,description,engine hours (total),id,lat,length overall (LOA),long,make / manufacturer,map_URL,model name / number,price,propulsion type,region,title,url,year manufactured
0,excellent,"['36.550132', '-81.068633']",2016-12-19 20:02,"Coleman Crawdad Flat Bottom Boat Excellent boat for small lakes, ponds and rivers Lightweight, one person can load into back of truck Very durable, almost impossible to get a hole in New Swivel Seats Rod Holders $550 FIRM",,5926215642,36.550132,11,-81.068633,Coleman,"https://maps.google.com/maps/preview/@36.550132,-81.068633,16z",Crawdad,$550,power, (Sparta),Coleman Crawdad Flat Bottom Boat,https://boone.craigslist.org/boa/5926215642.html,
1,excellent,,2016-12-18 08:22,Lightly used Liquid Logic Remix 57 kayak. Great creek and white water boat. Boat and Werner Sherpa Paddle both yellow. In very good condition.,,5924067300,,78,,Liquid Logic,,Remix 57,$700,human, (Boone),Kayak- Liquid Logic Remix 57- Best Offer,https://boone.craigslist.org/boa/5924067300.html,2010
2,good,,2016-12-17 14:48,"5 seater Sun-dolphin Sun-slider pedal boat with canopy top.  Boat is in good condition, has a built in cooler and fishing rod holders.  Kids have out grown and ready for a new home.  Thanks for looking.",,5882771227,,5,,,,,$350,human, (Boone),Sun-dolphin Pedal Boat,https://boone.craigslist.org/boa/5882771227.html,
3,,,2016-12-17 06:25,"14 ft. Tracker Grizzly welded aluminum boat motor and trailer. Ready to fish or duck hunt. 35 HP Johnson motor that runs great. New Minnkota trolling motor, 40 lb thrust. Has depth finder, 9 gallon fuel tank, bilge pump, carpeted floors,seats excellent condition also has rod holders $3,850.00 obo.",,5881060232,,14,,,,,$3850,power, (Galax VA),Tracker Grizzly,https://boone.craigslist.org/boa/5881060232.html,
4,,"['36.105500', '-83.946000']",2016-12-15 13:57,I am looking to step up and start running some bigger water and would like to have something more stable. Willing to give money with trade for the right boat. 865 255 one 7five located in knoxville tn,,5920644421,36.105500,62,-83.946000,,"https://maps.google.com/maps/preview/@36.105500,-83.946000,16z",,,human,,Jackson4 fun trade for creek boat,https://boone.craigslist.org/boa/5920644421.html,
5,good,"['34.994700', '-81.224500']",2016-12-14 09:16,I have a very nice Cabin cruiser for sale or possible trades considered. This boat has a shower toilet bathroom sink flat screen tv aft bedroom dinning table A/C microwave stove on board charging system and battery power for use without shore cord which is included it has everything even then  kitchen sink. The drivers seat is decent and the lounge seat but could use a upholstery job. The engine and outdrive  is a volvo penta original with low hours and runs perfect. I have spent a lot of money on this boat and maintenance has been done sincerely. Has a brand new 4 blade prop new hydraulic tilt trim cylinders and new pump. New fuel pump new fuel water separator filter new fish depth finder with gps has rod holders a bait tank bag attaches to the rear a nice teak wood rear deck also comes with  a dual axle $3500 aluminum trailer with surge brakes.  Also includes storage cover and a full enclosure for winter months call or text please. The South Carolina Gamecocks decals are removable if your not a fan but this boat gets a lot of attention and is a great way to enjoy the lake with family and friends staying overnight is like your own personal portable condo on the water. The only reason I am selling is I am trying to pay off all my bills so I can retire in a couple years and buy my condo at the beach. Trades are considered if its something I can sell quickly and get the money or something I want only. Don't miss the chance to get a nice boat at a 10th of the price of a new one.Regal is one of the top 5 boat manufactures and are very well made and hold value well this one will not go down in value only up. We can set up a test run on lake Wylie depending on the water level of course but boat is not junk and runs well.,,5918799410,34.994700,25,-81.224500,Regal,"https://maps.google.com/maps/preview/@34.994700,-81.224500,16z",Ambassador,$8000,power, (York SC),1989 Regal Ambassador 233xl Cabin cruiser,https://boone.craigslist.org/boa/5918799410.html,1989
6,good,"['36.377600', '-81.487200']",2016-12-03 13:45,"1992 374v 18ft ranger with 2001 150hp Johnson motor ready for fishing.new 2016 Lawrence elllite 7 total tri scan fishfinder,20016 power drive v2 minn Kota trolling motor,3 bank battery charger new,4 rod holders,2 live welds carpet has medium wear. Also lms 520 Lawrence finder at trolling motor.boat  trl very good tires on the ground,new spare tire $400seal skin  cover gose with it.",,5903843720,36.377600,18,-81.487200,Jhonson,"https://maps.google.com/maps/preview/@36.377600,-81.487200,16z",J150plsio,$8400,power, (West jefferson),Ranger boat,https://boone.craigslist.org/boa/5903843720.html,2001
7,good,,2016-12-03 10:39,"Nice Pearson 30 at Watauga Lake. Everything is functional. Perfectly running Atomic 4 gas engine purrs. Decent sails. Roller furling headsail with UV. Clean and sailed weekly. Rigging is all good. Boat is not in bad shape but you could definitely polish it up and make it really nice with a little finish work. Galley w alcohol 2 burner. Head, private v-berth cabin up front sleeps 2. Pressurized water to sinks in galley and head.  Berths for 2-4 people in saloon. Nice responsive tiller steering turns on a dime. Fast boat, great for racing and sleeping on the lake. All lights have been changed to LED. Everything works. GPS and sonar, whisker pole, life jackets, etc.Slip paid through January",0,5903531773,,30,,1974 / Pearson,,Pearson 30,$4000,sail, (Watauga lake),Nice Pearson 30  4000 OBO,https://boone.craigslist.org/boa/5903531773.html,1974
8,,,2016-12-03 08:52,"1996 Bombardier GTX Sea Doo. 3 seater. Runs but has low compression. Trailer sold separately or make offer to purchase together. Jet ski, personal watercraft, wave runner",,5883358660,,10,,Bombardier,,GTX,$900,power, (Crumpler),1996 Sea Doo,https://boone.craigslist.org/boa/5883358660.html,1996
9,,"['36.214200', '-81.666000']",2016-12-01 16:27,I have a 1996 astro landau pontoon 20' with brand new Road king trailer! Led lights all over New radio All new furniture Freshly tuned 40hp force motor boat is in great shape just fish more than hang out wud rather have a bass boat! Trade value $6800 cash price $6500 Call or text 33six-977-zero698,,5901220068,36.214200,20,-81.666000,,"https://maps.google.com/maps/preview/@36.214200,-81.666000,16z",,$1,power,,Landau pontoon 20',https://boone.craigslist.org/boa/5901220068.html,
