,condition,coord_pair,date,description,engine hours (total),id,lat,length overall (LOA),long,make / manufacturer,map_URL,model name / number,price,propulsion type,region,title,url,year manufactured
0,,"['33.737700', '-78.978700']",2016-12-20 20:51,"2008 RINKER 192 FRESHWATER USE THIS IS THE PERFECT SIZE BOAT, LOTS OF ROOM, EASY TO LOAD PLENTY OF POWER TO TUBE OR SKI BOAT GETS UP ON PLANE QUICKLY MERC 4.3 MOTOR UPGRADED MOTOR LIKE NEW TRAILER INCLUDED LOTS OF ROOM LARGE SWIM PLATFORM 4 BLADE STAINLESS PROP WRAP AROUND SEATING BOW SEATING AREA WITH FILL IN CUSHION SNAP DOWN CARPET LIKE NEW SNAP DOWN BOW AND COCKPIT COVERS LIKE NEW BIMINI TOP LIKE NEW REAR WALK THRU (no climbing over seats) CAPTAIN AND PASSENGER SEATS WITH BOLSTERS CD STEREO MP3 GEL COAT IS PERFECT VERY NICE GRAPHICS BOAT RUNS AND LOOKS LIKE NEW CALL ME TO SEE show contact info",,5921227269,33.737700,19,-78.978700,,"https://maps.google.com/maps/preview/@33.737700,-78.978700,16z",,$13900,power, (Myrtle Beach),2008 RINKER 192 EXCELLENT CONDITION,https://charlotte.craigslist.org/boa/5921227269.html,
1,excellent,"['35.069760', '-81.071334']",2016-12-20 20:18,"*** Christmas BOAT Sale! *** Christmas Fishing Boat Sale! 2000 22' Offshore Triton Center Console Fishing boat with Mercury Optimax 225HP with trailer for $14000! Boat Valued at $18,500. Boat just serviced on 7/16/15 at Marine Service Center. 227 engine hours, per MSC computer diagnostics. My Boat service records come with boat. Boat & Trailer Valued at $18,500. Runs great. Just serviced. This boat would cost $50,000+ new. NADA value - $17530. Boat price is $14000! Please see website & buy boat online at: http://hhihomerentals.com/Boat/BoatSale.html 2000 22' Offshore Triton Center Console fishing boat with 225HP Mercury Optimax XL -2000 Engine serial #0T019515 for sale by owner for $14000 with EZ loader trailer. 2000 225XL OP 227 Engine Hours, as per MSC computer diagnostics. Just serviced on 7/16/15! 50mph! Max rpm - 5750 Boat weight - ~ 3000 lbs. Beam - 8' Hull Material - Fiberglass $18,000 boat value. Trailer Tire size - ST205/75R14 Commodore steel belted radials New - 7/15/14 installed at Brian's Tire. $500 value Tandem Al Trailer - 2000 EZ Loader Weight - ~ 1000 Lbs. $2500 value VHF RADIO - SI-Tex ultimate (Not CB radio) Lowrance LMS-480m (GPS, depth, speedometer, fish & bottom finder) Has a external gas filter added to boat. Batteries: 2 new - 7/16/15 Interstate deep cycle marine batteres - 1000 cold cranking amps Buy boat online: http://hhihomerentals.com/Boat/BoatSale.html",227,5911934820,35.069760,22,-81.071334,Offshore center console / Triton,"https://maps.google.com/maps/preview/@35.069760,-81.071334,16z",Center console fishing boat,$14000,power, (Lake Wylie),"XMas Sale 22' center consol fishingboat, trailer, 225Hp outbrd",https://charlotte.craigslist.org/boa/5911934820.html,2000
2,,"['34.749000', '-80.761600']",2016-12-20 20:02,"I have a 1996 sea doo ran great during the summer, took it out winterrised it and messed around and got a new one. This one is a 3 seater and with 3 larger people 175-200 lbs will run 55mph and by my self will run 65-70. Have the tittle for both boat and the trailer and the trailer alone is with 400$. It does not have stickers it's been in a private  pond/lake sence 2007 and didn't need stickers Bc I owned the property. But all taxes are payed and you just got to pay 11$ to get the new ones. I need it gone! I have 2 newer tires on it there not the ones in the picture! 800 obo Seadoo, jetski, jet ski, boat, summer, xp",,5927576612,34.749000,10,-80.761600,,"https://maps.google.com/maps/preview/@34.749000,-80.761600,16z",,$800,power, (Lancaster),jet ski,https://charlotte.craigslist.org/boa/5927576612.html,
3,excellent,[],2016-12-20 19:42,"Selling my two sea do sparks, one has 25-30 hours, the other one has 30-35 hours, not sure, they are 2015, we bought them new in lake norman, they have covers, double trailer, really fun and a gas tank will go for the entire weekend, the fill up with 15 dollars, awesome. Price is firm and serious inquires only please, they are in a storage in Huntersville and we can take them to the water if needed.",35,5927556805,,9,,Sea Doo,https://maps.google.com/?q=loc%3A+Stonemarsh+Ct+Charlotte+NC+US,Spark,$9800,power, (Charlotte),Sea Doo Spark,https://charlotte.craigslist.org/boa/5927556805.html,2015
4,,"['34.925100', '-80.727800']",2016-12-20 19:37,This kayak seat for people with disabilities can be used for a kayak or canoe. I purchased it directly from the owner several years ago and have never used it. His website is www.creatingability.com There are no prices on the website for some reason - you have to call to get pricing.,,5927551816,34.925100,1,-80.727800,,"https://maps.google.com/maps/preview/@34.925100,-80.727800,16z",,$275,human, (Waxhaw),Kayak seat for disabilities,https://charlotte.craigslist.org/boa/5927551816.html,
5,,,2016-12-20 19:35,2013 Load Rite  Aluminum Trailer Model 5S-AC25T6000102LTB1 No Help Needed To Sell No Scamers Load Rite Venture Road King Magic Tilt Loadmaster EZ Loader Aluminum Trailer Boat Trailer,,5918466432,,27,,Load Rite,,,$2650,power, (Matthews),Load Rite Trailer,https://charlotte.craigslist.org/boa/5918466432.html,2013
6,good,"['35.401100', '-80.869500']",2016-12-20 19:10,"2005 Bayliner 249SD with Trailer.  Great for water sports. Runs great!! Seats 11-13 people. Key Features Enclosed head compartment allows plenty of privacy and lets you stay out playing longer Ski / wakeboard locker Meets or exceeds all applicable U.S. Coast Guard safety standards Dash panel: custom form brow, non-glare Center entry transom: with molded fiberglass entry Transom platform: integrated, with 3-step retractable ladder",,5904710270,35.401100,25,-80.869500,Bayliner,"https://maps.google.com/maps/preview/@35.401100,-80.869500,16z",249SD,$13500,power, (Huntersville),2005 BAYLINER 249SD,https://charlotte.craigslist.org/boa/5904710270.html,2005
7,good,,2016-12-20 18:58,1997 Allison craft copy 1984 85 xs power trim fun and fast have papers on boat and trailer,60,5892664660,,135,,Allison copy,,13.5,$3100,power, (Mooresville),1997 13' Allison copy,https://charlotte.craigslist.org/boa/5892664660.html,1997
8,excellent,"['34.636900', '-82.740600']",2016-12-20 18:29,"1998 Regal 22 foot Deck Boat, New Vortex V-6 Engine, Snap out Carpets, Full cover for the boat, More Storage than I ever saw in a boat, Raymarine Fish Finder, GPS, and many other Electronics, CB Radio.Aluminum Dual Axle Trailer. Mercruiser Alpha I Gen II Outdrive. 205 HP. $11,500 OBO.   BEAUTIFUL BOAT, RUNS GREAT!",0,5901463091,34.636900,22,-82.740600,Regal,"https://maps.google.com/maps/preview/@34.636900,-82.740600,16z",,,power,,"1998 Regal Deck Boat, with a new engine",https://charlotte.craigslist.org/boa/5901463091.html,1998
9,like new,,2016-12-20 18:27,"Excellent condition, only used a handful of times. Paid 1200 new without the paddle, life jacket, and rod/cooler holder. Asking 800 obo",,5927476848,,115,,wilderness systems,,ride 11.5,$800,human, (concord nc),kayak wilderness system,https://charlotte.craigslist.org/boa/5927476848.html,2014
