,condition,coord_pair,date,description,engine hours (total),id,lat,length overall (LOA),long,make / manufacturer,map_URL,model name / number,price,propulsion type,region,title,url,year manufactured
0,,,2016-12-20 19:49,"I have a 1995 nitro bass boat for sell,it is 17' and has a nice tracker trailer,115hp mariner tracker motor,it is a 170tf rick clunn editon,has new garmen echomap lcr,tilt and trim that works from 3 places,rod box and front and rear dry lockable storage,new deep cycle battiery,has new wheels and tires also 2 spare wheels and tires,has on board charger for batteries,foot control trolling motor,recent tune up,new water pump..$4000.00 may trade for an old car from the 60's prefer chevy 2door.Imay also trade for an old panel truck.I will be around most of the week before Christmas .don't know why someone flaged my ad .I work a lot and cant always get back to everyone.sorry",,5927546302,,17,,,,,$4000,power, (mcleansville),nitro boat,https://greensboro.craigslist.org/boa/5927546302.html,
1,,,2016-12-20 19:34,2013 Load Rite  Aluminum Trailer Model 5S-AC25T6000102LTB1 No Help Needed To Sell No Scamers Load Rite Venture Road King Magic Tilt Loadmaster EZ Loader Aluminum Trailer Boat Trailer,,5918467401,,27,,Load Rite,,,$2650,power, (Matthews),Load Rite Trailer,https://greensboro.craigslist.org/boa/5918467401.html,2013
2,fair,"['35.796000', '-79.551400']",2016-12-20 16:34,16' ft long 5 1/2' ft wide All fiberglass Does not have a trailer with it interior wood needs to be replaced but novholes in fiberglass,,5927333918,35.796000,16,-79.551400,,"https://maps.google.com/maps/preview/@35.796000,-79.551400,16z",,$100,power, (Liberty),Boat for sale,https://greensboro.craigslist.org/boa/5927333918.html,
3,like new,,2016-12-20 15:55,2006 Sea Doo GTI 4TEC Personal Watercraft with 210 hrs on motor. This is a one owner unit that has never been in saltwater. Comes with trailer and cover and is in exceptional condition. Can be seen at Mann Marine 101 Old Linville Rd Kernersville NC 27284. show contact info,210,5927277942,,10,,Sea Doo/Bombardier,,GTI 4 TEC,$4500,power, (Kernersville),2006 Sea Doo GTI 4TEC Personal Watercraft,https://greensboro.craigslist.org/boa/5927277942.html,2006
4,like new,"['36.022000', '-79.782100']",2016-12-20 14:26,"Basically brand new, only has 98 Hours on it. For more information please text show contact info",98,5927142674,36.022000,4,-79.782100,Honda,"https://maps.google.com/maps/preview/@36.022000,-79.782100,16z",,$5200,power,,2005 Honda Turbo Jet ski,https://greensboro.craigslist.org/boa/5927142674.html,2005
5,good,"['35.848800', '-79.801800']",2016-12-20 14:09,2004 Brunswick Boat for sale by owner.  Boat in good condition. V6 GM engine.  Trailer for transportation included.  6 lifejackets included (both adult and child sizes).,,5927115432,35.848800,17,-79.801800,Brunswick,"https://maps.google.com/maps/preview/@35.848800,-79.801800,16z",,$6000,power,,2004 Brunswick Boat for sale by owner,https://greensboro.craigslist.org/boa/5927115432.html,2004
6,,,2016-12-20 13:55,"I'd like to rent out my 36' boat slip (wet) at Bradley Creek Marina. I'm looking for $500 per month, along with a 12 month lease. Price is negotiable for more than a 1 year lease. It's in a great location at the marina, at Pier 1 (slip 39). This pier is on the inside basin and well protected. The slip is close to the bathhouse and shower facilities and has fantastic views of the adjacent Airlie Gardens. Bradley Creek Marina was voted ""Best Marina"" in Wilmington by readers of Encore Magazine. It's very close to the intercoastal waterway and less than 2 miles from the first buoy at Masonboro Inlet, saving you time and fuel. This is a big advantage of the Bradley Creek Marina versus the marinas at Carolina Beach, Hampstead or on the River. For comparison, the Masonboro inlet is 30 to 45 minutes by boat from the marina at Carolina Beach. Another big advantage of Bradley Creek is easy access to the marina itself. Since it's on the mainland, you don't have to fight beach traffic over the Wrightsville Beach bridge, which can be a big headache in the boating months. The marina itself is full-service and has been there since 1964. It has a clubhouse and a bathhouse. It's well protected from storms and hurricanes. Floating concrete docks and walkways offer optimum protection from storm surge. You can stay on your boat for extended weekends. However, you should know that they don't allow long-term live aboards. You can go to Bradley Creek's website (www.bradleycreekmarina.com) to check out the marina on line. If you have a boat smaller than 36 feet and are looking for a slip, we might be able to work a deal. According to folks at the marina (on 3/19/13), they only have a few 28' and 22' slips left for rent and they expect those to be gone soon. Drop me a note or give me a call if you want to talk further.  I'm eager to get it rented as I'm not going to be using it this season. As the owner, I can give you a better rate than the marina can. P.S - If you're interested, I'd consider selling this slip. According to marina personnel, the last 36' wet slip sold for $125,000. Since the board would have to approve any ownership transfer, the price would have to be somewhere in that ballpark. There's also a $750 transfer fee with annual membership dues of about $2000. We can discuss all of this if you're interested in a purchase. Tom Proctor show contact info",,5927057840,,36,,,,,,human,,36' Boat Slip For Rent,https://greensboro.craigslist.org/boa/5927057840.html,
7,good,,2016-12-20 13:08,"1995 Pro Sports 1700CC Center Console powered by Mercury 75 hp oil injected Outboard motor. This boat is in good shape and is water ready. Has new steering , control cables, electrical panel, and fully serviced. Also comes with fish finder, stereo , and Bimini top. Galvanized trailer is included with clear paperwork on both. Can be seen at Mann Marine 101 Old Linville Rd Kernersville NC 27284. show contact info",175,5927015652,,17,,Pro Sports,,1700,$4850,power, (Kernersville),1995 Pro Sports 1700CC Center Console,https://greensboro.craigslist.org/boa/5927015652.html,1995
8,new,[],2016-12-20 13:06,"New 2017 Galvanized Pontoon Trailers by LoadRite Don't settle for a painted trailer!! All Trailers are in stock, and ready for your boat! New Single Axle Trailer up to 20ft - $1595 New Single Axle Trailer up to 23ft - $1695 New Dual Axle Trailer up to 25ft - $2195 New Dual Axle Trailer up to 25ft with Brakes - $2595 ***All Trailers are equipped with front boarding ladder*** Twin Lakes Marine in NC Call/Text/Email for more info",0,5927012937,,0,,LoadRite,https://maps.google.com/?q=loc%3A+Satterwhite+Point+Road+at+Wortham+CT+Henderson+NC+US,,$1595,power, (Kerr Lake/Lake Gaston),New 2017 LoadRite Galvanized Pontoon Trailers,https://greensboro.craigslist.org/bod/5927012937.html,2017
9,good,"['35.867300', '-78.538100']",2016-12-20 12:56,"GREAT PROJECT BOAT , 1998 GLASTRON GS249 - VOLVO PENTA 5.7L ENGINE NEEDS WORK - NEEDS NEW ENGINE , CLEAN INSIDE . PLEASE CALL show contact info NO TRADE.                                CHAPARRALSEARAY,STINGRAY,BAYLINER,LARSON,TAHOE,MONTEREY..",300,5917319546,35.867300,25,-78.538100,GLASTRON,"https://maps.google.com/maps/preview/@35.867300,-78.538100,16z",GS249,$2800,power, (RALEIGH),1998 GLASTRON GS249 25FT,https://greensboro.craigslist.org/boa/5917319546.html,1998
10,,,2016-12-20 12:42,14 ft aluminum jon boat. good condition. comes with trailer. no leaks. ready to fish! new wood seats and transom. $550. show contact info,,5901918115,,14,,,,,$550,human, (WINSTON SALEM),jon boat,https://greensboro.craigslist.org/boa/5901918115.html,
11,,,2016-12-20 12:42,johnson 5 hp motor. motor runs good but bottom end needs tiny crack fixed and oil refilled. see pics. just havent got around to messing with it. $75. call show contact info,,5900557245,,2,,,,,$75,power, (winston salem),boat motor for sale,https://greensboro.craigslist.org/boa/5900557245.html,
12,excellent,,2016-12-20 12:13,"2000 Century 2201 Bay Center Console powered by Yamaha 150 ox66 EFI Outboard engine with 358 hrs. This boat is in excellent condition with everything on boat in working order. Comes with Hydraulic Steering, SS prop, Bluetooth stereo, Rod holders, Bluetooth Minn Kota 80 lb thrust I pilot trolling motor, Lowrance HDS 7 Gen 3 touch screen with structure scan, VHF radio, galvanized trailer with 4 new tires. This boat is ready to go. Also has Bimini top. Can be seen at Mann Marine 101 Old Linville Rd Kernersville NC 27284. show contact info",380,5926816044,,22,,Century,,2201,$15995,power, (Kernersville),2000 Century 2201 Bay Boat,https://greensboro.craigslist.org/boa/5926816044.html,2000
13,good,,2016-12-20 12:05,"1989 Four Winns 180 Horizon Runabout boat powered by 4.3 omc cobra . Boat and interior in good shape, floor solid. Has slow leak at outdrive. Motor runs great. Clear paperwork on boat and trailer. show contact info",1,5926909295,,18,,Four Winns,,180,$1995,power, (Kernersville),1989 Four Winns Horizon Runabout,https://greensboro.craigslist.org/boa/5926909295.html,1989
14,,,2016-12-20 11:56,"2 JET SKIS W/DOUBLE TRAILER..BOTH RUN..BOTH YAMAHA 650..YEARS 1992 & 1993..ASKING $1,500.00",,5926895648,,1,,YAMAHA,,650,$1500,power, (ASHEBORO),2 JET SKIS W/DOUBLE TRAILER,https://greensboro.craigslist.org/boa/5926895648.html,
15,excellent,,2016-12-20 09:30,"2004 Century 2000 Center Console powered by Yamaha 200 efi Outboard engine. This boat is in excellent condition. Has new cushions , fishfinder , VHF, and 2016 aluminum trailer. Boat is water ready. Can be seen at Mann Marine 101 Old Linville Rd. Kernersville NC 27284. show contact info",180,5926682870,,21,,Century,,2000,$16995,power, (Kernersville),2004 Century 2000 Center Console,https://greensboro.craigslist.org/boa/5926682870.html,2004
