,condition,coord_pair,date,description,engine hours (total),id,lat,length overall (LOA),long,make / manufacturer,map_URL,model name / number,price,propulsion type,region,title,url,year manufactured
0,good,"['35.865100', '-80.885800']",2016-12-20 16:42,"Bass boat 1997, 75 hp Mariner, depth finders, livewell, 40 plus mph, good boat and motor.  3000.00..14 foot plus engine and trailer tongue--around 18 feet overall.",,5927343885,35.865100,14,-80.885800,Challenger,"https://maps.google.com/maps/preview/@35.865100,-80.885800,16z",sport fisher,$3000,power, (statesville nc),boat,https://hickory.craigslist.org/boa/5927343885.html,1997
1,,"['35.734600', '-81.704200']",2016-12-20 09:40,89 hydra sports x270 powered by Evinrude 150xp. Rod locker. 12/24 volt trolling motor. Lake ready. Great tires on trailor. Gel coat pealing slightly on top. Good carpet.,,5926695291,35.734600,17,-81.704200,Hydra sports,"https://maps.google.com/maps/preview/@35.734600,-81.704200,16z",X270,$5500,power, (Morganton nc),Bass boat,https://hickory.craigslist.org/boa/5926695291.html,1989
2,like new,"['35.483700', '-80.989800']",2016-12-20 09:29,BEAUTIFUL LIKE NEW! 2015 Bennington Pontoon Boat. Only 41 hours. a 2015 EZ Loader trailer is included in the price. 115 hp four stroke yamaha motor. All aluminum under decking for smoother ride. Please call for more details show contact info Located in Denver NC. This is BY OWNER not dealer.,41,5906136189,35.483700,24,-80.989800,Bennington,"https://maps.google.com/maps/preview/@35.483700,-80.989800,16z",24 SCWX,$35000,power, (Denver),2015 Bennington Pontoon Boat 24ft w/trailer,https://hickory.craigslist.org/boa/5906136189.html,2015
3,,"['35.901000', '-81.212400']",2016-12-20 09:15,This is an old but solid 14 ft jon boat. It is pretty wide for its length which makes it more stable on the water. Its 62 inches at top and 46 inches at the bottom. Never ever taken water on. Absolutely no leaks. The wench to pull the boat on the trailer is only about a year old. I have the title and registration for the boat but do not have any paperwork for the trailer. The trailer is old and has rust as you can see but is still solid and does the job. Took this boat on several trips over 300 miles with no issues. The tires are only about a year old and there is a spare that is brand new. I do not have a motor to go with it. Text show contact info for quickest response time. If you decide to call and I don't answer leave a message. Key words: jon boat john boat fishing boat trailer catfishing polar craft,,5892564019,35.901000,14,-81.212400,Polar Kraft,"https://maps.google.com/maps/preview/@35.901000,-81.212400,16z",,$600,power," (Bethlehem, NC)",1965 Polar Kraft 14 ft jon boat and trailer for sale,https://hickory.craigslist.org/boa/5892564019.html,1965
4,good,,2016-12-19 23:42,"I have a 22ft sea Ray signature series 220 open bow with a V8 mercruiser and matching blue double axel trailer. Runs great. Tube, all life vests, wakeboard includes. Has subwoofer and full stereo. Few rips in stitching on seats.  Will put in water for serious buyer. I paid 6000 last summer for this boat. Its valued at 8k, 4000 firm. I had this boat out last week, I just need the money more than the boat.  Call or text show contact info",,5926390003,,22,,,,,$4000,power, (Morganton),94 Sea Ray signature series 22ft,https://hickory.craigslist.org/boa/5926390003.html,1995
5,,"['35.734600', '-81.704200']",2016-12-19 18:50,"I have a 13ft Boston Whaler sport , 2006 aluminum trailer, 40 hp Mercury with power trim, bimini top with stainless steel poles, runs great, good condition for the year, no rot, clean title. If you do not want a 2 stroke, I will sell without motor also,  I have a oversized trailer for sell also. , show contact info may take a 2 axel car trailer in on trade. Fun solid boat $5800",,5901838434,35.734600,13,-81.704200,,"https://maps.google.com/maps/preview/@35.734600,-81.704200,16z",,$5800,power, (Morganton),2001 13ft Boston Whaler sport,https://hickory.craigslist.org/boa/5901838434.html,
6,fair,"['35.463700', '-82.535400']",2016-12-19 16:26,"Parting out 20ft Regency Shallow V deck boat Chevy 350 300HP V8 OMC KING Cobra stern drive, dual axle trailer. Low time only about 200 hours. low time high performance heavy duty marine motor with 4 barrel complete with all accessories. Make offer can hear run. Hoss of a marine engine. Got that hot V8 rumble. Straining at the leash. $2000 OBO Also selling compltete OMC King Cobra stern out drive with hydraulics and gimbal Part or all $1500 OBO. Model 985685 20 ft two axle 5000 lb trailer for above $1500 Please do not send email asking if it is still available. I will take down the add when it is sold. Sell entire boat $2500 OBO great winter project, no upholstery some water damage to wood flooring. The stern drive with gimbal sells on Ebay for over $2000. The trailer is worth over $1500. Basic carpenter skills get you nice boat with low time. New one over $20,000.",,5892908570,35.463700,20,-82.535400,,"https://maps.google.com/maps/preview/@35.463700,-82.535400,16z",,$2500,power,,20 ft DECK BOAT 350 V8 OMC STERN DRIVE parting out,https://hickory.craigslist.org/boa/5892908570.html,
7,,"['35.689500', '-81.538700']",2016-12-19 16:14,1986 Mercury 35 HP with electric start. No power trim. Controls available if needed. Motor runs great and has good compression. Installation available and trade ins welcomed. Have over 60 outboards available from 9.9 to 225 HP Call for details,,5917314326,35.689500,20,-81.538700,,"https://maps.google.com/maps/preview/@35.689500,-81.538700,16z",,$1200,power, (Connellys Springs),1986 Mercury 35 HP Elec start,https://hickory.craigslist.org/boa/5917314326.html,
8,fair,,2016-12-19 11:14,"I am going to let someone have a deal  , needs just a few things in order to get on the water.  today only  $$#300 has clear titles for vessel and trlr . please call show contact info have 50 hp. motor.",,5925440561,,17,,renken,,,$300,power,,1971 renken 17 ft boat & trlr,https://hickory.craigslist.org/boa/5925440561.html,1971
9,like new,,2016-12-19 07:00,This trailer has been completely restored and ready to go. The length can be changed to fit your exact model. Trades considered. Please call Bob with any questions show contact info It has Center storage that is also lockable,,5925175799,,10,,Shoreland&amp;#39;r,,Tandem,$750,human, (Bullet Properties 1093 7th street blvd Hickory NC),1993 tandem adjustable shoreland'r personal watercraft trailer,https://hickory.craigslist.org/boa/5925175799.html,
