,condition,coord_pair,date,description,engine hours (total),id,lat,length overall (LOA),long,make / manufacturer,map_URL,model name / number,price,propulsion type,region,title,url,year manufactured
0,good,,2016-12-20 12:06,I have a 1987 17ft Swann point skiff and trailer for 1700 obo OR TRADE Also have a Bimini top a 75hp outboard motor with controls and center console FOR RIGHT PRICE OR TRADE GUNS ATVS MAN STUFF DURAMAX STUFF FISHING HUNTING OUTDOOR SPORTSMAN GOLF CART BOAT TRAILER,,5926885012,,17,,Swann point,,skiff,$1700,power, (kinston),17ft Skiff For sale it Trade,https://onslow.craigslist.org/boa/5926885012.html,1987
1,new,,2016-12-19 18:56,High end aluminum boat trailer.  Will fit up to 19' boat.  Trailer has never been used.  LED lights and heavy duty winch with strap.  Call or text show contact info between 8 am and 8 pm.,,5926144867,,19,,,,,$2200,human, (Swansboro),19' Aluminum Boat Trailer New,https://onslow.craigslist.org/boa/5926144867.html,
2,,,2016-12-19 12:21,I will haul off any fishing gear you no longer want for FREE! Condition does not matter. I am in the process of going on my own and am on a limited budget. Anything would be appreciated and not go to waste. Thank you for your time.,,5914428977,,1,,,,,,human,,Commercial Fishing Gear WANTED,https://onslow.craigslist.org/boa/5914428977.html,
3,,"['34.770525', '-77.152863']",2016-12-19 06:19,DONE WITH YOUR BOAT OR JET SKI FOR THE SEASON      WANT A NO PROBLEM SPRING START UP   BRING YOUR BOAT TO ME NOW  THE 75 DOLLAR FEE  COVERS  PRESSURE TEST YOUR DRIVE  CHANGE LOWER UNIT OIL  REMOVE PROP GREASE SHAFT   SERVICE BATTERY  GREASE STEERING  FOG CYLINDERS IN MOTOR  AND RUN SPECIAL MIX INTO FUEL SYSTEM  FOR EASY PROBLEM FREE SPRING START UP   GIVE ME A CALL OR DROP ME A LINE TO SCHEDULE YOUR BOAT  COME SPRING YOU WILL BE GLAD YOU DID   THANKS JOHN  WHITE OAK MARINE STELLA NC,,5901230262,34.770525,24,-77.152863,,"https://maps.google.com/maps/preview/@34.770525,-77.152863,16z",,$75,power, (STELLA),OUTBOARD WINTERIZE SPECIAL,https://onslow.craigslist.org/boa/5901230262.html,
4,excellent,"['35.210900', '-78.098300']",2016-12-19 06:02,2010 Nautique 230 with Air Nautique graphics. Great condition open bow boat that is awesome for all activities for the entire family.,,5898850699,35.210900,23,-78.098300,,"https://maps.google.com/maps/preview/@35.210900,-78.098300,16z",,$22512,power,,GREAT CONDITION 2010 Ski Nautique 230 OPEN BOW,https://onslow.craigslist.org/boa/5898850699.html,
5,,,2016-12-18 22:25,"Jon boat looks about 12' with a trailer. Has a 6 HP Johnson outboard that runs good and has a new gas tank. Will include new seats, life jackets, anchor and a cover. I don't have titles for either. Try me on trades.",,5923142222,,12,,,,,$800,power, (Hubert),Jon boat with trailer and 6hp johnson outboard,https://onslow.craigslist.org/boa/5923142222.html,
6,good,,2016-12-18 13:14,1989 26 ft pursuit has 2001 twin Yamaha 250 ox66 all new electronic all new switches boat has been all rewired all new Thur hull fittings all new pumps motors has all been gone tho just serviced and water pumps the boat needs a few things the carpet in the  cabin needs to be redone and needs boat trailer call or text me with any  questions at show contact info,800,5924372210,,27,,Pursuit,,2650,$20000,power, (Holly ridge),1989 pursuit 2650,https://onslow.craigslist.org/boa/5924372210.html,1989
7,like new,"['34.761879', '-77.461541']",2016-12-18 11:16,"Like New Showroom Condition 2014 Garage Kept Carolina Skiff 218 DLV  with 115 Yamaha Four Stroke and Solid Aluminum Trailer with aluminum Mag wheels.  Awesome boat with very low hours and  a modified V hull for a softer ride in the river or  Ocean.....  She is a fast boat with fishing accessories, life preservers, floundering lights, Generator, Sonar with Chirp Technology with side scanning color fish finder. Anchor, fishing poles, cooler, two live wells, Spot light, Custom 500 watt stereo system,  tons of storage with over sized top.... everything you need to take the family boat riding or to do some serious trout fishing inshore or head  off shore to catch some dolphin, kings, and more. 115 Horsepower Yamaha Four Stroke gets excellent gas mileage and carries a transferable extended warranty until  2021 for peace of mind. Just in time for Christmas ... a gift the entire family can enjoy! $23,495.00 Give Allen a call @ show contact info",60,5905609901,34.761879,21,-77.461541,Carolina Skiff,"https://maps.google.com/maps/preview/@34.761879,-77.461541,16z",218 DLV Series,$23495,power, (Jacksonville),2014 Carolina Skiff DLV Absolutely Loaded,https://onslow.craigslist.org/boa/5905609901.html,2014
8,good,[],2016-12-18 10:32,"I have a 1978 16ft.Carolina boat with a 1988 Long galvinized trailer for sale. The boat comes with 2 swivel seats,anchor,bilge pump and a eagle depth finder included. The boat is solid and has been about 80 percent sanded on the outside and is almost ready to paint. The trailer is in good condition overall and comes with a front dolly jack. I have a clear title for the trailer and paperwork for the boat also. I'll take 500.00 for the complete outfit and can be contacted most anytime by phone. Home show contact info Cell show contact info Thanks",0,5920678135,,16,,Carolina,https://maps.google.com/?q=loc%3A+%33%38%32%35+NC+%31%30%32+East+Ayden+NC+US,16ft,$500,human, (Ayden),Carolina Boat-16ft. 1978 with Galv.Trailer,https://onslow.craigslist.org/boa/5920678135.html,1978
9,,[],2016-12-18 10:24,91 model new marine vinal installed except for front seat but have  vinal to ce cover  it new outdrive this year . new cd/mp3/bluetooth raido  4 new speakers 2 8 in. Subs.new Bimini  top new water pump risers are 2 years old trailer is a ezloder 2010 and looks. Rand new no rust tires are new very nice boat for the $  at this moment it wont go into reverse  but its a simple adjustment for my boat Mechanic  sale for full price ill have  it adjusted at my cost  text for more info or pics,,5924166623,,18,,Monterey,https://maps.google.com/?q=loc%3A+Gumbranch+Jacksonville+NC+US,,$3500,power,,91 Monterey  fish/ ski,https://onslow.craigslist.org/boa/5924166623.html,1991
