,condition,coord_pair,date,description,engine hours (total),id,lat,length overall (LOA),long,make / manufacturer,map_URL,model name / number,price,propulsion type,region,title,url,year manufactured
0,,"['35.862200', '-75.643700']",2016-12-20 19:11,"Pair of Cummins 300 hp 6bta diesel engines. They will need rebuilding and both blocks are tore down to the cylinders. All block parts labeled and included. CPL970. Plan on having everything on the block (valve covers down to head to pistons, rods, crankshafts, camshaft, tappets, to the oil pan. Exhaust manifold, injection pump, and elbows. Will need turbos, heat exchanger core, oil cooler, alternator, and bell housing back. Either way if you price a block, head, and all the main parts (x2) this is a deal $8,000 Pick up only. 2five2-2zero7-1880",,5910863309,35.862200,4,-75.643700,,"https://maps.google.com/maps/preview/@35.862200,-75.643700,16z",,$8000,power,,Cummins B series engines for rebuild,https://outerbanks.craigslist.org/boa/5910863309.html,
1,,,2016-12-20 19:11,"90's model 16' Chawk.  Hull is in great shape.  One small spongy area.  50 Mercury.  Runs good.  Galvanized Trailer in great shape.  Ready to go! $2100 - Will negotiate IN PERSON, not over a phone without you having seen it! Would make a great duck boat for someone too. Boat is in Shawboro, NC - google it if you don't know where that is. 2five2-2zero7-1880",,5910862598,,16,,,,,$2100,power,,16' Chawk,https://outerbanks.craigslist.org/boa/5910862598.html,
2,,,2016-12-20 17:22,"CALL FOR SPECIALS!!!! Same day service. Certified Mechanic in Mercruiser, Volvo Penta & Yamaha Outboards, can do Repowers/Rebuilds, with over 20 years experience. Can also transport for you.",,5887744089,,1,,,,,,human,,Boat Repair-WINTERIZATION SPECIAL!,https://outerbanks.craigslist.org/boa/5887744089.html,
3,,,2016-12-20 16:30,"Absolutely beautiful 2001 Carolina Skiff 19 DLX Center Console with front and rear casting decks and rails. Powered by a perfect and very fuel efficient Yamaha 50 hp motor (yes thats plenty of power!). Bimini top, full cover, excellent upholstery. Galvanized trailer also perfect condition. This boat has had two only two owners and has been very well taken care of. I hope to have pics soon. Please email with phone if interested. Thanks.",,5921563953,,19,,carolina skiff,,,$7500,power, (Newport News),Carolina Skiff V19 -  NICE!,https://outerbanks.craigslist.org/boa/5921563953.html,2001
4,,"['36.146474', '-75.741015']",2016-12-20 11:17,.....16ft alumacraft v16 trailer and motor 30hp...1250 20ft kencraft work/fishing boat.and  Trailer... New floor and linex 115 mercury.....3000 obo Net reel separate...but for sale 450 Both have clean titles sold as is,,5926833012,36.146474,20,-75.741015,,"https://maps.google.com/maps/preview/@36.146474,-75.741015,16z",,$13500,power, (Kittyhawk),16ft alum skiff 30hp... 20ft kencraft 115 merc,https://outerbanks.craigslist.org/boa/5926833012.html,
5,new,"['34.699100', '-77.135000']",2016-12-20 07:59,"I build top quality towers and t tops for boats.All are made from top quality anodized aluminium.Each one is built to the customers specs.For more info please call me @ show contact info or go to capepointcustom.com .$2800 is for the first ,third,12th,and 14  picture not including a fiberglass box.   $1800 is for the one that goes on the front of the boat.Other towers are priced according to the options and design chosen by the customer.However my prices are usually a lot more affordable than most shops.Most towers can be built  with measurements provided by you.Then you can either bring me the boat for installation or just pick up the tower and install it yourself(not difficult,takes about 2 hours).P.S.the standard tower shown  is $1700(picture 5 ) and I also build T Tops starting at $1700  Another p.s. the #10 and #11   pics. are a before and after on a 23' parker.Cobia season is soon better hurry!!!!!",,5911889034,34.699100,84,-77.135000,,"https://maps.google.com/maps/preview/@34.699100,-77.135000,16z",,$2800,human, (swansboro),boats- cobia towers,https://outerbanks.craigslist.org/boa/5911889034.html,
6,new,"['34.694626', '-77.068062']",2016-12-20 07:59,"I build top quality T tops and cobia towers for types of boats.The tops are built out of anodized aluminium.The leg sections are 2 inch o.d. pipe and the upper part is the 1 ' pipe.All schedule 40 pipe.Price includes....5 rod holders on the back,canvas(any color you prefer)2 light brackets,antenna mount and installation.If you want an electronics  box it costs an additional $350.The towers vary in price by the design and optional parts you choose.Top quality at lower prices.If interested please call me @ show contact info for more info .Also check us out at capepointcustom.com",,5890784889,34.694626,84,-77.068062,,"https://maps.google.com/maps/preview/@34.694626,-77.068062,16z",,$1700,power, (swansboro),boats t tops and other boat tops,https://outerbanks.craigslist.org/boa/5890784889.html,
7,,"['34.712549', '-77.064972']",2016-12-20 07:58,I make cobia towers for all types of boats.I also do a lot of t tops.About 70% of the boats I work on are c.skiffs so I know a lot about them.If you would like to transfer your plain skiff into a fishing machine please call me @ show contact info Also visit capepoint custom.com Thanks......................P.S. the price does not include the electronics box or an upper control box.The other pics. are some of my other creations.,,5911888506,34.712549,84,-77.064972,,"https://maps.google.com/maps/preview/@34.712549,-77.064972,16z",,$2800,human, (swansboro),cobia towers for carolina skiffs,https://outerbanks.craigslist.org/boa/5911888506.html,
8,good,,2016-12-19 19:17,"1996 sea doo xp big and very fast jet ski , was running , now wont turn over,  carbs cleaned fuel system cleaned from lake anna no corrosion at alll 787 cc 110 carburated engine , dont know whats wrong, no time to find out!!  comes on a trailer and very cheap@ $ 475.00 call show contact info p-lease leave a message delivery available if paid for in advance",,5926167702,,9,,sea doo,,xp,$475,power, (chesapeake),big sea doo two seater xp fresh water ski  project !!,https://outerbanks.craigslist.org/boa/5926167702.html,1996
9,excellent,,2016-12-19 17:11,"I have owned this vessel since 2000 & have made several upgrades. Both engines & generator have been repowered. E120 Raymarine chartplotter/gps, Sony stereo system w/amps. All exterior seats have been redone along w/some canvas. Swimplatform pedistal post can be attached to add grill/stand up tuna station/chair w/gimble. Swimplatform has Hurley Davits for a 10' Avon rib w/ 8hp Yamaha . Inside the floors along with the birds eye maple table have been redone. The frig & freezer have been replaced. Both a/c units also replaced w/added direct ac vent @ the helm.I've installed a Bose stereo sys. Queen Temperpedic matress in aft stateroom & memory foam matress in front stateroom. Vessel is currently shrink wrapped & is dry docked at my property. Many more extras, dock lines, bouys etc. Specs Builder: Tiara Dimensions LOA: 47 ft 6 in Beam: 14 ft 6 in LWL: 40 ft 0 in Maximum Draft: 3 ft 0 in Displacement: 26500 Engines Engine Brand: Cummins Engine Model: 6C8.3TA Cruising Speed: 28 mph Maximum Speed: 34 mph Engine Hours: 180 Total Power: T-450HP X 2(900HP) Oil changing sys for all Tanks Fuel: 444 Fresh Water: 160 Holding: 57 Accommodations Sleeps six with queen aft stateroom and forward master with pedestal bed, Larde dinnette can convert to two single berths, Two seperate heads. Galley Features microwave/convection oven, 3 burner cooktop, Large refrigerator with seperate freezer. Lots of storage Electronics Raymarine Radar W/Open Aray, Auto pilot, Raymarine Cartplotter GPS, Depth sounder, VHF radio, Spotlight, Windlass, Stereo and much more Electrical Full shore power 50AMP or 20 AMP, battery charger, 9KW onan generator W/INVERTER Deck Full enclosure W/Camper top/back",200,5925973872,,48,,Tiara,,4000 Express,$129000,power, (Dartmouth),1995 TIARA 4000 EXPRESS CRUISER Boat Sea Ray Viking Ocean,https://outerbanks.craigslist.org/boa/5925973872.html,1995
