,condition,coord_pair,date,description,engine hours (total),id,lat,length overall (LOA),long,make / manufacturer,map_URL,model name / number,price,propulsion type,region,title,url,year manufactured
0,,,2016-12-20 20:43,I've got a 21.5 foot cobia center console for sale. Boat is in good shape. Has a yamaha 200 v6 saltwater series motor runs strong . No isuess with the boat other then could use new  upholstery. Only has around 90hrs on the boat had it out every weekend this summer. Don't need to sell just seeing what's out there all my buddies went an got boats this year so won't use as much this summer. Let me know if interested thanks Jake. 15000obo,,5907982103,,21,,,,,$15000,power, (Franklinton),21.5ft center console,https://raleigh.craigslist.org/boa/5907982103.html,
1,excellent,,2016-12-20 20:40,"2004 Robalo R235 Walkaround with Yamaha 225 4 Stroke Outboard with very low hours - hourmeter indicates 283 and 2011 Magic Tilt TALS2482 Aluminum Trailer. Seastar Hydraulic Steering, Lenco Marine Trim Tabs, Raymarine VHS Radio, Windlass with Fortress Anchor, Lowrance Elite-7HDI (Conventional Sonar, Downscan, Chart, Navigation, GPS, Micro SD, Combo), Marine Toilet, Cabin Heat, Bridge/Deck/Cabin Lighting, Large LCD Lighted Vortex Livewell, Refrigerator 12V, Sink, Table, Forward Bunks, Bridge Curtains/Enclosure, Freshwater Washdown and more. Freshwater use in Gaston Lake and Jordan Lake. Robalo makes one of the best if not the best boat in this class. Great boat/engine/trailer combination. Fuel Capacity Approx. 142 gallons. Clear title. Check out the following boat test. Boating Magazine Boat Test on Robalo R235 at following link: http://forum.robalo.com/publications/Editorials/2003mag/03-R235-BullyBoy-Boating.pdf",,5927595762,,24,,Robalo,,R235,$32500,power, (Moncure),"Robalo R235 Walkaround, Yamaha 225, MagicTilt Aluminum Trailer",https://raleigh.craigslist.org/boa/5927595762.html,2004
2,,,2016-12-20 20:35,"1996 Hydra Sports 175. Evinrude 150 Intruder. Stainless Steel Prop. Minn Kota Auto Pilot Trolling Motor. New First Quality Marine Carpet Professional Installation. Approximately $500.00 worth of Marine AGM Batteries (Group Size 31M), Garage Kept. Well Maintained. Low Hours. Runs Great. Very Fast. Fish/Depth Finder, Electronics, Lights, Live Well and Accessories All Work. Beautiful Boat. Likely the best condition, best looking 1996 Hydra-Sport 175 in existence. Clear title.",,5927608728,,17,,Hydra-Sports/Evinrude,,,$8495,power, (Moncure),"Hydra-Sports 175, Evinrude 150 Intruder, Matching Trailer",https://raleigh.craigslist.org/boa/5927608728.html,
3,,,2016-12-20 20:27,"Contender boat, 35HP Johnson outboard (electric start, remote control and steering), and galvanized trailer. Motor starts and runs well. Boat needs work or replacement.",,5927601021,,14,,Contender/Johnson,,,$895,power, (Moncure),Contender Boat / 35 HP Johnson Outboard,https://raleigh.craigslist.org/boa/5927601021.html,
4,like new,"['36.091500', '-79.364200']",2016-12-20 20:14,"For Sale: 2015 Seafox 240 Viper, fresh and raw water wash-down, Infinity stereo, leaning post with livewell pod, LED lighting package, Silver Shark full hull color, Ultima hardtop with silver shark underside color, Bennett trim tabs with upgraded indicator switch, Garmin 1040xs with GCV 10 ""black box"", Chirp B75 Airmar thru hull transducer and Chirp Side' Vu and Down' Vu transom mounted transducer, Garmin GXM 52 satellite weather and radio antenna, Garmin 94sv with B60 thru hull transducer mounted up front, dual batteries with switch, 2015 Yamaha F300 with 295 Hours, 10"" Atlas jackplate,  Minn Kota 112 I-Pilot trolling motor with batteries and on board charger, 2 10' Blade Power Poles, 2015 Load Rite tandem axle trailer with brakes and spare tire, O'Brian custom full cover . 7 extra rod holders. This boat has been meticulously maintained and I have all the service records. Boat was stored covered under a shed. $68,900.00 -Optional Rigid Industries LED light -Optional Taco outriggers",295,5927588729,36.091500,24,-79.364200,Seafox,"https://maps.google.com/maps/preview/@36.091500,-79.364200,16z",240 Viper,$68900,power,,For Sale: 2015 Seafox 300 Yamaha,https://raleigh.craigslist.org/boa/5927588729.html,2015
5,,,2016-12-20 19:34,2013 Load Rite  Aluminum Trailer Model 5S-AC25T6000102LTB1 No Help Needed To Sell No Scamers Load Rite Venture Road King Magic Tilt Loadmaster EZ Loader Aluminum Trailer Boat Trailer,,5918467667,,27,,Load Rite,,,$2650,power, (Matthews),Load Rite Trailer,https://raleigh.craigslist.org/boa/5918467667.html,2013
6,,"['36.249534', '-75.874157']",2016-12-20 19:19,"16' Starcraft custom heavy duty aluminum boat.  80's model Evinrude that starts and runs great!  They don't make engines that last like this anymore. Electric and pull start.  Well maintained! Galvanized trailer in great shape too.  Comes with a pop up duck blind as well.  Ready to hunt!  Only selling because I have a second duck hunting boat that gets used more.   Decoys pictured not included but I do have a few that I can throw into the deal. $3300.  Located in Grandy, NC Call or text me if you want to come take a look.  Everything is like new.  It is turn key and ready to go.",,5927533147,36.249534,16,-75.874157,,"https://maps.google.com/maps/preview/@36.249534,-75.874157,16z",,$3300,power, (Currituck),16' Duck Boat,https://raleigh.craigslist.org/boa/5927533147.html,
7,like new,[],2016-12-20 18:26,"Selling my 2003 Stingray 220LX bow rider and trailer for $11,000obo.  It is in immaculate condition, hardly used.  NADA values this boat between $10,000-12,000 It has the 5.0 carborated motor with 125hrs on the boat.  The boat has a bimini top, 4speaker Kenwood AM/FM CD, in deck cooler and storage, fire extinguisher, power stering and trim, a dozen or so life jackets of various sizes, 2 sets of water ski's, ski and mooring rope and rear view mirror.  It is 100% fresh water used and garage kept. The trailer is a 2003 Wesco tandom trailer with hydrolic brakes, tires are in great condition with better than 80% tread left. I need to sell fast!  First one with dead presidents (or sec of state) gets it.",125,5927475614,,22,,Stingray,https://maps.google.com/?q=loc%3A+I%38%35+Oxford+NC+US,220LX,$11000,power, (919),2003 Stingray 220LX,https://raleigh.craigslist.org/boa/5927475614.html,2003
8,excellent,"['35.814392', '-78.602236']",2016-12-20 18:10,"For sale 99 Yamaha 760 2 stoke wave runner and galvanized trailer.  Runs great, very Fast, low hours.  I got it from the original owner and I only used it 3 times.  Always winterized and serviced.   Paint and fiberglass in excellent condition!  These Yamaha 2 strokes are known for there reliability!   $1900 Call or text 919608-138l Seadoo sea Doo do Polaris jetski jet-ski wave-runner 4 stroke",,5921700439,35.814392,6,-78.602236,,"https://maps.google.com/maps/preview/@35.814392,-78.602236,16z",,$1900,power, (Raleigh),99 Yamaha 760 wave runner 3 seater,https://raleigh.craigslist.org/boa/5921700439.html,
9,fair,"['35.795399', '-78.378181']",2016-12-20 17:40,"This is a 1979 Stamas 21' fiberglass cuddy cabin in very solid shape.  Marine head in cuddy and upholstery is in excellent shape.  Needs bifolding door to cabin.  I have one that can be cut down.  Newly upholstered side panels for cockpit need to be installed , then the controls.  New fuel fill line needs installed.  New breaker panel is in place, wiring needs to be finished.  Nice pedestal seat ready to be mounted.  Motor is a 235 Evinrude and had 117-120 #s of compression when serviced some years ago.    Has new ignition switch, control cables, trunion bushing, power packs, carb kits, water pump and spark plugs.  Carbs will need to be cleaned.  Trim and tilt work but are slow.  Includes a very solid tandem axle trailer by Cox. I might consider separating the motor from the boat and trailer.  We could discuss. Also might consider interesting trades like a small catamaran power boat, etc.   Title for trailer and boat registration on hand.  When restored this boat it worth over $8000! Interesting trades considered.    I prefer that you call me on my cell during the hours of 8AM to 9 PM rather than email, but email if you must.  At any rate I will not respond to emails that do not have a phone number in them nor to emails asking if the item  is still for sale since most of these are phishing expeditions.  If this item is still posted, it is still for sale.   I want to be of service to you, but do not want to get mass quantities of spam. Call Vernon @ show contact info Thanks",,5918122939,35.795399,21,-78.378181,Stamas,"https://maps.google.com/maps/preview/@35.795399,-78.378181,16z",,$2500,power," (Wendell, NC)",21' Stamas Offshore Cuddy,https://raleigh.craigslist.org/boa/5918122939.html,
