,condition,coord_pair,date,description,engine hours (total),id,lat,length overall (LOA),long,make / manufacturer,map_URL,model name / number,price,propulsion type,region,title,url,year manufactured
0,excellent,,2016-12-20 20:40,"2002 express boat with 90hp. Yamaha  2 stroke motor , has a 24 volts trolling motor and with 2 depth recorders for $7800.00. If interest call show contact info",,5900075816,,17,,,,,$7800,power, (Leland),Express Boat,https://wilmington.craigslist.org/boa/5900075816.html,
1,good,"['33.550700', '-79.052800']",2016-12-20 20:20,"Nissan 25 hp Outboard Boat Motor 20"" Engine 2-Stroke Controls Very low Hours Engine,runs great and is ready to go. Compression is good. prop included. Side mount control box is included, Good Cosmetically with normal sign of use,some small scratches.see pictures of the actual Motor. The engine is sold as is and you are encouraged to have the engine surveyed anytime before committing to purchase it.Feel free to as with any question or call me anytime show contact info",,5927594697,33.550700,20,-79.052800,,"https://maps.google.com/maps/preview/@33.550700,-79.052800,16z",,$299,power, (Murrells Inlet SC),"Nissan 25 hp Outboard Boat Motor 20"" Engine 2-Stroke",https://wilmington.craigslist.org/boa/5927594697.html,
2,good,"['33.550700', '-79.052800']",2016-12-20 20:08,"Aluminum Sailboat Main Mast 27' and 10' Complete set with wiring and sail, we know nothings about it, Sold as pictured as is, Must go, please call show contact info",,5927583169,33.550700,27,-79.052800,,"https://maps.google.com/maps/preview/@33.550700,-79.052800,16z",,$299,sail, (Murrells Inlet SC),Aluminum Sailboat Main Mast 27' and 10' Complete,https://wilmington.craigslist.org/boa/5927583169.html,
3,,,2016-12-20 19:33,2013 Load Rite  Aluminum Trailer Model 5S-AC25T6000102LTB1 No Help Needed To Sell No Scamers Load Rite Venture Road King Magic Tilt Loadmaster EZ Loader Aluminum Trailer Boat Trailer,,5918524473,,27,,Load Rite,,,$2650,power, (Matthews),Load Rite Trailer,https://wilmington.craigslist.org/boa/5918524473.html,2013
4,,"['34.166300', '-77.872300']",2016-12-20 19:15,"The ski starts right up and runs great.  It does have some scuffs and scratches but no cracks or anything like that.  It only has about 140hrs.  It's a 4 stroke and fuel injected so it's super reliable.  The trailer is not included, but I'd be willing to sell it with the ski if you need one.  The price is firm.",140,5893300934,34.166300,12,-77.872300,Yamaha,"https://maps.google.com/maps/preview/@34.166300,-77.872300,16z",Waverunner,$1950,power, (Wilmington),Yamaha Jetski / Waverunner 4-Stroke,https://wilmington.craigslist.org/boa/5893300934.html,
5,,"['33.740222', '-78.901148']",2016-12-20 18:51,"12' Harbor MFG V-Hull boat with trailer. Boat has new paint, but I am also using boat for Trout fishing at this time so it is not perfect. Has removable wood slat floors for easy cleaning,  carpeted  front deck with hatch, 2 Clamp-on fold down swivel seats, 2 aluminum oars and anchor. No leaks and new paint on interior. Trailer has new lights, new wiring and tires have good tread. Also have 55lb thrust, almost new, Prowler trolling motor with battery that can be added for $150. Need more power, I have an 8hp Nissan that runs great and has just been serviced. $800. Total package with everything above $1700.00. CASH ONLY, scammers will be ignored.",,5917460934,33.740222,12,-78.901148,,"https://maps.google.com/maps/preview/@33.740222,-78.901148,16z",,$950,human, (Myrtle Beach),12' V-Hull Boat and Trailer,https://wilmington.craigslist.org/boa/5917460934.html,
6,good,"['33.740293', '-78.901191']",2016-12-20 18:50,"18' Hydra Sport CC for sale. 1986 Hydra Sport CC, 2003 Yamaha 90hp and a 2010 trailer for sale. 18' Hydra Sport; has bimini top, 11 rod holders, 2 live wells and a Lowrance  GPS/DEPTH FINDER. Driver's cooler seat has been replaced with leaning post with 30 gallon live well with lights. Boat has transom lights, deck lights, live well lights and docking lights, set up for day or night fishing. Front live well is built into center console and has a padded top to sit on. Front deck has plenty of storage or can be setup for batteries for trolling motor, (already wired). Also has mount and chair for fishing from bow. Dual battery system with switch, hydraulic steering, bilge pump and electric winch for anchor. 2003 Yamaha 90 hp 2 stroke with power tilt/trim and stainless steel prop. Oil injection has been removed, but can be reinstalled if you prefer. Outboard was serviced this summer, 2016. 2010 aluminum trailer with new cross members, new bunks, spare tire with mount, tires, leaf springs and axle are in good shape. This has been a great fishing boat, but it is time to down size again. Have titles for boat and motor, SC does not require or issue titles for trailers. Cash or trade! Scammers will be ignored.",,5911259344,33.740293,18,-78.901191,,"https://maps.google.com/maps/preview/@33.740293,-78.901191,16z",,$6000,power, (Myrtle Beach),"1800CC Hydra Sport, 1986",https://wilmington.craigslist.org/boa/5911259344.html,1986
7,good,,2016-12-20 18:48,Custom Top with rod holders. Re-powered with 200v-6 Evinrude VRO. NEW fuel filter/water separator. Two NEW Deep Cycle Marine Batteries. Power trim & tilt. 83gal fuel capacity. Depth finder.  Side console. Cuddy cabin. Trailer comes with boat.,,5924422124,,21,,Chris Craft,,"""Sea Hawk""",$3750,power," (Wilmington, NC)","21.5ft. Chris Craft ""Sea-Hawk""",https://wilmington.craigslist.org/boa/5924422124.html,
8,excellent,[],2016-12-20 18:46,"Turnkey Charter Fishing Business for sale. Complete business and equipment, 2004 24' Carolina SkiffDLVX maintained to the max,  07 Yamaha 115hp motor, 1400 hours maintained professionally, Wesco aluminum boat trailer just rebuilt, all gear for inshore/nearshore fishing operations, and professional SLIP in CB Town Marina (your storefront lease, easy transfer to you or your company name). Marina undergoing extensive expansion/rebuild, will be like new March 15th! No better time to get started in a growth industry.....Bring your printed flyers, a smile, your fishing and boating skills, and live the life! No curious idle please... if interested text and our correspondence can confidentially begin. Much more information available.",1400,5921443505,,24,,CarolinaSkiff,https://maps.google.com/?q=loc%3A+%31%30%30+Carl+Winner+Carolina+Beach+NC+US,DLVX,$24500,power, (Carolina Beach),Charter fishing business for Sale,https://wilmington.craigslist.org/boa/5921443505.html,2004
9,excellent,"['27.744619', '-82.627831']",2016-12-20 18:44,"Please see extensive description, details, history and pictures on ***TAMPA craigslist*** with same posting title...!!!  THE BOAT is  BEAUTIFUL and ready to sail....she is berthed in St. Petersburg Fl.",1100,5927495781,27.744619,38,-82.627831,Heritage Yachts,"https://maps.google.com/maps/preview/@27.744619,-82.627831,16z",West Indies 36,$36000,sail, (ST PETE FL.),36 WEST INDIES SAILBOAT.... BEAUTIFUL...,https://wilmington.craigslist.org/boa/5927495781.html,1976
10,,"['34.036600', '-77.896300']",2016-12-20 18:38,This slip is in the beautiful Harbour Point community. The slip is one of the only DUAL FINGER slips available. Waterfront pool with clubhouse facilities included. Electric and large dock box with it. As low as eight dollars a foot (boat length) for one year contract!,,5927489007,34.036600,45,-77.896300,,"https://maps.google.com/maps/preview/@34.036600,-77.896300,16z",,,power,,45' Wet Boat Slip for Rent ( Harbour Point Carolina Beach ),https://wilmington.craigslist.org/boa/5927489007.html,
11,,,2016-12-20 18:18,Runs great New battery Fresh oil change and filter 4 stroke Reverse $3500 Will trade for F150 2004 and newer. Same value or I'll pay the difference Jet ski Jetski Seadoo Sea doo,117,5905167428,,11,,Yamaha,,Vx1100,$3500,power,,2008 Yamaha waverunner vx1100. CHRISTMAS SPECIAL,https://wilmington.craigslist.org/boa/5905167428.html,2008
12,,"['33.965400', '-78.035900']",2016-12-20 17:50,"New <1yr old never in water w/paddle (image is from Old Town wed site, representative) Lists for $399 Material:	Single Layer Polyethylene Length: 9' 6""  Width: 28.5""  Cockpit: 19"" x 39.5"" Deck Height: 13"" Weight: 37 lbs Max Load Range: 225-300 lbs",,5927432431,33.965400,9,-78.035900,,"https://maps.google.com/maps/preview/@33.965400,-78.035900,16z",,$300,human, (Southport),Old Town Heron 9 Kayak,https://wilmington.craigslist.org/boa/5927432431.html,
13,excellent,,2016-12-20 17:37,"1995 ziegelmayer 470 2 man racing Olympic sailboat. This is a 2 man racing boat, but can be easily handled by one person. I am including a fairly new trailer ($800 new) in the price. It has 3 masts, and a variety of sails. This boat passed all specifications to race in the U.S. Olympics in the late '90's! I hurt my shoulder in a motorcycle accident and can no longer enjoy the boat. LOA 15ft 5in Beam 5ft 7in weight 260 lbs mast height 22 ft",,5908052803,,16,,470/ ziegelmayer,,,$2500,sail, (Wilmington),470   Olympic racing sailboat,https://wilmington.craigslist.org/boa/5908052803.html,1995
14,good,"['34.370362', '-77.627592']",2016-12-20 17:09,"Dyer 29, New England winter stored boat until 2016. No blisters, strong 4-53 Detroit diesel motor. Good bones, needs restoration. Project started by removing fly bridge and house as headroom was only 5'9"". Bridge cowling fabricated. Bimini top and camper canvas as new. [see pix]Plans have changed so make an offer. Asking $29,900. Call Peter show contact info",4000,5921709408,34.370362,29,-77.627592,Dyer boats,"https://maps.google.com/maps/preview/@34.370362,-77.627592,16z",Express,$29900,power, (Topsail Is),1968 Dyer 29,https://wilmington.craigslist.org/boa/5921709408.html,1968
15,,[],2016-12-20 16:17,"excellent running boat, structurally sound transom and floors. great fishing boat excellent gel-cote tilt trim ,lights all work. show contact info trailer is excellent",,5897214137,,19,,,https://maps.google.com/?q=loc%3A+%37%32%33%30+mrytle+grove+rd+wilmington+NC+US,,$3300,power, (wilmington),19 aqua sport/ 115 evirude,https://wilmington.craigslist.org/boa/5897214137.html,
16,,[],2016-12-20 16:16,"hull: 1990 super clean cuddy with all cushions, new bottom paint. new wiring, lights, bilge,  live well, wipers; horn, radio, garmin. bimini and enclosure skirts. built in tackle draws, teak louver doors. Motor: yamaha 175 lots of service records. runs well. tilt trim/ ss prop. turnkey ready, trailer : strong frame , rollers , show contact info",,5888550869,,20,,,https://maps.google.com/?q=loc%3A+%31%30%38+Lambs+ct+wilmington+NC+US,,$4500,power, (wilmington),20 grady/ yamaha 175,https://wilmington.craigslist.org/boa/5888550869.html,
17,,[],2016-12-20 16:06,"This is a 16' Bass Tracker Pro Series boat with an Mariner 20 HP motor. As you can see from the pictures, the boat is not only in great shape but also that the boat hasn't been used much. Motor has very low hours. New fuel tank, new battery, new trailer rims, new tires, motor doel fin and new trailer jack. The boat has nav lights, paddle, live well, PLENTY OF STORAGE, trolling motor, etc. This isn't a distress sale, don't bother with low ball offers. If you want a great boat that will get you where the fish are and back, this would be perfect. Boat can be viewed at Dana Sports in Ocean Isle Beach, NC where it is stored most of the time.",,5927294186,,16,,Bass Tracker,https://maps.google.com/?q=loc%3A+%36%38%35%35+Beach+Dr+SW+Ocean+Isle+Beach+NC+US,Pro Series,$3250,power, (Ocean Isle Beach),Bass Tracker Pro Series,https://wilmington.craigslist.org/boa/5927294186.html,
