,condition,coord_pair,date,description,engine hours (total),id,lat,length overall (LOA),long,make / manufacturer,map_URL,model name / number,price,propulsion type,region,title,url,year manufactured
0,,,2016-12-20 16:34,"Brand new Aventura feel free 110 kayak with paddle! Lime green, never been in water! 650.00",,5927333404,,10,,Aventura,,Feel free 110,$650,human, (Clemmons),Aventura Feel Free 110 Kayak,https://winstonsalem.craigslist.org/boa/5927333404.html,
1,excellent,"['36.127700', '-80.653000']",2016-12-20 15:06,Brand new 13 foot vibe sea ghost fishing kayak. Has not been on the water yet. Several assecories added. Comes with a brand new kayak trailer also.,,5927206110,36.127700,13,-80.653000,Vibe,"https://maps.google.com/maps/preview/@36.127700,-80.653000,16z",Sea ghost 130,$1250,human, (Yadkinville nc),Kayak,https://winstonsalem.craigslist.org/boa/5927206110.html,2016
2,,"['35.785941', '-80.417866']",2016-12-20 13:00,16 foot boat with a 115 horsepower Evinrude 2 stroke motor everything on the boat works great the boat hole is in good shape along with everything else on the boat... the motor is in great shape has low hours will fire right up and run no problem has hummingbird dept finders front and back and also has brand new fish finders front and back. has brand new village pump it has live whales in front and back. Any questions feel free to text anytime or call during daytime hours contact Jamie at show contact info ....2500 obo,,5927002063,35.785941,16,-80.417866,,"https://maps.google.com/maps/preview/@35.785941,-80.417866,16z",,$2500,power, (Lexington),16 ft boat 115hp great condtion,https://winstonsalem.craigslist.org/boa/5927002063.html,
3,,,2016-12-20 12:42,14 ft aluminum jon boat for sale. it has no leaks. new wood on transom and seats. good condition. ready to go fishing. it comes with galvanized trailer too. $550. show contact info,,5901919888,,14,,,,,$550,human, (WINSTON SALEM),jon boat,https://winstonsalem.craigslist.org/boa/5901919888.html,
4,,,2016-12-20 12:42,johnson 5 hp 2 cycle motor. motor runs good but bottom end needs tiny crack fixed and oil refilled. see pics. i was going to keep using it but i just havent got around to messing with it. $75. call show contact info,,5900555629,,2,,,,,$75,power, (winston salem),boat motor,https://winstonsalem.craigslist.org/boa/5900555629.html,
5,,"['36.318900', '-80.148400']",2016-12-20 09:32,nice ranger bass boat cheap has trolling motor 150 evenrude has low compression on no 1 cylinder but fires rite up dont know  if gasket or other problem has full cover for boat floors solid new stereo have clear title first 1000 gets it 400 more can throw in a trailer alan show contact info finish on boat looks a lot better these pics with serious frost on boat,,5913593717,36.318900,20,-80.148400,,"https://maps.google.com/maps/preview/@36.318900,-80.148400,16z",,$1000,power, (walnut cove),nice ranger bass boat cheap 1000 bring your own trailer,https://winstonsalem.craigslist.org/boa/5913593717.html,
6,like new,"['36.034100', '-80.396200']",2016-12-20 09:29,"This is a second owner immaculately kept Sea Ray.  Like new interior.  210 HP 4.3 Mercruiser inboard outboard with upgraded stainless prop. Large sunning deck on rear with swim platform and rear ladder.  New boat cover along with Sea Ray two part button on cover. We bought this boat August of last year and is too small for our 5 kids.  Skis, ski rope, 1- 3 person tube and many other items.  Comes with Sea Ray trailer.  Single axle with brakes.  This boat is like new and will not last long!!Engine compartment and all belts look brand new.  This is an end of season deal.  If not sold going in winter storage.",240,5926682034,36.034100,19,-80.396200,Sea Ray,"https://maps.google.com/maps/preview/@36.034100,-80.396200,16z",Sport 185,$12500,power, (clemmons),2005 Sea Ray Sport 185- End of season deal,https://winstonsalem.craigslist.org/boa/5926682034.html,2005
7,like new,,2016-12-20 08:19,Boat is like new Does have the pro package Mercury pro xs200 maybe 20 hrs Minnkota fourtrex 3 bank charger 8 foot power pole Lowrance hds 7 gen 3 bow and console Hot foot Hate to sell but need to for financial reasons,20,5904086785,,19,,Nitro,,Z19,$40000,power,,2017 Nitro Z19,https://winstonsalem.craigslist.org/boa/5904086785.html,2017
8,,,2016-12-19 19:48,push pole holders/ brackets troller arms /mounts/ braces custom made tiller extensions rod racks /storage clamp-on gear all custom fab. anchoring mounts /pins go to>> www.anytide.com,,5891922523,,23,,,,,,power,,custom made skiff gear,https://winstonsalem.craigslist.org/boa/5891922523.html,
9,,,2016-12-19 19:48,push pole holders/ brackets troller arms /mounts/ braces custom made tiller extensions rod racks /storage clamp-on gear all custom fab. anchoring mounts /pins go to>> www.anytide.com,,5903425761,,23,,,,,,power,,custom made skiff gear,https://winstonsalem.craigslist.org/boa/5903425761.html,
10,fair,[],2016-12-19 17:00,I have a 1980's glasstron boat w/65hp Johnson motor.. The motor needs starter rebuilt it will spin but want engage..the boat sits on a galvanized trailer he sets has been recovered and needs some floor work inside this would make a good project. I'm asking 1400 or trade...I'm in search of a 4 wheeler or golfcart or a riding mower...,500,5925997697,,15,,Late 1980,https://maps.google.com/?q=loc%3A+Wayngobble+rd+at+Old+Salisbury+rd+Linwood+NC+US,Glasstron/jhonson,$1400,power, (Linwood),Glasstron boat,https://winstonsalem.craigslist.org/boa/5925997697.html,1985
11,excellent,"['36.318900', '-80.148400']",2016-12-19 16:27,All offers are considered,,5925950710,36.318900,12,-80.148400,,"https://maps.google.com/maps/preview/@36.318900,-80.148400,16z",,,power,,Trading boat for a vechial,https://winstonsalem.craigslist.org/boa/5925950710.html,
