,condition,coord_pair,date,description,engine hours (total),id,lat,length overall (LOA),long,make / manufacturer,map_URL,model name / number,price,propulsion type,region,title,url,year manufactured
0,,,2016-12-20 19:30,$2500 or trade what do you have text for pics thanks for looking,,5909291345,,21,,,,,$2500,power, (canton),86 mark twain with 350 chevy motor,https://akroncanton.craigslist.org/boa/5909291345.html,
1,good,,2016-12-20 19:21,"1997 SYLVAN DEEP V ,has live well,fish finder,trolling motor,3 seats,new boat cover,25hp Mercury electric start,drive on trailer with spare, boat is in nice condition...asking $2500 or best offer.. .please call show contact info",,5927534992,,15,,,,,,power,,15ft  SYLVAN DEEP V 25hp MERCURY,https://akroncanton.craigslist.org/boa/5927534992.html,
2,good,,2016-12-20 18:54,"Hello, here I have a Wilderness Systems Pungo 120 Angler model in the Dusk color. I am the original owner of this kayak, I bought it new ordered from Appalachian Outfitters about 2 yrs ago. I have all of the original paperwork from when I purchased it. This kayak will come with everything as it would if purchased new plus an additional 1.5"" screwball. There are some scratches on bottom from use and some material loss on bottom back fin (could be regained with plastic welding) if one finds need be. The separator between the seat and back dry well could use to be resealed (common issue).  I purchased this model for around $1,200 when I bought it, so here's a chance to save some money on a great and very comfortable kayak. If one has back issues or plans to be on water for several hours at a time, the seat in this model is the best I've ever come across. The kayak is currently buried behind stuff in the garage and the weather sux so I have not taken any original pictures yet. If someone is truly interested I would make effort to get that done or they could come view in person. *Cash Only Sale! No movers, No checks, No paypal, No trades!",,5927506548,,12,,,,,$600,human, (Massillon),Wilderness Systems Pungo 120 Angler (Dusk),https://akroncanton.craigslist.org/boa/5927506548.html,
3,excellent,"['41.033787', '-81.668758']",2016-12-20 17:10,"I'm selling my 1979 Sea Ray 165 Merc Cruiser Boat itself is in GREAT condition I just found out the motor is cracked because I didn't winterize it. OK, let my error be your gain! CALL ME AND OFFER ANYTHING REASONABLE. I bought this bought back in June, 2016, for $3000.00 CALL ME AND MAKE A DECENT OFFER AND SHE'S YOURS. The guy I bought her from had had her for 25 years and took excellent care of her and garaged her. The interior, exterior are CLEAN. Trailer is in good shape. CALL ME TODAY AND MAKE AN OFFER. I WILL CONSIDER ANY REASONABLE OFFER. Clean title. I'm in Norton, right near Barberton and Wadsworth. Call Kevin @ 33O /// 78O /// SIX ONE SIX EIGHT NO TEXTS",,5927332837,41.033787,19,-81.668758,SEA RAY,"https://maps.google.com/maps/preview/@41.033787,-81.668758,16z",,$1,power, (BOAT HAS CRACKED MOTOR -- MAKE ME ANY OFFER!!!!),DEAL OF THE MONTH! 1979 SEA RAY OPEN BOW NICE BOAT!,https://akroncanton.craigslist.org/boa/5927332837.html,1979
4,,"['41.032700', '-82.014700']",2016-12-20 16:17,I bought a Kayak and it has never been in the water. Its still has the plastic around the seat and comes with extras. I paid 250.00 will to sell for 150.00 it would make a wonderful Christmas gift!,0,5927309463,41.032700,10,-82.014700,,"https://maps.google.com/maps/preview/@41.032700,-82.014700,16z",,,human,,Kayak,https://akroncanton.craigslist.org/boa/5927309463.html,
5,,"['41.022700', '-81.856200']",2016-12-20 14:57,"1960 Johnson outboard 5.5  non-presurized fuel tank (pulse fuel pump/one-line suction setup) type. My uncle passed away and I inherited it. Ran fine last time in the water.  Just cleaned & rebuilt carb. Turns over smoothly. New spark plugs. Only issue is no-spark.  suspect its either the crappy old original coils or the points need cleaned up, both are a simple fix. Comes with 90% of original manual (90% bc one corner of paper manual was attacked by a mouse). Prop turns when turned over. Forward neutral reverse all work. Asking $110 obo. Wanted to hookup to my canoe but I've no time to finish this project and at this point i just need it gone. Comes with homemade ""storage stand"" its currently resting on",,5927192257,41.022700,950,-81.856200,,"https://maps.google.com/maps/preview/@41.022700,-81.856200,16z",,$110,power," (sullivan, ohio)",1960 Johnson 5.5 outboard,https://akroncanton.craigslist.org/boa/5927192257.html,
6,fair,[],2016-12-20 14:18,Rope-start motor.  Needs a cleaning and tune'up.  Have new decals for it. $100. .  Trade for aluminum canoe. show contact info,,5916588405,,3,,Johnson,https://maps.google.com/?q=loc%3A+State+route+%33%30%33+Garrettsville+OH+US,1937,$100,power, (Garrettsville),1937 Johnson 2 HP Outboard Motor,https://akroncanton.craigslist.org/boa/5916588405.html,1937
7,,"['40.809400', '-81.948300']",2016-12-20 14:18,"I have a 1988 Bayliner Capri 14' I took in on a trade to help a dear friend out, it was on my pond numerous times this year. Does not have a Motor as somewhere here in town stole the 9.9 that was on it, no leaks of any kind, and I can get you a trolly motor for $50 if you want. Would make a great fishing boat , its in my heated shop for you to look at, call or text! $500 OBO",,5919163677,40.809400,15,-81.948300,,"https://maps.google.com/maps/preview/@40.809400,-81.948300,16z",,$500,power, (Wooster),1988 Bayliner Capri 14' with Trailer,https://akroncanton.craigslist.org/boa/5919163677.html,
8,fair,"['41.298800', '-81.070400']",2016-12-20 14:16,Ran fine when last used.  Good compression.  Needs a cleaning and tune'up.  Have new decals for it. $150. .  Trade for aluminum canoe. show contact info,,5916647398,41.298800,3,-81.070400,Johnson,"https://maps.google.com/maps/preview/@41.298800,-81.070400,16z",1950-51,$150,power, (Garrettsville),1950-51 Johnson 5 HP Outboard Motor,https://akroncanton.craigslist.org/boa/5916647398.html,
9,like new,"['40.979100', '-81.534700']",2016-12-20 11:46,"Underwater viewing system, great for ice fishing. Will make a nice Christmas gift.",1,5926878605,40.979100,6,-81.534700,MarCum,"https://maps.google.com/maps/preview/@40.979100,-81.534700,16z",VS560,$350,human, (Green),Underwater Viewing System,https://akroncanton.craigslist.org/boa/5926878605.html,
