,condition,coord_pair,date,description,engine hours (total),id,lat,length overall (LOA),long,make / manufacturer,map_URL,model name / number,price,propulsion type,region,title,url,year manufactured
0,,"['40.000900', '-82.668700']",2016-12-12 18:08,New kayaks 50 to 60 percent off! Call Rob at show contact info,,5916816478,40.000900,12,-82.668700,,"https://maps.google.com/maps/preview/@40.000900,-82.668700,16z",,$1,human, (Pataskala),Kayaks new,https://athensohio.craigslist.org/boa/5916816478.html,
1,excellent,"['39.207700', '-82.690800']",2016-12-07 18:37,"boat and trailer in excellent condition for year, interior excellent,50 hp mercury, motor has new water pump, new fuel pump, both carbs rebuilt, motor runs good but the lower unit needs put back in time (got it a notch or 2 off when it was put it back together), just a little labor (probably an hour or less) and you will be ready for spring. has steering wheel, live well etc. nice boat, around $1800-$2000 invested .need money $1000 obo. call or text matt 7/4/0/6/8/8/9/8/0/8",,5898287341,39.207700,15,-82.690800,raider,"https://maps.google.com/maps/preview/@39.207700,-82.690800,16z",,$1000,power," (allensville, oh)",15' 1976 raider/50 hp mercury/trolling motor,https://athensohio.craigslist.org/boa/5898287341.html,1976
2,excellent,,2016-12-02 10:33,"2002 Pro Team 175 Bass Tracker aluminum boat with custom trailer Trolling motor Dual batteries Matching 2002 40HP oil injected motor 2 stroke Trim (on the motor, throttle control and up front) Casting chairs Runs perfectly Trailer pulls nicely Tires excellent with spare Title in hand Trade for Street rods Hot rods Project cars or trucks.... No junk and must have title.....",,5902060886,,18,,Bass Tracker,,Bass Tracker,$5500,power, (Kingston),Bass Tracker Pro Team 175XT will trade,https://athensohio.craigslist.org/boa/5902060886.html,2002
3,,[],2016-11-30 18:02,We have a 20ft 2002 Smokercraft Pontoon for sale! -Comes with a cover -Docking light -Boarding ladder -Changing Room,,5899811552,,20,,820 Infinity Cr Re,https://maps.google.com/?q=loc%3A+%31%37%32+E+Bank+Rd+Saint+Marys+OH+US,2003 Mercury 50ELPT EFI BF,$7299,power, (The Outdoorsman (St. Marys),2002 Smokercraft Pontoon for Sale!,https://athensohio.craigslist.org/boa/5899811552.html,
4,like new,"['39.317800', '-82.102000']",2016-11-28 18:52,"NuCanoe Frontier12'/Lime Green.  2years old used less than 5 times.  Weight capacity-650 lbs.  41"" wide.  Boat weight without accessories 80lbs.+   Trolling motor can be installed, not included.  Transport cart, (2) swivel seats, (2) rod ,holders, (2) paddles included. $2000 invested, priced at $1100.",,5896734667,39.317800,12,-82.102000,NuCanoe,"https://maps.google.com/maps/preview/@39.317800,-82.102000,16z",Frontier,$1100,human," (Athens,hio)",12' NuCanoe,https://athensohio.craigslist.org/boa/5896734667.html,2014
5,good,"['39.184701', '-81.862621']",2016-11-28 15:11,"1993 Bass Tracker Pro. Deep V 16, 60 hp Evinrude Motor,New Fish Finder,New Minkota Trolling Motor. 1993 E.Z. Load Galvanized Trailer,with new wheels and tires,also new wheel bearings and seals.",,5896363863,39.184701,16,-81.862621,,"https://maps.google.com/maps/preview/@39.184701,-81.862621,16z",,$4000,power," (Coolville,Oh)",Tracker Bass Boat,https://athensohio.craigslist.org/boa/5896363863.html,
6,excellent,,2016-11-26 11:30,"Good quality recreational kayak designed just for kids and small adults. Purchased new in 09.  Excellent condition.  Always well cared for and stored properly.  No sun fading or damage, just a few scratches on the hull! This boat is lighter, (under 30 lbs!) narrower, better tracking, and therefore much easier for kids to handle, (and therefor more enjoyable,) than cheaper models found at big box retailers and sporting good stores...no comparison.) Description/specs from Jackson Kayak's website follows: . . .""Mini Tripper"" At 9 feet long this kayak has been designed specifically for kids in every way. This wont just be just an adult boat sized down for kids The Mini Tripper has design features that allow kids to paddle with the confidence required to enjoy all that paddling offers. Its design provides for quite an impressive hull speed and keeps up well with the adult versions while still providing amazing stability. This boat, just like the adult versions, is ultra comfortable, tracks like its on a rail and is very stable. It is light enough for most kids to handle carting it on their own, paddles straight... Length: 109.88″ Width: 23″ Weight: 27 lbs Carrying Capacity: 40 -- 140 lbs 2010 MSRP: $499 I may be out of red ones, but have yellow, and maybe green. Will take $250 for one boat alone, or $450 for 2 together, no paddles or lifejackets, or $300 each with choice.  (Before Christmas,) I have 1 or two with some oil canning, or a missing foot peg that I can let go for less.",,5893018441,,9,,Jackson,,Mini Tripper,$250,human," (Athens, OH)",Jackson Mini-Tripper kids recreational kayak,https://athensohio.craigslist.org/boa/5893018441.html,
7,good,,2016-11-26 10:26,"Old school design whitewater  rotomolded kayak.  Small volume for small kids, toddler to up to about age 8. Adjustable foot pegs, spartan outfitting: molded seat, no back band, hip pads etc.  good condition $150",,5892917866,,9,,,,,$150,human," (Athens, OH)",EPI kids kayak,https://athensohio.craigslist.org/boa/5892917866.html,
8,excellent,,2016-11-26 10:24,Very nice boat. Ready for water. With trailer. New tires. New jack. New wiring. Boat has motor guide 46pd 3 blade. A mec. Thunderbolt 700. Runs perfect. With tank. Has a hummingbird 4000. Removable bass seats that fold. Bilge pump. Inside lighting. Has all new steering and wheel. Trumpet air horns. Tri haul split windshield. Text only please.,500,5854061315,,14,,Mark Twain,,Runabout,$2500,power, (Athens),Fish and ski,https://athensohio.craigslist.org/boa/5854061315.html,1987
9,,[],2016-11-23 15:38,2008 Sunchaser 820 Fish Pontoon for sale! -Has a 2008 Evinrude 50hp motor -Comes with a trailer -Also has a cover -Fishing layout seating with fish chairs on all 4 corners -Trolling motor plug by front gate -Also has a livewell,,5889804758,,20,,2008 Sunchaser 820 Fish,https://maps.google.com/?q=loc%3A+%31%37%32+E+Bank+Rd+Saint+Marys+OH+US,2008 Evinrude E50DPLS,$10999,power, (The Outdoorsman (St. Marys),2008 Sunchaser 820 Fish Pontoon for sale!,https://athensohio.craigslist.org/bod/5889804758.html,
10,,"['39.497800', '-82.087100']",2016-11-22 15:38,"15' Crestliner boat and trailer, has a fish finder on it, all of the lights on trailer work.  Has a hydronic plane for the motor.  No motor.  Make offer, will consider your offer.",,5888384918,39.497800,16,-82.087100,Crestline,"https://maps.google.com/maps/preview/@39.497800,-82.087100,16z",,$400,power, (Glouster),15' Crestliner and trailer and boat,https://athensohio.craigslist.org/boa/5888384918.html,1975
11,good,"['39.214100', '-81.832900']",2016-11-22 13:16,"1988 Volvo Imperial 18 feet 6 inches , Volvo 131 H. P.,For Sale:1988 Imperial boat w/ 4 cylinder Volvo penta engine. seats 6-8 people. New tune up, plugs, Oil change w/filter, new points and rotor button. Runs good n smooth. Garage kept. Comes with trailer. Interior in good shape. All good glass. Needs some TLC. $2200- price neg. or Possible trade.",,5888145778,39.214100,18,-81.832900,Volvo,"https://maps.google.com/maps/preview/@39.214100,-81.832900,16z",Imperial V182,$2200,power, (Coolville Oh),1988 Volvo Imperial $2200.00 or trade,https://athensohio.craigslist.org/boa/5888145778.html,1988
12,good,"['39.214100', '-81.832900']",2016-11-20 18:29,"this is a heavy boat  no leaks  and stable in the water i have 2 moters  a ore, 2 life jackets",,5853274020,39.214100,10,-81.832900,,"https://maps.google.com/maps/preview/@39.214100,-81.832900,16z",,$400,power, (coolville ohio),boat and motors and more,https://athensohio.craigslist.org/boa/5853274020.html,
13,,,2016-11-18 12:46,9.9 Evinrude Custom Cover Evinrude Trolling Motor Make an Offer,,5882318983,,15,,Sea Nymph,,Tournament Series,$2500,power, (New Lexington),1991 Sea Nymph Tournament Series 15'2 Bass Boat,https://athensohio.craigslist.org/boa/5882318983.html,
14,excellent,"['39.317800', '-82.102000']",2016-11-12 20:52,"I have a 1991 nitro dc2000. 21 ft with a 150 HP evenrude motor. The motor is a 2000 model so it's 9 years newer than the boat. Comes equipped with a hot foot and hummingbird fish finder. Body is about 85-90%.New seats. Carpet is all there and in good condition. 2 live wells, 2 new batteries. Motor starts and runs every time, no problems at all. Willing to meet at the lake and show it. Hoping to trade for a boat of equal value or sell for $5000. Runs approximately 58-62 mph depending on equipment and passengers. Call or text any time with trades. Thank you",,5873869717,39.317800,21,-82.102000,nitro,"https://maps.google.com/maps/preview/@39.317800,-82.102000,16z",dc2000,$5000,power, (athens),1991 nitro for trade,https://athensohio.craigslist.org/boa/5873869717.html,1991
15,like new,"['39.214100', '-81.832900']",2016-11-12 11:40,"Very nice boat like new inside and out, 170hp I/O motor, liquid cooled so you can use this boat yr around, also has a cuddy cabin with portapotty, you will not find a boat this yr this nice and it won't last long, comes with an easy load trail or $4000",,5873070572,39.214100,21,-81.832900,Thompson,"https://maps.google.com/maps/preview/@39.214100,-81.832900,16z",fisherman,$4000,power," (hockingport, oh)",1986 21' Thompson fisherman,https://athensohio.craigslist.org/boa/5873070572.html,1986
16,,"['39.511324', '-82.372265']",2016-11-07 20:50,I have a bass boat for sale. I haven't had time in the past 2 years to take it out. Has a small hole upfront above water level never had any problems with ithe taking in water. The automatic chock don't work so have to pull cover and chock it to start. Never wanted to pay the $150 to fix it. Does not come with live well but has a lot of storage and a big front deck. Has a 70hp motor and a 55lb Thurst trolling motor. Trailer tires are brand new this year for the one time I had time to take it out. Hasa newer on board battery charger.Any questions just ask,,5866277805,39.511324,16,-82.372265,,"https://maps.google.com/maps/preview/@39.511324,-82.372265,16z",,$1200,power, (logan),16 foot bass boat,https://athensohio.craigslist.org/boa/5866277805.html,
17,,"['39.526289', '-82.042465']",2016-11-05 17:17,"1984 hydrasport 17-1/2' Mercury 25 hp motor, electric start With controls 50 lb minn Kota V2 power drive Trolling motor New rims and tires Live wells Bilge pump Pickup only",,5863024299,39.526289,175,-82.042465,,"https://maps.google.com/maps/preview/@39.526289,-82.042465,16z",,,power,,bass boat,https://athensohio.craigslist.org/boa/5863024299.html,
