,condition,coord_pair,date,description,engine hours (total),id,lat,length overall (LOA),long,make / manufacturer,map_URL,model name / number,price,propulsion type,region,title,url,year manufactured
0,good,,2016-12-20 13:09,"This is a very nice Load Rite boat trailer. It is a tandem axle trailer rated at 8000 pounds. The trailer has surge brakes and a 2 5/16"" ball. It is 26' long and 6'6"" between the fenders. It had a 26' boat on it but would easily hold a 28'. The axles are equipped with Reliable brand Sure Lub hubs. It has heavy duty 6 lug wheels and the tires are still in good shape. The bunks on this trailer are fully adjustable for height and width. $2500.00 or trade. Call or text Blaine at show contact info or call show contact info",,5927016966,,26,,Load Rite,,,$2500,power, (Chillicothe),Load Rite Boat Trailer Tandem Axle 26'-28' Bunk Style Lake Erie,https://chillicothe.craigslist.org/boa/5927016966.html,
1,,"['39.338000', '-82.989500']",2016-12-20 11:59,Mercury 250 pro xs (340hrs) Dual power poles.. humming bird 1198. 998 . Hydraulic jack plate (ATLAS). And more Boat is loaded. Absolutely nothing wrong with it at all txt or call for more pics thanks show contact info Have a lot more pics I can send via txt,,5904082959,39.338000,21,-82.989500,,"https://maps.google.com/maps/preview/@39.338000,-82.989500,16z",,$31000,power, (Chillicothe),2012 NITRO Z9 bass boat,https://chillicothe.craigslist.org/boa/5904082959.html,
2,,"['39.042800', '-82.647200']",2016-12-20 01:00,"I have a 1971 glasstron 18feet with a 70 hp outboard, would make a great bowfishing boat too. I have clear title for boat and engine, parts to finish boat.",,5926447433,39.042800,18,-82.647200,glastron,"https://maps.google.com/maps/preview/@39.042800,-82.647200,16z",,$800,power," (Jackson, Ohio)","1971 , 18 feet glastron boat (project)",https://chillicothe.craigslist.org/boa/5926447433.html,1971
3,good,,2016-12-18 18:02,I have here a wonderful 1988 mercury maxum 20 foot open bow boat. I bought the boat last year and have had it out on deer creek lake quite a few times since then and it runs great but i have realized that i do not have the time to use the boat anymore and hate to see it not get used as often as it should. I replaced the fuel pump on it when i bought it. The motor is a 4cyl mercruiser  i was told it was rebuilt and looks to have been but i have no paperwork on that. It runs very well. 2400 obo only reason for selling is because i do not have time  to use it and do not have a good space to store it. Call or txt anytime show contact info If i dont answer leave a messages.,,5916081541,,20,,,,,$2400,power,,1988 mercury maxum 20 foot open bow boat,https://chillicothe.craigslist.org/boa/5916081541.html,
4,good,"['39.598800', '-82.930000']",2016-12-17 11:30,"hi guys here we go again. i got another mark twain for sale asking $4,500 i just bought it got title an trailer done .no Ohio numbers yet will get this week this boat would make good starter boat that will serve you well for years to come .well long story short i bought this boat to start to go back up to lake Erie so you know its good boat that will handle lake Erie an ask for more. but one truck later i need to sell took me weeks to find it. these boats are getting hard to find. now this one has 350 v-8 4 barrel carb runs great an original to boat been winterized ready for next year. has Bimini top mooring cover an dock cover.fish finder ship to shore lots of extras. has original trailer to boat i have not had in water. brought boat in Mich an on way back lost engine on my truck so had to buy another one. this is only reason for sale of boat. has usual wear an tear but not beat up all gauges work. has two new battery's seats good an still soft an really great shape cutty good cushions good an doesn't seem to have no leaks. its good old solid boat my price is firm but offers considered. as this boats does great in water an handle like a dream an like i said they are hard to find that's not beat up. i don't know much about boat just what i have done an checked out does run great paper work i got says new gimble bearing an just turned up owner died before he got to use boat after it was worked on. has set for awhile. his wife said she didn't know how many hours it had if he was around he would have known . but way boat looks an runs cant be many but ask questions if i can help will just think can buy while price is low an fish in style next year. thanks Robert   psst guys been ask if it can be stored till next year no problem as long as paid for again thanks Robert",,5912204772,39.598800,21,-82.930000,mark twain,"https://maps.google.com/maps/preview/@39.598800,-82.930000,16z",210xl,$1,power, (circleville),1983 210xl mark twain,https://chillicothe.craigslist.org/boa/5912204772.html,1983
5,,"['38.809329', '-83.171813']",2016-12-16 20:02,2004 starcraft 24'pontoon 2005 60hp mercury bigfoot motor and trailer titles in hand. Runs and performs great no leaks has a few sun-dried spots on seats I'd like to trade for a rzr call or text James show contact info,,5922455253,38.809329,24,-83.171813,,"https://maps.google.com/maps/preview/@38.809329,-83.171813,16z",,,power,,2004 starcraft pontoon trade for rzr,https://chillicothe.craigslist.org/boa/5922455253.html,
6,excellent,[],2016-12-16 15:47,been remodeled just haven't had no time for it,,5922141639,,25,,,https://maps.google.com/?q=loc%3A+%39%33%33gregg+st+washingto+court+hous+OH+US,,$3000,power, (washington court house ohio),water craft pontoon,https://chillicothe.craigslist.org/boa/5922141639.html,1979
7,good,[],2016-12-16 13:28,Great shape pontoon.21 ft has 60 horse mercury engine. Very  quite engine. Runs great. Double axle trailer.,,5921923993,,21,,Suncruiser,https://maps.google.com/?q=loc%3A+%33%30%33%38+june+av+Portsmouth+OH+US,,$6500,power, (Portsmouth),1990 pontoon 21 ft,https://chillicothe.craigslist.org/boa/5921923993.html,1990
8,good,,2016-12-15 11:58,1978 fish and ski 105 hp engine runs good new 45 lb motor guide trolling motor live well work good hummingbird fish finder on the front of the boat call or text show contact info,,5920451547,,16,,Chrysler,,,$3000,power, (Hillsboro),1978 Chrysler fish and ski,https://chillicothe.craigslist.org/boa/5920451547.html,1978
9,,"['39.338000', '-82.989500']",2016-12-13 00:07,"looking for a small flat bottom fishing boat, 10-14 feet, prefer aluminum Call show contact info",,5917176320,39.338000,10,-82.989500,,"https://maps.google.com/maps/preview/@39.338000,-82.989500,16z",,$1,human,,Wanted Flat Bottom Jon Boat,https://chillicothe.craigslist.org/boa/5917176320.html,
10,good,"['38.654600', '-83.209000']",2016-12-10 17:58,Great small fishing boat for sale. Perfect for small lakes but I have had it on several larger lakes and fish the Ohio river a lot with it and it does fine with the barge traffic. I have had a couple of large bass boats and bought this between boats so I would have something to use until I bought another. As you can see from the pics I made it a poor man's bass boat. It has 7ft casting deck you can walk around on easily. A foot controlled trolling motor and a fish finder. The motor is a 15hp Johnson that runs great and usually starts on the first pull. I also built an area to store tackle and gear which is rare in a boat this size. The trailer has car axle with new tire and tows like it's not even there. If you have any questions email or give me a call.,,5914178665,38.654600,14,-83.209000,,"https://maps.google.com/maps/preview/@38.654600,-83.209000,16z",,$2000,power, (Stout),14 ft Fishing Boat 15hp  make me an offer,https://chillicothe.craigslist.org/boa/5914178665.html,
