,condition,coord_pair,date,description,engine hours (total),id,lat,length overall (LOA),long,make / manufacturer,map_URL,model name / number,price,propulsion type,region,title,url,year manufactured
0,excellent,"['41.385300', '-81.704400']",2016-12-20 19:54,"Up for sale is a very clean 2000 starcraft tiller riveted boat, in nice clean shape, has a low hour yr 2000 mercury 50 hp tiller motor, also comes with a 2011 mercury 6 hp with low hours, comes with a livewell, new battery, bilge and livewell pump. Has a garmin fishfinder/chartplotter combo, comes with 6 rod holders, Boat has Rod lockers, very roomy and stable boat, over 7 ft beam. Very nice walleye and perch boat, asking 7,000.00 obo without electric motor",,5927568852,41.385300,16,-81.704400,,"https://maps.google.com/maps/preview/@41.385300,-81.704400,16z",,,power,,Starcraft starfire 150t deep v,https://cleveland.craigslist.org/boa/5927568852.html,
1,good,,2016-12-20 19:33,Very good condition,,5927547725,,135,,,,,$1500,power,,Boat motor and trailer,https://cleveland.craigslist.org/boa/5927547725.html,
2,excellent,,2016-12-20 19:28,"Beautiful 1971 Red Correct Craft Mustang with original Chrysler 318. I am the second owner of the boat. The previous owner and myself have kept strict documentation of the boats life. The entire boat is original to the factory production. The boat is in MINT condition. Runs like it's brand new, 50 mph plus!! Make me an offer. Call or text Nathan for pictures, information, or questions. show contact info",1400,5927542656,,16,,,,,,power,,Correct Craft Mustang,https://cleveland.craigslist.org/boa/5927542656.html,
3,,,2016-12-20 17:53,High quality American made canoe with registration in hand. Perfect for duck hunting or would be great to get to the mouth of the river and do some steelhead fishing. This canoe retails for over 1600. I have the original motor mount as well. This canoe is top of the line quality and is extremely stable. Of intersted call/text me at show contact info (216three867047),,5911534499,,16,,,,,$600,power, (Garfield),"16"" sportspal canoe",https://cleveland.craigslist.org/boa/5911534499.html,
4,,"['41.469400', '-81.851200']",2016-12-20 16:58,"19'-10"" BOSTON WHALER OUTRAGE WITH 225 JOHNSON AND TRAILER THIS 1996 BOAT AND MOTOR ARE IN GREAT SHAPE.    $16,500.00                                            MORE IFNO. CALL show contact info",,5927366238,41.469400,20,-81.851200,,"https://maps.google.com/maps/preview/@41.469400,-81.851200,16z",,$16500,power,,BOSTON WHALER OUTRAGE,https://cleveland.craigslist.org/boa/5927366238.html,
5,excellent,"['41.320800', '-81.542900']",2016-12-20 16:57,"I have owned this mojo since new it has been a great boat. When I purchased it I have wet sound rev 10 tower speakers installed and 2 10 inch subwoofers installed($3000) by far the greatest stereo on the lakes I've been to. Also have the upgraded moomba carpet($1800) I do have stock carpet that is brand new. Also have bow filler cushion($300). I also had Bluetooth stereo installed since stock one didn't but I still have the old one. I had a 750 lb ballast installed under front seats it's connected to stock ballast pumps. It gives you a longer wave. This has been the best boat I've ever owned. Here is better description .....The Mojo 2.5 wide-bow boat is an experience in wakes, handling, ride, reliability and fun. This 22-foot six-inch wake slider's dream rolls off the production line with a boat-load of standard features and more wake sport performance than its price class can handle. A definite departure from the ""me too"" pickle fork trend in wakeboard boat design, this Moomba gives value performance buyers a safe, deep, wide bow in addition to extreme functionality. Simply comfortable interior design compliments the functional nature of the boat with snap-out carpet covering an, easily maintained, all fiberglass floor. This unique boat design is pushed by the torquey Indmar Assault 330 horse power engine, perfect to pull all levels of riders. Beginner to pro will flip for the Moomba Multisport Wakeplate, Digital Pro II speed control, the upgradable 1,800-pound Gravity III-D ballast system and the standard Surf+ wakesurfing platform. Put some more pop in your lake life with the 2014 Moomba Mojo 2.5. I do not need help selling",154,5927343690,41.320800,22,-81.542900,Moomba,"https://maps.google.com/maps/preview/@41.320800,-81.542900,16z",Mojo 22.5,$54000,power, (Sagamore hills),2014 moomba mojo 22.5 wakesurfing wakeboard boat,https://cleveland.craigslist.org/boa/5927343690.html,2014
6,,,2016-12-20 16:44,"South Fork Bucks Bags Pontoon Boat Fly Fishing For sale a used South Fork Bucks Bags Pontoon Boat With 8' pontoons, molded seat, oars, rubber air stops, adjustable foot rests , side weatherproof  storage bag, lap stripping cover, and rear storage area for your gear.  Also has the anchor setup, for which I use a heavy chain when floating rivers to slow my speed as they do in Michigan and other locals.  Breaks down to travel.  I repaired a small tear in one of the pontoon covers (the heavy PVC coated polyester pontoons) with the same material and the appropriate glue as directed my manufacturer.  This was to the pontoon cover and not the bladder so there are no concerns with it holding air or ongoing protection. It is rated for whitewater and I have fished the upper Youghiogheny River several times and have never felt it was not worthy.  Great fishing vehicle, but I have too many water crafts!   High output pump and valve included.  $900 new without anchor setup....asking $350 OBO.  Email with questions.",,5927347586,,8,,Buck&amp;#39;s Bags,,South Fork,$350,human, (Medina),South Fork Bucks Bags Pontoon Boat Fly Fishing,https://cleveland.craigslist.org/boa/5927347586.html,
7,good,"['41.563600', '-81.573300']",2016-12-20 14:59,"1973 TRI-HULL FIBERGLASS SILVERLINE 15 FT BOAT WITH 65 HP JOHNSON OUTBOARD MOTOR!! INCLUDES GASTANK , NICE SEATS AND COVER!! GOOD TRAILER WITH WORKING LITES!! READY FOR FISHING!! CALL show contact info THANX!! $1,195.00 CASH OR  BEST OFFER??",,5907055487,41.563600,15,-81.573300,SILVERLINE,"https://maps.google.com/maps/preview/@41.563600,-81.573300,16z",TRI HULL,$1195,power, (cleveland),1973 TRI-HULL FIBERGLASS W/65HP,https://cleveland.craigslist.org/boa/5907055487.html,1973
8,like new,,2016-12-20 14:40,This boat has nothing wrong... put it in the water and run it... fluids... winterized... ready and waiting for summer... I'm the second owner and this boat has been well taken care of... it's all mercury and runs great...,200,5927165905,,195,,glastron,,195sx,$10000,power, (East Palestine),2003 glastron 195sx,https://cleveland.craigslist.org/boa/5927165905.html,2003
9,good,,2016-12-20 14:36,Make Reasonable Offer: Sold Separately Alternator Alternator Bracket Cam Shaft & Gear Carburator-2B Crank Balancer Cylinder Head Distributor Engine Coupler Engine Wiring Harness Exhaust Manifold Exhaust Riser Flywheel Front Engine Mount Fuel Pump Hydraulic Pump Hose Lifter Side Covers Oil Breather Cap Oil Cap Fill Cover Oil Pan Oil Pressure Sender Short Block (Rebuild Core) Throttle Linkage Bkt. Lever Water Pump Water Pump Hose Water Pump Pulley Outdrives Gimble Phone show contact info after 5-8 pm on the weekdays.,,5927158461,,24,,,,,,power,,Mercruiser 165 hp Parts,https://cleveland.craigslist.org/boa/5927158461.html,
10,good,"['42.721500', '-78.932700']",2016-12-20 13:34,16' aluminum fishing boat No leaks 69' Viking. Deep V newer transom. Garmin Stryker fish finder Minn kota 55 lb. Thrust 12 gallon portabme tank 2 batteries all lights work. 1987 50 hp johnson runs good no issues. Trailer. Not the prettiest boat but fished well.,,5897364637,42.721500,16,-78.932700,,"https://maps.google.com/maps/preview/@42.721500,-78.932700,16z",,$1950,power, (Lake view),16' Aluminum,https://cleveland.craigslist.org/boa/5897364637.html,
11,,,2016-12-20 12:19,Very nice fiberglass canoe. New interlude hull paint. Canoe is structurally sound. Please call or text only. Thank you,,5926933825,,15,,,,,$500,human, (Vermilion),15ft Seminole canoe,https://cleveland.craigslist.org/boa/5926933825.html,
12,,"['41.707900', '-81.199000']",2016-12-20 10:58,I'm selling a Beretta doesn't run. drive is in great shape along with windshield boat is for parts or if u want to fix up asking 600 trailer not included call paul 440 23105ninethree,,5888090176,41.707900,18,-81.199000,,"https://maps.google.com/maps/preview/@41.707900,-81.199000,16z",,$600,power, (Painesville),BERETTA FORSALE,https://cleveland.craigslist.org/boa/5888090176.html,
13,,"['41.707900', '-81.199000']",2016-12-20 10:57,I'm selling a Sea Ray in Nice condition all original new transom and motor stringers this season asking 3200 or best offer hurry won't last call Paul for 40231 05ninethree,,5888097151,41.707900,19,-81.199000,,"https://maps.google.com/maps/preview/@41.707900,-81.199000,16z",,$3300,power, (Painesville),SEARAY FORSALE,https://cleveland.craigslist.org/boa/5888097151.html,
14,,"['41.707900', '-81.199000']",2016-12-20 10:57,I'm selling 2 CRADLES a steel an wood boat cradle pads are 30 dollars each extra if needed..FITS up to 30 ft boat fits call paul won't last 440231059three,,5885468796,41.707900,30,-81.199000,,"https://maps.google.com/maps/preview/@41.707900,-81.199000,16z",,$250,power, (Painesville),BOAT CRADLES FORSALE METAL OR WOOD,https://cleveland.craigslist.org/boa/5885468796.html,
15,good,"['41.469400', '-81.851200']",2016-12-20 10:34,With easy load trailer. Brand new morning civer and brand new tent cover with plastic windows. $5500 or best offer. Runs great!,,5926767698,41.469400,24,-81.851200,,"https://maps.google.com/maps/preview/@41.469400,-81.851200,16z",,$5500,power,,24' Penn Yan Merc engine 230 hp,https://cleveland.craigslist.org/boa/5926767698.html,1987
16,good,"['40.997477', '-81.495491']",2016-12-20 10:04,"Sun Dance by Sun Runner Boat w/trailer,must see $2195 190 hp engine, Engine Runs great Fishing set up  no front seats. can buy all 4 front seats for $120 at Wallamrt Dept Sounder Cover Included Trailer and tires in good condition enclosed cabin and seating area Interior needs some work . All emergency equipment, anchor, 8 life vests , horns, all lines, everything ready to  operate. Must sell asap , need it out of the yard. Bring offers. Please call: show contact info Please leave a voicemail or text if not available.",,5926674207,40.997477,19,-81.495491,sun dancer,"https://maps.google.com/maps/preview/@40.997477,-81.495491,16z",sun runner,$2195,power, (Akron /portage lakes),"Sun Dancer/Sun Runner Boat w/trailer,WANT IT SOLD ASAP $2195",https://cleveland.craigslist.org/boa/5926674207.html,
17,excellent,"['41.448710', '-81.651077']",2016-12-20 09:30,"Lund 1650 Rebel tiller. Galvanized trailer with spare. Two depth finders. Minn Kota autopilot with wireless remote for hands free trolling. Two batteries, interior lights, two seats...nice set-up, needs nothing, ready for the lake. I'm buying a bigger boat. Asking $10,500",,5922124240,41.448710,16,-81.651077,Lund,"https://maps.google.com/maps/preview/@41.448710,-81.651077,16z",Rebel,$10500,power, (Newburgh Heights),Lund 1650 Rebel tiller 35 HP Johnson,https://cleveland.craigslist.org/boa/5922124240.html,
18,,,2016-12-20 08:35,Up for sale is my 16 Foot Glasspar Open Bow Boat 20HP Mercury Outboard. Text call or email Steve show contact info,,5895009350,,16,,,,,$1800,power, (Columbia Station),16 Foot Glasspar Open Bow Boat 20HP Mercury Outboard,https://cleveland.craigslist.org/boa/5895009350.html,
19,,,2016-12-20 08:30,"Evinrude 25hp motor, Electric start, tiller controls, short shaft. $700obo",,5926621742,,1,,,,,$700,power, (Poland),Evinrude 25HP motor,https://cleveland.craigslist.org/boa/5926621742.html,
20,,,2016-12-20 08:28,"Up for sale is my 2011 Yamaha VX1100 Deluxe 3 Seater Jet Ski W/Trailer Low Hours. 265 hours. Runs and drives great! Just installed a brand new battery. Clean Florida title. I might take a trade, let me know what you have. Text call or email Steve show contact info",,5911583712,,10,,,,,$6000,power, (Fort Myers),2011 Yamaha VX1100 Deluxe 3 Seater Jet Ski W/Trailer Low Hours,https://cleveland.craigslist.org/boa/5911583712.html,
