,condition,coord_pair,date,description,engine hours (total),id,lat,length overall (LOA),long,make / manufacturer,map_URL,model name / number,price,propulsion type,region,title,url,year manufactured
0,,"['39.497800', '-82.087100']",2016-12-20 20:03,Have a glasstream bass boat 1986. With 70 hp  Yamaha motor. Runs great boat also has 2 live wells remote trolling motor. Boat needs acouple  seats and carpet Like to trade. Into cars trucks bows guns 4 wheelers golf carts street bikes u never know ??? Call or text,,5927566797,39.497800,16,-82.087100,,"https://maps.google.com/maps/preview/@39.497800,-82.087100,16z",,$900,power, (glouster),1986 glasstream bass boat,https://columbus.craigslist.org/boa/5927566797.html,
1,excellent,,2016-12-20 19:52,This waverunner is fast and a lot of fun! several parts are new including a $400 computer or ECM. New battery tuneup. comes with cover and nice shorelander Trailer. just renewed registration will just need to have it transferred once title is in your name. Thanks!!!!!,,5915947300,,14,,,,,$900,power, (Westerville),1996 Seadoo xpi,https://columbus.craigslist.org/boa/5915947300.html,
2,,"['40.032200', '-83.138300']",2016-12-20 19:11,"1980 pike master 16 footer.can be a tiller or remote sterring.new floor,carpet and vinyl. show contact info",,5910100633,40.032200,16,-83.138300,,"https://maps.google.com/maps/preview/@40.032200,-83.138300,16z",,$1125,human,,starcraft,https://columbus.craigslist.org/boa/5910100633.html,
3,good,"['39.881400', '-83.083900']",2016-12-20 16:51,"1990 ski nautiqe great condition, has 900 hours ford 351. interior was done last year, i had the carb rebuilt about 2 months ago. the boat runs but needs a new fuel filter easy fix. the only thing that really needs to be addressed is the drive shaft bushing may need replaced has some play in the shaft not alot. other then that its a great boat for a family or friends. can call or text eric at 614-701-13twoeight thanks. i am willing to trade just not for junk or make a offer nothing crazy low",900,5889395289,39.881400,20,-83.083900,ski nautiqe,"https://maps.google.com/maps/preview/@39.881400,-83.083900,16z",correct craft,$8000,power, (grove city),ski nautiqe correct craft trade obo,https://columbus.craigslist.org/boa/5889395289.html,
4,good,[],2016-12-20 14:16,"15' Pelican Explorer 3-person canoe. Good condition. The plastic seat in the front is broken and has been replaced with a piece of wood - it could probably use a thicker piece of wood for a larger person, but it works great for kids. Includes paddles.",,5927126829,,15,,,https://maps.google.com/?q=loc%3A+%32%39%37%38+grassy+bend+dr+grove+city+OH+US,,$300,human, (grove city),15' Canoe,https://columbus.craigslist.org/boa/5927126829.html,
5,excellent,"['39.842700', '-82.546200']",2016-12-20 13:17,"Here is my 1988 scarab excell 28'3"" powerboat. This is everything that has been redone: paint, carpet, trailer(also have a set of 5 chrome wheels to go with it), interior, cuddy cabin, and lots more all new led lights on the trailer and it is just a really nice boat. The boat has a mildly built mercruiser 509cid motor with a b&m 174 series procharger and bravo 1 drive with a 23pitch stainless prop. The motor is pushing around 750hp. Their are cmi stainless headers on it and lots more as far as the motor goes. Their is a awsome sterio system in it 4 10"" kicker comps with 4 new 6.5"" 3 way speakers and a brand new cd player with am and fm radio. the boat has trim tabs but does not really need them because it handles great in the water and does not struggle to get up on plain. Their are the dual lever controls in it 1 for the throttle and 1 for forward and reverse. their are custom grills on the side that were powder coated and I also had the wheels powder coated. so for more information please call Carl at show contact info",,5888658917,39.842700,29,-82.546200,welcraft,"https://maps.google.com/maps/preview/@39.842700,-82.546200,16z",scarab excell,$20000,power," (thurston,ohio)",1988 28'3 scarab,https://columbus.craigslist.org/boa/5888658917.html,1988
6,,"['40.360500', '-83.757100']",2016-12-20 11:20,Am looking to purchase a 90 to 115 hp outboard motor for my pontoon boat....nothing super old....or brand new either. I'm open to any brand for the most part. I don't need controls. must be in running condition. I have a 50 HP force outboard I could trade if your interested.....please reply with a good description and price,,5926837789,40.360500,12,-83.757100,,"https://maps.google.com/maps/preview/@40.360500,-83.757100,16z",,$1,power, (ohio),"wanted, 90 to 115 HP motor",https://columbus.craigslist.org/boa/5926837789.html,
7,,,2016-12-20 10:13,14' game fisher Fiberglas boat. Had previous patch job before I bought it. As of a couple months ago there were no leaks.   Boat and trailer $350,,5926737422,,14,,,,,,human,,14' boat $350,https://columbus.craigslist.org/boa/5926737422.html,
8,,,2016-12-20 08:47,"Store your Boat/ Motorcycle/RV inside our outside. Close to Rt. 4, Lake Erie, and Indian Lake. We offer to BEAT, not match - any competitors price in the Crawford and surrounding counties. We also offer discounts for seniors, veterans, law enforcement, schools, and churches. Ask for details. We will explore every option to find out exactly how to satisfy your storage needs. We also offer a prepayment long term discount when you commit to one year or more. We also offer multiple unit discounts. Our facility is SECURED with fence and personal gate code. The lot is well lit with security lights and located at the corner of a busy intersection with wide visibility. We are available to answer your calls and needs on days, evenings, and weekends. We offer a variety of payment methods for customer ease. Our newer facility has sizes 5x10, 10x10, 10x15, 10x20, 10x30, 12x32. Our Brand New building has all 10x20's. All floors are concrete.",,5926637373,,0,,,,,,human,,"Boat Storage, Gated and Secure",https://columbus.craigslist.org/boa/5926637373.html,
9,,"['39.912896', '-83.066940']",2016-12-20 08:12,"I have some outside storage if you need to store your boat, trailer, etc . Gravel Area. Beside a large garage",,5907541002,39.912896,30,-83.066940,,"https://maps.google.com/maps/preview/@39.912896,-83.066940,16z",,$50,human, (grove city),Boat Storage,https://columbus.craigslist.org/boa/5907541002.html,
