,condition,coord_pair,date,description,engine hours (total),id,lat,length overall (LOA),long,make / manufacturer,map_URL,model name / number,price,propulsion type,region,title,url,year manufactured
0,good,,2016-12-20 20:40,"1988 24 foot baja. In 1988 they did not include the swim platform as part of the total length. In 1990 this boat became the 240 sport. It has a 454 with around 200 hrs on it and was rebuilt to 425 horse power. It has forged rods and forged flat top pistons and has 9:1 compression ratio and has always ran on 93 octane gasoline. Has a little bigger cam then stock and sounds really good. Has stock heads, aluminum intake. And a 780 demon chokeless carb. The boat runs great with no problems. It will run 70 mph. Has a mirage 25 pitch stainless steel prop.  The boat has thru hall exhaust. The interior of the boat is original except for the front 2 seats. The interior is in great shape for its age. The exterior of the boat is also in great shape. It is an 8 out of 10. The boat has only around 390 hrs total. So this is extremely low. I have owned this boat for almost 9 years. Its a great boat. I just had the empeller changed along with the alignment of the outdrive checked. I have always done this every other year. The boat comes with an Oklahoma tandem axle trailer. The trailer has surge brakes and i just replaced all of the brake components 2 years ago. Last year the master cylinder stuck so the brakes are disconnected right now",200,5927613202,,24,,Baja,,226/240 sport,$12000,power, (franklin oh),1988 Baja 226/240 sport,https://dayton.craigslist.org/boa/5927613202.html,1988
1,good,"['40.032200', '-83.138300']",2016-12-20 19:12,"pike master with new floor,carpet ,paint and vinyl,ready to be rigged.was remote steer but could be a tiller set up.will take only long shaft motor show contact info",,5913694070,40.032200,16,-83.138300,,"https://maps.google.com/maps/preview/@40.032200,-83.138300,16z",,$1127,human,,starcraft 16,https://dayton.craigslist.org/boa/5913694070.html,
2,,"['39.632100', '-84.267500']",2016-12-20 16:22,New in box !! Mercruicer lower unit.,,5927316276,39.632100,1,-84.267500,,"https://maps.google.com/maps/preview/@39.632100,-84.267500,16z",,$600,power,,Mercruicer lower unit,https://dayton.craigslist.org/boa/5927316276.html,
3,good,,2016-12-20 12:03,"1988  18 ft deep V Smokercraft in good condition with boat cover, 1988 mercury 100 hp with power trim oil injected, shorelander trailer single axle with fender steps, minn kota 45lb thrust with fob for wireless controls or floor controls, Lowrance elite 7 HDI barely used, and live well in the bow.There is 2 marina batteries that work great. I have receipts when I bought it several years ago the engine having 1500.00 worth of work. Wood on floor was done not long ago. Has 5 disc mounted on floors for easy removal of seats. I have 4 swivel seats with the poles that can be removed quickly. I have a 5th seats but not a pole plenty of life jackets, bumpers,anchor, and rope. I have a tube that I pull my kids on it will travel 32 mph easy with 4 people in the boat and pulling one on tube. Has storage in back of boat, sides, on the floor, and in the bow. 3900.00 OBO Serious Inquires Only! Thanks. Please Call or Text show contact info",0,5920215082,,18,,Smokercraft,,,$3900,power,,1988 smokercraft  (Good Buy Come And Check It out,https://dayton.craigslist.org/boa/5920215082.html,1988
4,,,2016-12-20 11:53,"12 foot flat bottom jon boat with trailer, sell or trade for fishing or hunting items, text or call for info, will not resond to emails",,5926890736,,12,,,,,$1,human, (Beavercreek),Jon boat with trailer,https://dayton.craigslist.org/boa/5926890736.html,
5,,[],2016-12-20 09:56,jet ski and boat  repairs sales and service 15 years working on jet skis i am a llc buisness and fully insured call show contact info,,5922933461,,1,,,https://maps.google.com/?q=loc%3A+s+pitchin+rd+at+selma+pike+springfield+OH+US,,,power,,jet ski and boat repairs,https://dayton.craigslist.org/boa/5922933461.html,
6,good,"['40.034124', '-84.797550']",2016-12-20 09:53,Tracker 16 deep V 1996.   40hp Mercury.        Boat is fully loaded.   45 thrust Kota copilot.   2 batteries one large live well pumps  lights all work    2 fish finders  one has side scan   boat runs great pulls great on trailer  boat is aluminum 4 storage compartments  monster rod holders  15 lb anchor  cash only or might trade if interested.      Chad show contact info,,5926710756,40.034124,16,-84.797550,Tracker,"https://maps.google.com/maps/preview/@40.034124,-84.797550,16z",,$5000,power, (hollansburg),Tracker DV16,https://dayton.craigslist.org/boa/5926710756.html,1996
7,fair,,2016-12-19 23:23,"This is a project fishing boat! I'm asking 1000 OBO on it, I have title in hand for both the boat and the trailer. This includes both items. The boat has a 50 HP motor . the boat needs a new floor put in, but have the composite wood to do so. I bought this boat with the intentions of making it a good fishing boat, I just simply don't have the time to put into it. There is a trolling motor on the boat as well. Due to the floor not being in I haven't put it in the water, but the last time it was there it ran just fine. Text or email with any questions regarding the boat as well as if you want pictures. Wanting to work local with cash or meet at the bank!",,5926389442,,16,,Monark,,,$1000,power, (Franklin),Project Boat- 1973 Mercury & 1970 Monark,https://dayton.craigslist.org/boa/5926389442.html,1970
8,fair,,2016-12-19 21:43,12 Foot Aluminum Jon Boat for sale for $400 OBO. I do not use this boat any more so I would like it gone ASAP. It just wastes space at my house. It is a 1972 King Craft. Coming with the boat will be two oars in great condition and they have the oar locks on them that slide into the frame of the boat. Also two life jackets. Also an anchor with anchor line. The boat has some dents and an old hole that was fixed and welded long before I got it (looks like maybe someone hit a rock going down the river a long time ago). The boat has never leaked for me and has been great in the 7 years I have owned it. Make a great xmas gift to look forward for the summer. Throw me an offer. Call or text me @ (9three7)9zero2-5582.,,5887327330,,12,,King Craft,,,$400,human, (Beavercreek),12' Aluminum Jon Boat,https://dayton.craigslist.org/boa/5887327330.html,1972
9,fair,,2016-12-19 20:46,"Took this on trade don't know much about it. Guy said boat runs good but rockers need adjusted can hear them chatter when on water. Comes with skis,new tube,rope,life jackets,1st aid,and all that kinda good stuff. Interior is rough. Stainless prop,mercruiser 3.0. Clean clear title in hand notorized ready to go.  Good winter project. Make offer. Text 5one3 8five0 363four",,5923749990,,18,,,,,$1,power, (Sabina),1989 18ft Century Ski Boat,https://dayton.craigslist.org/boa/5923749990.html,1989
