,condition,coord_pair,date,description,engine hours (total),id,lat,length overall (LOA),long,make / manufacturer,map_URL,model name / number,price,propulsion type,region,title,url,year manufactured
0,good,,2016-12-20 19:58,"1997 SYLVAN DEEP V ,has live well,fish finder,trolling motor,3 seats,new boat cover,25hp Mercury electric start,drive on trailer with spare, boat is in nice condition...asking $2500 or best offer.. .please call show contact info",,5927558764,,15,,,,,,power,,15ft  SYLVAN DEEP V 25hp MERCURY,https://mansfield.craigslist.org/boa/5927558764.html,
1,,"['40.762300', '-82.525400']",2016-12-20 19:46,"Runs and starts great, has been checked out. Can hear run. Will consider trade. No texts. Call 9 a.m. to 9 p.m.",,5894655292,40.762300,1,-82.525400,,"https://maps.google.com/maps/preview/@40.762300,-82.525400,16z",,$500,power, (Mansfield),9.9 SeaKing short-shaft tiller,https://mansfield.craigslist.org/boa/5894655292.html,
2,,"['40.762300', '-82.525400']",2016-12-20 19:45,"Carburator rebuilt, new oil in lower unit. Runs great. Controls included. Will consider trade. No texts. Call between 9 a.m. and 9 p.m.",,5894658385,40.762300,2,-82.525400,,"https://maps.google.com/maps/preview/@40.762300,-82.525400,16z",,$600,power, (Mansfield),50 h.p. SeaKing Control Motor long-shaft,https://mansfield.craigslist.org/boa/5894658385.html,
3,,"['40.762300', '-82.525400']",2016-12-20 19:45,"Runs good, carburetor has been cleaned, water pump new. New oil in lower unit. Ready to go. Will consider trade. Call 9 a.m. to 9 p.m.",,5915268279,40.762300,0,-82.525400,,"https://maps.google.com/maps/preview/@40.762300,-82.525400,16z",,$450,power, (Mansfield),9.8 Mercury short-shaft tiller,https://mansfield.craigslist.org/boa/5915268279.html,
4,,"['40.762300', '-82.525400']",2016-12-20 19:43,Needs tires. Will consider trade.  No texts. Call 9 a.m. to 9 p.m.,,5927557949,40.762300,14,-82.525400,,"https://maps.google.com/maps/preview/@40.762300,-82.525400,16z",,$150,human, (Mansfield),14 ft. boat trailer,https://mansfield.craigslist.org/boa/5927557949.html,
5,,"['40.762300', '-82.525400']",2016-12-20 19:42,. Runs and starts great. Can hear run. Motor has been checked out and ready to go. No texts. Will consider trade. Call 9 a.m. to 9 p.m.,,5927556782,40.762300,1,-82.525400,,"https://maps.google.com/maps/preview/@40.762300,-82.525400,16z",,$700,power, (Mansfield),15  Johnson Long-shaft tiller,https://mansfield.craigslist.org/boa/5927556782.html,
6,,,2016-12-20 08:49,"Store your Boat/ Motorcycle/RV inside our outside. Close to Rt. 4, Lake Erie, and Indian Lake. We offer to BEAT, not match - any competitors price in the Crawford and surrounding counties. We also offer discounts for seniors, veterans, law enforcement, schools, and churches. Ask for details. We will explore every option to find out exactly how to satisfy your storage needs. We also offer a prepayment long term discount when you commit to one year or more. We also offer multiple unit discounts. Our facility is SECURED with fence and personal gate code. The lot is well lit with security lights and located at the corner of a busy intersection with wide visibility. We are available to answer your calls and needs on days, evenings, and weekends. We offer a variety of payment methods for customer ease. Our newer facility has sizes 5x10, 10x10, 10x15, 10x20, 10x30, 12x32. Our Brand New building has all 10x20's. All floors are concrete.",,5926638781,,0,,,,,,human,,"Boat Storage, Gated and Secure",https://mansfield.craigslist.org/boa/5926638781.html,
7,,"['40.878400', '-82.654900']",2016-12-19 21:35,25ft Pontoon with steering helm captains chair and 2 seats up front for fishing toons are in  good condition  to be perfect would need carpet and plywood but can be used as is also has folding top  registration is good to 2019 i used this boat all  last summer  no motor no trailer  but i can move it for you if need be  i do have motor for more money show contact info,,5926304346,40.878400,25,-82.654900,,"https://maps.google.com/maps/preview/@40.878400,-82.654900,16z",,$1500,power, (mansfield),25ft Pontoon,https://mansfield.craigslist.org/boa/5926304346.html,
8,,,2016-12-19 20:42,CERTIFIED FOR 23 YEARS ALL MAKES,,5884923099,,111,,,,,$80,human,,HOLLAND MARINE REPAIR,https://mansfield.craigslist.org/boa/5884923099.html,
9,good,"['40.769959', '-82.382506']",2016-12-19 14:36,Fishing boat with an Evinrude 9.9 HP outboard engine that runs like new! Equipped with a custom side console with steering wheel and controls. A large open area with carpeted flooring. No Trailer but comes with a boat ramp as shown. Call me for more details and thanks for looking!,,5918574700,40.769959,13,-82.382506,SeaNymph,"https://maps.google.com/maps/preview/@40.769959,-82.382506,16z",,$2500,power,,SeaNymph 13ft fishing boat,https://mansfield.craigslist.org/boa/5918574700.html,1976
