,condition,coord_pair,date,description,engine hours (total),id,lat,length overall (LOA),long,make / manufacturer,map_URL,model name / number,price,propulsion type,region,title,url,year manufactured
0,excellent,"['41.434900', '-82.706300']",2016-12-20 20:39,"**Check out this 2015 Monterey 238 Super Sport Anniversary edition** This boat is equiped with a Mercruiser 350 Mag MPI Bravo III.    This boat has been in freshwater only and has been perfectly maintained per Mercruiser scheduled maintenance and listed products by dealer. The 238 is a true super sport and is an awesome boat, great ride and handles beautifully, easily towed behind a half ton truck. Boat comes with Tandem axle trailer.  Check out Monterey web site for full specs and  many standard options. Currently stored indoor heated storage. Non standard options included with this boat: Canvas: Bow & Cockpit Cover  - Cockpit: Convenience Pkg (Depth Sounder, Compass, Transom Tilt Switch), Portside Fwd/Aft facing Lounger, Fusion Stereo with Remote at Helm and stern - Engine: Mercruiser 350 MAG MPI CAT BR III 300hp -  Exterior: Docking Lights, Accent Stripe, Removable Ski Tow Pylon, SeaDek Swim Platform Inlay,  Stainless Pkg. (Pop up Cleats, SS bow plate, Bow rails, SS Cup holders, SS Grab handles)  - Interior: Anniversary Edition Interior /w snap in wooven carpet. NO PAYPAL OFFERS",230,5902670588,41.434900,23,-82.706300,Monterey,"https://maps.google.com/maps/preview/@41.434900,-82.706300,16z",238 super sport,$48900,power, (Sandusky),2015 Monterey 238 SS - Bow Rider,https://sandusky.craigslist.org/boa/5902670588.html,2015
1,like new,"['41.434900', '-82.706300']",2016-12-20 18:45,"2008 Sea Ray 290 SLX SunSport All Original, Lake Erie boat since new, ordered with many extras. 2nd Owner. Very, very clean boat. You will not be disappointed. Vinyl in like new shape. New canvas in 2014. No trailer. Feel free to call or text for questions or more information. show contact info $60,000 -Mercruiser 496 Mag (180hrs) -Bravo 3 Outdrive -Smartcraft electronic throttle control system, and computer -Windless anchor -Extended swim platform (ordered from factory) -Vacuflush head system -Cabin and deck refrigerators -Cabin, Bathroom, and wet bar sinks -Microwave -Transom Shower -Comes with many extras, can't mention all of them",180,5927496773,41.434900,32,-82.706300,Sea Ray,"https://maps.google.com/maps/preview/@41.434900,-82.706300,16z",SLX Sun Sport,$60000,power, (Sandusky),2008 Sea Ray 290 SLX SunSport,https://sandusky.craigslist.org/boa/5927496773.html,2008
2,fair,"['39.042800', '-82.647200']",2016-12-20 17:37,"10 ft. 1989 model.  No rips or tears. Seat oars, floor brackets, motor mount.  NOW FOR THE BAD BOAT WILL NEED REGLUED.  Boat sold for over $1,000.00 in 1989.  Willing to trade for riding mower, powder actuated hunting items, quality tools or ???",,5927399919,39.042800,10,-82.647200,US Marine,"https://maps.google.com/maps/preview/@39.042800,-82.647200,16z",,$200,power," (Jackson, Ohio)",US Marine inflatable boat project,https://sandusky.craigslist.org/boa/5927399919.html,1989
3,new,"['41.434900', '-82.706300']",2016-12-20 14:49,"79 Marinette 37' Double Cabin Fly Bridge Excellent Condition You will not Find A Better Marinette on the lake Perfect Family/Live aboard -Electronics:	Trimble chart plotter, fish finder with speed and log, sterio/cd player with 4 speakers, new ship-to-shore w/hailer. -All safety equipment -1 full and 1 half heads -40 Gal. Fresh water, 80 Gal. Waste -Twin 440 Chrysler 330 HP engines rebuilt 1997 250 Hrs. -Onan generator. -2 new ""CruiseAir"" Heat and Airconditioning 2002 -New paint complete 2002 -Bottom Sand Blasted and interprotect 2002 -New canvas complete 2007 -New exterior carpet 2007 -New icemaker 2014 -New refrigerator 2014 -New Corian countertops 2004 -New mattresses 2004 -Total engine tune-up May 2007 -New Bridge seats 2003 -Davits with Walker Bay Dinghy and Motor -New furnishings 2013 - 1.2 Miles per Gallon Many more upgrades and extras.",,5891330388,41.434900,37,-82.706300,Marinette,"https://maps.google.com/maps/preview/@41.434900,-82.706300,16z",37  DCFB,$32900,power, (Sandusky),37 Marinette  Turn Key,https://sandusky.craigslist.org/boa/5891330388.html,
4,,"['40.535900', '-85.661600']",2016-12-20 06:40,"For sale is a 1985 28' Carver cruiser that is in above average condition for its age.We purchased this boat two years ago with intentions of putting it on Lake Michigan. Our plans have changed and the boat is for sale.As I stated the boat is in good condition but still needs some attention. The boat will need canvas the bottom paint finished and a few minor items fixed.I will sell the boat for 8,150 without trailer.I will sell it with trailer for 10,650.The trailer is a 2004 Performance in very good condition.The trailer is probably a little small for the boat if you were going to trailer full time, if you were going to use it twice a year to transport to lake it would do fine.I towed it 300 miles when I purchased it. This is a very roomy boat for being only 28' long.The boat is powered by a single Crusader 454 direct drive inboard.Call with questions.Possible partial trade. Review: Every manufacturer seems to have key luck with some of its selected models. For its part, Carver certainly did well with the 28-foot Riviera during its production run in the 1980s. It is a compact family cruiser whose relatively affordable price and unique two-cabin layout, struck a responsive cord with many boaters. I remember these boats being so popular that it wasn't uncommon to see several of them moored in close proximity to one other. We recently checked out a 1986 model. Built on a solid fiberglass hull, this unique model features an open-air center cockpit. The wraparound windshield offers great visibility and the large side windows offer great cross ventilation. The canvas top can also be easily removed; this can even be one in two separate sections for ultimate versatility. The port side of the cockpit features a cockpit table, which can be converted to a small, yet functional, berth when not in use. A handy movable backrest allows four to sit around the table and reveals a large passenger seat up forward when flipped to the aft position. Just ahead of the passenger seat is a large storage locker that doubles as a dry bar. Below the raised seat, you'll find plenty of additional storage for large items such as fenders and safety gear. Off to starboard, the helm area features a functional dash with plenty of room to flush and surface-mount electronics. The helm seat is quite large and below it you will even find more storage space. The forward cabin of the Riviera is quite spacious and offers ample headroom throughout. The galley to starboard features an alcohol/electric stove, built-in overhead toaster over, under-counter refrigerator, and ample counter and storage space. To port, there is a roomy head compartment, which again offers lots of headroom and a comfortable amount of space. A large U-shaped dinette encompasses the forward part of the main cabin and the high/low table converts this area to a very spacious berth. Additional sleeping accommodation can be found in the aft cabin, which features its own private entrance from the aft area of the cockpit. Here you'll find a single berth to starboard and a double berth to port. Also featured is a large storage locker between the beds, complete with mirrored doors and a vanity sink.",,5926557428,40.535900,28,-85.661600,,"https://maps.google.com/maps/preview/@40.535900,-85.661600,16z",,$8050,power," (Marion,IN)",1985 Carver 2807 Carver Riviera,https://sandusky.craigslist.org/boa/5926557428.html,
5,excellent,"['41.040700', '-82.513300']",2016-12-19 20:42,WE HAVE ALL SIZES .AND ALSO TAKE IN MOST TRADES CHECK US OUT CALL FOR ALL YOUR BOATING NEEDS,,5889230273,41.040700,111,-82.513300,,"https://maps.google.com/maps/preview/@41.040700,-82.513300,16z",,$1,power,,OUTBOARDS FOR SALE,https://sandusky.craigslist.org/boa/5889230273.html,
6,good,"['41.040700', '-82.513300']",2016-12-19 20:42,SHORT SHAFT TILLER JUST DONE CARB RUNS GOOD,,5898600777,41.040700,111,-82.513300,,"https://maps.google.com/maps/preview/@41.040700,-82.513300,16z",,$300,power,,1956 10 HP JOHNSON,https://sandusky.craigslist.org/boa/5898600777.html,
7,excellent,"['41.040700', '-82.513300']",2016-12-19 20:42,LONG SHAFT TILLER TUNED AND READY HAS CHARGING SYSTEM MAY CONSIDER TREADS,,5898596817,41.040700,111,-82.513300,,"https://maps.google.com/maps/preview/@41.040700,-82.513300,16z",,$600,power,,6 HP EVINRUDE,https://sandusky.craigslist.org/boa/5898596817.html,
8,good,"['41.040700', '-82.513300']",2016-12-19 20:41,MOTOR HAS BEEN SERVICED AND WINTERIZED LONG SHAFT TILLER HANDEL PULL START MAY CONSIDER TRADE IN'S  !! NO TEXTING WILL NOT REPLY !! NO CALL'S AFTER 8PM THANK YOU,,5904344059,41.040700,111,-82.513300,,"https://maps.google.com/maps/preview/@41.040700,-82.513300,16z",,$700,power,,9.9 HP EVINRUDE,https://sandusky.craigslist.org/boa/5904344059.html,
9,good,"['41.040700', '-82.513300']",2016-12-19 20:41,MOTOR HAS BEEN SERVICED AND WINTERIZED LONG SHAFT TILLER HANDEL TRADE IN'S CONSIDER NO CALL'S AFTER 8 PM !!NO TEXTING WILL NOT REPLY,,5904352596,41.040700,111,-82.513300,,"https://maps.google.com/maps/preview/@41.040700,-82.513300,16z",,$600,power,,6 HP EVINRUDE,https://sandusky.craigslist.org/boa/5904352596.html,
10,good,"['41.040700', '-82.513300']",2016-12-19 20:41,MOTOR HAS BEEN SERVICED AND WINTERIZED LONG SHAFT TILLER HANDEL HAS BUILT IN TANK TRADE IN'S CONSIDERS NO CALL'S AFTER 8 PM !!NO TEXTING WILL NOT REPLY!,,5904360304,41.040700,111,-82.513300,,"https://maps.google.com/maps/preview/@41.040700,-82.513300,16z",,$500,power,,4.5 JOHNSON,https://sandusky.craigslist.org/boa/5904360304.html,
