,condition,coord_pair,date,description,engine hours (total),id,lat,length overall (LOA),long,make / manufacturer,map_URL,model name / number,price,propulsion type,region,title,url,year manufactured
0,,,2016-12-19 08:48,Inflatable 250 sevylor boat w/ 1.2 outboard. Member or the zodiac. I made motor mount and deck so you can stand in it. Its registered ready for the lake 250 obo. Text for pics,,5925246089,,7,,,,,$250,power,,Sevylor 25o inflatable w/ 1.2 outboard,https://zanesville.craigslist.org/boa/5925246089.html,
1,like new,"['39.717400', '-82.201900']",2016-12-18 18:30,12 ft long 48 in wide like new   Boat $500 also have Minn Kota 40 lb thrust Trolling motor for  $125 show contact info,,5891298371,39.717400,12,-82.201900,,"https://maps.google.com/maps/preview/@39.717400,-82.201900,16z",,$500,human, (NewLexington),12 ft Pelican jon boat,https://zanesville.craigslist.org/boa/5891298371.html,
2,,"['39.688695', '-81.885052']",2016-12-17 18:27,needs a little love but good boat runs good 28hp jhonson trolling motor make offer,,5923629215,39.688695,16,-81.885052,bass america,"https://maps.google.com/maps/preview/@39.688695,-81.885052,16z",,$1750,power,,16 ft flat bottom,https://zanesville.craigslist.org/boa/5923629215.html,1993
3,like new,"['39.853900', '-82.121300']",2016-12-16 11:43,"nice  boat,motor run,s great,,,nice trailer,pull,s great.b.o.,,,,,it,s a great boat,for fishing or just haveing fun...cell. show contact info boat run,s  thank,s",,5894712978,39.853900,18,-82.121300,,"https://maps.google.com/maps/preview/@39.853900,-82.121300,16z",,$750,power,,1984.EBBTIDE    18 foot inboard 190hp,https://zanesville.craigslist.org/boa/5894712978.html,
4,good,,2016-12-16 11:43,"nice little v bottom, with troling motor...call show contact info thank,s  has live well,great  little boat...first 2oo.oo gets a hell of a deal....  boat and trailer...",,5896562722,,12,,silverline,,,$200,power," (east,fultonham)",nice little v  bottom 200.00,https://zanesville.craigslist.org/boa/5896562722.html,
5,good,,2016-12-16 11:43,"nice little v bottom, with troling motor...call show contact info thank,s  has live well,great  little boat...first 2oo.oo gets a hell of a deal....  boat and trailer...",,5896560445,,12,,silverline,,,$200,power," (east,fultonham)",nice little v  bottom 200.00,https://zanesville.craigslist.org/boa/5896560445.html,
6,,,2016-12-13 16:29,"Please don't buy anything off of or sell anything to this guy, he is a piece of trash and cant be trusted. He needs to have a valid dealer's license or pay taxes on his profits he makes off of reselling these boats. He buys boats off of old people at less than marked value, never titles them in his name has a buddy who is a notary who signs the titles over to you. I have turned him into the Tuscarawas county auditor's department for title jumping along with the guy who does his titles. God forbid someone goes out and gets a real job and earns his money instead of using welfare cash to scam old people and re-sell items without paying taxes on his profits. Below is his number and his text from his posting. Wanted to buy 14 to 16ft fishing boat in nice condition. thank you.. show contact info",,5918043946,,99,,,,,,power,,***Warning*** Looking for 14ft to 16ft fishing boat,https://zanesville.craigslist.org/boa/5918043946.html,
7,,"['39.927400', '-82.004100']",2016-12-11 22:01,12ft fishing kyack for sale. Weight limit 500lbs. Very good condition. Used only five times. Nice Christmas gift for someone.,,5915616427,39.927400,12,-82.004100,,"https://maps.google.com/maps/preview/@39.927400,-82.004100,16z",,$350,human, (Zanesville),Kyack,https://zanesville.craigslist.org/boa/5915616427.html,
8,fair,"['39.933700', '-81.458000']",2016-12-11 12:21,"This is a 20 ft. hardtop cabin cruiser with an inboard 289 ford engine and a mercury out drive.  Needs some TLC to restore it to it's original beauty.  Including an duel axel EZ-Loader Trailer with updated hydraulic brake system.  The price is $3,000. or best offer.",,5914924352,39.933700,020,-81.458000,Slickcraft,"https://maps.google.com/maps/preview/@39.933700,-81.458000,16z",Slickcraft,$3000,power, (Senecaville),Slickcraft cabin cruiser,https://zanesville.craigslist.org/boa/5914924352.html,1973
9,,"['40.275400', '-81.866000']",2016-12-11 11:23,Boat needs some love.  Just no time.asking 500 obo.   Serious inquiries only please.  No motor with boat.  Must move,,5914848528,40.275400,16,-81.866000,Starcraft,"https://maps.google.com/maps/preview/@40.275400,-81.866000,16z",,$500,human, (Coshocton),1969. Starcraft,https://zanesville.craigslist.org/boa/5914848528.html,1969
10,,"['39.953500', '-82.491900']",2016-12-10 12:17,"COME VISIT US AT OHIOYAMAHA , COM ******** MAKE OFFER ******** * 2500cc MERCURY V6 210HP 2 STROKE * 26 GAL FUEL CAPACITY * 7.25 IN. STAINLESS STEEL  HIGH PERFORMANCE INTAKE GRATE * MAXIMUM CAPACITY 925LBS * LENGTH 16FT * BEAM 81"" * SUGAR SAND TRAILER INCLUDED",,5913619031,39.953500,15,-82.491900,,"https://maps.google.com/maps/preview/@39.953500,-82.491900,16z",,$6950,power, (HEBRON),2001 SUGARSAND TANGO 210 JET BOAT,https://zanesville.craigslist.org/boa/5913619031.html,
11,,"['39.953500', '-82.491900']",2016-12-10 11:05,"COME CHECK US OUT AT OHIOYAMAHA , COM SUN n SEA --RIO STEP JET BOAT--GREAT FUN LITTLE JET BOAT THIS IS A 15' RIO STEP JET - SAME AS A SUGAR SAND EXCEPT HAS A V6 2 STROKE POLARIS 135 HP MOTOR. HAS POLARIS ELECTRONICS AND IS A FUN GREAT SPORT BOAT. - POLARIS ENGINE HAS BEEN REBUILT BY SBT -VERY NICE CONDITION - RUNS GREAT - HAS A NICE SINGLE AXLE TRAILER - MAKE OFFER - SUBJECT TO OWNER CONFIRMATION - COME TAKE A LOOK !!! * * * MAKE OFFER !!!! ***",,5913466527,39.953500,17,-82.491900,,"https://maps.google.com/maps/preview/@39.953500,-82.491900,16z",,$4995,power, (HEBRON),2001 SUGAR SAND SUN N SEA JET BOAT,https://zanesville.craigslist.org/boa/5913466527.html,
