,condition,coord_pair,date,description,engine hours (total),id,lat,length overall (LOA),long,make / manufacturer,map_URL,model name / number,price,propulsion type,region,title,url,year manufactured
0,good,,2016-12-19 11:14,1994 Bayliner Capri 1700 LS 17 foot Fiberglass V- hull 120 HP Mercury Force outboard gas motor Seats 6 Interior in great shape EZ LOAD trailer Stereo and speakers New Battery New bilge pump Tune up on motor in July Set up ready to hit the water I'm asking $3500 but will accept any reasonable offer or trade. If interested please call or text me at show contact info,,5925745162,,17,,Bayliner,,Capri 1700 LS,$3500,power, (Pendleton),1994 Bayliner Capri 1700 LS 17',https://eastoregon.craigslist.org/boa/5925745162.html,1994
1,excellent,"['45.459402', '-117.962944']",2016-12-18 18:19,"1985 Seaswirl Spirit 16 Sterndrive, Open Bow, with OMC 2.5 Litre. Runs Great. Below is a partial list of extras that come with boat. I have receipts and amount i paid for items listed next to each item; New Bimini convertible top ($275), New 7-year storage cover ($332.97) (2) New deep cycle batteries ($209.36), one is spare and set-up on a solar charger ($26.48) New Reese Trailer winch ($30) (2) New trailer tires ($207.02) New submersible trailer lights, new pigtail and new wiring ($60) New anchor and line ($57.72) Emergency oars, the original Seaswirl Service Manual (worth $50-75) Complete tune-up and lubrication ($200) New ignition coil ($41.99) New radiator hoses ($42.20), new Pole Holders ($30), and much more. Total paid for the above listed extras alone comes to $1562.74 Boat also has a Hummingbird Fish/Depth Finder, CD Player/Radio,  E-Z Loader Trailer has just been Oregon Licensed in 2016. Asking $2,750. (Boat will sell for $4,000 next Spring). Also will consider partial trade for 4 x 4 Side by Side. Call Dennis Weekdays between 9-5 at show contact info or Weekends and; Evenings at show contact info",,5903912803,45.459402,16,-117.962944,Seaswirl,"https://maps.google.com/maps/preview/@45.459402,-117.962944,16z",Spirit 16,$2750,power," (Imbler, OR)",1985 Seaswirl Spirit 16 Sterndrive,https://eastoregon.craigslist.org/boa/5903912803.html,1985
2,new,,2016-12-17 20:36,ON Sale for $825 Available in Red or Silver. The Ultimate Stillwater boat and don't let the small size fool you. The Alpine is PLENTY of boat for flat water. Shallow Draft Low-Profile Double Pontoons Tough Vinyl bladders. Rear Motor Mount AND integral Anchor system Rear frame allows room for trolling battery. 6 ft break-down oars w/oar stops. Powder-Coated Steel Rowing frame Stripping apron Super-padded Twin side bags Boat weight: 50 lbs load capacity of a whopping 300 lbs,0,5903288903,,8,,,,alpine,,human,,The Alpine is PLENTY of boat for flat water,https://eastoregon.craigslist.org/boa/5903288903.html,
3,excellent,"['45.845000', '-119.284900']",2016-12-16 08:26,"2000 Woolridge Sport Mercury 115 ho outboard, Honda 9.9 hp kicker, minkota front mounted trolling motor with hand control. Lowrance 7"" fish finder, full top almost new. Motor has around 150 on it and runs excellent",150,5881378819,45.845000,18,-119.284900,Woolridge,"https://maps.google.com/maps/preview/@45.845000,-119.284900,16z",Sport 2000,$18000,power, (Hermiston),2000 Woolridge Sport,https://eastoregon.craigslist.org/boa/5881378819.html,2000
4,,"['45.201900', '-117.853600']",2016-12-16 07:34,Great shape.  Boat only.  Older and heavy duty.  Takes 2 people to lift.,,5916505172,45.201900,12,-117.853600,,"https://maps.google.com/maps/preview/@45.201900,-117.853600,16z",,$400,human, (Union),Gamefisher 12 foot fiberglass boat,https://eastoregon.craigslist.org/boa/5916505172.html,
5,new,"['47.266600', '-122.243500']",2016-12-14 15:52,"Owners 2017 Phoenix 921 PHX -Yamaha 250 SHO, Yamaha digital gauges, Twin 8 foot Blade Power Poles, Dual console, 4 Bank Charger, Custom Travel Cover, Hydraulic Jack Plate w/Gauge, Padded Deck, Garmin 7610 & 7608XSV Graphs with down, side and forward transducers, 36V MG Troll MTR, Velocity Wheels. Boat with options list for over $76K. Not currently registered as you will be first owner with all new factory warranties. Bass boats, Phoenix, bass boat, Garmin, Power Pole",19,5919711416,47.266600,21,-122.243500,Phoenix,"https://maps.google.com/maps/preview/@47.266600,-122.243500,16z",921 PHX,$73500,power, (Pacific),Phoenix 921 PHX,https://eastoregon.craigslist.org/boa/5919711416.html,2017
6,good,,2016-12-12 20:01,2001 centurion wakeboard boat I am putting the value and everything it has in the pictures.    Thanks for looking,800,5917128405,,21,,,,,$15000,power,,2001  centurion wakeboard,https://eastoregon.craigslist.org/boa/5917128405.html,
7,,"['44.417100', '-119.112100']",2016-12-12 15:27,"14' Fiberglass drift boat, complete with anchor, oars, life vests, whistle, cooler. Ready to fish!",,5916841247,44.417100,14,-119.112100,,"https://maps.google.com/maps/preview/@44.417100,-119.112100,16z",,$1500,human, (Mt. Vernon),Boat,https://eastoregon.craigslist.org/boa/5916841247.html,
8,excellent,"['45.948600', '-118.391200']",2016-12-12 11:13,"For sale, 2004 Tracker V12 with good running Johnson 25hp motor,  custom heavy duty trailer,  new minn kota trolling motor with new deep cycle marine battery and charging/power center,  2 life jackets, rod holders, fuel tank.  Clean Oregon title.",,5916444743,45.948600,12,-118.391200,Tracker,"https://maps.google.com/maps/preview/@45.948600,-118.391200,16z",Guide V12,$2200,power, (Milton-Freewater),nice little boat with all extras,https://eastoregon.craigslist.org/boa/5916444743.html,2004
9,good,"['44.895300', '-117.113200']",2016-12-10 03:00,22 foot 1993 amearican jet jet boat hard top new upholstery new455 olds motor stick stearing heaters sleeps 4 this is a great boat has a wiring prob no spark am willing to trade for motor home  or fifth wheel trailer close to same vaue,0,5913271656,44.895300,22,-117.113200,Amearican jet,"https://maps.google.com/maps/preview/@44.895300,-117.113200,16z",,$9000,power, (Halfway ore),Amearican jet jet boat,https://eastoregon.craigslist.org/boa/5913271656.html,1993
10,,"['44.826576', '-117.762493']",2016-12-09 18:30,Old boat on trailer that my dad bought before he passed. Will throw in a Johnson 70 boat motor.,,5913059413,44.826576,17,-117.762493,,"https://maps.google.com/maps/preview/@44.826576,-117.762493,16z",,$350,power,,17 ft boat and motor,https://eastoregon.craigslist.org/boa/5913059413.html,
11,excellent,"['45.209197', '-117.866647']",2016-12-08 12:38,"14' Lowe ""sea nymph"" includes trailer, 4 HP Mercury 2 cycle outboard, 44 lbs thrust Minn kota trolling motor, oars, downrigger, fuel can, life vests, and anchor. All in great shape 1500.00",,5882568008,45.209197,14,-117.866647,Lowe,"https://maps.google.com/maps/preview/@45.209197,-117.866647,16z",Sea nymph,$1500,power, (Union),14' lowe alluminum fishing boat,https://eastoregon.craigslist.org/boa/5882568008.html,2002
12,excellent,"['45.807400', '-118.373300']",2016-12-06 20:26,UHMW bottom leelock anchor square top oars with wood spare 3 storage row seat 2 removable sliding dry box with 3 seats baker galvanized  trailer,,5908845503,45.807400,18,-118.373300,koffler,"https://maps.google.com/maps/preview/@45.807400,-118.373300,16z",,$8000,human, (weston),koffler 18ft high side drift boat,https://eastoregon.craigslist.org/boa/5908845503.html,2010
13,good,"['45.212573', '-117.868870']",2016-12-06 16:56,"1988 Bayliner Trophy and 1996 Ford F-350 Truck and boat have no known issues. Truck has nice tool box/camper. Bat shit insane bitch forces sale. My lose is your gain. Can be seen in Union Oregon.$7500 for both, truck worth $3900, Boat worth $5500.",40,5908642254,45.212573,26,-117.868870,Bayliner,"https://maps.google.com/maps/preview/@45.212573,-117.868870,16z",Trophy,$7500,power, (Union),1988 Bayliner Trophy and truck,https://eastoregon.craigslist.org/boa/5908642254.html,1988
14,excellent,"['45.660500', '-118.783100']",2016-12-04 21:27,"Boat is in great shape and has been taken very good care of.  It is all set up for fishing in the Columbia. I hate to sell it but we are moving to Nevada and I wont have as much use for it down there.  The boat has a 40HP oil injected 2 stroke that runs perfect, a brand new Garmin fish finder, 4 fish on rod holders, 5 Life jackets, all safety gear, a cd player and 4 speakers, a bimimi top, extra prop, maintenance supplies and more that I'm sure I am forgetting.  The bot does not leak a drop. Literally I can spend an entire day in the Columbia in rough water and not have a drop when I pull the plug. Currently the boat has a 70lbs Minn-kota Ipilot with 2 new batteries mounted on it.  I will include for $6500 otherwise, I will take $5500 OBO.  Please call and leave a message or text.",,5905851105,45.660500,175,-118.783100,,"https://maps.google.com/maps/preview/@45.660500,-118.783100,16z",,$5500,power, (Pendleton),1989 Sea Nymph 175 Aluminum 40HP,https://eastoregon.craigslist.org/boa/5905851105.html,
15,,,2016-12-04 19:27,"2003 Custom Weld Storm with new 6.2L Supercharged LSA motor. American Turbine jet with Custom stainless impeller. Boat is painted with full carpet inside. Mercury 15 kicker motor with TR-1 gold autopilot Lowrance HDS 12 with structure scan. 6 speaker FOCAL stereo system, Navigation radio, Bennit power trim tabs. Boat is in amazing condition, 600 HP makes this a fun boat. Trailer has 17"" 10 ply radials, makes it pull very smooth. May consider partial trade for a Ford Deisel king ranch or Escalade possibly a toy hauler in the 30K range  plus cash, has to be a gooseneck with a large garage. Make an offer motivated to sell. Let's see what you have, let's make a deal. Text and I'll call back. 307-seven5one-809four",26,5905691512,,22,,Custom Weld,,Storm,$60500,power, (Bend),2003 Custom Weld Storm 6.2L Supercharged looking to trade,https://eastoregon.craigslist.org/boa/5905691512.html,2003
16,like new,,2016-12-04 15:18,"Also equipped with Faria Pilot I multifunction Instramentation to monitor speed, depth, distance, voltage, air and water temperature, and timer.  Other equipment include Kenwood stereo /CD player with four speakers, open bow seating, bimini top, boat cover, wakeboard tower, wakeboard rack, balast system, ski pylon, teak swim platform, dual batteries, and a wake trim tab with indicator.  I am the original owner. The boat has been used only in fresh water.  There is 83.8 hours on the boat as of this listing. The boat has 50 gallon fuel capacity.",,5905425696,,20,,,,,$15120,power, (Prineville),Ski Supreme V208 Sky......2007!,https://eastoregon.craigslist.org/boa/5905425696.html,2007
17,excellent,,2016-12-04 14:42,This is by far the best wake boarding boat out on the market and is the official X-Game boat of choice.  If you are looking for the ultimate wake boarding experience and cleanest wake and precision GPS guided Perfect Pass cruise control this is a must-have boat.,384,5905438474,,21,,Wakeboarding,,,$8100,power, (Mitchell),Mastercraft X Star Wakeboarding Boat ***All Upgraded,https://eastoregon.craigslist.org/boa/5905438474.html,1999
18,,"['45.662767', '-118.806324']",2016-12-04 08:55,"I'm getting out of the duck hunting game. Up for sale is a 1993 17ft Polar Kraft tunnel hull duck/ Fishing boat (Clean title in hand). The motor is a 1993 yamaha 2 stroke 55hp that has just been tuned and runs great. Brand new exide battery, minnkota 1 bank on-board charger and 55lb Minnkota v2 bow mount trolling motor. Also included is a Beavertail 1800 series duck blind and bowfishing platform.",,5904972445,45.662767,17,-118.806324,Polar Kraft,"https://maps.google.com/maps/preview/@45.662767,-118.806324,16z",MV1751,$5000,power, (Pendleton),17 ft Polar Kraft Duck/Fishing Boat,https://eastoregon.craigslist.org/boa/5904972445.html,1993
