,condition,coord_pair,date,description,engine hours (total),id,lat,length overall (LOA),long,make / manufacturer,map_URL,model name / number,price,propulsion type,region,title,url,year manufactured
0,,,2016-12-20 16:13,19 ft reinel has seats steering and aluminum gas tank and canvas too Selling all or parts need gone. Motor is complete asking 800 Tank 150 Top 175 Seats 175 Boat motor cover 175 Steering 175 Gauges 75 Trailer 450 Or whole boat for 1500 Title is lost but clear will help get new title if wanted,,5907061544,,19,,,,,,power,,18' reinell,https://klamath.craigslist.org/boa/5907061544.html,
1,excellent,,2016-12-20 16:13,I have a custom made kayak paddle 10ft long for sale in great condition Asking 100 obo Call or text only No emails No shipping,,5907061154,,10,,,,,$100,human, (Klamath falls),Custom made kayak paddle,https://klamath.craigslist.org/boa/5907061154.html,
2,excellent,,2016-12-20 16:13,"I have a very nice flat back canoe for sale can take up to a 5hp motor has 2 built in seats no holes or,no cracks no repairs in excellent condition. Comes with 2 life jackets a canoe cart and 2 paddles also has a clear title to register it and run a motor. Asking 550 obo. Text is best but if you call leave a message thanks No emails No trades No shipping",,5907072759,,16,,,,,$550,power, (Klamath falls),16 ft aluminum flat back canoe,https://klamath.craigslist.org/boa/5907072759.html,
3,new,,2016-12-19 20:50,"brand new drift boat trailers aluminum wheels, safety chains, back roller, boat guides, 2000 pound torsion axle, wired with LED lights $1499. I can build them standard or to your specs, 2""x4""x1/4"" toung and 2x4 frame. Catwalk $300, spare tire $225.....",,5926407177,,16,,Driftwood,,Driftwood,$1499,human, (Central point),drift boat trailer manufacturer,https://klamath.craigslist.org/boa/5926407177.html,2016
4,,,2016-12-19 11:53,"Every thing to go fishing ! have reciepts for tune up etc. Nice little boat !  to old;to fat, don't need any more ! price firm at this time ! show contact info before 7 pm. title in hand ! NO TEXT PLEASE!",,5925808032,,12,,,,,$1000,power, (klamath),"12' valco  aluminum boat ,trailer,motor",https://klamath.craigslist.org/boa/5925808032.html,
5,,"['42.191900', '-121.724100']",2016-12-18 20:31,This add is for a used 12' Lowe jon boat with trailer and 7.5 Honda moter. Also comes with electric trolling motor and flotation devises. Comes with a new set of oars and gas can and gas line. Motor has been completely gone through and runs excellent. I have the title so it can be licensed again. Has seats and newer tires on trailer. This boat is ready to use. For more info call show contact info,,5902936378,42.191900,13,-121.724100,,"https://maps.google.com/maps/preview/@42.191900,-121.724100,16z",,$2000,power, (klamath falls OR),Lowe 12' boat with trailer / motor,https://klamath.craigslist.org/boa/5902936378.html,
6,excellent,"['42.287000', '-122.928000']",2016-12-18 15:08,"Barely used, 17 ft by 54 in Fish box Anchor system Lots of storage under seats Set of oars and trailer 4800 OBO Need to get rid of it",,5924738263,42.287000,17,-122.928000,Fishrite,"https://maps.google.com/maps/preview/@42.287000,-122.928000,16z",,$4800,human," (Medford, OR)",Fishrite Drift Boat 2006,https://klamath.craigslist.org/boa/5924738263.html,2006
7,,"['42.278798', '-121.425951']",2016-12-16 12:58,I have title for the bout and tralier in hand. Im moving and need to sell its a sweet bout come out and give me a offer.. Tires on trailer like new,,5922158195,42.278798,19,-121.425951,,"https://maps.google.com/maps/preview/@42.278798,-121.425951,16z",,$700,power, (Bonanza),Nice bout,https://klamath.craigslist.org/boa/5922158195.html,
8,,"['42.278798', '-121.425951']",2016-12-16 12:56,I have title for the bout and tralier in hand. Im moving and need to sell its a sweet bout come out and give me a offer.. Tires on trailer like new,,5922154592,42.278798,19,-121.425951,,"https://maps.google.com/maps/preview/@42.278798,-121.425951,16z",,$700,power, (Bonanza),Nice bout,https://klamath.craigslist.org/boa/5922154592.html,
9,,"['41.727830', '-121.932540']",2016-12-13 09:41,"Trailer is a shorelander tadpull universal adjustable with water walks and new tires Boat is 12 ft Klamath trail boat. Comes with 7.5 HP 2stroke mercury outboard 1950s 5.5 horse 2 stroke back up moter (seahorse) minnikota trolling electric meter with 3 speed 50lb thrust. Hummingbird fish finder, anchor life jackets built in storage boxes swival seats pole holders and bilage pump. Needs battery.",100,5874703187,41.727830,12,-121.932540,Klamath,"https://maps.google.com/maps/preview/@41.727830,-121.932540,16z",Shorelander,$1200,power, (Price drop),Fishing boat w/trailer,https://klamath.craigslist.org/boa/5874703187.html,1980
10,,"['42.235757', '-121.824371']",2016-12-11 07:36,"1992  Caylpso Rigid Inflatable, 8.5 ft.    This is a hard shell bottom with inflatable sides. Very durable and seaworthy. Has clear title.",,5914791510,42.235757,8,-121.824371,Caylpso,"https://maps.google.com/maps/preview/@42.235757,-121.824371,16z",,$400,power,,RIB Inflatable,https://klamath.craigslist.org/boa/5914791510.html,1992
11,,,2016-12-11 07:31,"Very nice, good condition 2006 Bayliner 175 Stored in a garage and never outside. Very well taken care of with low hours. Comes with a Bimini cover, nice boat trailer, and a indoor storage cover. 3.0 liter Mercruiser motor. One owner and title in hand. Serious inquiries only!!",,5878316376,,175,,,,,$11500,power, (97603),2006 BAYLINER 175. EXCELLENT CONDITION,https://klamath.craigslist.org/boa/5878316376.html,
12,good,"['42.336300', '-122.839800']",2016-12-10 20:43,"This is a twenty one foot Alumaweld Intruder with a 175 hp Mercury Sport Jet. Has a Lawrance GPS, fish finder, depth sounder on it, a VHF radio. A Rouge trailer with spare tire.Trailer bearings just replaced. All new upholstery. Boat runs great. 2009 9.9 high thrust Mercury kicker. The main motor has 910 hrs on it. It doesn't have the side curtains or the back drop to make it fully enclosed. It does have Scotty downrigger mounts that are all wired in all ready. Any further questions feel free to contact me. Thanks for looking.",910,5914475369,42.336300,21,-122.839800,Alumaweld,"https://maps.google.com/maps/preview/@42.336300,-122.839800,16z",Intruder,$16500,power, (Medford),2002 21' Alumaweld Intruder Jet Boat,https://klamath.craigslist.org/boa/5914475369.html,2002
13,excellent,[],2016-12-09 23:08,"We have a 2004 Four Winns inboard/outboard with less than 50 hours on it for sale. The boat has white leather seats, spinning captains chairs, am/fm cd player. It has a built in depth finder wood steering wheel, bimini top and full canvas cover, swim platform, and lots of storage. It comes with a tandem axle matching trailer. Very easy to pull and park. If I can do it anyone can. We have had it up to 48 MPH. It goes very fast and has great pickup. Corners like a dream at speed. Easy to maneuver in the water. Comes with toys, skis, ropes, fenders, swim ladder, sink (yes a sink). Wife loves sitting in the bow reclining. We are selling because the lake here is not good for a white boat.  Asking $22,500.00 obo. It has been winterized because of where we are so can't run it until spring but it is in good mechanical condition which can be verified by area mechanic.",,5913233763,,26,,Four Winns,https://maps.google.com/?q=loc%3A+Empress+Ave+at+Fox+Hollow+Eugene+OR+US,194 Fun Ship,$22500,power, (Eugene),2004 Four Winns 194 Funship,https://klamath.craigslist.org/boa/5913233763.html,2004
14,excellent,,2016-12-07 19:42,2008 Riverhawk fishing boat. Great shape. Always kept very clean. HDS7 LOWRANCE fish finder with side scan.  90 horse Mercury with 360 hours. Adjustable rod holders. Ready to fish. Very clean and comfortable.,360,5910289925,,18,,Riverhawk,,,$14200,power, (Yreka),2008 Riverhawk fishing boat,https://klamath.craigslist.org/boa/5910289925.html,2008
15,good,"['42.191900', '-121.724100']",2016-12-05 15:56,Lowe bass boat. 35hp and electric trolling motors. Both run great. Live well. Mounts for 2 down riggers and pole holders. 2 batteries. $3500 OBO.,,5907057379,42.191900,15,-121.724100,Lowe,"https://maps.google.com/maps/preview/@42.191900,-121.724100,16z",,$3500,power,,Lowe Bass Boat,https://klamath.craigslist.org/boa/5907057379.html,1989
16,excellent,,2016-12-05 10:18,"It's been an awesome wakeboarding/surfing boat! I have no complaints about this machine. It's got tons of room and plenty of power to tow multiple boarders or tubes! Very well taken care of has been serviced every spring and fall. Always garaged, Ballast, Tower, Speakers, Cruise, on board heater. Loaded. Completely detailed call or text me show contact info",,5879209799,,23,,Moomba,,Mobious,$28000,power, (klamath Falls),2007 Moomba wakeboard boat,https://klamath.craigslist.org/boa/5879209799.html,2007
17,new,,2016-12-05 09:57,"Frameless Pontoon Boat, Portable 1-person inflatable pontoon fishing boat; comes with foot pump ,oar set ,carry bag, stow pouch ,side/stern bag, Weighs 42 pounds; measures nine by four feet inflated; weight capacity of 350 pounds Sets up in less than 10 minutes with no parts to assemble; fits in the trunk of a car Two built-in rod-holders; aluminum step bench/footrest; full fabric floor;",,5906474279,,9,,Sea Eagle,,#285 frameless Pontoon Boat,$450,human, (Klamath Falls),Sea Eagle 285 frameless Pontoon Boat,https://klamath.craigslist.org/boa/5906474279.html,
18,like new,"['42.191900', '-121.724100']",2016-12-04 19:38,"2011 16 1/2 foot Smoker Craft Tracer. Less than 50hrs. 60 horse mercury, 6 horse mercury kicker. Custom bra, full curtains, custom anchor system, full cover, fish finder, ez loader trailer, 4 seats, live well, bumpers, pole holders and 4 life jackets. Pristine with all the extras.   $18,500",50,5905772646,42.191900,16,-121.724100,Smoker Craft,"https://maps.google.com/maps/preview/@42.191900,-121.724100,16z",Tracer,$18500,power, (Klamath Falls),2011 Smoker Craft Tracer,https://klamath.craigslist.org/boa/5905772646.html,2011
19,excellent,"['42.336300', '-122.839800']",2016-12-04 09:30,"Renegade 8' 6"" J. W. Outfitters pontoon boat with tons of equipment: 1). Trolling Motor and Welded Bracket, Fins, Striping Basket, Rod Holders, Aluminum Cargo Deck, Anchor System With Anchor, Fish Finder Holder, Oar Holders, Padded Seat, Adjustable Foot Pegs, Double Action Barrel Pump, Water Proof Dry Bags. Sale: $350.00",0,5905023747,42.336300,8,-122.839800,J. W. Outfitters,"https://maps.google.com/maps/preview/@42.336300,-122.839800,16z",Renegade,$350,human, (East Medford),"J. W. Outfitters Renegade 8' 6"" Pontoon Boat",https://klamath.craigslist.org/boa/5905023747.html,
