,condition,coord_pair,date,description,engine hours (total),id,lat,length overall (LOA),long,make / manufacturer,map_URL,model name / number,price,propulsion type,region,title,url,year manufactured
0,good,"['42.052600', '-124.284000']",2016-12-20 17:39,I have a 1982 Bayliner Trophy for sale. Boat is powered by a 200 H.P. Black Max Mercury. Runs strong. 15 H.P. Mariner kicker- 2 props-2 cannon downriggers- 2 batteries- Fish finder-VHF Radio.Also comes with a nice tandom axle trailer. Axles were replaced 2 years ago. Surge brakes. Good stable fishing boat. $5995.,,5923682022,42.052600,20,-124.284000,Bayliner,"https://maps.google.com/maps/preview/@42.052600,-124.284000,16z",Trophy,$5995,power, (brookings),Bayliner Trophy,https://oregoncoast.craigslist.org/boa/5923682022.html,1982
1,good,,2016-12-20 15:27,"I bought this 1985, Bayliner boat 2 1/2 years ago but have never been able to use it.   Newly serviced in the past month and in ""turnkey condition"".  Ready to go.   The slip comes w/ the boat if you want it. The bottom of the boat was just professionally cleaned on October 11th. This is the highly sought after 2855 Ciera Sunbridge Designer's Choice model which Bayliner only made a very limited number of.   TOTAL 700 HOURS on the boat and less on the one new engine. Two new Tachs just installed New $645.00 ship to shore power cord and receptacle installed October 10th New Batteries and a New Pro-Series 20 Charger New Coils, Plugs, Fuel Filters, Fan Belts, Starters, Electronics, and Wiring TWIN 350 Chevy small block engines with twin Penta Volvo outdrives Trim Tabs/Hydraulic Garmin Fish Finder Garmin GPS JRC Radar-1500 MK2 Uniden Marine Radio/Telephone 2 CB Radios Full Galley with 2 Burner Electric or Alcohol Stove.  Microwave Vee Birth and Separate Captains Suite New Canvas Cover and New Pinstriping Head has a Masterater Pump 10 Gallon Water Heater AM/FM Stereo w/CD Player, Boat BBQ, Swim Bridge/Dive Platform Pressure Water System to make use of Sea Water for Clean-up Fresh Water Cooling System The boat is docked at the Newport Embarcadero.  Dock C, slip number M-136. No boat trailer, as seen in some of the photos. Sacrafice for $18000....less than I have into it.     Buyers Only-No Third Party Marketers or Lenders. Trish: show contact info or show contact info",700,5927443586,,30,,Bayliner,,2855 Ciera,$18000,power, (Newport),"BAYLINER--1985, 28.5 Ft. Cierra ""Designers Choice"" Gorgeous + Loaded",https://oregoncoast.craigslist.org/boa/5927443586.html,1985
2,good,"['43.432700', '-124.213100']",2016-12-20 13:57,1984 Marlin 20 ft very nice fishing and crabing ... tags good 17 trailer tagged till 18 4 poles and all the salmon gear net VHF radio fish finder ..as I'm going to be moving..call Ken show contact info,,5909958170,43.432700,20,-124.213100,Marlin,"https://maps.google.com/maps/preview/@43.432700,-124.213100,16z",,$4500,power, (North Bend),1984 Marlin and gear's,https://oregoncoast.craigslist.org/boa/5909958170.html,1984
3,good,,2016-12-20 12:28,"1979 Uniflite Mega, Twin FWC 350 Crusaders/V-Drives,  Hours on engines unknown, 2800 hours total time on boat.  Boat came with305 CID Crusaders. Replaced by Cook Engine Co, with 350 CID Crusaders.  Compression check showed 1 cylinder on each engine at #130.  Boat was stored for many years when that was done.....Will look at interesting trades. Trailer fishing boat???? Call for information show contact info",,5906626048,,28,,UNIFLITE,,MEGA,$12000,power, (Portland),"UNIFLITE MEGA  28X10'10""",https://oregoncoast.craigslist.org/boa/5906626048.html,1979
4,excellent,"['46.175440', '-123.735215']",2016-12-20 12:09,"What  I am listing here today is one of the finest small boars ever designed. The Cats Paw sailing Dinghy is the interpretation of Maine boatbuilder and designer Joel White, and is inspired by Herreshoffs classic Columbia Dinghy. Constructed to the highest standards. Careful attention to detail and use of quality materials ad to the pleasure of owning her. The simple elegance of the hull form and beautiful lines will make even the most discerning yachtsmen take notice. The Catspaw is easily managed by one person. She is great for a daysail or row and will be happy living at the dock or on a trailer in your garage. And, she is surprisingly seaworthy for such a small boat. This boat has light whitetopsides with a blue sheer. The inboard finish is a combination of varnished rails,  knees and Deks Olja matte for a rich transparent  finish that won't build up Custom sprit sails and a pair of leathered oars are included. A like new King trailer 12-14 1000 lbs. The price has been reduced from$7500 to $6500 for winter. For more information on this Catspaw Dinghy please contact Richard show contact info home show contact info cell Asking $ $6500.00",,5916805939,46.175440,12,-123.735215,catspaw sailing dinghy,"https://maps.google.com/maps/preview/@46.175440,-123.735215,16z",row boat,$6500,human, (ASTORIA OREGON),"12'8"" catspaw Rowing sailing dinghy PRICE REDUCED",https://oregoncoast.craigslist.org/boa/5916805939.html,2016
5,,[],2016-12-20 10:48,I have a Guiding permit on the Chetco River through the u.s. forest service. This is a very limited entry permit to operate business on the upper Chetco. All interested parties must qualify through the forest service to obtain this permit.,,5927081835,,18,,,https://maps.google.com/?q=loc%3A+p+o+box+%33%32%36%31+brookings+OR+US,,$7000,human, (brookings / harbor),Chetco River Forest Service guiding permit,https://oregoncoast.craigslist.org/boa/5927081835.html,
6,,"['42.052600', '-124.284000']",2016-12-20 10:13,"18 X 65 RiverCraft Driftboat Loaded 2004 18 X 65 Driftboat                                                   Cost $ 4995.00 Heavy Duty Baker Galv Trailer                                      $ 1800.00 Extras : Full Diamond plate Flat front floor                     $   600.00 Walk thru front bench W/ 3 fish on seats                       $   700.00 Walk around Rowers seat W/ storage & fish box          $   600.00 Heater W/fan & oven & Elec Bilge pump                       $   700.00 UHMW on bottom of Driftboat                                        $  1000.00 Rubber gunnel guard W/ 4 sliding rod holders               $    380.00 Front removable Anchor W/ nest & 20 # lead                $    340.00 Rear removable Anchor, center & side W/ 30 #             $    300.00 Flip Flap Rain Top on tracks                                           $    600.00 Total New Cost                                                              $12,015.00 Asking price  ( firm )                                                      $  7,000.00 David 541 698 70 two nine",,5926998580,42.052600,18,-124.284000,,"https://maps.google.com/maps/preview/@42.052600,-124.284000,16z",,$7000,human, (Brookings),Drift boat,https://oregoncoast.craigslist.org/boa/5926998580.html,
7,good,"['45.693711', '-122.638664']",2016-12-20 09:28,"Fishing boat ideal for bay fishing and crabbing. Perfect for day trips. Fitted with a davit arm to help pulling crab pots. Minimal use, in storage mostly. Powered by a Yamaha 85 HP outboard (valued at $4500) with Power Trim (valued at $700) E-Z Loader trailer (valued at $2000) Includes CB radio, bumpers, crab pot, fire extinguisher, anchors and more. Asking $7500, will consider offers.",150,5926948070,45.693711,16,-122.638664,Olympic,"https://maps.google.com/maps/preview/@45.693711,-122.638664,16z",,$7500,power," (Vancouver, WA)",16 Foot Day Fishing / Crabbing Boat,https://oregoncoast.craigslist.org/boa/5926948070.html,
8,excellent,"['44.533713', '-124.073069']",2016-12-20 06:35,"Twin Yanmar 6LPASX2 turbo diesel 315 horse power Refit in 2011 low hours 734 ZF transmission direct drive New ray marine electronics in 2014.radar ,auto pilot E127,A9,and E7 chart plotters with chirp.  nice cabin head with shower AC microwave fridge sink stove Oregon Limited entry resident ocean troll salmon. show contact info",734,5913658796,44.533713,33,-124.073069,Pursuit,"https://maps.google.com/maps/preview/@44.533713,-124.073069,16z",3250,$120000,power, (South beach Newport Oregon),Pursuit 3250 1990 33ft by 12ft,https://oregoncoast.craigslist.org/boa/5913658796.html,1990
9,,,2016-12-19 19:36,I have a single axle aluminum boat trailer for sale . It had an 18ft boat on it . It is a Silver Bullet brand trailer . I'm asking $500 dollars OBO,,5926354777,,18,,Silver Bullet,,,$500,power, (Coos Bay),Aluminum boat trailer,https://oregoncoast.craigslist.org/boa/5926354777.html,
