,condition,coord_pair,date,description,engine hours (total),id,lat,length overall (LOA),long,make / manufacturer,map_URL,model name / number,price,propulsion type,region,title,url,year manufactured
0,good,"['43.432700', '-124.213100']",2016-12-20 13:56,"1988 Marlin boat tagged tell 17 trailer tagged till 18 very good shape runs very good has VHF radio fish finder all salmon gear fore poles ,net call Ken 54153113nine1",,5909416103,43.432700,20,-124.213100,Marlin,"https://maps.google.com/maps/preview/@43.432700,-124.213100,16z",,$4500,power, (North Bend),1984 Marlin boat and gear,https://roseburg.craigslist.org/boa/5909416103.html,1984
1,good,"['43.390400', '-123.297400']",2016-12-20 12:59,"Classic crooks wooden boat with motor.  It does not run needs some work,  really nice though.  Also includes white trailer it has original seats and motor topper. Email questions must be able to haul the trailer may need tires.  OBO no trades please.",,5927283114,43.390400,16,-123.297400,,"https://maps.google.com/maps/preview/@43.390400,-123.297400,16z",,$10000,power, (Sutherlin),Classic boat with motor,https://roseburg.craigslist.org/boa/5927283114.html,
2,,,2016-12-20 11:32,"16 foot mirror craft aluminum with mercury 402 40hp. Motor is in excellent running condition. Has new stator and rectifier and wiring. Comes with controls 6 gallon gas tank, 3 seats,3 rod holders, anchor,rack and pinion steering with enough cable length to do a center console design and Trailer with bearing buddy's. Is ready for whatever floor plan you want to build. I checked prices of wood and carpet and sealant at home depot and it can be bought for less than 175 dollars if you want to do a full floor and side storage boxes and front live well.(was my plan). I am flexible on the price offers don't offend me unless you are just crazy low. It gets right on plane and tracks excellent and is really stable. PLEASE OFFER UP!! $1350.00 O.B.O  16'3"" long x 75"" wide x 36"" deep. Can test drive it at cooper Creek doesn't leak and runs great just needs the seats put in and whatever you want for a floor and steering console. Will also come with an evinrude 35 with the tiller handle. NEED IT OUT OF HERE THE CITY SAYS I HAVE TOO MANY VEHICLES.",,5898401036,,16,,Mirror craft,,,$1350,power, (Oakland),"PRICE DROP!!!!16'3"" mirror craft aluminum 40 horse mercury.",https://roseburg.craigslist.org/boa/5898401036.html,
3,,"['43.374500', '-123.535800']",2016-12-20 10:59,"1975 24' Reinell for sale.  New Prop, Engine was rebuilt 3 years ago, new tires and new axles on trailer. Yes it floats and goes! $3000. Cash only. Call Ray at show contact info or Karen at show contact info No out of state offers and no scammers, no cashiers checks.",,5896864822,43.374500,24,-123.535800,Reinell,"https://maps.google.com/maps/preview/@43.374500,-123.535800,16z",,$3000,power, (Umpqua),1975 24' Reinell with 302 quick sale,https://roseburg.craigslist.org/boa/5896864822.html,1975
4,,"['43.889400', '-85.881900']",2016-12-19 17:25,"This is a very clean 2002 Hyde 14'6"" Low Pro Drifter. Built solid out of aluminum with all the bells and whistles including tons of storage under all seating. Dual front seats with box, removable rear seat on box, rower's seat with storage too. Includes Rear Casting Brace, Oars, Anchor, and Solid Trailer. $6,495.00 Firm. Credit Card is ok for payment, and the boat can be delivered anywhere in the U.S. for additional cost. We are delivering another boat to the Oregon area in March. If deposit is made and you can wait we can arrange a discounted shipping fee! Please reply to ad via email for more information!",,5926237791,43.889400,14,-85.881900,,"https://maps.google.com/maps/preview/@43.889400,-85.881900,16z",,$6495,human," (Baldwin, MI)","2002 Hyde 14'6"" Aluminum Drift Boat - Low Pro - Loaded",https://roseburg.craigslist.org/boa/5926237791.html,
5,good,"['42.930700', '-123.278000']",2016-12-19 15:12,Boat has been in the water 10 times since 1986. Marine 6cyl Mercury engine and out drive needs to be thoroughly serviced and all components inspected prior to launch. Tires are new. Battery new. Hull and interior are in good shape. Boat with a little TLC will be a good family lake boat. Bass fishing and ski boat.,,5926094220,42.930700,18,-123.278000,Century,"https://maps.google.com/maps/preview/@42.930700,-123.278000,16z",Bronco ll  CEBCNO54G586,$4500,power, (canyonville),18Ft 1986 century bronco ll,https://roseburg.craigslist.org/boa/5926094220.html,1986
6,,,2016-12-19 04:43,12 foot flat bottom boat and Johnson motor plus trolling motor $750 or best offer.,,5891409650,,12,,,,,$750,power,,12 foot Aluminum Boat and motors,https://roseburg.craigslist.org/boa/5891409650.html,
7,fair,,2016-12-18 15:06,"This a Montgomery Ward Sea King, I believe it's a 1964.  It floats and but needs some work. Price includes trailer, a 1957 Johnson 10 hp outboard that doesn't run (unsure what's wrong with it) and Johnson throttle controls. Trailer is decent condition, has a little rust and would need to be re-wired for lights. I have the title and its registered through 2017.  Contact for any additional info. Call or email please.",,5924736295,,14,,Montgomery Ward,,Sea King,$500,power, (Days Creek),14' Fiberglass Boat,https://roseburg.craigslist.org/boa/5924736295.html,1964
8,,"['43.229700', '-123.234300']",2016-12-18 14:55,"13 ft Wooden Boat with 20 HP Johnson Sea Horse motor and trailer. The boat itself needs a bit of paint, which i have already started on, and maybe ""beef"" up the transom for the motor if you wish to use the 20 hp. Johnson 20 Seahorse motor runs great, never had any issues and starts right up. The trailer needs a coat of paint as well but works great. All of the trailer lights work, tilt bed works, hand wench works, brand new tires from Les Schwabs (maybe 80 miles on them), bearings where replaced when tires were installed. I have the wind shield and all emblems. Was going to restore and use for myself but am now expecting a new born baby and do not have the funds to restore in a timely manor. Need gone ASAP, would like to get $800 or best offer for the whole package. I might consider selling motor separately for the right price. If you need anymore info please call me.",,5924725329,43.229700,13,-123.234300,,"https://maps.google.com/maps/preview/@43.229700,-123.234300,16z",,$800,power, (97470),13 ft Wooden Boat,https://roseburg.craigslist.org/boa/5924725329.html,
9,good,,2016-12-18 14:17,"I have a clean title, in my name, for this classic Larson Tri-hull with a powerful Evinrude 100hp outboard. The motor is in great shape. Brand new carpet throughout the inside. The seats fold out so you can lay out in the boat. New uposltery on the front seats. The motor just needs a new coil ($40 part) and to be hooked up to the steering. This boat would be an awesome lake boat or bay boat. The motor could also use a new propellor.",1,5924681892,,16,,larson,,tri hull,$1000,power, (roseburg),Larson Tri Hull,https://roseburg.craigslist.org/boa/5924681892.html,1971
