,condition,coord_pair,date,description,engine hours (total),id,lat,length overall (LOA),long,make / manufacturer,map_URL,model name / number,price,propulsion type,region,title,url,year manufactured
0,good,"['44.991000', '-122.762700']",2016-12-20 17:33,"PLEASE ..... DO NO TEXT MESSAGE or TEXT PICTURES .... For Sale or Trade .... 2 Jet Ski's and Trailer ....  a 1995 Yamaha Wave Runner III GP and a 1995 Yamaha Wave Raider Deluxe  ....  We have owned both of them for 7 summers and used only on our private pond . Don't know before then ..... Both were running 2 summers  ago  and have been parked for the last 2 summers .... I pulled them out of storage a few weeks ago to start and make sure they were ready for winter and do a power wash on them  ... BUT , both batteries were dead and they would not charge ... so since they are not getting used  ... I decided I would just sell as is ...  and let someone else buy the batteries ...  so I have priced them low enough for someone to get them running again ...   I see similar  Jet ski's selling in the $1500.00 range each ...  and the dual trailer's in the $1000.00 range ... Also ... trailer lights work ... takes a 2 inch ball ... tires are 75 % or better ... bearings are tight and have bearing buddies which I greased ... and has jet ski covers .... I have titles ........... $2000.00 for 2 jet ski's and trailer  ( will not break up ) =================================================== Or will trade for Vintage Fishing Lures ( I collect )  ...    No poles or Reels ... Or Vintage Ammo Boxes ( I collect )  .... and the older Storm Wiggle Warts for fishing the Willamette River  .... or things that shoot ... ========================================== PLEASE .... DO NOT TEXT ........... THANKS !! Email is BEST to get ahold of me  .... or Call ... DOUG at show contact info ( Silverton Oregon ) PLEASE .... DO NOT TEXT ........... THANKS !! ============================================================ Key Words .... fishing bass trout salmon steelhead pickup farm deer elk hunting camping vacation swimming  pool",,5923723394,44.991000,85,-122.762700,,"https://maps.google.com/maps/preview/@44.991000,-122.762700,16z",,$2000,power, (silverton),F/S or Trade ...   2 Yamaha Jet Ski's and Trailer  .. with Titles,https://salem.craigslist.org/boa/5923723394.html,
1,,,2016-12-20 15:48,"Selling my left Fiberglass boat.  Bought it last summer and started replacing parts and painting it, but decided to go a different route.  Has new transom, oars, outside rim and anchor.  Its been 3/4 repainted with marine paint.  Came with a 5h motor and was told it ran, but have never tried to start it.  Trailer included.  500.00 OBO.",,5927500449,,12,,,,,$500,human, (S. Sale.),12ft Fiberglass Boat,https://salem.craigslist.org/boa/5927500449.html,
2,excellent,"['44.844657', '-123.026834']",2016-12-20 12:34,"This 1994 ski boat looks as good as the day we brought it home! Only 220 hours, ALWAYS stored in heated garage. New bimini cover, AWESOME custom bluetooth stereo with tower speakers, Aluminum wakeboard tower. Upholstery and gel coat are in excellent shape. This boat is as nice as a new boat. Boat trailer has new tires. ready for your summer vacation... Call today serious inquiries only! TRADE FOR NEWER PARTY / PONTOON BOAT WILLING TO PAY DIFFERENCE!!! ALSO, WILL TRADE FOR NICE HARLEY, TRAVEL TRAILER OR MUSCLE CAR Thanks for looking. EMAIL ME FOR TRADES, PLEASE DO NOT CALL!!!!",220,5927191315,44.844657,21,-123.026834,Cheyenne  (Sanger),"https://maps.google.com/maps/preview/@44.844657,-123.026834,16z",Ski boat,$12900,power, (Salem),1994 Cheyenne Ski Boat,https://salem.craigslist.org/boa/5927191315.html,
3,excellent,"['44.749500', '-123.006000']",2016-12-20 12:14,I have a santiam drifter 16ft fiberglass drift boat for sale.  Seats 4 with removable seats in front and back.  Removable fish box in front and tons of storage. Has two quick draw rod holders in front for running plugs. Has two anchors 40lb and 25lb.  Tags good till end of next year. Trailer is in excellent shape along with the boat.  Has metal plate on back so you can add a motor to troll.  This boat is ready to fish.  Text or call best way to get ahold of me.  $4500 obo I'm located in Salem.,,5927217744,44.749500,16,-123.006000,,"https://maps.google.com/maps/preview/@44.749500,-123.006000,16z",,$4500,human, (Salem),santiam drifter drift boat,https://salem.craigslist.org/boa/5927217744.html,1989
4,good,"['44.958800', '-123.075300']",2016-12-20 12:02,"15' Bayliner, 50hp force motor. recent tune up, replaced gaskets, water pump. Has fish finder and trolling plate. Stereo 4 speakers, replaced carpet, added after market swivel chair, original driver seat included. Fully in closed cover. Life jackets and light pole. 2 - 6gal fuel tanks, 2 cycle outboard",,5927198991,44.958800,15,-123.075300,Bayliner,"https://maps.google.com/maps/preview/@44.958800,-123.075300,16z",Capri,$2400,power, (Salem),1989 Bayliner 15' Capri,https://salem.craigslist.org/boa/5927198991.html,1989
5,excellent,"['44.844657', '-123.026834']",2016-12-20 11:56,"This 1994 ski boat looks as good as the day we brought it home! Only 220 hours, ALWAYS stored in heated garage. New bimini cover, AWESOME custom bluetooth stereo with tower speakers, Aluminum wakeboard tower. Upholstery and gel coat are in excellent shape. This boat is as nice as a new boat. Boat trailer has new tires. ready for your summer vacation... Call today serious inquiries only! TRADE FOR NEWER PARTY / PONTOON BOAT WILLING TO PAY DIFFERENCE!!! ALSO, WILL TRADE FOR NICE HARLEY, TRAVEL TRAILER OR MUSCLE CAR Thanks for looking. EMAIL ME FOR TRADES, PLEASE DO NOT CALL!!!!",220,5927190645,44.844657,21,-123.026834,Cheyenne  (Sanger),"https://maps.google.com/maps/preview/@44.844657,-123.026834,16z",Ski boat,$12900,power, (Salem),1994 Cheyenne Ski Boat,https://salem.craigslist.org/boa/5927190645.html,
6,,"['44.805965', '-122.412695']",2016-12-20 11:35,I have 2 boats for sale 1st one has trailer and needs restored has title $500 OBO 2nd one is white with no trailer or title needs a little work comes with electric troller motor $200 OBO call or text for more info I need them gone ASAP!,,5895897354,44.805965,12,-122.412695,,"https://maps.google.com/maps/preview/@44.805965,-122.412695,16z",,,power,,"2 boats for sale ""TAKING OFFERS""",https://salem.craigslist.org/boa/5895897354.html,
7,like new,"['44.805965', '-122.412695']",2016-12-20 11:35,"I have up for grabs is a 12 ft dura boat. With adjustable smoker craft EZ load trailer new tires and new spare.  New fish finder lightly used minkota 35lb thrust trolling moter.  Lightly used Evinrude 15hp motor 2 down riggers 2 pole holders.  Sub pump.   It's fully loaded. I'm asking $2500 OBO or trade for a nice 4x4 all trades must be worth the same or more so let me know what you have or  Make a offer worse I can say is No, So call or text for more info and details.",,5890727084,44.805965,14,-122.412695,,"https://maps.google.com/maps/preview/@44.805965,-122.412695,16z",,,power,,"Very nice aluminum boat with extras ""MAKE OFFER""",https://salem.craigslist.org/boa/5890727084.html,
8,good,"['44.902600', '-122.907400']",2016-12-20 05:39,"Good 16' Lowe Jon Boat complete with motor and accessories. Motor is an electric start Johnson 15 hp long shaft. It had been on a sailboat, then in storage, so relatively low hours. Last year it had a tune up, new water pump, and the gear oil replaced. Included with the boat is a Minn Kota electric trolling motor, the padded swivel seats, oars, and a Scotty down rigger. Can include six brand new crab pots. The boat is a 1995, the trailer is a 2005 galvanized EZ Loader with side bunks. Clear title in my name, available most days and evenings for viewing. Contact info above, lowered price to $2800, or make offer.",,5885182611,44.902600,16,-122.907400,,"https://maps.google.com/maps/preview/@44.902600,-122.907400,16z",,$2900,power, (Salem),Ready to Fish - Boat and Accessories,https://salem.craigslist.org/boa/5885182611.html,
9,excellent,"['44.780529', '-122.618561']",2016-12-19 17:19,"16foot smoker craft osprey DLX ,new scottie downrigger 4 seats compass fish finder 4 fishing pole holders full new cover has 50 hp oil injected motor and a 9.9 2 cycle trolling moter the trailor is a easy load",100,5926231935,44.780529,16,-122.618561,smoker craft,"https://maps.google.com/maps/preview/@44.780529,-122.618561,16z",osprey DLX,$12500,power, (Lyons oregon),smoker craft,https://salem.craigslist.org/boa/5926231935.html,2001
