,condition,coord_pair,date,description,engine hours (total),id,lat,length overall (LOA),long,make / manufacturer,map_URL,model name / number,price,propulsion type,region,title,url,year manufactured
0,,"['39.933300', '-77.633301']",2016-12-19 11:40,We specialize in boat insurance for Pennsylvania! Call today to start saving: Rich Kahmer Insurance Phone: show contact info http://www.findlocalinsurance.com/pa-boat,,5891888353,39.933300,28,-77.633301,,"https://maps.google.com/maps/preview/@39.933300,-77.633301,16z",,,power,,Cheaper Insurance for your Boat,https://chambersburg.craigslist.org/boa/5891888353.html,
1,good,"['40.385423', '-76.938871']",2016-12-18 11:14,Tandem ocean kayak with paddles,,5924221659,40.385423,12,-76.938871,,"https://maps.google.com/maps/preview/@40.385423,-76.938871,16z",,$400,human, (Dauphin),Ocean kayak,https://chambersburg.craigslist.org/boa/5924221659.html,
2,,"['39.734650', '-77.612915']",2016-12-18 09:59,"Got on trade, did the carb and put a battery in it ran and floated then I believe the starter went. $200 or make offer want it gone think I am gonna keep the trailer",,5924141924,39.734650,6,-77.612915,,"https://maps.google.com/maps/preview/@39.734650,-77.612915,16z",,$200,power, (Waynesboro),Jet ski parts or repair,https://chambersburg.craigslist.org/boa/5924141924.html,
3,excellent,"['40.327700', '-78.392800']",2016-12-18 09:00,SEADOO GTX WITH DOUBLE TRAILER. BOTH ARE IN GREAT CONDITION NEED TO SELL ASAP WAS ASKING $2500 FOR BOTH BUT THEY NEED SOLD SO MAKE ME A OFFER,,5924092163,40.327700,11,-78.392800,SEADOO,"https://maps.google.com/maps/preview/@40.327700,-78.392800,16z",GTX,,power,,SEADOO GTX WITH DOUBLE TRAILER,https://chambersburg.craigslist.org/boa/5924092163.html,
4,,"['39.763500', '-77.567400']",2016-12-15 14:19,Up for sale is a 2001 a Eldebo Leisure Life Pontoon/deck Boat. Boat Is in good shape . needs cleaning  and they are hard to find .    Seats up to six people. Upholstery has a few minor tears  shape. Minn Kota 80# Thrust Motor; 3Deep Cycle Batteries; one is weak the other 2 can be charged up . Automatic On-Board Dual Bank Charger; Shade Canopy; Dual Bilge Pumps; Full Navigation Lights; Courtesy Lights; Lots Of Dry Storage Space; Bimini top canvas top included .  Entertainment Table; Safety Rails; trailer included. Trailer tires have been replaced. Trailer is in excellent condition as well. Asking $3200.00 obo no test  if serious give us a call at Seven 1 7 seven six 2 eight 8 seven 3,,5920678454,39.763500,13,-77.567400,,"https://maps.google.com/maps/preview/@39.763500,-77.567400,16z",,$3200,power, (Waynesboro pa),2001 Eldebo Electric Deck/Pontoon Boat,https://chambersburg.craigslist.org/boa/5920678454.html,
5,,"['40.447700', '-79.993300']",2016-12-09 02:18,Have many things to trade Looking for ready to run outboards no junk My games range from a few hundred each to thosands,,5880203620,40.447700,1,-79.993300,,"https://maps.google.com/maps/preview/@40.447700,-79.993300,16z",,$1,power,,Trade for good running outboards or jet ski,https://chambersburg.craigslist.org/boa/5880203620.html,
6,,"['39.124000', '-76.488000']",2016-12-02 21:34,1998 sea Ray bow rider signature select with trailer powered by a fuel injected 454 with bravo 3 dual prop drive hull has never been painted and is in excellent condition with the exception of the stickers starting to peal interior is also in good shape with a few minor stains and one small tear the only noticeable thing is the wood trim is fading the boat also just had a new water pump and gimbal bearing and is under 275 hrs also included is a trailer and Bimini top along with cockpit cover boat runs mid 50s very easy or will cruise 30 at only 3000 rpm extremely fuel efficient will also sell without trailer,,5884866255,39.124000,23,-76.488000,,"https://maps.google.com/maps/preview/@39.124000,-76.488000,16z",,$8900,power,,1998 searay signature select 230 bowrider speed boat,https://chambersburg.craigslist.org/boa/5884866255.html,
7,excellent,,2016-12-01 11:58,"This boat is set up for FULL Racing Outlaw. Powered by a completely re-worked Mercury ""850"" (85hp) bored out Motor. New Pumps New Gears and Complete Race Lower Unit. New HP rated at 100. Power Trim Unit Is on an additional Jack Plate Complete Re-Inforced with Alum Transom. This boat has been clocked at 114.53 MPH on Perfect Day Engine has KILL Switch, New Reel Valves and New Carb jets Electric Start with two (2) custom chopper props Call Jessica show contact info",,5860067236,,12,,Baja,,,$7000,power,,1984 Baja Boat with Trailer,https://chambersburg.craigslist.org/boa/5860067236.html,1984
8,good,"['40.244943', '-77.029438']",2016-11-29 22:12,"Great boat lots of extra's low hours for its age, garage kept. I'm selling this one cause I want a bigger one.",110,5898593718,40.244943,19,-77.029438,Bayliner,"https://maps.google.com/maps/preview/@40.244943,-77.029438,16z",195,$10000,power,,Clean great running boat!,https://chambersburg.craigslist.org/boa/5898593718.html,2004
9,,"['39.763500', '-77.567400']",2016-11-29 17:12,Im selling 12ft flat bottom boat with newer trolling motor and brand new battery 4 plastic oars 3 life jackets and anchor. Asking 500/obo serious people only if serious ill send pics text anytime between 7am-11pm. Have clean title,,5898217586,39.763500,12,-77.567400,,"https://maps.google.com/maps/preview/@39.763500,-77.567400,16z",,$500,power,,12 flat bottom boat,https://chambersburg.craigslist.org/boa/5898217586.html,
