,condition,coord_pair,date,description,engine hours (total),id,lat,length overall (LOA),long,make / manufacturer,map_URL,model name / number,price,propulsion type,region,title,url,year manufactured
0,good,"['42.721500', '-78.932700']",2016-12-20 13:33,16' Viking aluminum Deep V. She's an oldie but a goodie. 1969 Viking no leaks. Newer transom. 12 gallon portable tank newer battery. Lights work garmin stryker. Minn kota 55 lb. Thrust with battery. 1987 Johnson 50 hp 2 stroke. Starts right up. 2003 mercury 4stroke 6 hp kicker. Clean. Trailer.,,5895081288,42.721500,16,-78.932700,,"https://maps.google.com/maps/preview/@42.721500,-78.932700,16z",,,power,,16' Aluminum 2750,https://erie.craigslist.org/boa/5895081288.html,
1,,"['42.152078', '-80.029392']",2016-12-20 12:07,"2 reels for sale. Great shape, work great. Abu-Garcia 5500c & 4500c. Line capacity: 5500 = 240/12 4500 = 160/12 $ 60 takes them both !!",,5923132661,42.152078,0,-80.029392,,"https://maps.google.com/maps/preview/@42.152078,-80.029392,16z",,$60,human, (Erie),2Abu-Garcia reels for sale,https://erie.craigslist.org/boa/5923132661.html,
2,,,2016-12-19 20:37,1987 century mirage 25 foot. Twin mercruiser 260hp. Trailer has new tires and brake system and it is inspected. Many new parts. Please call for more detailed information. Asking $6500. Or possible trade for a cabin cruiser with trailer.,,5926250631,,25,,Century,,Mirage,,power,,Speed boat,https://erie.craigslist.org/boa/5926250631.html,1987
3,,"['42.110900', '-80.153400']",2016-12-19 17:22,Nice runing jet ski road on it all summer long no problems and trailer is great condition like new selling it because i need the money,,5911611913,42.110900,9,-80.153400,,"https://maps.google.com/maps/preview/@42.110900,-80.153400,16z",,$1000,power,,great jet ski with trailer,https://erie.craigslist.org/boa/5911611913.html,
4,new,[],2016-12-19 14:50,"The Solara 100 is a leader in its class offering the unprecedented safety of a twin bulkhead design. The dual bulkhead and hatch design also offers improved dry storage over most 10' kayaks available today. Ultra-stable and incredibly spacious, the rotomolded Solora 100 is a great starter kayak for small to medium sized paddlers looking to spend leisurely days soaking up the sun in a kayak with style and safety. SPECS Overall Length: 10' 0"" Width: 28.00"" Depth: 13.00"" Cockpit Size: Length: 45.50"" Width: 20.00"" Weight: 47 lbs. FEATURES Revolution Seating System Dimension Adjustable Seat Back Adjustable Foot Braces Paddle Park Flip Lock Hatch Covers If you have any questions about these kayaks or our other kayaks we have in stock, please give us a call or stop by! PA sales tax will be applied at time of sale, we are a dealership. Wiegel On the Water Address:215 7th. Street Franklin Pa 16323 Phone: 8 one 4 five 1 8 five 5 zero 9 WWW.KAYAKPA.COM.",,5925769675,,10,,CURRENT DESIGNS,https://maps.google.com/?q=loc%3A+%32%31%35+%37th+St+Franklin+PA+US,SOLARA 100,$480,human, (Franklin),CURRENT DESIGNS SOLARA 100 KAYAK 20% OFF,https://erie.craigslist.org/boa/5925769675.html,
5,fair,"['42.113019', '-80.129128']",2016-12-19 12:14,1987 bayliner Capri open bow mercury power of tower 115 HP on it boat ran like 3 yrs ago needs  half the windshield  n some other work also needs a wheel for the trailer  boat has title escort trailer does not call or txt show contact info thanks Matt,99,5884565223,42.113019,17,-80.129128,Bayliner,"https://maps.google.com/maps/preview/@42.113019,-80.129128,16z",Capri,$200,power, (Erie),1987 bayliner Capri $200,https://erie.craigslist.org/boa/5884565223.html,1987
6,good,,2016-12-18 20:47,"9 ft. 6 in.-- Woodenboat's Nutshell pram; with complete sailing rig all in good; very usable for decades, condition. Rows, (no oars - sold seperatly if wanted) towes, and sails great!! Water ready and sailing ready.Fun little boat. $875. cash. Search woodenboat-Nutshell for lots of info on this special boat. Located Bflo. suburb. E mail for any info; details directions. I will send my number.",,5924868199,,10,,nutshell,,pram,,sail,,Sailing Pram - complete rig - Tender,https://erie.craigslist.org/boa/5924868199.html,
7,good,"['41.559200', '-81.482800']",2016-12-18 15:26,1990 Larson 228 International fishing boat....walk around cutty.... newer chevy 350 Vortec engine.... high torque starter motor.... holley carb....30 hours..... duo prop.... volvo out drive.... new shifter cables.... new drive shaft bellows 9.9 Yamaha trolling engine newer trailer.... brakes.... tires.... etc.... swim platform..... new exhaust manifold with .... thur the transom corsa mufflers.... big water boat..... will take hard waves... and big water.... lake Erie or Ocean .... 5 wells... etc.... NEED MORE PICTURES.... JUST ASK.... price is firm.... thanks for looking.................,35,5903820373,41.559200,23,-81.482800,larson,"https://maps.google.com/maps/preview/@41.559200,-81.482800,16z",,$9995,power, (ohio),Big Water Fishing Boat...... 350 VORTEC ENGINE,https://erie.craigslist.org/boa/5903820373.html,
8,excellent,[],2016-12-18 12:30,"Twin Perkins turbo Diesel engines, burns about 6 GPH at 20 knots, great on fuel. Westerbeke Diesel generator, AC and Heat fore and aft, two state rooms with private heads. Non-smoking boat, all teak interior, no carpet.....New canvas in 2015. Great live- aboard boat. This Trawler was built in Taiwan with full documentation. This boat has been heat stored at Keans Marina in Detroit for the past 5 years. You can keep this boat at Keans and enjoy the million dollar view of the Detroit skyline, front row view at the end dock of the Detroit Gold Cup Hydroplane Races. Always fresh water. Boat alone $57,000.00 Being in a heated building, you can inspect and survey the boat all winter. 2017/18 Summer and Winter Indoor Heated Storage. Keans Marina has all the amenities including Tiki summer bar, swimming pool & hot-tub, store, on site maintenance crew, laundry, showers and upstairs bar and banquet facilities. All with 24/7 security. Summer Well and Indoor Heated Storage $7,000.0",1300,5913498720,,41,,President,https://maps.google.com/?q=loc%3A+%31%30%30+medowbrook+Detroit+PA+US,37  trawler,$57000,power, (Detroit),1986 President  37,https://erie.craigslist.org/boa/5913498720.html,1986
9,,"['40.319100', '-79.720500']",2016-12-16 23:11,"6 trolling rods with reels. 2 penn LC reels 895,  3 daiwa 2, 47LC  one SG27lc,  one okuma magda pro LC.  Great Christmas gift for fishing the Great Lakes.",,5922606516,40.319100,0,-79.720500,,"https://maps.google.com/maps/preview/@40.319100,-79.720500,16z",,$250,human, (Irwin),Trolling rods and reels,https://erie.craigslist.org/boa/5922606516.html,
