,condition,coord_pair,date,description,engine hours (total),id,lat,length overall (LOA),long,make / manufacturer,map_URL,model name / number,price,propulsion type,region,title,url,year manufactured
0,,"['39.912400', '-76.653500']",2016-12-20 15:29,"2006 Kawasaki Jet ski JT1500A6F. 3 seater with ONLY 78 hrs on it. One owner, Like new, Fast. 06 Load Rite trailer like new as well. No time for it anymore. Our loss your gain. $4000 OBO show contact info",,5927240912,39.912400,8,-76.653500,,"https://maps.google.com/maps/preview/@39.912400,-76.653500,16z",,,power,,06' Jet Ski - Low miles!,https://harrisburg.craigslist.org/boa/5927240912.html,
1,,"['39.323144', '-76.440597']",2016-12-20 14:43,"A few deep water boat slips available for the coming year at Middle River Landing Marina. Family owned/operated. Full service boatyard, ship's store, gated entrance, customer lounge, WIFI, picnic areas. Well protected harbor. Reserve soon! www.middleriverlandingmarina.com",,5920627297,39.323144,70,-76.440597,,"https://maps.google.com/maps/preview/@39.323144,-76.440597,16z",,,power,,Deep Water Boat Slips,https://harrisburg.craigslist.org/boa/5920627297.html,
2,,"['40.699100', '-77.375800']",2016-12-20 13:00,16 ft canoe weighs 75 lb. $200obo.,,5927002269,40.699100,16,-77.375800,,"https://maps.google.com/maps/preview/@40.699100,-77.375800,16z",,$200,human, (mcclure),16' yankee rebel canoe,https://harrisburg.craigslist.org/boa/5927002269.html,
3,good,,2016-12-20 11:53,"Canoe for sale. It looks to be in great shape. The oars are included but are worn. Support for 3 people or 570 pounds, 655 if you add a motor. Complies with US Coastguard safety standards.",,5926890735,,15,,The Coleman Company,,Ram-X 15,$175,human, (Duncannon),Canoe,https://harrisburg.craigslist.org/boa/5926890735.html,
4,excellent,"['40.239000', '-76.841600']",2016-12-20 08:39,"SELLING MY 16 FOOT JON BOAT. HAS 25HP MOTOR ON IT. RUN GREAT. SELLING BECAUSE I GOT A BIGGER BOAT.  COME WITH LIFE JACKETS. BOAT , MOTOR, AND TRAILER. HAVE TITLE FOR BOAT AND TRAILER IN HAND. ASKING 3000.00. FIRST COME FIRST SERVE. WON'T LAST LONG!!!! CAN TEXT ME FOR PICS",100,5898122608,40.239000,16,-76.841600,,"https://maps.google.com/maps/preview/@40.239000,-76.841600,16z",,$3000,power, (HBG),16 FOOT JON BOAT,https://harrisburg.craigslist.org/boa/5898122608.html,
5,,,2016-12-20 07:18,You will be buying: The Condition of Everything is in Very Good Used Condition. It was All Taken Care of... NO Dents in the bottom of the Canoe 15' Osage Canoe Karavan Trailer G 14KB1000-12 KR w/ Tongue Jack You will get the extras shown laying in the grass... 2 Ores 4 Floating Padded Seats 2 Life Jackets 2 Clip On Cup Holders 2 Red Plastic Clip On Seat Backs 1 Anchor with Rope We have the Title for the Trailer The Buyer will be responsible for the Fee's to change Title and Tags on Trailer...,,5921431263,,15,,,,,$700,human, (Dillsburg),15' Osage Canoe  And Karavan Trailer & More,https://harrisburg.craigslist.org/boa/5921431263.html,
6,excellent,"['40.409600', '-77.312100']",2016-12-20 04:03,"This boat is in exceptional shape! new carpet, new hot water heater,twin GM 350s, one brand new the other rebuilt.  Sleeps up to 6, air condition, no generator, very clean, no musty interior smell, never smoked in.. just taken out of the water, power washed and about to be winterized. the trailer alone is almost new and valued at $5k, this is a special offer till I take the boat to fla this winter, where I will sell it for $30k",,5921388693,40.409600,33,-77.312100,sea ray,"https://maps.google.com/maps/preview/@40.409600,-77.312100,16z",sundancer,$22500,power, (Dover DE),Sea Ray Sundancer 330 1995 w/ trailer,https://harrisburg.craigslist.org/boa/5921388693.html,1995
7,good,[],2016-12-20 01:24,"1960s 14 foot Alumacraft  model FD boat, in good shape, needs cleaning, with evinrude motor, $895 obo call text 540272 six436.  Yes will sell motor or boat separate.",,5926458988,,14,,Alumacraft,https://maps.google.com/?q=loc%3A+%31%31%32%34+siddonsburg+rd+Mechanicsburg+PA+US,FD,$895,power, (17055),1950s/ 1960s 14 foot Alumacraft model FD boat with outboard motor,https://harrisburg.craigslist.org/boa/5926458988.html,1960
8,good,"['40.037976', '-76.949964']",2016-12-19 23:04,"END OF SEASON BLOWOUT!! Priced For Immediate Sale. For Sale/Trade is my 2000 Lowe/Suncruiser pontoon boat. Boat it 22ft long with porch area for fishing, etc. Boat has a 4 stroke evinrude 9.9 engine so you can use it on lakes with horsepower restrictions. Boat runs perfect. Overall in good shape except for some cracking/splitting on the seats which they all do. Has a livewell for bait or fish, and stereo with 4 speakers. Seats 13 people and is rated for up to 100hp if you want to go faster.. Boat is registered and ready to go! Comes with trailer and I have titles for both in my hand! $6,095 Firm cash! Over $3,000 under book value!! **May consider partial trades for, enclosed trailer+cash, cars, trucks, hummer, jeep, land, property, hunting camp/bungalow, toyhauler, camper, utv, atv's, etc. Trade MUST book for at least $6,500 or have cash ready for the difference!",,5917623099,40.037976,22,-76.949964,,"https://maps.google.com/maps/preview/@40.037976,-76.949964,16z",,$6095,power,,2000 Lowe 22' Pontoon,https://harrisburg.craigslist.org/boa/5917623099.html,
9,fair,"['40.335100', '-76.972200']",2016-12-19 18:05,"This is a good project for anyone who wants a good running boat with a little work. The outside is dusty right now but I've seen it clean and the gelcoat is in good shape, it  has allot of teak and stainless rails all in good shape nothing bent or broken. The lower unit was completely rebuilt in 03 by big bee boats and has zero hours since, it's a Alpha drive and the upper and lower were rebuilt for about $3,000 and change. The motor is a 305 chevy that we had last running in 08 should just need new gas to fire it up. The interior is in good shape just needs cleaned the, trailer has new tires but one bearing on the passenger side needs replaced. Has been garaged for a long time so it's not all rotted out. Nice honest project, make me a offer.",,5923507224,40.335100,22,-76.972200,Thompson,"https://maps.google.com/maps/preview/@40.335100,-76.972200,16z",,,power,,1977 Morrison 22 foot,https://harrisburg.craigslist.org/boa/5923507224.html,1977
10,fair,,2016-12-19 17:39,I have a 88 lowe pontoon boat that is in working condition we use it every year for sale or trade.. the floor is solid the carpet is good also.. the top is a homemade corrugated metal that works rather well.. the seats need redone but they are the plastic base seats so they won't rot out.. the motor is a Johnson 70 hp with very good compression and always starts.. the end of last season it needed fast idle to start so 1 of the carbs might need cleaned but it does still move.. there is no power trim and NO TRAILER the one that it came with was junk.. looking to trade for an older go fast boat or jet boat just something with some speed to it.. or something different and unusal.. if it is cash deal I'm listing it at 2k won't take less than 1900 for it.. can get more pics also.. thanks,,5926050794,,24,,Lowe,,,,power,,88 lowe pontoon 24ft trade or sale,https://harrisburg.craigslist.org/boa/5926050794.html,1988
11,,"['39.774347', '-77.383438']",2016-12-19 13:34,"15' aquacat catamaran, good hull and mast. Have piece of canvas for new sail cuz the old ones whether beaten. see pic. $150. obo. No trailer. We used a flat bed trailer to haul it. show contact info please bring a big enough trailer. Three people so far haven't.",,5907735675,39.774347,15,-77.383438,,"https://maps.google.com/maps/preview/@39.774347,-77.383438,16z",,$150,sail, (fairfield pa),15' aquacat catamaran,https://harrisburg.craigslist.org/boa/5907735675.html,
