,condition,coord_pair,date,description,engine hours (total),id,lat,length overall (LOA),long,make / manufacturer,map_URL,model name / number,price,propulsion type,region,title,url,year manufactured
0,,"['40.699800', '-75.487400']",2016-12-20 16:47,Trailer  w title.,,5892468028,40.699800,8,-75.487400,,"https://maps.google.com/maps/preview/@40.699800,-75.487400,16z",,$395,human," (Northampton,Pa)",Trailer,https://allentown.craigslist.org/boa/5892468028.html,
1,,"['40.529300', '-75.501000']",2016-12-20 15:11,Sea Nymph very clean boat all electronics work. live well with air aerator extra aerator for live bait at back of boat 2 batteries 6 gal fuel tank anchor with 150 Ft rope rear trolling motor and have trolling motor for front yes it works 800.00 lowrance fish finder gps split windows all maps trail navigation ect. bilge pump 30 hp evenrude  does not need anything serviced every year oil change lower unit every year. water pump 3 years old tune up 2 years old. trailer has all new bearings and hubs 2 years ago new tires 2 years old including spare pole holders plenty of storage seats are all in great shape,30,5900428168,40.529300,16,-75.501000,sea nymph,"https://maps.google.com/maps/preview/@40.529300,-75.501000,16z",,$4500,power,,Sea Nymph 16 ft,https://allentown.craigslist.org/boa/5900428168.html,
2,good,"['40.305400', '-75.148900']",2016-12-20 14:52,"1996 Formula Bow Rider 502 CI - .030 over.  500HP.  3 years on complete rebuild.  750 Holley double pumper professionally tuned by Nickersons in Delco.  Inconel valves.  Mild cam.  EMI Thunder Exhaust - 4"" through hull.  Sounds awesome.  65/66 MPH!  This is a fast boat.  Previous owner extended the trim tabs as the boat requires more control at high speed.  2002 Mercruiser outdrive. Brand new steering (2K) and brand new transom assembly and billows ($4K).  Brand new coil and wires. All receipts since I have owned the boat (3 years) - professionally maintained $$$.  Every single light, switch, indicator on the boat works - except for the speedometer which is disconnected - no pitot tube. $15,000 Firm.  I don't need the money and I love the boat.  If I sell it I will buy a bigger boat. Boat is shrink wrapped and in storage in Delco, NJ and I will not uncover it until I take it to the south Jersey shore for the summer.  Then I will dry dock it indoors in a marina for the summer like I do every year. 2011 Venture trailer with under 500 miles on it included.  I only put 100 miles on the trailer in 3 years trailering from Delco, NJ to Sea Isle, NJ once a year. No, I do NOT want you to list the boat for me. https://youtu.be/IYQPfh2C-FI https://youtu.be/LnvOIzXZnlU https://youtu.be/guTWpViIfkk",100,5927084875,40.305400,25,-75.148900,Formula,"https://maps.google.com/maps/preview/@40.305400,-75.148900,16z",252 Bow Rider,$15000,power,,96 Formula Bow Rider,https://allentown.craigslist.org/boa/5927084875.html,1996
3,,"['40.695000', '-75.028100']",2016-12-20 14:39,"For sale I have 2 Minn Kota trolling motors and 2 marine batteries. This is a GREAT DEAL ..... 1 - Minn Kota CT Endura 55 almost new runs amazing 1 - Minn Kota 28lb thrust ... runs perfect 2 - Marine batteries both work great hold full charges ................$240 CASH - FIRM for everything ... located between Clinton & Washington, NJ 08802 I will meet you for a CASH pickup.",,5927129335,40.695000,42,-75.028100,,"https://maps.google.com/maps/preview/@40.695000,-75.028100,16z",,$240,power," (Clinton, NJ - Hunterdon County)",trolling motors & batteries,https://allentown.craigslist.org/boa/5927129335.html,
4,,"['40.529300', '-74.740100']",2016-12-20 12:50,Brand New Hood Visor + Both Mirrors From 2016 FX Cruiser SHO.   Make A Reasonable Offer + Its Yours!   **(Fits 2012 Yamaha Wave runner + Newer),,5902982792,40.529300,12,-74.740100,Yamaha OEM,"https://maps.google.com/maps/preview/@40.529300,-74.740100,16z",Visor + Mirrors,,human,,Brand New Yamaha OEM Parts,https://allentown.craigslist.org/boa/5902982792.html,2016
5,excellent,"['40.237800', '-75.295500']",2016-12-20 12:09,"Selling my Sea Eagle Inflatable. This has been an excellent boat. Takes only a few minutes to inflate and throw everything together. Can keep it in your trunk it's only 42 pounds. Very dependable, I've only used it a dozen times and bought a aluminum boat to take the family out on so no longer need it. Title in hand. Will not ship and no movers can come pick it up. Call/text 2six7two2one0nine3two No movers will come and pick it up, not making or waiting on any shipping arrangements, not waiting for checks to clear. Must meet in person Comes with the following: -Swivel Seat -floor board -Scotty Rod holders (2x) -2 side mounted oars -electric air pump -Stow Bag for inflatable -Trolling Motor Mount -13 inch pedestal (upgraded from 8 inch) -Scotty 3 Pole Rod Holder -Scotty Anchor Attachment -Mushroom Anchor -Minn Kota Edge 55lbs Trolling Motor (upgrade) -Minn Kota Drift Sock **No Battery included",,5926916753,40.237800,9,-75.295500,Sea Eagle,"https://maps.google.com/maps/preview/@40.237800,-75.295500,16z",285 fpb,$900,power, (Montgomery County),Sea Eagle 285fpb,https://allentown.craigslist.org/boa/5926916753.html,2014
6,like new,"['40.237800', '-75.295500']",2016-12-20 12:06,Posting for a possible trade. Looking for a used Bass Boat in great condition (Ranger/Skeeter/Crestliner/Stratos/Nitro ect.). My Lund has 2 fish finders Lowrance Elite 4 Chirp at console and Humminbird Helix 5 GPS/SI/DI at Bow. Minn Kota Edge 45. 3 Lund Seats with Pedestals and Butt Seat with hydraulic pedestal. Has a Mercury 50hp EFI and Mercury 9.9 manual tilt. Comes with trailer. Title for both in hand. Both engines have less than 10 hours on them.,7,5926911777,40.237800,16,-75.295500,Lund,"https://maps.google.com/maps/preview/@40.237800,-75.295500,16z",1625 Fury XL SS,$1,power, (Montgomery County),2015 Lund 1625 Fury XL SS,https://allentown.craigslist.org/boa/5926911777.html,2015
7,,"['40.381500', '-75.574900']",2016-12-20 07:55,"I have a nice 14 foot tri hull boat. Its been sitting for 2 years now. I last used it on fishing trip when engine broke down. Marina said it needed new starter. Boat could use new front seats and paint job on upper part. 48hp evinrude with power lift ran great like I said I was told it needs starter. has fishing rod holders , bait tank, fish finder. Will give all life perservers. Trailer needs one new tire and rim. $50 Have registration for boat but no title for trailer. I just used a tag from different trailer and never had any problems. Will consider trades. Reply show contact info or show contact info",,5920112667,40.381500,14,-75.574900,,"https://maps.google.com/maps/preview/@40.381500,-75.574900,16z",,$300,power, (barto),nice project,https://allentown.craigslist.org/boa/5920112667.html,
8,excellent,"['40.606800', '-75.478100']",2016-12-19 13:55,"If you see the ad, i still got the boat. Make me an offer. End of season sale.. 1981 mark twain boat.. solid floors.. solid seats. Some wear and tear for a 1981 but its a solid boat. Comes with 90 hp evinrude 2 stroke outboard which is much easier to work on and maneuver in the water. Very easy to load and unload. Used a couple times this season and worked perfect. Can easily run it to show you. No problems or issues. Towed a tube without any issues. Top speed of roughly 40 mph. Mix oil with gas so no worries on oil changes or anything. There is a charging system so it charges battery when driving boat. All lights work. Has nice storage compartment.. has working cd player with aux cord. Has a horn and everything . Like i said water ready.  Trailer in very good condition.  Its roller trailer so easily load and unload boat. Priced to sell. Have both titles. Comes with fish finder. Took it couple times to lehigh river and beltzville lake. Comes with cover.. Please only serious inquiries.",,5912179909,40.606800,16,-75.478100,Mark twain,"https://maps.google.com/maps/preview/@40.606800,-75.478100,16z",,$2800,power, (Allentown),End of season sale: 1981 mark twain boat. 90 hp evinrude. Water ready!,https://allentown.craigslist.org/boa/5912179909.html,1981
9,good,"['40.391100', '-75.486600']",2016-12-19 12:14,"1994 20ft Bayliner Trophy with 2.0 Mercury outboard motor. Has cuddy cabin. Boat is in real good condition. Motor has 10 hours on it since rebuild. Great for fishing. Has depth finder and fish finder and trailer included. Hasn't been run in years. If your looking for a project for winter here you go. 4,000.00 firm. Motor is not seized up I just got a new battery for it on October 26th  and it turns over fine just needs fresh gas and maybe spark plugs to run. Guages are working",,5916267040,40.391100,20,-75.486600,Bayliner,"https://maps.google.com/maps/preview/@40.391100,-75.486600,16z",Trophy,$4000,power," (Pennsburg ,PA)",1994 Bayliner Trophy 20ft,https://allentown.craigslist.org/boa/5916267040.html,1994
10,excellent,"['39.894900', '-76.146500']",2016-12-19 10:00,CAMO-GRUMMAN ALUMINIUM FISHING BOAT-EVINRUDE MOTOR WITH ELECTRIC START GREAT FOR FISHING AND HUNTING 15HP ELECTRIC START EVINRUDE MOTOR-RUNS EXCELLENT WE CAN RUN IT WIDE BEAM FOR STABLE FISHING RUNNING LIGHTS BILGE PUMP LIVEWELL WITH PUMP BATTERY FRONT CASTING DECK CLEAR TITLE FOR BOAT NICE GALVANIZED TRAILER GREAT CONDITION-WITH GUIDE BUNKS CLEAR TITLE FOR TRAILER WITH SELL THE BOAT AND TRAILER MINUS THE MOTOR FOR $1800,,5925300837,39.894900,16,-76.146500,GRUMMAN,"https://maps.google.com/maps/preview/@39.894900,-76.146500,16z",,$2295,power," (LANCASTER,PA)",CAMO-GRUMMAN ALUMINIUM FISHING BOAT-EVINRUDE MOTOR WITH ELECTRIC START,https://allentown.craigslist.org/boa/5925300837.html,
11,,,2016-12-19 08:46,1994 Mirada ultimata cuddy. Boat is in excellent shape. All works as it should. Has mooring cover. Bimini top. Engine is a very fast v-8 and works perfectly. Must sell looking to buy an rv. Would consider trades of rv or tell me what you got,300,5907644374,,21,,,,,$4800,human, (Nazareth),21 cuddy cabin.  Very fast,https://allentown.craigslist.org/boa/5907644374.html,
12,fair,"['40.354346', '-75.304145']",2016-12-19 07:37,Pontoon with trailer. Clean titles. 9.9 mercury Recommend replacing cables $225 estimate. Comes with cover (new was $178) Trailer included.  Also some life jackets.  There are two more fishing chairs I have that I took off for the budlight chairs.,,5922800525,40.354346,17,-75.304145,Misty Harbor,"https://maps.google.com/maps/preview/@40.354346,-75.304145,16z",,$2800,power, (Sellersville),1997 Misty Harbor Pontoon (17ft),https://allentown.craigslist.org/boa/5922800525.html,1997
13,good,"['40.734500', '-75.618600']",2016-12-19 06:10,"Solid trailer for 22 foot macgregor venture. No lights or title and could use tires.  Nice solid trailer for your sailboat,  350 Obo thanks",,5925156800,40.734500,22,-75.618600,Xx,"https://maps.google.com/maps/preview/@40.734500,-75.618600,16z",Vvv,$350,sail, (Slatington),Sailboat trailer for macgregor 22,https://allentown.craigslist.org/boa/5925156800.html,
