,condition,coord_pair,date,description,engine hours (total),id,lat,length overall (LOA),long,make / manufacturer,map_URL,model name / number,price,propulsion type,region,title,url,year manufactured
0,,"['41.618900', '-80.308600']",2016-12-20 09:15,15 ft.  smokercraft whitewater.  two paddles. like new   aluminum.,,5926665425,41.618900,150,-80.308600,,"https://maps.google.com/maps/preview/@41.618900,-80.308600,16z",,$200,human, (conneaut lake),canoe,https://meadville.craigslist.org/boa/5926665425.html,
1,new,[],2016-12-19 14:32,"Our medium sized Solara 120 roto is a kayak the whole family can enjoy. Sized to fit kids to full size adults, it is a great kayak to keep at the lake or take out for a weekday jaunt on the local pond. The durable rotomold polyethylene can take a beating in shallow rocky areas or beach landings. The open cockpit and Revolution Seating System standard on all Solaras provide serious comfort. If you're looking for the best length/weight/price value out there, the Solara 120 roto is hard to beat. SPECS Overall Length: 12' 0"" Width: 28.00"" Depth: 13.00"" Cockpit Size: Length: 45.50"" Width: 20.00"" Weight: 54lbs FEATURES Revolution Seating System Dimension Adjustable Seat Back Adjustable Foot Braces Paddle Park Flip Lock Hatch Covers If you have any questions about these kayaks or our other kayaks we have in stock, please give us a call or stop by! PA sales tax will be applied at time of sale, we are a dealership. Wiegel On the Water Address:215 7th. Street Franklin Pa 16323 Phone: 8 one 4 five 1 8 five 5 zero 9 WWW.KAYAKPA.COM.",,5925774826,,12,,CURRENT DESIGNS,https://maps.google.com/?q=loc%3A+%32%31%35+%37th+St+FRANKLIN+PA+US,solara 120,$680,human, (Franklin),CURRENT DESIGNS SOLARA 120 KAYAK 20% OFF!!,https://meadville.craigslist.org/boa/5925774826.html,
2,new,,2016-12-16 11:33,"Great Gift package for the Kayak, Canoe, Camping and Fishing enthusiast in Western Pennsylvania. TOPOGRAPHIC MAPS TENT CAMP SITES WATER HAZARDS MILEAGE MARKERS ACCESS / LAUNCH SITES RIVER HISTORY BOATING SAFETY INFO W/PA HISTORY WATERPROOF PAGES 10% OFF amd Free Shipping. Call show contact info or click on the photo for email.",1,5921739845,,1,,,,,$36,human, (Tidioute),"Kayak, Canoe, Camping, Fishing - Holiday Gift Package",https://meadville.craigslist.org/boa/5921739845.html,
3,good,"['41.624400', '-80.452300']",2016-12-10 13:17,12' Sears boat. Comes with 7.5 HP Ted Williams outboard with 3 gallon fuel tank. It has a new PA registration that's good thru 2018. Virtually everything you need to take it on the water is included. No trailer though. Call or text show contact info No emails please.,,5913770839,41.624400,12,-80.452300,sears,"https://maps.google.com/maps/preview/@41.624400,-80.452300,16z",,$500,power, (Espyville),12 Ft Boat,https://meadville.craigslist.org/boa/5913770839.html,
4,,,2016-12-09 14:32,Fisher 16 ft hawk all aluminum welded console . It is in amazing shape. We are only the second owner bought this last spring for Erie fishing. We have decided Erie is not for us. This boat comes with a 50 hp Mercury and a 9.9 Mercury. Both motors maintained every year serviced and winterized by dealer. The 50 is oil injected two stroke the 9.9 is 4 stroke. The boat has tons of storage ship to shore radio fire extinguisher two fish finders trolling motor down riggers three seats rod holders radio Bimini top ( canopy) and so much more. Swing away space saver tongue. Too much to list. When this boat was bought new in 2000 it was over 19000$. It has been garage kept its entire life and comes with a cover for the entire boat. We are looking for something comparable only with just a 20 hp so we can go back to fishing much smaller more familiar lakes. 9500$ it's a must see. Txt me 412-nine seven four- 6970,,5869694643,,16,,Fisher 160,,Hawk 160,$9500,power, (Conneautville),2000 16 ft fisher 50 & 9.9 Mercury console,https://meadville.craigslist.org/boa/5869694643.html,2000
5,,,2016-12-06 12:40,1970s glastron trihull boat with a 45hp mercury outboard. Motor runs great. Have titles for boat and trailer. Floor was rotted and I ripped it out and laid plywood down so I could work inside. Seats are decent. Trailer has a spare and tires hold air.,,5896013837,,15,,Fiberglass,,Boat,$700,power, (Hadley Pa),Glastron Tri-Hull Boat,https://meadville.craigslist.org/boa/5896013837.html,
6,good,"['41.597960', '-80.572838']",2016-12-03 14:46,dinghy  11 ft. Canadian made quality 1986 super skunk with brand new 3.5 hp motor (3hrs) very good condition new tires and bearings on trailer,3,5884392430,41.597960,11,-80.572838,super,"https://maps.google.com/maps/preview/@41.597960,-80.572838,16z",skunk,$950,sail, (andover),SAILBOAT dinghy,https://meadville.craigslist.org/boa/5884392430.html,1986
7,excellent,"['41.633800', '-80.148800']",2016-12-01 21:02,"So it's a 1988 supra saltare with a inboard 454 chevy/pleasurecraft motor....has 850hrs on it. It's a tandem axel very nice trailer...have new spare tire and I belive one or two newer tires on trailer...has built in braking system. I just had front and back brand new covers made. Around $800 and the interior carpet is new another 800. Boat has a built in cooler wet bar and the front section is all bed lounge area...rated  11 people.  I have a center pillion tower for skiing and wake boarding u can see that in the pic. Those run around 1000. Bare foot boom I never used...Bimini cover white u can see that. 2 sets of skis wakeboard nice tube for the kids...all the life jackets anchors rope fire ext paddles all that adds up to probably honestly a grand worth of extras there. I always have it serviced spring and winter. Stereo cd and auxiliary.  Oh bought a new ladder for the rear off the swim platform. It's very clean.  I have some OCD u can catch me out there wiping it down out on the lake. Haha. Would be up for muscle car trades or possible bike/s.  $10,000. Please share this and pass it on..thank u",850,5901561440,41.633800,24,-80.148800,SUPRA,"https://maps.google.com/maps/preview/@41.633800,-80.148800,16z",Saltare,$10000,power, (Meadville),1988 SUPRA SALTARE,https://meadville.craigslist.org/boa/5901561440.html,1988
8,,"['41.024100', '-80.345400']",2016-12-01 17:09,"Silverline 16' , with Dilly tilt trailer. This boat is a project that needs mostly labor to get it in shape. I have all the parts here for it except the original gas tank. I decided to buy a pontoon instead of finishing this boat. The floor and transom are both solid. The seats are in decent condition but need new plywood frames made for them. ( very easy fix ) The internal gas tank is missing so it will require a replacement or external tank. A 6 gallon external will fit inside. The steering cable is not froze up and works fine. The boat was a skiing boat and is rated at 65 hp. There is a kicker mount for a fishing engine on it if you would decide to put the larger engine on it. There is no engine and there are no *controls included.( *shifter and throttle ) I have both here but don't yet know the condition of the engine. ( Evinrude 9.9 ) The trailer is rough looking but solid. Could definitely use a cleaning and painting. Tires are good. I have a new wiring and light kit that I will include. If you are reading this add, the boat is still available. I have good current titles for both boat and trailer.",,5901281856,41.024100,16,-80.345400,,"https://maps.google.com/maps/preview/@41.024100,-80.345400,16z",,$400,power, (New Castle),16 foot boat and trailer,https://meadville.craigslist.org/boa/5901281856.html,1978
9,new,[],2016-11-29 09:53,"Wiegel On the Water is having our ""Falling Leaves...Falling Prices"" sales event, up to 40% off select in stock models. We carry 9 high quality Kayak and Canoe brands as well as several SUP's Our address is 215 7th. Street Franklin Pa. 16323. Phone# show contact info Lines we carry: Old Town Necky Perception Ocean Kayak Current Designs We-No-Nah Hurricane Native Watercraft Liquid Logic",,5869798666,,9,,9 Major Brands,https://maps.google.com/?q=loc%3A+%32%31%35+%37th+St+Franklin+PA+US,Many,$295,human, (Franklin),HUGE KAYAK CANOE SUP BLOW OUT FALL SALE 20-40% OFF SELECT MODELS,https://meadville.craigslist.org/bod/5869798666.html,
