,condition,coord_pair,date,description,engine hours (total),id,lat,length overall (LOA),long,make / manufacturer,map_URL,model name / number,price,propulsion type,region,title,url,year manufactured
0,excellent,"['40.060600', '-75.047100']",2016-12-20 17:31,"1994 nitro 180tf with 150 johnson gt and trailstar trailer. New motor guide brute 75lbs.trolling motor,  all new seats, new switches and breakers, new radio ,speakers,usb,12v.outlet. Runs great,fast,clean, a ton of storage and rod lockers, 2 livewells. New garmin 500 echo fishfinder. Just don't have time to appreciate, thanks jay",,5927409153,40.060600,18,-75.047100,Tracker,"https://maps.google.com/maps/preview/@40.060600,-75.047100,16z",Nitro 180tf,$3500,power, (N.e.phila.),Nitro 180 tf,https://philadelphia.craigslist.org/boa/5927409153.html,1994
1,,,2016-12-20 15:51,1986 Bayliner command bridge for sale with trailer. NEEDS MOTOR. Contact me for more details. Had it In the water 2 years ago and never got around to fixing it. Trailer is in good shape Chris craft Parker Grady white Honda Yamaha Kawasaki mercury,,5927272235,,27,,Bayliner,,,,power,,25 foot bayliner command bridge,https://philadelphia.craigslist.org/boa/5927272235.html,1986
2,excellent,,2016-12-20 14:05,"2001 Maxum,  2400 SCR, MerCruiser 5.7 (250 HP) with a Bravo 3. Used in fresh water, Microwave, TV, Refrigerator - AC/DC - 6 cu. ft., boat includes 3 batteries with built-in charger, AM/FM radio with CD changer. Excellent original condition with only 380 hours. This boat starts and handles easily, professionally maintained. The hull has no damage. Full camper & mooring cover. There is no damage to the bottom. The aluminum trailer (2007) with electric winch is NOT INCLUDED. Air conditioner and heater.  Windlass - Boats 24' - 30', Pressure Water System, Inverter/Charger, Raymarine C-90 GPS, Under-water camera, Raymarine VHF radio, Water Heater 6 Gallon w/Engine Heat Exchanger, full bath with stand up shower and deck shower.",380,5897791244,,25,,Maxum,,2400 SCR,$19900,power,,2001 Maxum 2400 SCR,https://philadelphia.craigslist.org/boa/5897791244.html,2001
3,,"['39.661874', '-74.964523']",2016-12-20 13:24,"Ski is a 15 and is a 2 up with convenient package and only 12 hrs,ski runs like new,why pay all those fees at a dealer when you can get a new ski here for cheaper. Has cover and SEADOO safety kit also included along with flush kit. No trailer is one is needed I have new singles for $600 cost contact me and dbls for $1350 Ski is $4850 IF NEEDED TRANSPORTATION PLEASE CONTACT ME WE CAN ARRANGE AT YOUR COST",,5917919870,39.661874,11,-74.964523,,"https://maps.google.com/maps/preview/@39.661874,-74.964523,16z",,$4850,power, (WILLIAMSTOWN NJ),"SEADOO WAVERUNNER,2015 WITH ONLY 12 HRS GREAT CHRISTMAS GIFT",https://philadelphia.craigslist.org/boa/5917919870.html,
4,like new,"['40.245025', '-75.341213']",2016-12-20 13:17,"1999 Polaris 45th anniversary edition Jet ski with trailer. 1200 cc. 135 HP. Runs great.  Only 54 hrs on engine..New battery, new spark plugs. Garage kept. Has cover. Jet ski is in excellent condition. Recently used last week. Runs great and very powerful. Has reverse. Title in hand for both Jet Ski and trailer. Selling because I just do not have the time to use it anymore. Great condition. Lots of fun",54,5909962310,40.245025,7,-75.341213,polaris,"https://maps.google.com/maps/preview/@40.245025,-75.341213,16z",X45,$3100,power, (Kulpsville),Polaris Jet ski 1200CC 135HP w/trailer,https://philadelphia.craigslist.org/boa/5909962310.html,1999
5,good,[],2016-12-20 12:41,"Looking to sell my Boston Whaler Rage 15 Jet Drive boat and trailer. Engine was rebuilt, New Steering Helm and Cable installed last month. Fast boat, fun to drive and unsinkable.Trailer has newer tires and lights. This is the 110hp, not the 90. You won't find one cheaper.",8,5903512165,,15,,Boston Whaler,https://maps.google.com/?q=loc%3A+Junewood+Drive+at+Haines+Road+Levittown+PA+US,Rage 15,$2900,power," (Levittown, Pa)",1994 Boston Whaler Rage 15,https://philadelphia.craigslist.org/boa/5903512165.html,1994
6,,"['40.115900', '-74.853600']",2016-12-20 12:23,Excellent opportunity to get into a great entry level bow rider. 2 owner boat with about 135 hours on it. Great family boat with full cover Bimini top and morring cover. This boat is winterized and wrapped every year and all interior that can be remover for winter storage indoors is out and stored. 3.0L engine that you can run all day on a tank of gas. I have taken great care of this boat and am now going bigger. All pics are of my boat!! Don't be afraid to ask questions.. please call or text between 9 am and 8 pm thanks for looking,135,5926941145,40.115900,18,-74.853600,Sea ray,"https://maps.google.com/maps/preview/@40.115900,-74.853600,16z",185 sport,$12500,power, (Bristol),2008 sea ray 185 sport,https://philadelphia.craigslist.org/boa/5926941145.html,2008
7,,"['39.944100', '-75.588200']",2016-12-20 12:18,"Yamaha waverunner xlt 1200 2004 in great condition runs great starts right up, 145 hours, new battery, 120 pounds compression in all three cylinders $3450.00 trailer not included.",145,5926931969,39.944100,10,-75.588200,Yamaha,"https://maps.google.com/maps/preview/@39.944100,-75.588200,16z",Xlt 1200,$3450,power, (West Chester),Yamaha waverunner xlt 1200 2004,https://philadelphia.craigslist.org/boa/5926931969.html,2004
8,like new,"['40.237800', '-75.295500']",2016-12-20 11:50,Posting for a possible trade. Looking for a used Bass Boat in great condition (Ranger/Skeeter/Crestliner/Stratos/Nitro ect.). My Lund has 2 fish finders Lowrance Elite 4 Chirp at console and Humminbird Helix 5 GPS/SI/DI at Bow. Minn Kota Edge 45. 3 Lund Seats with Pedestals and Butt Seat with hydraulic pedestal. Has a Mercury 50hp EFI and Mercury 9.9 manual tilt. Comes with trailer. Title for both in hand.  Both engines have less than 10 hours on them.,7,5926885774,40.237800,16,-75.295500,Lund,"https://maps.google.com/maps/preview/@40.237800,-75.295500,16z",1625 Fury XL SS,$1,power, (Montgomery County),2015 Lund  1625 Fury XL SS,https://philadelphia.craigslist.org/boa/5926885774.html,2015
9,,,2016-12-20 11:40,I am selling this brand new blue ocean kayak for half price. Contact me if interested. https://www.amazon.com/dp/B00H8P196Y/ref=twister_B0186V0TUU?_encoding=UTF8&psc=1,,5926869724,,10,,,,,$110,human, (PHILADELPHIA),Sun Dolphin Aruba 10 Sit-in Kayak,https://philadelphia.craigslist.org/boa/5926869724.html,
