,condition,coord_pair,date,description,engine hours (total),id,lat,length overall (LOA),long,make / manufacturer,map_URL,model name / number,price,propulsion type,region,title,url,year manufactured
0,excellent,,2016-12-20 15:01,"1995 Sea Ray 290. Boat is in outstanding condition. Low hours. Twin 4.3 V-6's. The cleanest 290 you will find. Boat stored inside in the winters. Trailer stored inside all year. The trailer is a 1996 Aluminum  tri axle with brand new brakes on all the axles. Newer frig. Life jackets,lines,fenders with covers,rugs and lots more included. $24,900.In Storage now. show contact info",500,5901644595,,29,,Sea Ray,,290,$24900,power, (Bentleyville),Sea Ray 290,https://pittsburgh.craigslist.org/boa/5901644595.html,
1,,"['40.561600', '-79.712900']",2016-12-20 14:36,"17' Aluminum Canoe With Minkota Tolling Motor and Bracket,Oars,Life Jackets,Anchor,and Car Carrying Kit  $650.00 show contact info",,5924401823,40.561600,17,-79.712900,,"https://maps.google.com/maps/preview/@40.561600,-79.712900,16z",,$650,human, (NEW KEN. PA.),17' Aluminum Canoe and Accessories,https://pittsburgh.craigslist.org/boa/5924401823.html,
2,good,"['42.721500', '-78.932700']",2016-12-20 13:33,16' Cherokee aluminum boat No leaks. Solid fishing platform. 3 seats. 2 batteries. 12 gallon gas tank.  Rod holder. 50 hp Johnson 2 stroke Runs perfect. 2003 6 hp mercury 4 stroke kicker. 55 lb. Thrust bow mount. All paperwork water ready. Trailer. Tom 71622nine-nine909.,,5916522262,42.721500,16,-78.932700,,"https://maps.google.com/maps/preview/@42.721500,-78.932700,16z",,$2750,power, (Lake view NY),16' Aluminum,https://pittsburgh.craigslist.org/boa/5916522262.html,
3,good,[],2016-12-20 13:07,"1988 Mach 1 Condur 27 foot boat with a 454-330 HP Mercruiser Bravo 1.  Stainless steel prop, new bellows, all fluids changed, new distributor cap, complete tune-up, new blower, new bilge, new interior, new carpeting, new trailer lights, safety chains, and wheel bearings.  Lots of trim on this boat with teak.  Beautiful cuddy with sleeping area and expandable cushions for a bigger sleeping area.  Refrigerator with fresh water sink.  also new starter .new cover.1988 Mach 1 Condur 27 foot boat with a 454-330 HP Mercruiser Bravo 1.  Stainless steel prop, new bellows, all fluids changed, new distributor cap, complete tune-up, new blower, new bilge, new interior, new carpeting, new trailer lights, safety chains, and wheel bearings.  Lots of trim on this boat with teak.  Beautiful cuddy with sleeping area and expandable cushions for a bigger sleeping area.  Refrigerator with fresh water sink.  also new starter .new cover.1988 Mach 1 Condur 27 foot boat with a 454-330 HP Mercruiser Bravo 1.  Stainless steel prop, new bellows, all fluids changed, new distributor cap, complete tune-up, new blower, new bilge, new interior, new carpeting, new trailer lights, safety chains, and wheel bearings.  Lots of trim on this boat with teak.  Beautiful cuddy with sleeping area and expandable cushions for a bigger sleeping area.  Refrigerator with fresh water sink.  also new starter .new cover.1988 Mach 1 Condur 27 foot boat with a 454-330 HP Mercruiser Bravo 1.  Stainless steel prop, new bellows, all fluids changed, new distributor cap, complete tune-up, new blower, new bilge, new interior, new carpeting, new trailer lights, safety chains, and wheel bearings.  Lots of trim on this boat with teak.  Beautiful cuddy with sleeping area and expandable cushions for a bigger sleeping area.  Refrigerator with fresh water sink.  also new starter .new cover.",,5927015023,,27,,MACH 1,https://maps.google.com/?q=loc%3A+%34%30%33+OLD+NATIONAL+PIKE+BROWNSVILLE+PA+US,,$12500,power, (BROWNSVILLE),1988 Mach 1 Condur boat and trailer,https://pittsburgh.craigslist.org/boa/5927015023.html,1988
4,good,"['40.219200', '-79.609500']",2016-12-20 12:45,"2000, 17' fisher bass boat. Has 9.9 Johnson on it, was never used much so low hours. Bow mount trolling motor with foot controls. Everything works and runs excellent. Titles for both in hand. Everything you need to get onto the water now for some walleye or musky fishing or for spring.",,5892551067,40.219200,17,-79.609500,,"https://maps.google.com/maps/preview/@40.219200,-79.609500,16z",,$6500,power,,17' bass boat,https://pittsburgh.craigslist.org/boa/5892551067.html,2000
5,,"['40.634400', '-79.620100']",2016-12-20 10:58,305 Chevy. Runs good. Just put motor in. New fuel pump. New starter. New impeller. Boat goes 35mph on gps. Bimini top. trailer needs work (no trailer title)  Can haul boat on my trailer and deliver or you can bring tires for trailer & haul yourself. Will consider trades,,5926802879,40.634400,21,-79.620100,,"https://maps.google.com/maps/preview/@40.634400,-79.620100,16z",,$3500,power, (Leechburg),83 210 sea ray cuddy,https://pittsburgh.craigslist.org/boa/5926802879.html,
6,,"['40.294715', '-79.545479']",2016-12-20 09:32,Boat Molds / Bass Boat Heavy Molds with bracing. Complete with all patterns. All tooling and patterns to build boats. Delivery available. START YOUR OWN BOAT BUSINESS.,,5926685625,40.294715,17,-79.545479,,"https://maps.google.com/maps/preview/@40.294715,-79.545479,16z",,$4500,power, (Greensburg),Boat Molds / Bass Boat,https://pittsburgh.craigslist.org/boa/5926685625.html,
7,,,2016-12-20 08:30,"1989 Evinrude 25hp motor. electric start, tiller control, short shaft. $700obo",,5926621858,,1,,,,,$700,power, (Poland),Evinrude 25hp,https://pittsburgh.craigslist.org/boa/5926621858.html,
8,like new,"['40.259300', '-79.975300']",2016-12-20 08:14,Minn Kota trolling motor new in box 28lbs thrust,0,5923246579,40.259300,28,-79.975300,Minn kota,"https://maps.google.com/maps/preview/@40.259300,-79.975300,16z",Classic,$80,power, (Finleyville),Minn Kota trolling motor,https://pittsburgh.craigslist.org/boa/5923246579.html,2012
9,good,"['40.307400', '-79.542400']",2016-12-20 06:49,"I have a sprint 255 bass boat 15' with a 50hp evinrude motor as well as a trolling motor,2 new battery's , engine fully serviced 2 weeks ago by donegal marina. I put over $2200 in this boat. Runs awesome,looks awesome. New tires and new custom made charcoal cover. Have clean title for boat and trailer. 724::four5four////six53six too has life jackets,2 live wells and fish finder. MAY TRADE.",50,5920314968,40.307400,15,-79.542400,Sprint,"https://maps.google.com/maps/preview/@40.307400,-79.542400,16z",255,$4999,power, (GREENSBURG),94 SPRINT 255 50HP EVINRUDE BASS BOAT NICE!!!!,https://pittsburgh.craigslist.org/boa/5920314968.html,
10,,"['40.458400', '-80.264900']",2016-12-20 05:16,winter boat storage $35 a month show contact info joe,,5926530496,40.458400,13,-80.264900,,"https://maps.google.com/maps/preview/@40.458400,-80.264900,16z",,$35,human, (AIRPORT),WINTER  STROAGE,https://pittsburgh.craigslist.org/boa/5926530496.html,
