,condition,coord_pair,date,description,engine hours (total),id,lat,length overall (LOA),long,make / manufacturer,map_URL,model name / number,price,propulsion type,region,title,url,year manufactured
0,,,2016-12-20 16:01,12 foot aluminum V hull boat no patches or holes older boat but still good condition very light about 80 pounds nice little Lake boat priced low for winter just want it gone,,5927286728,,12,,,,,$280,human, (Milford PA 18337),12'aluminum boat,https://poconos.craigslist.org/boa/5927286728.html,
1,,"['40.900800', '-75.111500']",2016-12-20 15:12,garage kept. last used by a relative back in the 70s. $100,,5908702087,40.900800,3,-75.111500,elgin,"https://maps.google.com/maps/preview/@40.900800,-75.111500,16z",,$100,power, (upper mount bethel),antique boat motor,https://poconos.craigslist.org/boa/5908702087.html,
2,excellent,[],2016-12-20 09:15,"Bayliner 265 powered with Mercuiser 5.7 Bravo 3 Drive PlusTrailer. Shrink wrapped and Winterized for the winter. Well Mantained (Loaded) AC/Heat,Covers in great shape, Plus camper top. Upgraded sound system, Shore power, Etc. Be ready for spring with the family & friends. A must see http://www.captainjoespa.com/2004_bayliner265_trailer.php",,5919246854,,26,,bayliner,https://maps.google.com/?q=loc%3A+%38%37%37+purdytown+tpk+lakeville+PA+US,265,$29999,power, (Lakeville),2004 Bayliner 265 with trailer,https://poconos.craigslist.org/boa/5919246854.html,2004
3,new,"['41.371269', '-75.242924']",2016-12-20 08:45,"new LAKE WANNA SIX PACK (TM) graphic t-shirts. Show your love of Lake Wallenpaupack, the big lake in the Pocono Lakes Region of PA, or your favorite lake 100% ultra cotton Gildan graphic tees: men's L and men's XL. Other sizes are available. Colors: Carolina Blue Charcoal Dark Heather Forest Green Maroon Navy Gold Cash or credit card. Local pick-up or free local delivery. Great for Christmas presents!",,5887697767,41.371269,15,-75.242924,,"https://maps.google.com/maps/preview/@41.371269,-75.242924,16z",,$15,human, (Lake Wallenpaupack),new LAKE WANNA SIX PACK (TM) graphic tees - great for CHRISTMAS!,https://poconos.craigslist.org/boa/5887697767.html,
4,new,"['41.371063', '-75.243061']",2016-12-20 08:08,"brand new PLATINUM 24"" BENNINGTON PONTOON BOAT GATE FILLER SEAT. Brand new, never been used.",,5887685652,41.371063,24,-75.243061,,"https://maps.google.com/maps/preview/@41.371063,-75.243061,16z",,$250,power, (Lake Wallenpaupack),"brand new PLATINUM 24"" BENNINGTON PONTOON BOAT GATE FILLER SEAT",https://poconos.craigslist.org/boa/5887685652.html,
5,excellent,"['41.093600', '-75.118700']",2016-12-20 00:26,"2007 SATURN INFLATABLE RIGID RAFT WITH HARD BOTTOM. MODEL SD-385, $1,200 NEW, INFLATABLE V BOTTOM OR FLAT BOTTOM, ACCEPTS UP TO 30 HP SHORT SHAFT MOTOR, 5 PEOPLE, CANOPY, OARS, CARRY CASE, EXTRA PUMPS, PATCH KIT, PORTAGE WHEELS, 2 BENCH SEATS.  VERY GOOD CONDITION, GARAGE KEPT AND WELL CARED FOR.  VERY DURABLE AND VERSATILE BOAT.  COMES WITH 8 FOOT FLAT BED TRAILER NEW $400 FOR EASY LOADING AND UNLOADING.  THIS BOAT AND TRAILER HAVE SERVED ME WELL OVER THE YEARS AND MAKES FOR A GREAT RIVER BOAT I CAN GET ANYWHERE IN THE RIVER WITH A 10 HORSE MOTOR.  ASKING $850.00 OBO CALL TONY show contact info",,5898009559,41.093600,13,-75.118700,SATURN,"https://maps.google.com/maps/preview/@41.093600,-75.118700,16z",SD-385,$850,power, (MARSHALLS CREEK),"SATURN INFLATABLE RIGID RAFT 12'6"" AND TRAILER",https://poconos.craigslist.org/boa/5898009559.html,2007
6,good,"['41.391955', '-75.290817']",2016-12-19 20:45,1997 YAMAHA WAVEVENTURE 1100.ADULT OWNED SINCE NEW.THIS IS A 3 PASSENGER WAVERUNNER.3 CYLINDER ENGINE.WAVERUNNER HAS APPROX 75 HRS ON IT.FRESH WATER USE.RECENT LIGHTHOUSE MARINE ENTIRE GO OVER AND OK.I HAVE OWNED THIS WAVERUNNER FOR 18 YEARS BUT GETTING TOO OLD FOR IT.HAS A RECONSTRUCTED TITLE DUE TO REPAIRED SCRAPES ON BOTTOM.NO MAJOR DAMAGE BUT INSURANCE DID IT THIS WAY.HAS REVERSE AND DIGITAL DASH.TRAILER IS VERY CLEAN WITH RECENT TIRES AND HUBS.ASKING $2200 NEG.I LIVE IN NEW YORK BUT THIS IS AT MY PA HOUSE.THIS IS REGESTERED IN PA WITH A PA TITLE.TRAILER HAS NY REGISTRATION TRANSFERABLE.I WILL BE THERE LABOR DAY WEEKEND TO SHOW.THANKS FOR LOOKING AND HAVE A GOOD DAY.PLEASE CALL show contact info MIKE,75,5926258066,41.391955,10,-75.290817,YAMAHA,"https://maps.google.com/maps/preview/@41.391955,-75.290817,16z",WAVEVENTURE 1100,$2200,power," (LAKEVILLE,PA)",1997 YAMAHA WAVEVENTURE 1100,https://poconos.craigslist.org/boa/5926258066.html,1997
7,,"['40.950600', '-74.612900']",2016-12-19 11:52,"2011 Bayliner 195 BR Bow Rider, w - 4.3L 190 HP Mercruiser Engine. Boat comes complete with Galvanized Karavan Trailer w - Brakes & Swing Tongue. Boat Features Include: Fully Carpeted, Preferred Equipment Package (Black Hull Sides, Black Gel Stripe & Bimini Top w - Boot), Sport Seating (Dual Bucket Seats w - Aft Lounge), Digital Depth Finder, Captains Chairs w - Flip Up Bolsters, Cupholders, Nice Stereo System, Horn Grill, Thru Hull fittings & Fuel Fill) and Bow & Cockpit Cover. ...boat is in beautiful condition except for decals being rubbed off .....FRESH WATER BOAT HAS NEVER BEEN IN SALTWATER...1 OWNER SOLD AND SERVICED BY MARINA.. Theres a whole lot of boat to the 195. A potent MerCruiser V-6 delivers the pull for skiers and wakeboarders. The super-soft, cushioned seating provides comfort, while the large bow and cockpit give passengers free rein. With this much space, its amazing the 195 still fits well inside most garages. IT IS STORED AND SHRINKWRAPPED AT MARINA and has zipper door if you want to come inspect it...AND INCLUDES FREE WINTER STORAGE AND SPRING RUN UP AT MARINA AND IN WATER DEMO.......BUY NOW SAVE THOUSANDS....",,5925469919,40.950600,19,-74.612900,,"https://maps.google.com/maps/preview/@40.950600,-74.612900,16z",,$18900,power, (Lake Hopatcong),2011 Bayliner 195 BR w/Trailer,https://poconos.craigslist.org/boa/5925469919.html,
8,,"['40.962401', '-75.793133']",2016-12-19 11:48,"Well maintained 18 foot open bow wellcraft. Tent/Garage Kept. Runs excellent 4 cylinder inboard and great on gas. Boat is currrently winterized. Include all onboard items. depth finder, jackets, ropes etc.. Includes 2006 Venture trailer in very good condition. extremely good boat for firstimer or novice looking for something that will not give them any problems. call for details.",,5890017199,40.962401,18,-75.793133,,"https://maps.google.com/maps/preview/@40.962401,-75.793133,16z",,$2900,power, (NEPA),1986  Wellcraft 18' openbow,https://poconos.craigslist.org/boa/5890017199.html,
9,,"['40.941100', '-75.830600']",2016-12-19 11:47,"Well maintained 18 foot open bow wellcraft. Tent/Garage Kept. Runs excellent 4 cylinder inboard, currrently winterized. Include all onboard items. depth finder, jackets, ropes etc.. Includes 2006 Ventura trailer boat is fully operational and ready to go. extremely good boat for firstimer or novice looking for something that will not give them any problems. call for details",,5886860181,40.941100,18,-75.830600,Wellcraft,"https://maps.google.com/maps/preview/@40.941100,-75.830600,16z",American 180,$2900,power, (NEPA),1986 18' foot wellcraft bowrider,https://poconos.craigslist.org/boa/5886860181.html,
