,condition,coord_pair,date,description,engine hours (total),id,lat,length overall (LOA),long,make / manufacturer,map_URL,model name / number,price,propulsion type,region,title,url,year manufactured
0,excellent,[],2016-12-20 16:53,"For sale is a 13' Grumman fishing boat with trailer, electric trolling motor, and a 9.9  Evenrude gas motor. The motor is a low hours motor and runs fine. Everything is in very nice condition. $1000.00 Call and ask for Bill for more information. Don't e-mail, I'm not the seller. I'm listing for a friend.",,5921702135,,13,,Grumman,https://maps.google.com/?q=loc%3A+East+Main+St%2E+Ephrata+PA+US,,$1000,power, (Ephrata),13' Grumman Fishing Boat,https://reading.craigslist.org/boa/5921702135.html,
1,good,,2016-12-20 12:07,15 ft aluminum canoe  in good condition..,,5926914140,,15,,,,,$135,human,,Aluminum canoe,https://reading.craigslist.org/boa/5926914140.html,
2,,"['40.381500', '-75.574900']",2016-12-20 07:56,I have a boat that needs some work. I rehabed it 3 years ago. It has been sitting for 2 years now. I used it on a fishing trip and the starter went bad have not used since. could use paint on upper part of boat and some new front seats. 48 hp evinrude with power lift . motor ran great. Marina said it needed starter. trailer needs one new tire and rim. have registration for boat no title for trailer. I just put tag from different trailer on boat when i used it never had any problems. Will consider trades. Reply at show contact info show contact info,,5917627287,40.381500,14,-75.574900,,"https://maps.google.com/maps/preview/@40.381500,-75.574900,16z",,$300,power, (barto),nice project,https://reading.craigslist.org/boa/5917627287.html,
3,,"['40.335602', '-75.927200']",2016-12-19 12:23,Are you looking for the cheapest or the best? Why not have both?! http://www.findlocalinsurance.com/pa-boat Call today for a quick quote on your boat: show contact info The Kahmer Agency,,5899455727,40.335602,28,-75.927200,,"https://maps.google.com/maps/preview/@40.335602,-75.927200,16z",,,power,,Boat Insurance for Less,https://reading.craigslist.org/boa/5899455727.html,
4,excellent,,2016-12-19 08:44,1994 Mirada ultimata cuddy. Boat is in excellent shape. All works as it should. Has mooring cover. Bimini top. Engine is a very fast v-8 and works perfectly. Must sell looking to buy an rv. Would consider trades of rv or tell me what you got,,5907656867,,21,,,,,$4800,power, (Nazareth),21 cuddy.  Very fast,https://reading.craigslist.org/boa/5907656867.html,
5,excellent,"['40.328000', '-75.990800']",2016-12-18 21:44,"Comes with Coleman Inflate All 2210A718 Air Pump , 3  Inflatable Seats , 2 Oars , 3 Life Jackets ( 2 Adult , 1 Child ) , And 1 Anchor. Gently Used In Excellent Condition.",,5903032584,40.328000,6,-75.990800,Sevylor,"https://maps.google.com/maps/preview/@40.328000,-75.990800,16z",H F 280,$150,human, (Sinking Spring),Sevylor 280 Fish Hunter,https://reading.craigslist.org/boa/5903032584.html,
6,excellent,,2016-12-18 11:15,"2001 Grady White 248 Voyager,   Nov 2015,  300 Yamaha,   with 123 hrs.   very economical,   She is my baby.   Almost everything u would want.    2 Simrad  MFD and auto piolet.  if interested I will post more. Trailer included.   65K",123,5924222774,,31,,Grady White,,248 Voyager,$1,power, (Reading),Grady White,https://reading.craigslist.org/boa/5924222774.html,2001
7,new,"['40.338000', '-75.978000']",2016-12-17 15:50,"Bazooka MBTA8250D Marine 8-Inch 250 Watt Pre Loaded Bass Tube I could not fit it in the location I needed on my boat, there was just no way to mount it as it was hard to realize this without seeing it in person. It is brand new other than that and was never hooked up. In original box with all items. . $230 FIRM. It is a great deal. Firm means $230 no less. Jim show contact info $319.99 plus tax on Amazon $319.99 on Crutchfield.com http://www.crutchfield.com/p_204MBTA825/Bazooka-MBTA8250D.html?tp=61750 ......Want to make a big splash with your boat's sound system? Bazooka's marine-ready MBTA8250D 8"" amplified Bass Tube puts out powerful bass that'll add low-end punch to your music out on the water. This space-saving sub offers an ideal solution if you don't want to make a lot of modifications to your vessel. The Bass Tube features an 8"" woofer and a built-in Class D 160-watt amp housed in a UV- and moisture-resistant enclosure, and it comes with an installation kit that includes a power/signal harness and mounting straps. Speaker- and preamp-level inputs ensure it can be connected to almost any radio. 8"" woofer with foam surround power output: 160 watts RMS (250 watts peak)",,5894908644,40.338000,1,-75.978000,,"https://maps.google.com/maps/preview/@40.338000,-75.978000,16z",,$230,human, (Wyomissing),"""NEW"" MBTA8250D Marine 8-Inch 250 Watt Pre Loaded Bass Tube",https://reading.craigslist.org/boa/5894908644.html,
8,good,,2016-12-17 13:56,"8 horse mercury boat motor, carburator just rebuilt, runs very good; boat, boat motor and gas tank all go together, went catfishing on Susquehanna River this year past summer, was a little full with 3 men, but worked fine. Only ran on high rpm when I buy and smoked like crazy, but when carburator was worked on it now idles and runs beautifully it's good motor. Boats a little old. Please call or text any questions I tell you all I know.",,5923271909,,14,,mercury 8 horse power,,not sure,$600,power, (Chambersburg),John Boat,https://reading.craigslist.org/boa/5923271909.html,
9,like new,[],2016-12-17 12:50,"Up for your consideration is a 2102 Sun Tracker Party Barge 20DLX with Tracker trailer and 60 HP Mercury Bigfoot outboard. This was traded in on a new RV, and we need the room for winter. Motor can be run with water muffs if needed. Nice lightweight boat. GVW of trailer/boat is 3750lbs! Selling price is $14,995 for the boat and trailer. (Two separate titles) Make an offer!! All we can say is no!",,5917740081,,20,,Tracker,https://maps.google.com/?q=loc%3A+%31%32%33%36+Pottsville+Pike+Shoemakersville+PA+US,Party Barge 20DLX,$14995,power, (Shoemakersville),2012 Sun Tracker 20DLX and trailer,https://reading.craigslist.org/boa/5917740081.html,2012
