,condition,coord_pair,date,description,engine hours (total),id,lat,length overall (LOA),long,make / manufacturer,map_URL,model name / number,price,propulsion type,region,title,url,year manufactured
0,fair,"['41.135000', '-75.937600']",2016-12-20 17:08,"The jet ski hull is free, is has other parts taken off than shown in pics. Trailer is for sale $700 it's galvanized and is light, it does not have a title, you also get the jet ski hull with the trailer.  I am taking parts off of it so you get what ever I left on there thanks. Parts are available on eBay here is the link http://www.ebay.com/sch/m.html?_odkw=&_ssn=len2060&_osacat=0&_from=R40&_trksid=p2046732.m570.l1313.TR11.TRC2.A0.H0.X2002+yamah.TRS1&_nkw=2002+yamah&_sacat=0",,5927379857,41.135000,10,-75.937600,Yamaha,"https://maps.google.com/maps/preview/@41.135000,-75.937600,16z",1200 XLT,$600,power, (Mountaintop),Free 2002 Yamaha Waverunner XLT 1200 Jet Ski Hull Trailer-$600 OBO,https://scranton.craigslist.org/boa/5927379857.html,2002
1,new,[],2016-12-20 09:09,"Base Boat $26,992.00 Mercury 115HP CT Four Stroke $10,940.00 Optional Equipment: XLT Package $1,708.00 Performance Shield $1,025.00 SS Ski Tow $1,025.00 Mooring Cover $1,483.00 Sea Star Steering $1,825.00 Lifting Strakes $1,583.00 Change Room $800.00 Companionway $1,483.00 Elite Package** $1,988.00 MSRP $50,852.00 Captain Joe'S DISCOUNT -$5,980.00 BOAT SHOW SAVINGS -$4,877.00 FACTORY REBATE -$2,000.00 BUY TODAY $37,995.00* TOTAL SAVINGS $12,857.00 AS LOW AS $356.30 per Month w/10% Down *Does not included PA sales tax, dealer freight and prep fees, and Reg fees **Elite Package includes LED Interior Mood Lighting, Exterior LED Logo Lights, Depth Sounder, Trim Gauge, 2 Aft Speakers, 36Qt. In console Removable Cooler, 2 Movable Cup Holders, Non-Skid Flooring in Rear Entry. Free storage for the winter and have your boat ready for spring!!",0,5926659676,,24,,hampton,https://maps.google.com/?q=loc%3A+%38%37%37+purdytown+tpk+lakeville+PA+US,2485XLT,$37995,power, (Lakeville),Hampton 2016 2485XLT powered with Mercury 115CT,https://scranton.craigslist.org/bod/5926659676.html,2016
2,,,2016-12-19 19:37,"17' Glastron Carlson. Fiberglass boat with trailer and Mercury outboard motor. Needs work! Year unknown. ****Please note, I DO NOT have the title and I know nothing about this boat other than the fact that I bought the house from an estate and the seller's did not want it, so I am the proud new owner. Only $150!!!! Make it go away.",,5926188829,,17,,Glastron,,Carlson,$150,power, (Scott Township),17' Glastron- CHEAP! Need it gone ASAP,https://scranton.craigslist.org/boa/5926188829.html,
3,like new,"['41.604100', '-76.259800']",2016-12-19 09:22,"2015 G3 1656 60/40 Yamaha jet, g3 is complete ready to fish. New seal skin cover.Boat in New condition less than 3 tanks of gas run thru it, garage kept. Call or text. No email please. Thanks Frank.. more photos upon request..",12,5913340639,41.604100,16,-76.259800,Generation 3,"https://maps.google.com/maps/preview/@41.604100,-76.259800,16z",G3 1656,$19500,power, (Sugar Run),2015 G3 1656ccj jet boat..,https://scranton.craigslist.org/boa/5913340639.html,2015
4,,,2016-12-19 07:47,Genesis 94 Volvo Penta inboard/outboard motor 18 foot length comes with original Genesis trailer call Michael @ 8 78 9 314,,5911553193,,18,,,,,$2000,power, (wyoming),GENESIS 94,https://scranton.craigslist.org/boa/5911553193.html,
5,excellent,"['41.274200', '-75.890300']",2016-12-19 06:06,"2010 Air Nautique. Exterior and Interior is in great shape. Upholstery looks brand new, No rips, tears or stains in upholstery.",,5900660751,41.274200,23,-75.890300,,"https://maps.google.com/maps/preview/@41.274200,-75.890300,16z",Air Nautique,$22505,power,,Great Shape Air Nautique,https://scranton.craigslist.org/boa/5900660751.html,
6,fair,[],2016-12-18 23:20,Needs a little cleaning and some artificial turf inside needs to be repaired or removed.  No title,,5914540361,,12,,,https://maps.google.com/?q=loc%3A+Bromley+ave+at+Lafayette+Scranton+PA+US,,$400,power,,"12' Jon boat, 5.5hp gas motor and trailer",https://scranton.craigslist.org/boa/5914540361.html,
7,like new,"['40.304366', '-78.319865']",2016-12-18 09:11,"2015 EME MICRO HULL (72 POUNDS) 718 RIVA YAMAHA MOTOR APROX 15HRS RIVA INTAKE 44MM MIKUNI CARBS FACTORY B PIPE 2 GALLON KART TANK X SCREAM HAND POLE WITH BLOWSION STEERING SOLAS 9/15 IMPELLER , TRIM SYSTEM 1000 GPH BILGE PUMP WITH WATER PROOF SWITCH ON BARS , NEW LIGHTWEIGHT BATTERY HAVE TITLE IN HAND SKI IS IN GREAT CONDITION IT HAS A FEW SCRATCHES NEED TO SELL AS SOON AS I CAN I'M OPEN TO PARTIAL TRADE OFFERS",15,5924070286,40.304366,6,-78.319865,EME,"https://maps.google.com/maps/preview/@40.304366,-78.319865,16z",MICRO,,power,,EME MICRO YAMAHA STAND UP JETSKI MAKE OFFERS PRICE REDUCED,https://scranton.craigslist.org/boa/5924070286.html,2015
8,like new,[],2016-12-17 19:49,"HELLO I'M LOOKING TO TRADE MY 2005 HARLEY-DAVIDSON FLSTC HERITAGE SOFTAIL CLASSIC FOR A BOAT I,M LOOKING FOR A 18 TO 20 FOOT BOWRIDER TYPE BOAT  LET ME TELL YOU ABOUT MY BIKE I BOUGHT IT FROM THE FIRST OWNER  IT ONLY HAS 13,150 MILES  IT IS IN LIKE NEW CONDITION IT HAS THE TWO TONE PAINT SMOKEY GOLD PEARL WITH VIVID BLACK REALLY SHARP WITH LOTS OF CHROME IT HAS FACTORY TOURING HANDLE BARS AND PASSENGER BACKREST DETACHABLE KING SIZE WINDSHIELD BLACK POWDER COATED ENGHINE WITH CHROME COVERS LEATHER SADDLE BAGS WITH QUICK DETACH BUCKLES HARDTAIL STYLING WITH HIDDEN HORIZONTAL SHOCKS CHROME PLATED LIGHT BAR CHROME PASSING LAMPS  5 SPEED TRANS WITH TRANS BELT DRIVE CHROME LACED WHEELS FRONT AND BACK FOOTBOARDS FACTORY ALARM GARMIN GPS BOSS BLUETHOOTH SPEAKER SYSTEM COMES WITH TWO SOFT LUGGAGE TOURING BAGS TWO COVERS TRICKLE CHARGER ALLWAYS GARGE KEPT NEW BRAKE PADS FRONT AND BACK  PA. INSPECTION GOOD UNTILL AUGUST 2017",,5923676912,,0,,H.d.softail heritage softail,https://maps.google.com/?q=loc%3A+Pocasset+road+PHILADELPHIA+PA+US,,,power,,TRADE MY 2005 Harley-Davidson Heritage softail Classic,https://scranton.craigslist.org/boa/5923676912.html,
9,like new,[],2016-12-17 19:45,"HELLO I'M LOOKING TO TRADE MY 2005 HARLEY-DAVIDSON FLSTC HERITAGE SOFTAIL CLASSIC FOR A BOAT  I,M LOOKING FOR A 17TO 19 FOOT BOW RIDER TYPE BOAT  LET ME TELL YOU ABOUT MY BIKE I BOUGHT IT FROM THE FIRST OWNER  IT ONLY HAS 13,150 MILES  IT IS IN LIKE NEW CONDITION IT HAS THE TWO TONE PAINT SMOKEY GOLD PEARL WITH VIVID BLACK REALLY SHARP WITH LOTS OF CHROME IT HAS FACTORY TOURING HANDLE BARS AND PASSENGER BACKREST DETACHABLE KING SIZE WINDSHIELD BLACK POWDER COATED ENGHINE WITH CHROME COVERS LEATHER SADDLE BAGS WITH QUICK DETACH BUCKLES HARDTAIL STYLING WITH HIDDEN HORIZONTAL SHOCKS CHROME PLATED LIGHT BAR CHROME PASSING LAMPS  5 SPEED TRANS WITH TRANS BELT DRIVE CHROME LACED WHEELS FRONT AND BACK FOOTBOARDS FACTORY ALARM GARMIN GPS BOSS BLUETHOOTH SPEAKER SYSTEM COMES WITH TWO SOFT LUGGAGE TOURING BAGS TWO COVERS TRICKLE CHARGER ALLWAYS GARGE KEPT NEW BRAKE PADS FRONT AND BACK  PA. INSPECTION GOOD UNTILL AUGUST 2017",,5923673629,,0,,H.d.softail heritage softail,https://maps.google.com/?q=loc%3A+Pocasset+road+PHILADELPHIA+PA+US,,,power,,TRADE MY 2005 Harley-Davidson Heritage softail Classic,https://scranton.craigslist.org/boa/5923673629.html,
