,condition,coord_pair,date,description,engine hours (total),id,lat,length overall (LOA),long,make / manufacturer,map_URL,model name / number,price,propulsion type,region,title,url,year manufactured
0,excellent,[],2016-12-20 16:52,"For sale is a 13' Grumman fishing boat with trailer, electric trolling motor, and  9.9 Evenrude gas motor. The motor is a low hours motor and runs fine. Everything is in very nice condition. $1000.00 Call and ask for Bill for more information. Don't e-mail, I'm listing for the owner.",,5921702607,,13,,Grumman,https://maps.google.com/?q=loc%3A+East+Main+St%2E+Ephrata+PA+US,,$1000,power, (Ephrata),13' Grumman Fishing Boat,https://york.craigslist.org/boa/5921702607.html,
1,,[],2016-12-20 16:37,14 ft boat trailer good shape NO TITLE and 1 tire off bead (tire looks good) BOAT IS SOLD.....TRAILER ONLY ASKING $250 OBO,,5927337942,,14,,,https://maps.google.com/?q=loc%3A+delta+road+at+goram+rd+brogue+PA+US,,$250,human, (brogue pa),14 ft boat trailer good shape no title,https://york.craigslist.org/boa/5927337942.html,
2,,"['39.912400', '-76.653500']",2016-12-20 15:30,2006 Kawasaki Jet Ski. 3 seater with ONLY 78 hrs on it. One owner. Runs like new. Fast 06 Load Rite trailer like new tires. Just dont have time for it anymore. $4000 OBO show contact info,,5927241404,39.912400,8,-76.653500,,"https://maps.google.com/maps/preview/@39.912400,-76.653500,16z",,,power,,06' Jet Ski - Low miles!,https://york.craigslist.org/boa/5927241404.html,
3,,,2016-12-20 14:47,"1989 Sea Doo Bombardier Jet Ski, Brand New Motor, has title.  $500.00 O.B.O",,5905490728,,9,,,,,$500,power, (White Hall MD),1989 Sea Doo Bombardier Jet Ski,https://york.craigslist.org/boa/5905490728.html,
4,,"['39.323144', '-76.440554']",2016-12-20 14:43,"A few deep water boat slips available for the coming year at Middle River Landing Marina. Family owned/operated. Full service boatyard, ship's store, gated entrance, customer lounge, WIFI, picnic areas. Well protected harbor. Reserve soon! www.middleriverlandingmarina.com",,5920611333,39.323144,70,-76.440554,,"https://maps.google.com/maps/preview/@39.323144,-76.440554,16z",,,power,,Deep Water Boat Slips,https://york.craigslist.org/boa/5920611333.html,
5,,[],2016-12-20 13:45,"Annapolis, Spa Creek - DEEP water - Slips available directly across from downtown Annapolis, and the Naval Academy. Plus - and for a short time, 2016 prices still available for the 2017 season! Easy walk to pubs, coffee shops and restaurants. 5 minute access to the Chesapeake Bay - no waiting for the Eastport Bridge. The perfect place to be for sailboats and power boats alike. Winter rates also available. All slips include water, new marina bathrooms with showers close by, and free parking. Live aboards welcome. Please call for pricing and information on larger slips. Visit us at www.222severn.com.",,5899536880,,44,,,https://maps.google.com/?q=loc%3A+Severn+Avenue+at+%32nd+Street+annapolis+PA+US,,,sail,,Annapolis DEEP WATER boat slips for rent - On Spa Creek!,https://york.craigslist.org/boa/5899536880.html,
6,excellent,[],2016-12-20 10:15,2010 Hurricane Tracer touring kayak in good condition.  Thermoformed Polycarbonate kayak with a skeg. New price:  $1699 Used price: $599,,5909443723,,16,,Hurricane,https://maps.google.com/?q=loc%3A+%32%30%39%32+Long+Level+RD+Wrightsville+PA+US,Tracer 165,$599,human, (Wrightsville),Hurricane Tracer touring kayak,https://york.craigslist.org/boa/5909443723.html,2010
7,excellent,[],2016-12-20 10:14,2016 Jackson Kayak Kilroy LT light weight fishing kayak.  This was one of our demos and has very light use. New Price $1799 Used Price $1149,,5909447579,,13,,Jackson Kayak,https://maps.google.com/?q=loc%3A+%32%30%39%32+Long+Level+RD+Wrightsville+PA+US,Kilroy LT,$1149,human, (Wrightsville),2016 Jackson Kilroy LT fishing kayak,https://york.craigslist.org/boa/5909447579.html,2016
8,excellent,[],2016-12-20 10:14,2016 Jackson Kayak Cuda LT.  This was one of our demo kayaks and is in good condition. New price: $1799 Used price: $ 1149,,5909450896,,13,,Jackson Kayak,https://maps.google.com/?q=loc%3A+%32%30%39%32+Long+Level+RD+Wrightsville+PA+US,Cuda LT,$1149,human, (Wrightsville),2016 Jackson Cuda LT fishing kayak,https://york.craigslist.org/boa/5909450896.html,2016
9,good,[],2016-12-20 10:14,2016 Jackson Kayak Kilroy DT tandem fishing kayak.  This is a great kayak for both tandem and solo use.  This is our demo and in good condition. New Price $1899 Used Price $1249,,5909489517,,14,,Jackson Kayak,https://maps.google.com/?q=loc%3A+%32%30%39%32+Long+Level+RD+Wrightsville+PA+US,Kilroy DT,$1249,human, (Wrightsville),2016 Jackson Kilroy DT tandem fishing kayak,https://york.craigslist.org/boa/5909489517.html,2016
