,condition,coord_pair,date,description,engine hours (total),id,lat,length overall (LOA),long,make / manufacturer,map_URL,model name / number,price,propulsion type,region,title,url,year manufactured
0,like new,[],2016-12-20 17:31,I'm selling a 2005 f225 Yamaha 456 hours 25 inch shaft with hydraulic stearing stainless prop last storm a tree fell on boat ruined boat  . cover got damaged but all fixed selling for my brother his moving back from Florida  8500 cash,456,5913314883,,25,,Yamaha,https://maps.google.com/?q=loc%3A+Glebe+at+Burt+Taunton+RI+US,F225,$8500,power, (Taunton),2005 f225 yamaha,https://providence.craigslist.org/boa/5913314883.html,2005
1,excellent,[],2016-12-20 17:31,Selling a 2005 f225 Yamaha out board for my brother last storm a tree feel on boat broke in half  . Motor all good a branch feel on cover cracks but got it fixed just needs decals will order 456 hours 25 inch shaft runs super 8500cash,456,5903319090,,25,,Yamaha,https://maps.google.com/?q=loc%3A+Glebe+at+Burt+Taunton+RI+US,F225,$8500,power, (Taunton),2005 f225 yamaha,https://providence.craigslist.org/boa/5903319090.html,2005
2,good,"['41.443700', '-71.534200']",2016-12-20 17:24,Both currently registered in ri 1987  shoreland'R roller type trailer good condition runs new tires 1987 208 sunbird blue and white cuddy cabin toilet everything good  . Used in fresh water . Was in storage for 10 years. Has new water pump gimmbles steering cable nothing wrong with out drive  the engine is a v6 175 hp mercruiser other than everything in good condition. Looking $3500 offer or make one 4017nine363eight3 Text please,,5923322991,41.443700,21,-71.534200,Sunbird,"https://maps.google.com/maps/preview/@41.443700,-71.534200,16z",,$3500,power, (south kingstown),208 sunbird cuddy cabin,https://providence.craigslist.org/boa/5923322991.html,
3,like new,,2016-12-20 16:35,"i want to buy Sea Ray Sundancer 260 or 270 Single Motor (with ARCH). if it doesn't have an arch i'm not interested. 2001 to 2006 doesn't matter what year. looking to spend $20,000 to $25,000 CASH or Bank Check doesn't matter to me. please send pics, and specs and a phone number i can call or text you at.",,5917328970,,29,,,,,,power,,Cash in Hand for 2001 - 2006 Sea Ray Sundancer,https://providence.craigslist.org/boa/5917328970.html,
4,,"['41.854700', '-71.473500']",2016-12-20 16:34,55 GALLON BLUE OR BLACK  PLASTIC DRUMS WITH PLUGS 25.00 EACH show contact info NO E-MAIL PLEASE THANKS GOOD FOR  MOVING OR STORING GAS OIL DIESEL WATER FUEL OR ANY LIQUID STORAGE,,5927315039,41.854700,48,-71.473500,,"https://maps.google.com/maps/preview/@41.854700,-71.473500,16z",,$25,human, (JOHNSTON),55 GALLON PLASTIC DRUMS,https://providence.craigslist.org/boa/5927315039.html,
5,new,"['41.854700', '-71.473500']",2016-12-20 16:27,MANY SIZES show contact info THANKS EACH  WILL NOT ROT 40 BY 48 AND 43 BY 43 PLUS OTHERS GREAT FOR DECKS AND PORCHES,,5927312251,41.854700,48,-71.473500,,"https://maps.google.com/maps/preview/@41.854700,-71.473500,16z",,$15,human, (JOHNSTON),HEAVY DUTY PLASTIC PALLETS FOR SALE GOOD FOR FIREWOOD STORAGE,https://providence.craigslist.org/boa/5927312251.html,
6,new,"['41.854100', '-71.437800']",2016-12-20 16:20,55 GALLON BLACK  PLASTIC BARRELS  25.00 EACH   CALL show contact info THANKS  GOOD FOR WATER  OR  RAIN STORAGE,,5927313348,41.854100,48,-71.437800,,"https://maps.google.com/maps/preview/@41.854100,-71.437800,16z",,$25,human, (JOHNSTON),RAIN  BARRELS,https://providence.craigslist.org/boa/5927313348.html,
7,new,"['41.820600', '-71.444300']",2016-12-20 16:19,MANY SIZES EACH show contact info THANKS 48 BY 40 AND  43 BY 43 AND 40 BY 32,,5927299086,41.820600,484,-71.444300,,"https://maps.google.com/maps/preview/@41.820600,-71.444300,16z",,$15,human, (JOHNSTON),HEAVY DUTY PALLETS FOR SALE GOOD FOR FIREWOOD STORAGE,https://providence.craigslist.org/boa/5927299086.html,
8,new,"['41.818152', '-71.437236']",2016-12-20 16:17,PALLETS  MANY SIZE EACH WILL NOT ROT GOOD FOR CAMPING GROUNDS OR WALKWAYS THANKS show contact info,,5927295676,41.818152,484,-71.437236,,"https://maps.google.com/maps/preview/@41.818152,-71.437236,16z",,$15,human, (JOHNSTON),HEAVY DUTY PLASTIC PALLETS FOR SALE GOOD FOR WALKWAYS,https://providence.craigslist.org/boa/5927295676.html,
9,new,"['41.818152', '-71.437236']",2016-12-20 16:05,PALLETS  MANY SIZE EACH WILL NOT ROT WASHER OR DRYER OR  STORAGE THANKS show contact info,,5927292779,41.818152,484,-71.437236,,"https://maps.google.com/maps/preview/@41.818152,-71.437236,16z",,$15,human, (JOHNSTON),HEAVY DUTY PLASTIC PALLETS FOR SALE GOOD FOR BASEMENT,https://providence.craigslist.org/boa/5927292779.html,
10,new,"['41.818152', '-71.437236']",2016-12-20 16:05,PALLETS  MANY SIZE EACH THANKS show contact info,,5927291624,41.818152,48,-71.437236,,"https://maps.google.com/maps/preview/@41.818152,-71.437236,16z",,$15,human, (JOHNSTON),HEAVY DUTY PLASTIC PALLETS FOR SALE GOOD FOR DECKS AND CAMPING GROUNDS,https://providence.craigslist.org/boa/5927291624.html,
11,new,"['41.854100', '-71.437800']",2016-12-20 16:02,55 GALLON BLUE OR BLACK  PLASTIC BARRELS  25.00 EACH   CALL show contact info GOOD FOR OIL OR GAS OR HEATING OIL STORAGE,,5927287744,41.854100,484,-71.437800,,"https://maps.google.com/maps/preview/@41.854100,-71.437800,16z",,$25,human, (JOHNSTON),55 GALLON PLASTIC  FUEL BARRELS,https://providence.craigslist.org/boa/5927287744.html,
12,new,"['41.854100', '-71.437800']",2016-12-20 16:01,55 GALLON BLUE OR BLACK  PLASTIC BARRELS  25.00 EACH   CALL show contact info GOOD FOR WATER  OR  RAIN STORAGE,,5927286474,41.854100,484,-71.437800,,"https://maps.google.com/maps/preview/@41.854100,-71.437800,16z",,$25,human, (JOHNSTON),55 GALLON PLASTIC WATER BARRELS,https://providence.craigslist.org/boa/5927286474.html,
13,,,2016-12-20 15:57,"Hello, I have a 10 foot Jon boat . Comes with 2 anchors 2 life vest 2 oars 2 batteries 1 marine(paid $160) 1 trolling motor 1 trailer 2 fishing pole holders 2 seats. No holes at all plus I rubbered the bottom 2 years ago. It has been in all RI and mass lakes and even in the bay. Excellent for one person and 3 people.",,5927280114,,10,,,,,$500,human, (Smithfield),$500 next 3 days ONLY,https://providence.craigslist.org/boa/5927280114.html,
14,excellent,,2016-12-20 14:56,"Have one 1953 Wilcox Crittenden  Boxed Compass   works great No bubbles/leaks, Original paint  and as it came from manufacturer . Face Glass: 4"" Diam. Outside Edge of Compass Ring: 5.5"" Diam Outside Edge of Gimbal: 6"" Diam. Box Dimensions: 7 1/2"" L x 7 1/2"" W x 5.25"" H with cover on asking $200.00 No checks or money orders , buyer pays shipping Cash or PayPal contact between 8am to 6pm",,5904699132,,0,,Wilcox Crittenden,,"4"" compass",,human,,1953 Wilcox Crittenden & CO. INC.,https://providence.craigslist.org/boa/5904699132.html,1953
15,good,,2016-12-20 14:55,"have 1 used sizes Med NORTH ATLATIC TRADING CO.  Foul Weathe Suit  , color red / outside and blue on the inside Still in great condition Asking $185. No checks or money orders Cash & Carry or PayPal , buyer pays for shipping and only use USPS , UPS or FedEx contact between 8am to 6pm",,5901873371,,0,,North Atlantic Trading Co.,,,$185,human, (NK),North Atlantic Trading Co. Foul Weather Gear,https://providence.craigslist.org/boa/5901873371.html,
