,condition,coord_pair,date,description,engine hours (total),id,lat,length overall (LOA),long,make / manufacturer,map_URL,model name / number,price,propulsion type,region,title,url,year manufactured
0,,"['33.430800', '-79.323500']",2016-12-20 20:38,We are selling our 1995 SeeDoo GTX - we are the original owners and it is has been garage kept with only adult users. It has only been is saltwater twice - and then promptly washed. It is a 3 seater with reverse. It has been recently serviced and has a new battery. All instrumentation works. In great condition. IT HAS ONLY BEEN USED TWICE IN SALTWATER AND THEN PROMPTLY SCRUBBED/WASHED. All other use was in Lake Murray fresh water. One owner and adult used only. $2250 Please email through Craigslist if you are interested in either one or both.,,5900713033,33.430800,2,-79.323500,,"https://maps.google.com/maps/preview/@33.430800,-79.323500,16z",,$2250,power, (Georgetown),Sea Doo SeeDoo GTX - garage kept,https://columbia.craigslist.org/boa/5900713033.html,
1,,"['33.965900', '-80.935500']",2016-12-20 19:58,I HAVE A LIKE NEW CAROLINA SKIFF 16 DLX WITH 4O YAMAHA TILLER. BOAT HAS BIMINI TOP. IM OPEN TO TRADES. CALL OR TEXT show contact info,,5901522347,33.965900,16,-80.935500,,"https://maps.google.com/maps/preview/@33.965900,-80.935500,16z",,$10500,power, (COLUMBIA),2014 CAROLINA SKIFF,https://columbia.craigslist.org/boa/5901522347.html,
2,good,,2016-12-20 18:57,"1985 Wellcraft American 190, 19' fish/ski boat, galv. trailer w/ spare tire, depth finder, 3.0 Mercruiser. Paddle, life jackets, throwable, ski rope, tube, and new Exide marine battery included. Engine ran fast and strong all summer. Had a little skip last time out. Replaced entire electrical system. Points, condenser, distributor cap, rotor button, coil, starter, and had alternator rebuilt. Now engine turns over but will not crank. Checked compression and it is good. I'm still done with it. Sure it's something simple but I've had enough. Might just be the carburetor. My loss is your gain. Asking $1,500. Galvanized trailer that size is really worth that by itself. All offers taken into consideration including trade for 15 hp or 25 hp motor. Title in hand.",,5916390519,,19,,Wellcraft,,American,$1500,power, (Barnwell),1985 Wellcraft American 190,https://columbia.craigslist.org/boa/5916390519.html,1985
3,excellent,"['33.882100', '-80.402800']",2016-12-20 15:31,I have a 1999 200lx stingray in great condition. Much tlc has been given to this boat. Cream color with tan trim. Radio and all electronics work. Has an alpha II outdrive. V8 fuel injected engine. Outstanding on gas.  Asking 7000,,5927242887,33.882100,20,-80.402800,Stingray,"https://maps.google.com/maps/preview/@33.882100,-80.402800,16z",200lx,$7000,power, (Sumter),1999 stingray 200lx,https://columbia.craigslist.org/boa/5927242887.html,1999
4,,"['33.926437', '-81.187305']",2016-12-20 14:57,Nice 1998 godfrey 22ft pontoon with trailer. Text is best way to reach me 80331757eight0. $3000 firm,,5927192332,33.926437,22,-81.187305,,"https://maps.google.com/maps/preview/@33.926437,-81.187305,16z",,$3000,power, (Lexington),1998 godfrey 220sre pontoon,https://columbia.craigslist.org/boa/5927192332.html,
5,like new,"['34.657800', '-82.244100']",2016-12-20 14:48,"9.9 honda 15 inch short shaft engine ,tiller steer can demo, has never been or in salt water  new lower unit oil water pump and engine oil i will demo and shift the engine  sc title in hand also  have the 14 ft john boat with foot controled 12v motor seats and depth finder, and nice galvanised trailer with fenders i can text pics and send vedio show contact info thanks",7,5924333392,34.657800,14,-82.244100,HONDA,"https://maps.google.com/maps/preview/@34.657800,-82.244100,16z",fish console,$995,power, (Fountain inn),honda 9.9 out board engine 4 stroke,https://columbia.craigslist.org/boa/5924333392.html,1997
6,like new,[],2016-12-20 14:45,"2016 Regal 2000 ES w/ 4.3L Mercruiser. Boat is in great shape and has only 57 hours.  Options include bimini top, depth finder, Fusion radio w/ 6 speakers, bow & cockpit covers.  No trailer as boat has been stored at Lighthouse Marina.  Please call Craig or Jason at show contact info",,5906103845,,20,,Regal,https://maps.google.com/?q=loc%3A+%31%39%32%35+Johnson+Marina+Road+Chapin+SC+US,2000 ES,$35500,power," (Irmo, SC)",2016 Regal 2000 ES w/ 4.3L Mercruiser,https://columbia.craigslist.org/boa/5906103845.html,2016
7,good,[],2016-12-20 14:44,"2007 Four Winns 200 Horizon w/ 5.0 Volvo & trailer.  Options include bimini top, stereo, depth finder & battery switch.  Boat is in great condition and has been stored at Lighthouse Marina.  Please call Craig or Jason at show contact info",,5906109893,,20,,Four Winns,https://maps.google.com/?q=loc%3A+%31%39%32%35+Johnson+Marina+Road+Chapin+SC+US,200 Horizon,$18995,power," (Irmo, SC)",2007 Four Winns 200 Horizon w/ 5.0 Volvo & trailer,https://columbia.craigslist.org/boa/5906109893.html,2007
8,good,[],2016-12-20 14:44,"2001 Crest III w/ 90 Evinrude.  Boat has only 261 hours and is stored at Lighthouse Marina.  Options include:  Depth finder, stereo, ski tow and full cover.  Please call Craig or Jason at show contact info",,5906118857,,22,,Crest,https://maps.google.com/?q=loc%3A+%31%39%32%35+Johnson+Marina+Road+Chapin+SC+US,III,$9995,power," (Irmo, SC)",2001 Crest III w/ 90 Evinrude,https://columbia.craigslist.org/boa/5906118857.html,2001
9,good,[],2016-12-20 14:44,"2009 Bentley 244 Fish Red w/ 90 Mercury 4 stroke EFI. Options include: vinyl floor, rod holders, livewell, battery switch and stereo. Boat has been dry docked at Lighthouse Marina. Please contact Craig or Jason at show contact info",,5906123326,,24,,Bentley,https://maps.google.com/?q=loc%3A+%31%39%32%35+Johnson+Marina+Road+Chapin+SC+US,244 Fish,$12995,power," (Irmo, SC)",2009 Bentley 244 Fish Red w/ 90 Mercury 4 stroke EFI,https://columbia.craigslist.org/boa/5906123326.html,2009
