,condition,coord_pair,date,description,engine hours (total),id,lat,length overall (LOA),long,make / manufacturer,map_URL,model name / number,price,propulsion type,region,title,url,year manufactured
0,,"['34.851100', '-80.002500']",2016-12-20 19:01,"IF YOU ARE READING THIS ADD, YES, IT IS STILL AVAILABLE!! 1973 14ft fiberglass Jon Boat with running (needs carb cleaned) 15hp a chrysler motor and foot controlled trolling motor with batteries and clear titles boat, sent off for lost title on trailer. No title for motor as NC doesn't require/issue them. Make a offer and I will get back to you.",,5918322732,34.851100,14,-80.002500,,"https://maps.google.com/maps/preview/@34.851100,-80.002500,16z",,,power,,14' Fiberglass Jon Boat 15hp,https://florencesc.craigslist.org/boa/5918322732.html,
1,excellent,,2016-12-20 18:04,"Xpress XP 180 powered by a Yamaha F90. At 60"" wide and 18' long this boat is very stable. I purchased brand new from Marshalls Marine in August of 2013. All scheduled maintenance has been performed at the Lake City location. Motor has 2 years remaining on warranty. This boat has been meticulously maintained and always garage kept. Boat has fewer than 50 hours of use! Boat has the following accessories plus more: Hummingbird gps/fish finder minn kota 55lb thrust trolling motor powertech SS prop Jenson marine radio +2 speakers CMC breakaway jack plate custom duck blind Will consider trades for equivalent value mud motor boat. Text or email are preferred. Tags: xpress, havoc, edge, excel, ambush, war eagle, triton, Gator Trax, Gator Tail, Duck Boat, mud motor, yamaha",50,5902216239,,18,,Xpress,,xp 180,$17500,power, (Hartsville),Xpress XP 180,https://florencesc.craigslist.org/boa/5902216239.html,2013
2,like new,,2016-12-20 15:58,Comes with galvanized trailer and 1998 15hp Johnson motor. Runs great!,,5927282518,,15,,Duracraft,,,$3600,power, (Lake City),1998 Duracraft,https://florencesc.craigslist.org/boa/5927282518.html,1998
3,,,2016-12-20 14:14,I have started for 25 30 horse Evinrude and johnson also have a lower unit for a 40 and 50 johnson also have mercury and Yamaha parts and repairs please just give me a call for more info show contact info,,5906675795,,1,,,,,$1,power, (nickels),used boat motor parts,https://florencesc.craigslist.org/boa/5906675795.html,
4,good,"['34.021300', '-84.310400']",2016-12-20 11:30,27hp pro drive with manual reverse. Newish control box and prop(10hrs on them both). $1800 cash will trade for a 40hp motor,90,5926841256,34.021300,20,-84.310400,Pro drive,"https://maps.google.com/maps/preview/@34.021300,-84.310400,16z",27hp,$1800,power, (Atlanta),Pro drive 27hp mud motor,https://florencesc.craigslist.org/boa/5926841256.html,
5,good,"['34.094600', '-79.791800']",2016-12-19 19:20,"1986 EAGLE WITH 70 EVINRUDE.TITLE,NEW FLOOR,CARPET SEATS FUEL PUMP,BATTERY AND NEW TRAILER TIRES.CALL REPLY NUMBER.NO EMAILS ANSWERED.",,5926171272,34.094600,15,-79.791800,,"https://maps.google.com/maps/preview/@34.094600,-79.791800,16z",,,power,,1986 Eagle Fish & Ski Boat Trailer New Interior not Pictured,https://florencesc.craigslist.org/boa/5926171272.html,
6,excellent,,2016-12-19 17:00,"17'6"" Triton with 90 horse two stroke Mercury motor. Has been garage kept since the day I bought it. It has a 40 lb thrust trolling motor with one live well in the rear.",,5925997702,,18,,Triton,,176 Sport,$10000,power, (Florence),2004 Triton 176 Sport,https://florencesc.craigslist.org/boa/5925997702.html,2004
7,good,"['34.110300', '-81.196600']",2016-12-19 11:17,"Purchases a few months ago, really great and outstanding boat, just not as into it as I'd thought I'd be, I am also trying to move(relocate) so the extra cash would help, anyways, 1990 16ft Commander Center Console with a 1989 90HP Evinrude on the back, engine in great shape for its age, a couple of cranks and your off, tunes great at high speeds as well, probably tops 35-40 mph fully open. I'm also open to offers and possible trades for a motorcycle or other boat. Boat: New radio with new speakers, all new switches with new breakers, new dual battery switch with new 4 gauge wire, new seat cushions, new paint, Bimini top. Motor: just serviced, carburetor cleaning, new thermostat. Runs great. Will need a new starter in the upcoming future. Clean titles for boat and motor in hand. Would also be willing to meet. Thanks for looking and give me a call if interested, text would be better because never know when I'm working. Chris show contact info",,5902871329,34.110300,16,-81.196600,,"https://maps.google.com/maps/preview/@34.110300,-81.196600,16z",,$2500,power,,1990 Center Console,https://florencesc.craigslist.org/boa/5902871329.html,
8,,"['33.782700', '-79.147300']",2016-12-18 19:01,"2005 Sun Tracker Party Barge 24' Coastal Series w/60hp Meecury 4-stroke, tandem galvanized trailer, stereo, depth finder, changing station, upholstery in good condition, going to need new canvas on Bimini top, has already been bottom painted so ready to go in water!!! $6,995 Call show contact info",,5912751075,33.782700,24,-79.147300,,"https://maps.google.com/maps/preview/@33.782700,-79.147300,16z",,$6995,power," (Conway, SC)",2005 Sun Tracker Party Barge 24' Coastal Series w/60hp Mercury,https://florencesc.craigslist.org/boa/5912751075.html,
9,,"['34.101200', '-79.937800']",2016-12-18 13:24,"21 ft cuddy cabin Bayliner Trophy forsale. Has 225 Evinrude motor. 2 stroke. Can sleep 3 adults in cabin and has porter potty. Great weekend boat. Boat in great shape and runs great. Only reason for sale, it doesn't fit my needs any longer. Trailer in great shape, news tires, hubs and breaks last year. Serious buyers only, no low ball offers and I don't need help selling this boat.",,5900735684,34.101200,21,-79.937800,,"https://maps.google.com/maps/preview/@34.101200,-79.937800,16z",,$5700,power, (Timmonsville),21 ft Cuddy cabin,https://florencesc.craigslist.org/boa/5900735684.html,
10,fair,,2016-12-18 11:42,"2004 mercury 150 optimax 25 inch shaft,  stainless sked, mercury mirage stainless prop, new 175 pro xs decals. motor in great cosmetic shape.  great for  Parts or Repair.  I was running engine an engine made a rattling noise and shut off and would not restart. never had it check just assumed it blew up.  motor is now mounted  on a pallet. ****** motor does not run ****** I have  motor title ***** contact : prefer text or call show contact info $1650.00 obo.",,5924255293,,150,,mercury,,outboad motor,$1650,power,,mercury outboard engine,https://florencesc.craigslist.org/boa/5924255293.html,2004
11,,"['34.056300', '-79.246400']",2016-12-18 08:59,"-----NO TRADES---- I HAVE A 16' MONARK 48"" WIDE AT THE BOTTOM, ITS A FLAT BOTTOM, ALUMINUM. JON BOAT, FACTORY SIDE CONSOLE, WITH A STEERING WHEEL, 25 MERCURY ELECTRIC START, STERN MOUNT MINKOTA 55# THRUST TROLLING MOTOR, EVERYTHING IS IN EXC. COND.! RUNS PERFECT! ALL LIGHTS WORK. ELDERLY OWNED. ITS NOT ALL BEAT UP AND DENTED! LESS THAN 50 hrs ON THE WHOLE RIG. I HAVE THE TITLES FOR BOTH. READY FOR DUCK SEASON!!! $3,200 CA$H ***Best way to get up with me is leave a number I can call you back in the evening.***",,5924079082,34.056300,16,-79.246400,,"https://maps.google.com/maps/preview/@34.056300,-79.246400,16z",,$3200,power,,Flat Bottom 16' Aluminum Jon Boat,https://florencesc.craigslist.org/boa/5924079082.html,
12,,"['33.450800', '-79.134100']",2016-12-17 20:22,Diesel powered 3126 Catapillar 11/2 - 1 Reduction gear Diesel Generator Kohler 11kw Coast Guard Inspected cruises at 16 knots Heat and air Fully loaded too much to list call the phone number listed for more information thanks,,5923734723,33.450800,35,-79.134100,,"https://maps.google.com/maps/preview/@33.450800,-79.134100,16z",,$55000,power, (georgetown sc),35 foot Bruno Stillman Custom Fishing Boat,https://florencesc.craigslist.org/boa/5923734723.html,
13,excellent,"['34.094600', '-79.791800']",2016-12-17 18:32,"1986 EAGLE WITH 70 EVINRUDE.NEW INTERIOR NOT PICTURED,NEW FLOOR,CARPET SEATS,FUEL PUMP,BATTERY AND NEW TRAILER TIRES.A REAL WOMEN MAGNET ! CALL REPLY NUMBER.NO EMAILS ANSWERED.",,5923634473,34.094600,15,-79.791800,,"https://maps.google.com/maps/preview/@34.094600,-79.791800,16z",,,power,,"1986 Eagle Fish & Ski Boat Trailer with Title,Priced to Sale",https://florencesc.craigslist.org/boa/5923634473.html,
14,excellent,"['34.229600', '-80.714700']",2016-12-17 17:25,"28 Foot SanPan Pontoon Boat Party Barge, Originally 1964 model Fully Restored, 30' dual-axle Wesco Bunk Trailer with lights, brand new sand-colored vinyl flooring, treated Bennington seats in great condition with dual recliners in front with storage, rear wrap around with storage, reclining/swivel captain seat, fiberglass helm with separate 12V battery for accessories and trickle charger, 1992 60 HP Evinrude Motor with electric trim and separate 12V starting battery, 3/4 length aluminum hard top with storage, anchor and rope, life-vests, AM/FM/MP3 radio with surround-sound, full LED floor lighting, full LED ceiling lighting, anchor/navigation lighting, newly painted railing walls, LED front landing lights, horn, seat covers and tarp with tie downs, dual 5 gallon fuel tanks with additional 20 gallon tank, pier side bumpers, in use now and ready for the water! Will consider trade for newer model dual jet skis with trailer ONLY or BEST OFFER. Call 803-408-856(six) before 9 PM. Leave a message-Email preferred.",,5923560835,34.229600,28,-80.714700,SanPan,"https://maps.google.com/maps/preview/@34.229600,-80.714700,16z",Pontoon,$7800,power, (Lugoff),28' San Pan Party Barge Pontoon with aluminum top,https://florencesc.craigslist.org/boa/5923560835.html,
15,excellent,"['34.375600', '-80.084200']",2016-12-17 14:30,boat runs out good in the water it has a Yamaha 150 4 stroke motor the motor has 250 hours on it,250,5923323719,34.375600,22,-80.084200,bennington 2250rl,"https://maps.google.com/maps/preview/@34.375600,-80.084200,16z",,$24995,power, (Hartsville),2006 bennington tri toon,https://florencesc.craigslist.org/bod/5923323719.html,2006
16,,"['34.375600', '-80.084200']",2016-12-17 12:35,"1987 Riverboat Flare 14ft. 6in,, 1978 mercury 50 horse, runs and drives good in water, very clean",,5923146099,34.375600,14,-80.084200,Flare,"https://maps.google.com/maps/preview/@34.375600,-80.084200,16z",,$995,power, (hartsville),1987 Riverboat Flare 14ft. 6in,https://florencesc.craigslist.org/bod/5923146099.html,1987
17,,"['34.375600', '-80.084200']",2016-12-17 12:32,this boat has a supercharged mercury 150 it runs out very good on the water and very powerful its on a brand new galvanized trailer all it needs is a drivers seat contact marcus at 843-307-3620,,5923139803,34.375600,20,-80.084200,kenner,"https://maps.google.com/maps/preview/@34.375600,-80.084200,16z",vision boat,$9995,power," (Hartsville, SC)",2006 kenner vision boat,https://florencesc.craigslist.org/bod/5923139803.html,2006
18,,"['34.375600', '-80.084200']",2016-12-17 12:30,01 party hut 30 foot long ghas an all aluminum deck has all the furniture that goes with it including sink and stove furniture needs re covering it has a mercury black max 150 and it runs out very good in the water,,5923136667,34.375600,30,-80.084200,sun tracker,"https://maps.google.com/maps/preview/@34.375600,-80.084200,16z",party hut,$7500,power," (Hartsville, SC)",2001 sun tracker party hut,https://florencesc.craigslist.org/bod/5923136667.html,2001
19,excellent,"['34.375600', '-80.084200']",2016-12-17 09:41,"2003 Bass Tracker Anniversary Edition in great condition. Has new trolling motor and new depth finder with GPS. Will sell for $5700 with old trolling motor and depth finder that is still in great condition. Everything on this boat works as it should. show contact info call or text.Will trade for center console, key west,sea pro or something like, 17-18 ft.",,5913384296,34.375600,17,-80.084200,Mercury 40hp,"https://maps.google.com/maps/preview/@34.375600,-80.084200,16z",,$6200,power, (Hartsville),2003 Bass Tracker Anniversary Edition,https://florencesc.craigslist.org/boa/5913384296.html,
20,,"['34.056300', '-79.246400']",2016-12-17 06:43,"-----NO TRADES---- I HAVE A 16' MONARK 48"" WIDE AT THE BOTTOM, ITS A FLAT BOTTOM, ALUMINUM. JON BOAT, FACTORY SIDE CONSOLE, WITH A STEERING WHEEL, 25 MERCURY ELECTRIC START, STERN MOUNT MINKOTA 55# THRUST TROLLING MOTOR, EVERYTHING IS IN EXC. COND.! RUNS PERFECT! ALL LIGHTS WORK. ELDERLY OWNED. ITS NOT ALL BEAT UP AND DENTED! LESS THAN 50 hrs ON THE WHOLE RIG. I HAVE THE TITLES FOR BOTH. READY FOR DUCK SEASON!!! $3,200 CA$H ***Best way to get up with me is leave a number I can call you back in the evening.***",50,5917425250,34.056300,16,-79.246400,,"https://maps.google.com/maps/preview/@34.056300,-79.246400,16z",,$3200,power,,Flat Bottom - 16' Jon boat - Side Console - 25HP - Ready 4 ducks!!,https://florencesc.craigslist.org/boa/5917425250.html,
