,condition,coord_pair,date,description,engine hours (total),id,lat,length overall (LOA),long,make / manufacturer,map_URL,model name / number,price,propulsion type,region,title,url,year manufactured
0,good,"['34.628518', '-82.232299']",2016-12-20 20:29,i have a 2002 honda jet ski turbo with 351 hours. runs good. aftermarket cover. stickers are good through july of 2018. winter sale price. no room in garage. it needs slip pads for the floor. has chips on the rear of ski. no trailer but have a stand for garage. sale for $2000 or may trade. if interested call show contact info,351,5894426900,34.628518,10,-82.232299,honda,"https://maps.google.com/maps/preview/@34.628518,-82.232299,16z",arx1200t3,$2000,power, (fountain inn),2002 turbo honda jet ski,https://greenville.craigslist.org/boa/5894426900.html,2002
1,,,2016-12-20 20:07,1964 Crestliner welded aluminium seam boat With tilt back trailer,,5927581520,,14,,Crestliner,,,$250,power, (Waterloo),1964 Crestliner,https://greenville.craigslist.org/boa/5927581520.html,1964
2,,,2016-12-20 19:39,"Lake ready 17 ft 1998 maxum bow rider 3.0 mercruiser has everything to just put it on the lake. Has heavy duty cover . Bumpers,stereo cd player. Fish finder. Pull behind float. Ropes an vests. An fishing polse an tackle. No issues an one rip in drivers seat pulled apart at seam . Easy fix. There is NO hour meter so dont ask how many hours is on it.",,5891064210,,17,,Maxum,,,$4000,power, (Clinton),98 17ft Maxum bowrider,https://greenville.craigslist.org/boa/5891064210.html,1998
3,good,[],2016-12-20 19:32,We just had the out drive completely rebuilt... It has new cam new lifters. All new gaskets.double roller timing chain... New plugs. Brand new radio New battery. Just had oil changed and winterized....also has a brand new trim motor,,5927547256,,19,,Rinker,https://maps.google.com/?q=loc%3A+%32%32%36+Sandy+shores+circle+Townville+SC+US,Cuddy cabin,$3500,power, (Townville),1985 Rinker Cuddy Cabin,https://greenville.craigslist.org/boa/5927547256.html,1985
4,new,,2016-12-20 19:32,I am selling my 2013 Yamaha FZS that has 50 hours on it. It is in great shape we just do not use it enough with the boat. The trailer was bought new with the jet ski. Just had the first big service done at 45 hours. The jet ski is in great shape. Contact zach show contact info,54,5927547093,,12,,yamaha,,fzs,$9000,power, (Greenville),2013 Yamaha FZS,https://greenville.craigslist.org/boa/5927547093.html,2013
5,good,[],2016-12-20 19:28,"Great 10' x 20' platform dock with good bones!  The bar joists frame and encapsulated floats are in excellent condition.  The 30' walk with railing makes it easy to get to and from the shore to the dock.  It is a very strong dock able to withstand lots of wake.   There are bumpers around the edges as well as very strong/solid cleats.  The attached wheels and jacks are in great shape and make it easy to move the dock in and out.  The cables are in great shape and are also included.  The dock will need new decking. Call, email or text for more information.",,5927542134,,40,,,https://maps.google.com/?q=loc%3A+Scott+Dr+Anderson+SC+US,,$500,human, (Lake Hartwell - Anderson),** CHEAP platform dock for sale,https://greenville.craigslist.org/boa/5927542134.html,
6,excellent,"['34.375600', '-80.084200']",2016-12-20 18:04,"Xpress XP 180 powered by a Yamaha F90. At 60"" wide and 18' long this boat is very stable. I purchased brand new from Marshalls Marine in August of 2013. All scheduled maintenance has been performed at the Lake City location. Motor has 2 years remaining on warranty. This boat has been meticulously maintained and always garage kept. Boat has fewer than 50 hours of use! Boat has the following accessories plus more: Hummingbird gps/fish finder minn kota 55lb thrust trolling motor powertech SS prop Jenson marine radio +2 speakers CMC breakaway jack plate custom duck blind Will consider trades for equivalent value mud motor boat. Text or email are preferred. Tags: xpress, havoc, edge, excel, ambush, war eagle, triton, Gator Trax, Gator Tail, Duck Boat, mud motor, yamaha",50,5902037505,34.375600,18,-80.084200,Xpress,"https://maps.google.com/maps/preview/@34.375600,-80.084200,16z",xp 180,$17500,power, (Hartsville),Xpress XP 180,https://greenville.craigslist.org/boa/5902037505.html,2013
7,excellent,"['34.375600', '-80.084200']",2016-12-20 18:04,"Xpress XP 180 powered by a Yamaha F90. At 60"" wide and 18' long this boat is very stable. I purchased brand new from Marshalls Marine in August of 2013. All scheduled maintenance has been performed at the Lake City location. Motor has 2 years remaining on warranty. This boat has been meticulously maintained and always garage kept. Boat has fewer than 50 hours of use! Boat has the following accessories plus more: Hummingbird gps/fish finder minn kota 55lb thrust trolling motor powertech SS prop Jenson marine radio +2 speakers CMC breakaway jack plate custom duck blind Will consider trades for equivalent value mud motor boat. Text or email are preferred. Tags: xpress, havoc, edge, excel, ambush, war eagle, triton, Gator Trax, Gator Tail, Duck Boat, mud motor, yamaha",50,5902215865,34.375600,18,-80.084200,Xpress,"https://maps.google.com/maps/preview/@34.375600,-80.084200,16z",xp 180,$17500,power, (Hartsville),Xpress XP 180,https://greenville.craigslist.org/boa/5902215865.html,2013
8,good,"['34.781523', '-82.718468']",2016-12-20 17:41,"Freshly rebuild canoe. All old paint was stripped away from the outside of the canoe and 3 layers of fiberglass fabric was applied to the outside of it. Due to old age it started to crack on the sides at the bottom but all cracks were stripped of paint and any damaged material and reinforced with 5 layers of fiberglass (shown on pictures). Canoe can use an inside paint job to make it look like new again, but since it was intended for fishing I never got to painting it. Due to lack of time have no use of it now and hate watching it sit without touching a lake. Painted with marine grade paint, scratch resistant paint so should last long time. Has aluminum side railing that are much stronger than modern plastic ones, so you can attach anything to it and do not worry that it will crack the railing. Has a 4 person rating or 800 lbs of gear capacity. Light weight for the size it is, I can lift it myself and load on the roof of my Jeep. Come and check it out for yourself and please take it to the lake and make a good use of it. Canoe is water ready and waiting to go fishing. Text is the best way to reach me. Thank you for looking at my add. Will trade for a john boat with gas motor. Has to be between 13 and 15 feet long and engine between 3 and 10 HP, has to have title for both boat and motor and be water ready, will add up to 800$.",,5927382667,34.781523,17,-82.718468,Sears,"https://maps.google.com/maps/preview/@34.781523,-82.718468,16z",,$220,human, (Liberty),17 feet Sears Canoe,https://greenville.craigslist.org/boa/5927382667.html,
9,,[],2016-12-20 17:28,Dock - you move while water is low. Located on Lake Hartwell.,,5927405296,,24,,,https://maps.google.com/?q=loc%3A+%34%34%35+Hopkins+Road+Townville+Townville+SC+US,Rachael;Wilkinson Parr,,human,,Dock,https://greenville.craigslist.org/boa/5927405296.html,
