,condition,coord_pair,date,description,engine hours (total),id,lat,length overall (LOA),long,make / manufacturer,map_URL,model name / number,price,propulsion type,region,title,url,year manufactured
0,,"['36.522000', '-87.349000']",2016-12-20 18:02,"12 ft bottom, real strong boat not one of those flimsy boats. I can't find the the registration and I in the middle of a move and I'm not going to look for it so don't ask. If you want it come get it. Call or text show contact info",,5911969591,36.522000,12,-87.349000,,"https://maps.google.com/maps/preview/@36.522000,-87.349000,16z",,$350,human, (Clarksville),12ft v bottom,https://clarksville.craigslist.org/boa/5911969591.html,
1,good,"['36.585300', '-87.418600']",2016-12-20 17:15,84 stratos 17 1/2 ft 135 johnson runs great power trim leaks 12v foot control trolling motor iv had for almost 5 years the only problem iv ever had is trim leaking don't really want to sell but I need to pay some stuff off price is pretty firm maybe a little haggle room text only plz thx,,5927462802,36.585300,17,-87.418600,Stratos,"https://maps.google.com/maps/preview/@36.585300,-87.418600,16z",175 v,$2500,power, (Clarksville),84 17 1/2 foot stratos,https://clarksville.craigslist.org/boa/5927462802.html,1984
2,new,,2016-12-20 04:17,Yamaha 06 vx1100 wave runners oil filters and spark plugs. New I sold the wave runners. $15.00 OBO. call 931-2 one six-9981.,,5926530790,,11,,Yamaha,,wave runners,$15,power, (Clarksville),Yamaha vx1100 wave runners  oil filters and spark plugs.,https://clarksville.craigslist.org/boa/5926530790.html,
3,good,"['36.300500', '-88.309300']",2016-12-19 22:27,"1997 Bayliner 2052.  Almost 21' long.  6 cyl Motor.  Hasn't been in the water for a couple years.  Nice boat, inside and out.  The inside is dirty from sitting.  Has a camper top (shown on it) and a cuddy cabin.  New battery last year to run some fuel through it.  Needs a little work and cleaning but a nice boat.  Interior is in great shape - no tears in seats, etc...  One weak spot on the floor by driver's left foot area.  Will trade for truck, car, jeep, ATV,...  what do you have?  or make a $$ Offer.  Text me at seven three one, three two four, o six o six.",,5926382361,36.300500,21,-88.309300,Bayliner,"https://maps.google.com/maps/preview/@36.300500,-88.309300,16z",Capri 2052,,power,,"Sell or Trade, 1997 Bayliner 2052 Capri Cuddy",https://clarksville.craigslist.org/boa/5926382361.html,1997
4,excellent,"['36.585300', '-87.418600']",2016-12-19 20:40,2007 and 2005 supercharged 10 foot jet skis for sale. Both will do 70 miles an hour on the water. Both has Digital display and reverse. This also include three lifevest valued at $100 a piece and storage compartment on the trailer and covers. The trailer alone is valued at over $2000. My son has gone to college and we are too old to ride them. The 2007 has 91hrs and 2005 has 165.,,5910251793,36.585300,10,-87.418600,Sea Doo,"https://maps.google.com/maps/preview/@36.585300,-87.418600,16z",GTX,$7000,power, (Clarksville),Two supercharged Jet Skis for sale,https://clarksville.craigslist.org/boa/5910251793.html,
5,,"['36.457188', '-88.082886']",2016-12-19 16:11,Fish's Marine Full service marine repair Fiberglass and gelcoat Insurance work Carpet Winterizeing specials Call for pricing Fish's Marine We keep your head above water,,5926013449,36.457188,10,-88.082886,,"https://maps.google.com/maps/preview/@36.457188,-88.082886,16z",,$1,power, (Paris landing),Marine fiberglass and gelcoat,https://clarksville.craigslist.org/boa/5926013449.html,
6,,"['36.428051', '-88.083057']",2016-12-19 16:01,2001 Lowe suncruiser 204 2005 Yamaha 90hp four stroke Very clean set up to fish or cruiser has trolling motor and livewell 4 fishing seats Floor 2 years old no rips or tears in seats has upgraded Bimini 8ft with cover Everything works Trailer has front boarding ladder and guides to help load tires less than a year old 9750.00 Call or text seven31-three six3-ten91,,5925998850,36.428051,20,-88.083057,,"https://maps.google.com/maps/preview/@36.428051,-88.083057,16z",,$9750,power, (Paris landing),Suncruiser pontoon 20ft,https://clarksville.craigslist.org/boa/5925998850.html,
7,,"['36.433851', '-88.077908']",2016-12-19 15:49,1994 caravell 170 Has spot and wiring for trolling motor and livewell in rear New floor new interior Complete rebuilt engine new crank cam Pistons oil pump head everything Outdrive rebuilt 2 years ago Has omc 3.0l 4 cylinder Trailer and tires in great shape 4500.00 Call or text 7three1-three 63- ten 91,,5925982445,36.433851,18,-88.077908,,"https://maps.google.com/maps/preview/@36.433851,-88.077908,16z",,$4500,power, (Paris landing),Caravell fish n ski new engine,https://clarksville.craigslist.org/boa/5925982445.html,
8,new,"['36.802000', '-87.828600']",2016-12-19 15:04,"Ready now for Christmas 4 cylinder, 4 stroke, 1.8L high output engine, cruise asst, no wake mode, security mode with remote transmitter Please give me a call for more info",,5899591719,36.802000,0,-87.828600,Yamaha,"https://maps.google.com/maps/preview/@36.802000,-87.828600,16z",VX Cruiser HO,$11199,power,,2017 Yamaha VX Cruiser HO Wave Runner,https://clarksville.craigslist.org/boa/5899591719.html,
9,good,[],2016-12-19 13:36,1996 Mariah bow rider 19ft 4.3 Mercrusier I/O Upholstery is in great shape boat runs good Trailer Am/fm/ cd Snap on cover soon to have new snap on cover 7800 OBO,280,5925780407,,19,,Mariah,https://maps.google.com/?q=loc%3A+%33%39%37%39+bell+rd+Hermitage+TN+US,Shaba,$7800,power, (Hermitage),1996 Mariah,https://clarksville.craigslist.org/boa/5925780407.html,1996
