,condition,coord_pair,date,description,engine hours (total),id,lat,length overall (LOA),long,make / manufacturer,map_URL,model name / number,price,propulsion type,region,title,url,year manufactured
0,,"['36.055600', '-88.111900']",2016-12-20 17:43,Has gun box same color as boat included and kick plate can contact me show contact info Josh,150,5927495419,36.055600,18,-88.111900,Sea ark,"https://maps.google.com/maps/preview/@36.055600,-88.111900,16z",Duck hawk,$8000,power, (Camden Tennessee),2009 1860 sea ark 50hp Suzuki,https://jacksontn.craigslist.org/boa/5927495419.html,2009
1,,,2016-12-20 15:19,"14'48"" Flat  bottom Lowe's  needs  wood replaced in transit  $750. Obo.",,5927312109,,14,,Lowe's,,,$750,power,,Aluminum Boat,https://jacksontn.craigslist.org/boa/5927312109.html,
2,,[],2016-12-20 14:22,"This pontoon is set up to do a lot of fishing with 2 seats up front and another one in the back with a place to put another seat in back of the captains chair. The boat also comes with some life jackets and bumpers, spotlight, anchor with rope, fishing net, cricket basket, livewell, paddle and some trolling set-ups that clamp onto the railings. If it gets too hot, put up the bimini top and get in the shade. New stereo with remote and stern light. The 50 HP 2 stroke Mercury has been checked out and runs the boat around18-20 MPH. The trailer has some guide-on's to make it easier to put back on the trailer. Come see us @ Calico Jack's in Gallatin, just north of Nashville, or give us a call and ask for Pete",,5906584391,,18,,,https://maps.google.com/?q=loc%3A+%31%32%38%30+S+Water+Ave+Gallatin+TN+US,,$6800,power, (NASHVILLE),2004 SUNTRACKER BASS BUGGY 18,https://jacksontn.craigslist.org/boa/5906584391.html,
3,excellent,"['36.055600', '-88.111900']",2016-12-20 13:25,"I'm sell a very nice 18 ft Javelin Bass Boat w/150hp Evinrude XP engine w/SS prop. Low hours on fresh power head. 65lbs thrust Minn Kota trolling motor, foot controlled Double cable steering, Live wells fore and aft All new carpet, Hummingbird wide angle depth/fish finder, Lots of storage, Hatch covers are all composite, no wood! All safety equipment, boat is water ready. Trailer is in great condition, $4,200 obo may consider full/part trade for loader tractor Calls ONLY! Call Greg............ 73one-2two0-55six7 I do not need help selling",100,5927072740,36.055600,18,-88.111900,Javelin,"https://maps.google.com/maps/preview/@36.055600,-88.111900,16z",18ft,$4200,power, (Camden),"18ft Javelin Bass Boat, or trade",https://jacksontn.craigslist.org/boa/5927072740.html,
4,excellent,"['36.055600', '-88.111900']",2016-12-20 13:22,"I'm sell a very nice 18 ft Javelin Bass Boat w/150hp Evinrude XP engine w/SS prop. Low hours on fresh power head. 65lbs thrust Minn Kota trolling motor, foot controlled Double cable steering, Live wells fore and aft All new carpet, Hummingbird wide angle depth/fish finder, Lots of storage, Hatch covers are all composite, no wood! All safety equipment, boat is water ready. Trailer is in great condition, $4,200 obo may consider full/part trade for loader tractor Calls ONLY! Call Greg............ 73one-2two0-55six7 I do not need help selling",100,5927073778,36.055600,18,-88.111900,Javelin,"https://maps.google.com/maps/preview/@36.055600,-88.111900,16z",18ft,$4200,power, (Camden),"18ft Javelin Bass Boat, or trade",https://jacksontn.craigslist.org/boa/5927073778.html,
5,excellent,"['36.055600', '-88.111900']",2016-12-20 13:21,"I'm sell a very nice 18 ft Javelin Bass Boat w/150hp Evinrude XP engine w/SS prop. Low hours on fresh power head. 65lbs thrust Minn Kota trolling motor, foot controlled Double cable steering, Live wells fore and aft All new carpet, Hummingbird wide angle depth/fish finder, Lots of storage, Hatch covers are all composite, no wood! All safety equipment, boat is water ready. Trailer is in great condition, $4,200 obo may consider full/part trade for loader tractor Calls ONLY! Call Greg............ 73one-2two0-55six7 I do not need help selling",100,5927071543,36.055600,18,-88.111900,Javelin,"https://maps.google.com/maps/preview/@36.055600,-88.111900,16z",18ft,$4200,power, (Camden),"18ft Javelin Bass Boat, or trade",https://jacksontn.craigslist.org/boa/5927071543.html,
6,excellent,"['36.055600', '-88.111900']",2016-12-20 12:55,"I'm sell a very nice 18 ft Javelin Bass Boat w/150hp Evinrude XP engine w/SS prop. Low hours on fresh power head. 65lbs thrust Minn Kota trolling motor, foot controlled Double cable steering, Live wells fore and aft All new carpet, Hummingbird wide angle depth/fish finder, Lots of storage, Hatch covers are all composite, no wood! All safety equipment, boat is water ready. Trailer is in great condition, $4,200 obo may consider full/part trade for loader tractor Calls ONLY! Call Greg............ 73one-2two0-55six7 I do not need help selling",100,5927068796,36.055600,18,-88.111900,Javelin,"https://maps.google.com/maps/preview/@36.055600,-88.111900,16z",18ft,$4200,power, (Camden),"18ft Javelin Bass Boat, or trade",https://jacksontn.craigslist.org/boa/5927068796.html,
7,excellent,[],2016-12-20 04:16,"For sale 2000 18' Crown Line boat Has inboard 4 cylinder Chevy motor, new 4 blade prop This boat is like new, has been in the water less than a dozen times If you want a really good boat for the money this is it, been kept inside all its life, outside the paint is in excellent condition. Upholstery is in excellent condition. Motor runs great. Asking $10,000 obo need to sale but I'm not gonna give it away and I don't need help selling my boat. Any questions call or text Ches show contact info God Bless",,5926526418,,18,,Crown Line,https://maps.google.com/?q=loc%3A+%32%31%38%39+Peace+Chapel+Rd+Decaturville+TN+US,,$10000,power, (Scotts Hill),18' Crown Line,https://jacksontn.craigslist.org/boa/5926526418.html,2000
8,,"['36.427774', '-88.083572']",2016-12-19 16:15,1994 caravell runabout 17ft6in very clean all new everything New interior New engine omc 3.0l 4cyl Rebuilt outdrive New steering New carpet Everything works 4500.00 obo Call or text 731-3six3-1zero9one,,5926019342,36.427774,17,-88.083572,,"https://maps.google.com/maps/preview/@36.427774,-88.083572,16z",,$4500,power, (Plsp),Caravell 1994,https://jacksontn.craigslist.org/boa/5926019342.html,
9,good,,2016-12-19 14:58,1986 Gibson 36 foot houseboat. GM V8. Very good clean condition.  Ready for touring. New 3500 watt generater. Has flying bridge. It is currently docked in covered slip at Pebble Isle Marina in New Johnsonville.,,5918822012,,36,,Gibson,,36 foot,$24500,power, (New Johnsonville),1986 36 ft Gibson houseboat,https://jacksontn.craigslist.org/boa/5918822012.html,1986
10,,,2016-12-19 13:48,"2008 Azure 258 496 Mercruiser Captain call exhaust Dual props Extended ski platform Trailer Snap on cover Bimini top This boat is a head turner!!!! It's load and sounds good. Got the big engine. Dual props. Exhaust. Potty room. Tons of storage. Front ladder. Extended ski platform for kids to jump off! Back seat folds flat to lay out bench. Low hours. Roughly 240 hours. Get compliments on it everyone it's on the water! Trailer Call or text 731-four one five-2112 Crownline, cobalt, chaparral, sea ray, ski boat",240,5891364990,,26,,Azure,,258 ski boat,$31000,power,,2008 Azure 258 with 496 & low hours,https://jacksontn.craigslist.org/boa/5891364990.html,2008
11,like new,"['36.184800', '-86.600200']",2016-12-19 13:15,2001 Bullet 20 XRD in perfect. condition. Motor is a rebuilt 2001 mercury promax 225 with a bobs nose cone and trophy 26p 4 blade prop. Hull renovated and motor rebuilt by C&O marine. Motor has less than 80 hours and runs great. Electronics are Humminbird 997 and 688. Too many accessories and custom modifications to list. Asking $20500 or best offer.,80,5900695627,36.184800,20,-86.600200,Bullet,"https://maps.google.com/maps/preview/@36.184800,-86.600200,16z",20 XRD,$20500,power, (Hermitage),2001 Bullet 20 XRD,https://jacksontn.craigslist.org/boa/5900695627.html,2001
