,condition,coord_pair,date,description,engine hours (total),id,lat,length overall (LOA),long,make / manufacturer,map_URL,model name / number,price,propulsion type,region,title,url,year manufactured
0,,,2016-12-20 14:59,"2014 Kawasaki Ultra 310x Jet Ski and 2015 Yamaha VXR 1800 Wave Runner with tandem trailer. Kawasaki Ultra 310x - original owner, 68 hours, minor cosmetic damage, excellent mechanical condition. Includes: factory cover, factory hull storage bag, fire extinguisher, three (3) life jackets, safety whistle, anchor, dock line/bungee, all factory documentation including the owner's manual and factory service manual, keys and safety lanyard. Professionally serviced and winterized at the end of this summer with new spark plugs, oil filter and oil. Yamaha VXR 1800 - second owner, 61 hours, minor cosmetic damage, excellent mechanical condition, Includes: factory cover, factory dry box, fire extinguisher, two (2) life jackets, two (2) safety whistles, two (2) anchors, dock line/bungee, owner's manual, key fob and safety lanyard. Professionally serviced and winterized at the end of this summer with new oil filter and oil. Yacht Club WC224 Trailer - Includes: spare tire/wheel with mount, Rod Saver transom tie-downs for both watercraft, two (2) tongue locks. Also included: six (6) quarts of Royal Purple oil and an oil change pump.",,5927284267,,12,,,,,$22500,power, (Searcy),Kawasaki Ultra 310x & Yamaha VXR 1800,https://memphis.craigslist.org/boa/5927284267.html,
1,,,2016-12-20 14:06,2011 boat and trailer. One owner. Low hours. 90 hp Mercury 4stroke. Interior is excellent. Full cover and bimini top. Full gauge cluster and built in depth finder. Call or text. Please no bullshit offers or trades. 731-415-two seven 63.,,5927205881,,20,,,,,$16500,power, (Hollow Rock),2011 Lowe Pontoon SS 210,https://memphis.craigslist.org/boa/5927205881.html,
2,,,2016-12-20 13:12,"This is a 4hp Johnson outboard motor, very light weight.  Runs and looks as if it was new.  Always maintained.  Comes with 3 gallon fuel tank and fuel hose. show contact info",,5924371426,,1,,,,,$425,power, (Byhalia),4hp Johnson Outboard Motor,https://memphis.craigslist.org/boa/5924371426.html,
3,good,"['35.082100', '-89.850100']",2016-12-20 12:35,"Boat, motor, trailer Runs good, water pump works like it should, trailer light works, deep sides 30 horsepower Mariner motor and moody drive on trailer $2000 obo show contact info",,5900168285,35.082100,15,-89.850100,Sea Nymph,"https://maps.google.com/maps/preview/@35.082100,-89.850100,16z",1544,$2000,power, (East Memphis),15/44 Sea Nymph 30 Mariner,https://memphis.craigslist.org/boa/5900168285.html,
4,good,"['35.148400', '-90.177900']",2016-12-20 08:28,14' Deep Hull flat bottom boat - Nice Camo Paint - Good Trailer - 5hp / 4 stroke Mercury outboard runs good - Rear Swivel Seat - 5 gallon fuel tank - Ready for Duck Season! No email Please...Text or Call Scott at 901-Two33-Four81Five and THANKS for Looking! SOLD ALL TOGETHER ONLY.,,5912041878,35.148400,14,-90.177900,,"https://maps.google.com/maps/preview/@35.148400,-90.177900,16z",,$2100,power, (West Memphis AR),14' Camo Duck Boat - Motor - Trailer - (Sold Together Only),https://memphis.craigslist.org/boa/5912041878.html,
5,excellent,,2016-12-20 07:48,"This boat has a new Jasper 305 block with only about 50 hrs on it. Did a head job on it also before it was parked 5 years ago. Just started bringing it back to life. Volvo Penta duo prop, seats 9, new tires on trailer, trailer brakes, three built in coolers, lots of storage. Google model number for more details. Great deal with over 5k in motor work. Overheated from bad impeller one season. Dropped in new motor but got married, had a baby, etc now stored in garage for 5 years.",55,5921465709,,22,,Chaparral,,1930 SS,$5900,power, (Cordova),1999 Chaparral SS1930,https://memphis.craigslist.org/boa/5921465709.html,1999
6,,"['36.060000', '-90.525100']",2016-12-20 06:22,"This is a great duck boat, just don't use it anymore. Boat, motor, and trailer are in great shape! Motor is a 99 model, compression 120 lb on both cylinders, short shaft, electric start, SS prop. Comes with tank and battery. Boat is Alumaweld. Fresh camo paint. Heavy duty wire mesh flooring. Trailer in excellent shape, all lights work. Call or text show contact info $3150.00",,5912420914,36.060000,15,-90.525100,,"https://maps.google.com/maps/preview/@36.060000,-90.525100,16z",,$3150,power, (Paragould),15/44 Alweld--25 hp Mercury,https://memphis.craigslist.org/boa/5912420914.html,
7,good,"['35.088300', '-89.805300']",2016-12-19 22:01,1990 2 Stroke Evinrude 25HP. Pull and electric start. Short shaft In good condition Non-running spare motor included Free. Text if interested.,,5926374115,35.088300,36,-89.805300,Evinrude,"https://maps.google.com/maps/preview/@35.088300,-89.805300,16z",,$500,power, (Germantown),25 HP Evinrude Outboard Motor,https://memphis.craigslist.org/boa/5926374115.html,1990
8,new,"['35.184500', '-89.857400']",2016-12-19 20:44,NEW PROP ALUMINUM FACTORY MERCRUISER WAS MY EXTRA PROP NEVER USED FOR SALE OR TRADE FOR 22 OR SINGLE CALL show contact info HANKS,,5926312418,35.184500,20,-89.857400,,"https://maps.google.com/maps/preview/@35.184500,-89.857400,16z",,$100,power, (BARTLETT),NEW MERCRUISER 19 PITCH PROP,https://memphis.craigslist.org/boa/5926312418.html,
9,,"['35.055100', '-89.676700']",2016-12-19 19:01,"I am a installer for Direct TV and Dish Network. If you need Satellite TV @ your Boat Slip, House Boat, Yacht, Vacation Home, RV, Home, Lake House, Hunting Camp, Campground, or ANYWHERE else you may need DirecTV or Dish Network. I have Brand New Satellite Dishes and Receivers for both service providers for new service or add to existing...  Please Call Bill @ show contact info",,5908496763,35.055100,100,-89.676700,,"https://maps.google.com/maps/preview/@35.055100,-89.676700,16z",,,power,,Satellite Install @ Marina Slip or Wherever you need Direct TV or Dish,https://memphis.craigslist.org/boa/5908496763.html,
