,condition,coord_pair,date,description,engine hours (total),id,lat,length overall (LOA),long,make / manufacturer,map_URL,model name / number,price,propulsion type,region,title,url,year manufactured
0,,"['36.209800', '-86.302400']",2016-12-20 19:40,"This little 4HP yamaha tiller steer is in good shape with new water pump and lower unit oil, carb rebuilt, fuel pump rebuilt. Runs great! Please text any questions to show contact info and I'll get back to you asap. Thank you and God bless",,5904555127,36.209800,1,-86.302400,,"https://maps.google.com/maps/preview/@36.209800,-86.302400,16z",,$475,power, (Lebanon tn),NICE LITTLE LONG SHAFT 4HP YAMAHA,https://nashville.craigslist.org/boa/5904555127.html,
1,,"['36.209800', '-86.302400']",2016-12-20 19:40,This is a good solid hull and trailer. Transom solid as a rock. Just needs a motor. $500.00 GETS IT. Please text show contact info with any questions. Thank you for looking and god bless,,5904573466,36.209800,17,-86.302400,,"https://maps.google.com/maps/preview/@36.209800,-86.302400,16z",,$500,power, (Lebanon),HYDRO SPORT HULL AND TRAILER,https://nashville.craigslist.org/boa/5904573466.html,
2,,"['36.209800', '-86.302400']",2016-12-20 19:40,"What I have is a 96 mercury jet with rebuilt carbs, fuel pump, water pump, all new bearings, liner, impeller, etc in the jet pump. This motor has excellent compression and runs like new. Custom decals and powder coated pump. Also has power trim. Oil injection has been disconnected (premix). so no wondering if the motor is getting oil. $4350.00 Please text show contact info with any questions. Thank you for looking and god bless.",,5904567592,36.209800,1,-86.302400,,"https://maps.google.com/maps/preview/@36.209800,-86.302400,16z",,$4350,power, (Lebanon),NICE MERCURY 60/45 OUTBOARD JET,https://nashville.craigslist.org/boa/5904567592.html,
3,,"['36.209800', '-86.302400']",2016-12-20 19:40,"This boat is in good shape. Comes with trailer, new trolling motor, and battery. Just needs a new home. Possible Trade for man toys. Just text show contact info with any questions thank you and God bless",,5905226243,36.209800,10,-86.302400,,"https://maps.google.com/maps/preview/@36.209800,-86.302400,16z",,$650,power, (Lebanon  tn),Plastic pond prowler boat,https://nashville.craigslist.org/boa/5905226243.html,
4,,"['36.209800', '-86.302400']",2016-12-20 19:40,"This motor has got a few years on it but you can't tell it. It's in excellent condition. Carb cleaned and rebuilt, new water pump and lower unit oil, fuel pump rebuilt. Great running little motor. This motor is a long shaft, electric start, remote steer. Please text show contact info with any questions. $850.00 cash and carry. Thank you for looking and god bless.",,5904560688,36.209800,1,-86.302400,,"https://maps.google.com/maps/preview/@36.209800,-86.302400,16z",,$850,power, (Lebanon tn),NICE 35HP JOHNSON LONG SHAFT,https://nashville.craigslist.org/boa/5904560688.html,
5,,"['36.209800', '-86.302400']",2016-12-20 19:40,"This is a great little motor that's been completely serviced. It's a short shaft, tiller handle steer, and electric start. It's got a new water pump and lower unit oil, carb rebuilt, fuel pump rebuilt, and new spark plugs. It's ready to go to the lake. $1150.00 please text show contact info with any questions. Thank you for looking and god bless",,5904563529,36.209800,1,-86.302400,,"https://maps.google.com/maps/preview/@36.209800,-86.302400,16z",,$1150,power, (Lebanon),GREAT RUNNING 25HP MARINER ELECTRIC START,https://nashville.craigslist.org/boa/5904563529.html,
6,,"['36.209800', '-86.302400']",2016-12-20 19:40,"What I've got is a allweld 16×48"" wide operating flat bottom.  Has been welded in a few spots and transom is set up for a short shaft motor. Does not leak a drop. I'm In the process of painting it and should be done tomorrow if the weather cooperates lol. Has a decent trailer with good tires. I also have a backwater mud motor that could be purchased with it. Asking 1850.00 FIRM for the boat and trailer. The backwater swomp 23 surface gt mud motor is 2500.00 and in LIKE NEW condition  or I'd sell as a package for 4000.00. Please  TEXT show contact info WITH ANY QUESTIONS.  Thank you for looking and god bless.",,5908567870,36.209800,16,-86.302400,,"https://maps.google.com/maps/preview/@36.209800,-86.302400,16z",,$1850,power, (Lebanon tn),16/48 ALLWELD FLAT BOTTOM,https://nashville.craigslist.org/boa/5908567870.html,
7,,"['34.011200', '-85.245900']",2016-12-20 19:00,"We are Mco Trailers. Our business is pontoon boat trailers. Listed here is our 22 to 24ft pontoon trailer. Features include: *Powder Coat Finish. If you have ever spray painted something then you know spray paint just does not last. Powder coat is a more expensive process but is much more resistant to rust. It also keeps your trailer looking new for years to come. *One piece out side frames made from 4 inch box steel. Our trailers are unique in this manufacturing process. Most trailers use several welded pieces to achieve their shape. Ours are cut to length, then shaped creating a much stronger, cleaner looking trailer. The trailer listed here has a ""weight carrying capacity of 6420 lbs. *3 front stairs leading to a platform with a curved hand rail for safety. *9 lights with LED lights in the fenders. Lights make an object much more visible than reflective tape. *New, 13 inch, 6 ply trailer tires. *Acculube brand hubs featuring rubber unbreakable caps. *1500lb tongue jack with 2 wheels. *4 heavy duty drive on guides. *Rear heavy duty welded tie down eyelets. *Wide frame. This insures that no matter how wide your pontoon boat is, it will ride in the middle of the trailer for a much safer ride. Our wider frame also greatly reduces the risk of roll over while towing. *Written one year warranty. This gives our customers piece of mind in the purchase of their trailer. *Fully adjustable bunks, and stairs. We will even adjust the trailer to your boats specs to take the headache out of sizing. Compare our trailers and see why we earn such high praises from our customers. We would appreciate the opportunity to earn your business as well. If there are any questions we could answer for you please let us know.  We can also be seen at mcotrailers.com. Thank you, Lee 678 836 4913 M-co Trailers",,5927574844,34.011200,28,-85.245900,,"https://maps.google.com/maps/preview/@34.011200,-85.245900,16z",,$1995,power, (West GA),22 / 24 ft Pontoon Boat Trailers . All Sizes Available,https://nashville.craigslist.org/bod/5927574844.html,
8,,"['35.526600', '-87.489100']",2016-12-20 17:26,"5.7 [350] Chevrolet,Mercruiser out drive.18' long.this boat will run a consistent 50 + and it sounds like a Harley on the water with the thru hull exhaust. interior new.This includes floor,carpet,vinyl,and wood trim.No bad wood any where.Motor is serviced and out drive has new gear oil and new pump.Trailer freshly painted.New tires,wheels,lights and wires,electric wench,and new dolly.Every thing on the boat works and works right.dependable,great looking boat.I enjoy restoring these boats.Its my drug.Been doing it one boat at a time for years.This boat is very,very clean inside and out and needs nothing.Hundred dollar bills talk loud.make an offer.Prefer calls.nine three 1-628-1951",,5901143287,35.526600,18,-87.489100,,"https://maps.google.com/maps/preview/@35.526600,-87.489100,16z",,$4700,power, (hohenwald),Restored ski boat trade for harley,https://nashville.craigslist.org/boa/5901143287.html,
9,like new,"['36.685700', '-85.140700']",2016-12-20 17:11,2004 Monterey Explorer Low hours 25 foot Volvo duoprop 260hp Call or text show contact info Financing available!,250,5918075738,36.685700,25,-85.140700,Monterey,"https://maps.google.com/maps/preview/@36.685700,-85.140700,16z",,$21000,power," (Albany, Ky)",2004 Monterey Explorer,https://nashville.craigslist.org/boa/5918075738.html,2004
