,condition,coord_pair,date,description,engine hours (total),id,lat,length overall (LOA),long,make / manufacturer,map_URL,model name / number,price,propulsion type,region,title,url,year manufactured
0,,,2016-12-20 20:44,"16x48 Tracker Grizzly Jon boat with 40 horsepower Mercury Jet 07' model motor. It is in great shape. Boat has raised transom with tunnel hull. Console steering makes going through shallows a breeze. Trailer has custom pole lights to easily back down boat docks and to load boat. No trades. $8,900. Call or text show contact info",,5887357998,,16,,Mercury,,Tracker grizzly,$8900,power," (Greeneville, TN)",16x48 Tracker Grizzly w/ 40 hp Mercury Jet,https://tricities.craigslist.org/boa/5887357998.html,
1,,,2016-12-20 16:54,Have a like new 5hp mercury.Less than 10 hours of use on it. Will sell for 800. MIGHT trade but trades must be worth around 1200. Mainly lookimg fpr a good utility four wheeler. Will meet in morristown or tazewell area. Email if interested,,5898902646,,15,,,,,$800,power,,5 horse mercury boat motor,https://tricities.craigslist.org/boa/5898902646.html,
2,good,[],2016-12-20 14:58,"THIS IS A 2008 YAMAHA RAPTOR ATV IN GOOD CONDITION. THIS MACHINE HAS BEEN FULLY SERVICED AND READY TO RIDE. ALL PARTS ARE OEM, FACTORY. THIS RAPTURE HAS NEW TIRES AND WHEELS AND THE SUSPENSION, CHAIN AND SPROCKETS ARE IN GOOD CONDITION AS WELL. IF YOU HAVE ANY QUESTIONS PLEASE FEEL FREE TO ASK. MY NAME IS RODNEY AND I HAVE A ATV SHOP ACROSS FROM JAY'S BOAT DOCK AND I WILL BE HAPPY TO SHOW YOU THIS MACHINE. THANKS",,5927192710,,1,,YAMAHA,https://maps.google.com/?q=loc%3A+%31%30%31+jays+dr+GRAY+TN+US,RAPTURE,$3200,power, (GRAY),2008 YAMAHA 700 RAPTOR ATV,https://tricities.craigslist.org/boa/5927192710.html,2008
3,,"['36.283200', '-83.037400']",2016-12-20 14:34,650 star runs great sounds great has good tires leather saddle bags clean clear tn title 30000 miles new plugs throttle cable mastercylinder break caliper and breaks looking to trade for pontoon only can add cash message me with pics of what you have..have helmet to go with it,,5927156350,36.283200,20,-83.037400,,"https://maps.google.com/maps/preview/@36.283200,-83.037400,16z",,,human,,2002 v star,https://tricities.craigslist.org/boa/5927156350.html,
4,,,2016-12-20 14:20,5hp and 10hp evinrude  $ 200 each.         V. G. C,,5885454974,,10,,,,,$200,power, (Church hill),"1960s 5hp,10 hp evinrude",https://tricities.craigslist.org/boa/5885454974.html,
5,,"['36.514400', '-82.547600']",2016-12-20 12:27,Brand New Motor with less that 5 hours on it.  Very/Very Good Condition with Trailer included.  Call or text me with offers at 423-threeeight4-1280,,5910918779,36.514400,220,-82.547600,,"https://maps.google.com/maps/preview/@36.514400,-82.547600,16z",,$9500,power,,Signature SeaRay 220 Bow Rider Mint Condition,https://tricities.craigslist.org/boa/5910918779.html,
6,new,"['36.471000', '-83.555200']",2016-12-20 08:31,"BOUGHT NEW 8-15-2014 (35,240.00) OVER FIVE THOUSAND DOLLARS IN FACTORY OPTIONS. NEVER IN WATER OVER NIGHT. DETAILED AFTER EVERY USE (8 TIMES) STORED IN A AIR CLIMATE CONTROLLED GARAGE. COMES WITH A CUSTOM BUILT COLOR MATCHED TRAILER, WITH SWING AWAY TOUNGE. SAVE OVER 11,000.00  MUST SELL. FIRST 24,000 BUYS IT !! show contact info",55,5903378642,36.471000,20,-83.555200,STINGRAY,"https://maps.google.com/maps/preview/@36.471000,-83.555200,16z",198 LX,,power,,MINT SHOWROON CONDITION 2014 STINGRAY 198 LX WITH ONLY 55 HOURS,https://tricities.craigslist.org/boa/5903378642.html,2014
7,good,,2016-12-20 06:34,18 foot bass tracker with 150Johnson gt. 12/24 volt trolling motor 2 live wells 5 storage compartments. boat run around 55 mph.,,5926554860,,18,,tracker,,1800 tm,$6000,power,,18 ft bass tracker,https://tricities.craigslist.org/boa/5926554860.html,1989
8,,,2016-12-19 22:54,"Have a 63 model fiberglass boat with a Johnson motor. Needs some attention and clean up, hull is strong. Comes with trailer. Would make a good little fishing boat. Will trade on guns or will sell. 500 obo. Call or text show contact info",,5926368470,,14,,,,,$500,power,,14ft fiberglass boat with motor and trailer,https://tricities.craigslist.org/boa/5926368470.html,
9,excellent,,2016-12-19 22:43,"Selling this 2013 bass tracker 175 txw with 60 hp four stroke mercury. it has live well and locking rod storage. Boat is in great shape. $11,000 Boat is in excellent shape. If interested I can provide more pictures. I do not need help selling Any questions, please message me",,5915641613,,17,,Bass tracker,,175 txw,$11000,power, (Parrottsville),2013 bass tracker 175 txw,https://tricities.craigslist.org/boa/5915641613.html,2013
10,excellent,[],2016-12-19 22:18,"I am selling my 1993 Ski Nautique, it has a 351 ford engine and is in excellent condition other then a tear in one of the seats.  I am asking $8500.00 but will consider trades.  I hate to sell it but with the way I work I just don't have the time to use it anymore. Please contact me with any questions at the above number or show contact info",,5926339904,,22,,ski boat,https://maps.google.com/?q=loc%3A+%32%35%38%36+pine+grove+rd+lerona+TN+US,ski Nautique,$8500,power,,1993 ski nautique,https://tricities.craigslist.org/boa/5926339904.html,1993
11,good,"['36.224800', '-83.311900']",2016-12-19 21:32,"Mercruiser 260 Power Steering  Thunderbolt Ignition Nice Boat Big block V 8 Motor,,, , over 20,000 invested , saxcrafice for $ 6500 FIRM ! All paper work Kept in over an inch a thick file, ,,,,,,,, I just have to sell to get a Truck sacrifice sale , you pull away for  $6,500.    may consider a trades with 5,000 Cash .if you got a car or truck worth about $1500 To me this boat looks so nice I would call it a Yacht you would have one of the fastest boat on the lake. or i will trade the solid gold double eagle coin for car , truck or van",,5921003472,36.224800,25,-83.311900,,"https://maps.google.com/maps/preview/@36.224800,-83.311900,16z",,$6500,power, (Morristown),1981 Sea Ray 25 foot boat with Cabin on Deck Mercruiser 260 Power Stee,https://tricities.craigslist.org/boa/5921003472.html,
12,,,2016-12-19 21:29,14ft alum 18hp seahorse johnson  motor w/trailor  v bottom has 2 seats just been painted blue/white trim  with new carpet trailor just been painted with new wires and tail lights motor runs good has troiling motor and 12volt deep cycle marine battery  great boat for lake only $1100,,5916713771,,14,,,,,$1000,power, (tricities tn),14ft alum 18hp jhns.motor w/trailor,https://tricities.craigslist.org/boa/5916713771.html,
13,,,2016-12-19 15:11,"Trailer has brand new tires and it tilts. Boat has 2 new paddles, 2 seats. Good for river or ponds. 12 ft trailer. . Will trade for good  pistol or will sell separate thanks",,5925835618,,12,,,,,$400,human, (Chuckey),Boat and trailer,https://tricities.craigslist.org/boa/5925835618.html,
14,good,[],2016-12-19 14:12,"Hydrasports Bass boat with a 150 Evinrude, 80lb trolling motor, stainless prop, depth finder. Motor recently checked/serviced, new water pump. Trailer in good condition with new tires and rims. Located in South Greeneville on Doyle Davis Road off of Cedar Creek Road. Needs new carpet. Contact Rob or Nick .",,5902612923,,18,,Hydrasports/Evinrude,https://maps.google.com/?q=loc%3A+Doyle+Davis+at+Cedar+Creek+Greeneville+TN+US,175,$4750,power, (Greeneville),1996 Hydrasports 18' Bass Boat,https://tricities.craigslist.org/boa/5902612923.html,1996
15,,,2016-12-19 13:09,62 Evinrude Starflite 4 for parts or rebuild.Complete No Text show contact info,,5905845686,,3,,,,,$200,power, (Kingsport),Evinrude Starflite 4  outboard,https://tricities.craigslist.org/boa/5905845686.html,
16,fair,[],2016-12-19 11:55,"1983 pro-craft fiberglass bass boat. 16'-5"" w/140 hp johnson outboard and trailer.Has fish finder and trolling moter. Asking 700.00 or will consider trade for 14' flat bottom aluminium boat w/ trailer.",,5925509415,,16,,Pro-Craft,https://maps.google.com/?q=loc%3A+%31%32%31%30+ragon+hollow+lane+midway+TN+US,,$700,power, (midway),"16' 5"" bass boat",https://tricities.craigslist.org/boa/5925509415.html,1983
17,,"['36.256900', '-82.690500']",2016-12-19 11:44,1997 Seadoo Challenger jet boat New Seadoo wear ring New stainless steel impeller New SBT motor Comes with all the safety equipment two life jackets & a cover No scams spam or BS Trade or make cash offer. show contact info,,5905209523,36.256900,14,-82.690500,,"https://maps.google.com/maps/preview/@36.256900,-82.690500,16z",,$1,power, (Chuckey),1997 Seadoo Challenger jet boat,https://tricities.craigslist.org/boa/5905209523.html,
18,good,"['36.474100', '-82.830600']",2016-12-19 10:59,I have a 7hp sears outboard. Rare motors and hard to find. It runs great. Needs nothing. I'm wanting to trade it plus boot to a 10-15hp outboard.,,5925417061,36.474100,30,-82.830600,sears,"https://maps.google.com/maps/preview/@36.474100,-82.830600,16z",,$1,power, (surgoinsville),nice boat motor,https://tricities.craigslist.org/boa/5925417061.html,
19,,,2016-12-19 10:50,"Barge  - Fisherman's Delight   -  trolling motor and front seats Barge is in great working order $5,500.00 Mid 1990's -  24' Alumnicraft with trailer 48 Evernrude",,5887344583,,24,,,,,$5500,power," (Johnson City, TN)",24' Alumnicraft Barge with trailer,https://tricities.craigslist.org/boa/5887344583.html,
20,fair,[],2016-12-19 09:19,"16 '  4 ''    SEA  RAY  BOAT   1993     $ 1,000.00     O . B . O . ( CASH ONLY WILL GET THE DEAL . ) CALL JOHN show contact info NO TEXT .",,5889389042,,16,,,https://maps.google.com/?q=loc%3A+%33%31%34%31+Highway+%31%31E+TELFORD+TN+US,SEA RAY,,power,,16 ' 4 ''  SEA  RAY  BOAT  1993,https://tricities.craigslist.org/boa/5889389042.html,1993
21,,"['36.344500', '-82.201500']",2016-12-19 07:10,1985 Chaparral Boats Villain II in very good cond. runs out great has s v8 small block with a 4 barrel dose good on gas 23 ss prop sound system with 6 new speakers int. in good cond. trailer has 4 new tires and lights. also has a new binimi top not shown in the pictures im waiting on some clamps to install,,5902141460,36.344500,19,-82.201500,,"https://maps.google.com/maps/preview/@36.344500,-82.201500,16z",,$7000,power, (elizabethton),1985 Chaparral Boats Villain II,https://tricities.craigslist.org/boa/5902141460.html,
22,new,,2016-12-19 00:08,New in box. Call only show contact info,,5891952410,,25,,,,,$90,human, (Kingsport),New Watershed dry bag largo tote,https://tricities.craigslist.org/boa/5891952410.html,
23,good,,2016-12-18 23:42,Just a fun boat to kick around on with the family. Nothing fancy but a lot of fun. trailer 40hp Johnson The pics were taken summer of 2016. The boat is in my mother's backyard now. Trailer tires need new lug nuts,545,5900784879,,20,,Crestliner,,lx,$3000,power, (Bristol),2000 Crestliner,https://tricities.craigslist.org/boa/5900784879.html,2000
24,excellent,"['36.195700', '-83.275500']",2016-12-18 20:34,Nice z7 with low hours 150 mercury pro xs Hd5 Lowrance On b battery charger,155,5924878329,36.195700,19,-83.275500,Nitro,"https://maps.google.com/maps/preview/@36.195700,-83.275500,16z",,$19500,power, (Morristown),2011 nitro Z7,https://tricities.craigslist.org/boa/5924878329.html,2011
25,like new,,2016-12-18 18:35,5hp and 10 HP evinrude  $200 each5.5 nerds a fuel pump. 10 HP needs road pull.5hp is in mint shape and a great deal  on the pair. Thanks.,,5898630784,,10,,Evinrufr,,Fish,$200,power, (Church hill),5hp and 10 hp evinrude tiller handle,https://tricities.craigslist.org/boa/5898630784.html,
26,,,2016-12-18 18:23,Huge trout fish out!! $4.00 per pound. Cash only. Fish in a pond near Blountville. Practice your fly rod skills. Bring your own tackle. Fun for all ages! Bring your kids and grandkids! Come and fish with Papaw! By appointment only. Monday through Sunday. Please call show contact info,,5887806632,,1,,,,,,human,,BIG TROUT FISH OUT!!,https://tricities.craigslist.org/boa/5887806632.html,
27,,"['36.295400', '-82.490200']",2016-12-18 16:49,i have two nice kayaks$165 each these are sit on yaks very stable get them now before summer this is cheap,,5924648891,36.295400,10,-82.490200,,"https://maps.google.com/maps/preview/@36.295400,-82.490200,16z",,$165,human, (jonesborough),Two Ocean Kayak sit on,https://tricities.craigslist.org/boa/5924648891.html,
28,,"['36.131600', '-82.869200']",2016-12-18 13:37,12ft John boat & trailer w/brand new seats & brand new 45lb thrust trolling motor.. $500 obo call or text 8o3 8l8 seven 924.. Greeneville Tn,45,5900927673,36.131600,12,-82.869200,,"https://maps.google.com/maps/preview/@36.131600,-82.869200,16z",,$500,power, (Greeneville Tn),John boat $500 obo,https://tricities.craigslist.org/boa/5900927673.html,
29,,,2016-12-18 13:30,"Looking for Alumaweld, Duckworth, North River, Fish Rite or ?? for Springers. 18ft-22ft +/- inboard Jet or Outboard Prop. Have cash to purchase now. Can travel anywhere in the greater NW area to purchase. Thank You for contacting me with what you may have to sell. I will take a boat that needs cleaning or minor repair, but no salt issues please. ( Alumaweld, North River, Willie, Raider, North River Commander, Intruder, Bentz, Custom Weld, Thunder Jet, Fish Rite, Almar, Super Vee, Seasport, Super Vee, Formula Vee, Kingfisher, Columbia, Pro Steelheader, Aluminum Jet Boat, Weldcraft, Hamilton 212 Jet, Kodiak )",,5924363967,,21,,,,,$1,power, (Portland),"Want to buy Alumaweld, North River, Duckworth or ??",https://tricities.craigslist.org/boa/5924363967.html,
30,,"['36.535600', '-82.365600']",2016-12-18 13:14,14 ft Jon boat trailer and trolling motor and battery with life jackets 500$ obo,,5924373408,36.535600,14,-82.365600,,"https://maps.google.com/maps/preview/@36.535600,-82.365600,16z",,$500,power, (Blountville),14 ft Jon boat,https://tricities.craigslist.org/boa/5924373408.html,
