,condition,coord_pair,date,description,engine hours (total),id,lat,length overall (LOA),long,make / manufacturer,map_URL,model name / number,price,propulsion type,region,title,url,year manufactured
0,,"['32.339483', '-99.669829']",2016-12-20 13:22,"2011 Cypress Cay 200 Angler 21FT Pontoon, 2011 Mercury 60 HP BigFoot 4 Stroke Motor *Minn Kota 70 LB Pontoon Trolling Motor *Minn Kota 24 Volt on Board, 3 Way Charger *4 Fishing Seats *Full Vinyl Flooring *Changing Room with Porta Potty *3 Step Platform Ladder *Lockable Rod Box *Sony AM/FM/CD and MP3 Player w/ 4 Speakers *Hummingbird 587C1HD Fish Finder with GPS *Lowrance Elite 4x Upfront with Trolling Motor *Bimini Top *Custom Fit Total Boat and Engine Cover from Abilene Tarp *Heavy Duty Trailer with Buddy Bearings and Electric Brakes **MUST SEE** Call Only NO Text, please (too many scams)",,5905715239,32.339483,21,-99.669829,Cypress Cay,"https://maps.google.com/maps/preview/@32.339483,-99.669829,16z",200 Angler Pontoon,$17400,power," (Abilene, TX)",2011 Cypress Cay 200 Angler 21FT Pontoon,https://abilene.craigslist.org/boa/5905715239.html,2011
1,,"['32.401556', '-99.884713']",2016-12-20 11:39,Newly rebuilt engine and brand new upholstery throughout. Grwat running boat but we just dont have the time or space for it. $1000,,5926967983,32.401556,16,-99.884713,,"https://maps.google.com/maps/preview/@32.401556,-99.884713,16z",,$1000,power,,1984 glastron conroy,https://abilene.craigslist.org/boa/5926967983.html,
2,good,,2016-12-18 20:01,"I have for sale my 1996 16' Glastron outboard Leisure boat with 1996 88HP Evenrude Motor and trailer. Boat runs great with no holes, dents or damage to it anywhere. The Motor has never failed to start except when the battery ran down but it now has a brand new battery. The bilge pump was replaced earlier in the year and works great. It has a Hummingbird Fish and Depth finder that has a color display. It comes with ski's, rope and life vests. Everything works great on this boat. We are selling it due to us getting a larger boat. The trailer has new tires and pulls straight and all lights work. The boat is garaged and always has been. This would be a great starter boat as it was for us. We live on PK Lake and can take you out for a test drive. We have titles and registration in and and all are clear. Please text or call and ask for Bruce.",,5924902085,,16,,Glastron,,GS160 Anniversary Edition,$4250,power, (Glastron),1996 Glastron 16' Leisure boat with 88HP Evenrude Motor & Trailer,https://abilene.craigslist.org/boa/5924902085.html,1996
3,good,"['31.957100', '-98.965600']",2016-12-18 13:56,"79 Evinrude 25 hp Runs good recently put new plugs, adjusted points, and cleaned carburetor. Has a new prop. Selling cause I need something bigger for my boat 650 OBO",,5924507571,31.957100,14,-98.965600,25hp Evinrude,"https://maps.google.com/maps/preview/@31.957100,-98.965600,16z",Matthew Enriquez,$650,power," (May, TX)",1979 25 hp Evinrude,https://abilene.craigslist.org/boa/5924507571.html,
4,good,"['31.775400', '-98.991500']",2016-12-18 12:17,"Up for sell is my 96' Bass Cat Eyra. This boat is my first love, but it is time for us to part ways. As of this year it has a new impeller, spark plugs, oil cap sensor, fuel filters, live-well pump, primer bulb, thermostats, tilt/trim relays, etc. Also, it was fully serviced (lower-unit oil, compression check, spark plugs, etc.) this November at NB's Boat Repair outside of Brownwood, Texas. Compression was good on all cylinders and I will obtain the exact reading from my mechanic along with an update on the current hours. This Cat features the following: -	18' Hull (black and yellow w/red accent striping) -	Red carpet (Original) -	Single Console w/Digital Dash -	Gen1 Lowrance HDS-5 at bow and Humminbird 898 SI/DI Combo at dash (both mounted on heavy-duty RAM mounts) -	175 EFI Mercury w/Tempest SS Prop and 10"" manual jack plate -	Hot-Foot Throttle -	SeaStar steering -	Minn Kota Onboard 3-Bank Charger (New) -	Two Interstate Batteries (Trolling) and one EverStart (Cranking) -	65lb Thrust Motor Guide Beast Trolling Motor w/Recessed Foot Pedal and extra prop -	Two matching bicycle and folding seats -	Matching tandem-axle Bass Cat trailer with upgraded jack, winch and Boat Buckle ratchet tie-downs -	Spare tire w/matching Bass Cat wheel -	Will include a variety of oils, greases, spare parts, etc. Hate to sell it, but I've only been able to take this boat out a hand full of times in the past year and a half. My original plan was to keep it as a backup, but I now know that it is impossible for me to fully utilize and care for two boats. It is time for someone else to enjoy this boat just as I have. It is fast, easily maneuvered, and way ahead of its time. No trades, no owner financing, and I am NOT desperate to sell. Cash only. Title along with all original paperwork in hand. If you have any questions, feel free to call or text me at (325) six42-six7three1. Thanks, AJ",,5910431976,31.775400,18,-98.991500,Bass Cat,"https://maps.google.com/maps/preview/@31.775400,-98.991500,16z",Eyra,$9800,power, (Brownwood),96' Bass Cat Eyra,https://abilene.craigslist.org/boa/5910431976.html,1996
5,excellent,"['32.275053', '-99.528998']",2016-12-18 11:47,2007 Tige RZ-2 with factory upgraded 360HP GM Marine Power engine. Inside stored with all Tige certified maintenance. Would consider trade for motorhome of equal value.,1519,5924336679,32.275053,22,-99.528998,Tige,"https://maps.google.com/maps/preview/@32.275053,-99.528998,16z",RZ-2,$39500,power, (Clyde),Tige RZ-2,https://abilene.craigslist.org/boa/5924336679.html,2007
6,,,2016-12-16 17:54,"Stainless steel 4 blade ski boat propeller. Left Hand, 13X12.5, 1 1/8 bore. $400 Obo 325-518-5two44.",,5904565612,,12,,OJ,,,$400,power, (Abilene),Stainless Steel 4 Blade Propeller,https://abilene.craigslist.org/boa/5904565612.html,
7,good,,2016-12-16 13:05,"2000 Model 22' Triton Center Console with 200 HP Mercury, Tower with rod holders, Hyd. Jack Plate, Trolling Motor, two built in battery chargers, Marine Radio, Stereo, double LED light on front of tower, Custom Wrap from Zila Wraps, Tandem Axle Trailer with new tires including spare, Great Fishing boat for Fresh water or salt water.",,5913607241,,22,,Triton,,Center Console,$17500,power, (Abilene),22' Triton Center Console,https://abilene.craigslist.org/boa/5913607241.html,2000
8,,,2016-12-15 17:24,"Pelican Bass Raider 10E 10 Foot fishing boat including -Marine Battery -50 Lb 5 Speed Minn Kota Motor -Anchor, Emergency Oar, Life Jackets Perfect Christmas present for any fisherman. *Title Included* Text show contact info for Offers or More Information",,5921020841,,10,,,,,$800,power, (Abilene),Pelican Bass Raider 10E Fishing Boat,https://abilene.craigslist.org/boa/5921020841.html,
9,,"['32.879900', '-100.128000']",2016-12-15 12:20,Two 96 GSX seadoos. Good condition.  Nice double trailer. 2500 OBO or trade for???,,5920585255,32.879900,10,-100.128000,,"https://maps.google.com/maps/preview/@32.879900,-100.128000,16z",,$2500,power, (Hamlin),Jetskis for sale or trade,https://abilene.craigslist.org/boa/5920585255.html,
10,excellent,[],2016-12-15 10:49,FOR SALE vip bass boat 14 ft this was my personal boat and have never owned another as nice everything work horn live well ft operated trolling mtr 55 hp Chrysler runs great new brain depth finder lights  trl good tires spare  trl tagged  try before you buy if you are a serious buyer you try you will buy its that nice,,5920437143,,14,,VIP,https://maps.google.com/?q=loc%3A+%32%32%30%34+HWY+%31%38%30+wEST+Mineral+Wells+TX+US,PONY,$1750,power, (MINERAL WELLS),VIP  PONY BASS BOAT,https://abilene.craigslist.org/boa/5920437143.html,1983
11,,"['32.430832', '-99.764442']",2016-12-14 21:52,"Selling my 2011 seadoo gti 130. This ski looks almost like it came off the showroom floor.. It is pretty much brand new with only 58 hours. the original cover is still in perfect condition, and there are absolutely no mechanical or aesthetic issues. Top speed is 55 mph, it has brake, reverse, a programmable learner key, gps, compass, sports mode, and A TON of storage. This jetski speaks for itself, you'll just have to come look at it. Adult ridden and always garage kept. With it being the end of season this is the perfect chance to get a great seadoo for a great price. Call/ text show contact info for more info. thanks! *will send more pics upon request* *Price is 100% firm* Tags: seadoo sea doo low hours jetski jet ski gti rxp rxt reverse IBR learner key",58,5880944553,32.430832,11,-99.764442,Seadoo,"https://maps.google.com/maps/preview/@32.430832,-99.764442,16z",Gti 130,$6000,power, (Abilene texas),END OF SEASON SPECIAL! Like New 2011 Seadoo gti,https://abilene.craigslist.org/boa/5880944553.html,2011
12,excellent,"['32.434744', '-99.759808']",2016-12-14 21:52,"Selling my 2008 seadoo git 130.. In excellent condition, runs absolutely perfectly, great looking and great riding, seats 3 people. Has only 110 hours on it.. Will pull a tube/wake boarder/ skier with no problem at all. Top speed is about 50 mph. *comes with trailer* *price is firm* Please call or text me with any questions at 325-five13-603seven, thank you!",110,5885563602,32.434744,10,-99.759808,Seadoo,"https://maps.google.com/maps/preview/@32.434744,-99.759808,16z",GTI 130,$4400,power, (Abilene),One of a kind 2008 seadoo gti,https://abilene.craigslist.org/boa/5885563602.html,2008
13,good,,2016-12-14 11:37,"18ft Triton Brand new battery's. Good tires, and seats, carpet. Seats have some sun wear and the boat it self needs a wax. Live well works and it has a fish finder and trolling motor both work as well. Newly rebuilt motor runs great.",25,5919070264,,18,,Triton,,186 Triton,$10000,power, (Rotan),Triton bass boat,https://abilene.craigslist.org/boa/5919070264.html,1999
14,excellent,"['32.392000', '-99.774600']",2016-12-13 20:47,I have a 2003 Seadoo 4Tec 4 Stroke 155hp Triple Crown Edition for sale with trailer and a few life jackets has 128 Hours the jet ski rides like a dream has zero problem and dont need anything but a new home its been very well maintained and its already winterized but u can test it or take it anywhere to get it looked at by a mechanic Please no scammers or trades and no finance interested buyers only.,128,5887282516,32.392000,10,-99.774600,Seadoo,"https://maps.google.com/maps/preview/@32.392000,-99.774600,16z",Gtx 4tec triple crown edition,$3200,power,,End Of Season!! 2003 Seadoo GTX 4Tec Triple Crown Edition,https://abilene.craigslist.org/boa/5887282516.html,
15,,,2016-12-13 07:37,2016 Ascend FS128T.,,5917386526,,128,,Ascend,,FS128T,$700,human,,2016 Ascend FS128T,https://abilene.craigslist.org/boa/5917386526.html,2016
16,excellent,"['28.885865', '-96.842437']",2016-12-12 21:28,"2002 Baja 33 Outlaw SST with Air Conditioner Boat has twin Mercruiser 496 HO engines. These are the 8.1 liter fuel injected engines. New engines installed by Jasper marine in 2012 and 2013. They have close to 100 hours on them. Bravo 1 out drives rebuilt in 2013. Boat is very clean and ready to go. All safety equipment up to date. Boat will run 65 mph plus loaded down. Titles in hand for boat and trailer. Serious inquiries only. *Adjustable k planes *Stainless SST 28 pitch props. *Captains call exhaust (quiet mode with a switch) *Latham hydraulic steering *Bolster fold down seats *12 volt ac unit with digital thermostat *Tv with DVD player in cabin. *Two couches with bed in front. *Wet sounds sound system 4-12"" subs, 8-6"" speakers and two tower horns on deck, 4-8"" speakers and 4 wet sounds amps in cabin. *Installed new raw water impellers in 2015 *6 marine batteries installed in 2015 *Garmin with ultra hd freshwater lakes installed in 2015 *underwater led lighting installed. *led lighting on deck and in cabin. *snap-in carpet. *Aluminum triple axle trailer with electric winch and led lights. All new springs, hangers and wheel bearings installed 2016. *Trailer has hydraulic over electric pump and disc brakes on axles.",100,5874249041,28.885865,33,-96.842437,Baja,"https://maps.google.com/maps/preview/@28.885865,-96.842437,16z",33 Outlaw,$55000,power, (Victoria),2002 Baja 33 Outlaw SST,https://abilene.craigslist.org/boa/5874249041.html,2002
17,good,,2016-12-12 14:55,Baja boss with 502 FUEL INJECTED CAPTAIN CALL CORSA EXHAUST NEW INTERIOR ENGINE FRESH ONLY 50 HOURS ON MOTOR SINCE FRESH. Porta potty in cabin I installed a Duel Prop Bravo III unit Lost 3 mph on top end but wow coming out of the hole. Nice roadrunner trailer.,,5916617085,,28,,baja,,Boss 272,$21000,power, (brownwood),272 BAJA BOSS,https://abilene.craigslist.org/boa/5916617085.html,1998
18,,,2016-12-12 14:38,"2008 Kawasaki jet ski Ultra LX 250 - 3 seater.  Runs good.  Includes a 2007 Roadmaster trailer.  Located at Possum Kingdom Lake.  $5,000.  Text or call 432-413-11 six four",,5882598182,,11,,Kawasaki,,,$5000,power, (Possum Kingdom),2008 Kawasaki Jet Ski,https://abilene.craigslist.org/boa/5882598182.html,
19,,[],2016-12-11 14:35,I have a 1975 monarch 15ft boat with a 1998  Johnson 50 horse runs great the boat is really good about the only thing the boat will need is a control box but the motor runs great only reason I'm selling it is I don't need it I already have many boats and it's just sitting there going to waste so if you're interested give me a call at show contact info or text,,5915192168,,15,,Monarch,https://maps.google.com/?q=loc%3A+%33%34%39+Jeffcoat+rd+Haskell+TX+US,,$1000,power, (Haskell),Monarch 1975 boat,https://abilene.craigslist.org/boa/5915192168.html,1975
20,good,,2016-12-11 10:34,1991 Javelin bass-ski boat in good condition. New batteries.trolling motor 3 new batteries. Cover... Fast track 150 Johnson. Runs great....water ready.,,5896469276,,19,,Javelin,,389,,power,,1991 javelin bass-ski boat fast track150 Johnson v6,https://abilene.craigslist.org/boa/5896469276.html,1991
21,,"['32.401556', '-99.884713']",2016-12-10 23:24,1984 glastron conroy. Newly rebuilt motor and reupholstered seats and paneling. Awesome boat at a great price. Perfect for families or even just to fish. 2000 obo call or text me show contact info for any info or to take a look,,5914498377,32.401556,17,-99.884713,,"https://maps.google.com/maps/preview/@32.401556,-99.884713,16z",,$2000,power,,1984 glastron conroy,https://abilene.craigslist.org/boa/5914498377.html,
22,,,2016-12-10 02:03,I have one 91 stand up Kawasaki 550sx with upgraded parts lots of added parts. Needs new turf and has few dings and scratches but doesn't take on water and runs perfect. 93 2 person sit down Kawasaki 650 Ts needs seat redone and has small leak close to impeller can be sealed up might just need impeller plate tightened. 2000 Obo or trade for guy stuff text or call show contact info,,5897061668,,8,,,,,$2000,power, (Abilene),Two jet skis trade for pair of quads or one good racing one,https://abilene.craigslist.org/boa/5897061668.html,
23,,,2016-12-09 18:57,"Great 19' lake or bay boat with Yamaha 130 hp engine.  Boat has 2 live wells, built in cooler, great storage, Garmin GPS, Lowrance fish finder, life jackets, fire extinguisher, new batteries, clear title and current registration.  Runs great and everything works. Please contact me with any questions or to schedule a time to see it.",,5878186302,,19,,Sea-Pro,,SV1900CC,$9500,power," (Brownwood, TX)",2001 Sea-Pro SV1900CC,https://abilene.craigslist.org/boa/5878186302.html,2001
24,good,,2016-12-09 18:29,One of the fastest Jet boats on the water! Needs a little TLC but engine is good. Buy now for the spring. Avoid the high spring prices.,,5912942050,,22,,Jet,,Boat,$6995,power, (Breckenridge),Jet Boat,https://abilene.craigslist.org/boa/5912942050.html,
25,,"['32.390471', '-99.760108']",2016-12-09 17:48,"Looking to trade my 2003 Honda Aquatrax Jet Ski with only 24 hours for some carpentry skills.  Ski has no title but would be great for private lake use or trading or if you have the patience could get a bonded title.  I need some walk in closets redone for organization so I need somebody who has good wood working skills.  Also, looking for storage shed, cement work, or handy man skills,  Best to contact me via text @ 571-two six four-3218 and ask for Rob. Thanks. Key words: jet ski, waverunner, boat, trade, woodwork, carpenter",24,5912896414,32.390471,8,-99.760108,Honda,"https://maps.google.com/maps/preview/@32.390471,-99.760108,16z",,,power,,2003 Honda Aquatrax (24 hours) TRADE,https://abilene.craigslist.org/boa/5912896414.html,2003
26,good,,2016-12-09 16:56,"CALIFORNIA PROCOM JET BOAT 1977 PROCOM Jet Boat. Length-18'. Newly redone interior. 468 Chevy BBC.  Great condition. Fast $7,5,00 CASH ONLY. NO PAYPAL or CASHIERS CHECKS Call or text.",,5912831375,,18,,Procom,,Jet Boat,$7500,power," (Tuscola, TX)",JET BOAT,https://abilene.craigslist.org/boa/5912831375.html,1977
27,,,2016-12-09 15:04,"very nice 17 ft bass tracker , trolling motor , fish finder,live well 40hp Johnson $2500 call jeff show contact info",,5912670697,,17,,Bass tracker,,22,$2500,power, (Brownwood),bass tracker,https://abilene.craigslist.org/boa/5912670697.html,
28,excellent,"['32.428800', '-99.795200']",2016-12-08 13:30,"ATTENTION!!! I have reduced the price on this NICE 24' PONTOON BOAT. This boat has great pontoon tubes as you see in the photos, new carpet, AM/FM Stereo, nice Bimini top in great shape, trailer in good shape, good tires NEW CARPET from to back, good 40 HP JOHNSON. large 12 gal. Fuel tank that last all day. This boat will pull tubes just fine. Being 24 foot, you can add lawn chairs 10-12 people, BBQ grill Ect. Motor in great shape. I appreciate you interest. Will take 6250 or best offer. Please call: show contact info",100,5893769296,32.428800,24,-99.795200,Lowe,"https://maps.google.com/maps/preview/@32.428800,-99.795200,16z",Fish/Play,$6250,power, (Abilene),ATTENTION!!! PONTOON REDUCED,https://abilene.craigslist.org/boa/5893769296.html,1998
29,good,"['32.275053', '-99.528998']",2016-12-07 15:54,2 seat pond prowler boat with trailer asking $700 or best offer Has cords for motor. Boat is 9ft by 4ft and trailer is 4ft by 8ft,,5909899522,32.275053,9,-99.528998,Uncle Buck,"https://maps.google.com/maps/preview/@32.275053,-99.528998,16z",Pond Prowler,$700,human, (Clyde),Uncle Buck Boat,https://abilene.craigslist.org/boa/5909899522.html,
30,,"['31.372435', '-100.488785']",2016-12-05 22:19,"I have a 1989 Bay Hawk, center console, with a 88 evinrude motor, new transom, new carpet, new battery, radio and speakers, new remote and foot pedal trolling motor, new tube and connects. Rollers on trailer, depth finder.",,5907334331,31.372435,18,-100.488785,,"https://maps.google.com/maps/preview/@31.372435,-100.488785,16z",,$4500,power, (San Angelo),Center Console Bay Hawk,https://abilene.craigslist.org/boa/5907334331.html,
31,excellent,,2016-12-05 18:19,I have a 1995 Ranger sport R72. Bass boat with a 1995 Johnson 115 HP new 24 volt troling motor  new carpet needs new batteries  and tire text or call show contact info,,5907086354,,17,,Johnson,,,$3800,power, (clyde),1995 Ranger sport  R72,https://abilene.craigslist.org/boa/5907086354.html,1995
32,good,"['32.389239', '-99.750366']",2016-12-04 23:17,1995 Skeeter 200 ZX! New power head and lower unit! New carpet and fairly new trolling motor! Everything works!Seats need to be re-covered! LAKE READY!,30,5905845337,32.389239,20,-99.750366,Skeeter,"https://maps.google.com/maps/preview/@32.389239,-99.750366,16z",200 ZX,$6500,power," (Coleman,TX)",1995 Skeeter 200ZX,https://abilene.craigslist.org/boa/5905845337.html,1995
33,,"['32.275053', '-99.528998']",2016-12-03 17:49,"1973 boat and 1985 35 hp mercury runs good and has a good trailer needs tires  and tags , the boat is registered thanks can text pics cash as is",,5888903312,32.275053,15,-99.528998,,"https://maps.google.com/maps/preview/@32.275053,-99.528998,16z",,$850,power, (clyde tx),15 ft stick steer skeeter bass boat,https://abilene.craigslist.org/boa/5888903312.html,
34,excellent,"['32.339483', '-99.669829']",2016-12-03 14:48,"2001 nova bass boat made by ranger, 90 HP Johnson motor. Great boat bought it from a dealer. Compression is great and runs great. Brand new depth finder on it. Only thing wrong is gas gage doesn't work and some a couple tears in the seats. has 15 gallon tank. Been a great boat to me just don't ever have time to get on the lake $5,000 OBO No trades no payments comes with brand new boat cover. It's been covered with another cover I had when not in use",,5904045309,32.339483,18,-99.669829,Ranger/genmar,"https://maps.google.com/maps/preview/@32.339483,-99.669829,16z",Nova,$5000,power,,2001 nova fishing boat,https://abilene.craigslist.org/boa/5904045309.html,2001
35,excellent,,2016-12-03 10:21,"The 1-owner pontoon is the perfect set-up! This Lowe is a fishing/pleasure style set-up with stability provided by a tritioon, as well as speed. This 21ft boat comes with oversize toons, lifting strakes, fully skirted underside, ski/tow bar, pop-up change room, interior lighting, brand new factory cover .",,5903442510,,24,,,,,$9000,power, (Merkel),Trailer + 2007 Yamaha + SX230 jet boat,https://abilene.craigslist.org/boa/5903442510.html,
36,good,,2016-12-03 10:08,1998 Wellcraft 260 SE 27' Cabin Cruiser w/ Venture Aluminum Dual Axel Trailer,,5903438597,,26,,,,,$8100,power, (CAPS),``` VERY CLEAN ```1998 Wellcraft 260 ``` SE GREAT,https://abilene.craigslist.org/boa/5903438597.html,
37,good,,2016-12-01 01:36,"Aluminum 1644 go devil duck hunting boat with a 2016 Go Devil 25hp surface drive motor with less than 20 hours.  Has a 3 year warranty and also has a warranty for a free prop once the one on the motor is worn.  Have gone in 6 inches and less of water and runs like a champ.  Have the paper work for the motor, boat, and trailer.  Not very many of these boats around here.  Also comes with a hunting rack, trolling motor, and a 12 foot push pole. Few knicks and scratches but can be easily repaired in 30 minutes.  Text show contact info for details",16,5900313980,,16,,Go devil,,1644,$10000,power, (Abilene),Aluminum duck/mud boat,https://abilene.craigslist.org/boa/5900313980.html,
38,,"['33.129800', '-100.055900']",2016-11-30 22:14,I have a 1999 yamaha wave runner that needs a new home. It has a new motor with zero hours on it. It is in good shape,,5900224563,33.129800,11,-100.055900,Yamaha,"https://maps.google.com/maps/preview/@33.129800,-100.055900,16z",Wave runner,$1200,power,,1999 Yamaha XL760 wave runner,https://abilene.craigslist.org/boa/5900224563.html,1999
39,like new,"['32.579641', '-99.663505']",2016-11-30 19:47,"If you ever wanted to honestly save 25000.00 on a like new Blue Wave Center Console boat, this is your chance! I'm selling this boat for a friend of mine that is in bad shape. He only used it a few times, has less than fifty hours. He special customized this boat from the dealership,and it has everything you can put on one. It has always been garaged,pluse tarped  'when he come off lake.This gentlemen is so particular with all his eqiptment.Please find all the extras listed below: SORRY CANT TEXT: CALL ONLY show contact info",50,5893711351,32.579641,22,-99.663505,Blue Wave,"https://maps.google.com/maps/preview/@32.579641,-99.663505,16z",BLUE WAVE/WBO700,$44000,power, (Abilene Texas),NEED TO SELL-ONLY BEEN ON WATER 6 TIMES,https://abilene.craigslist.org/boa/5893711351.html,2013
40,,,2016-11-30 11:18,Spot Light Facing Cockpit Seats great for entertaining Extended Swim Platform Stand Up Enclosed Head with Shower Bolster Captains Seat VHF Radio GPS AM/FM CD Radio Depth Finder A/C-Heat Microwave Refrigerator Automatic Trim Tabs All Curtains. Aft curtain is slanted Cockpit Sink/Wet Bar Transom Shower,,5894113345,,25,,,,,$12700,power,,Searay 240 Sundancer,https://abilene.craigslist.org/bod/5894113345.html,
