,condition,coord_pair,date,description,engine hours (total),id,lat,length overall (LOA),long,make / manufacturer,map_URL,model name / number,price,propulsion type,region,title,url,year manufactured
0,good,"['35.166300', '-101.886800']",2016-12-19 17:48,"Hello, What you are looking at are 4 Scuba Diving Tanks. Three of these tanks are 300, s 80 tanks and one is a 3300 Tank. All Have Plastic Tank Sleeves and two of them have carry straps and valve covers & Tank Boots. All very good shape and still have air. Two are Sherwood, one US Diver.",,5906976887,35.166300,5,-101.886800,,"https://maps.google.com/maps/preview/@35.166300,-101.886800,16z",,$160,human," (Amarillo, Texas)","Four, Scuba Diving Tanks",https://amarillo.craigslist.org/boa/5906976887.html,
1,good,,2016-12-19 14:25,"I have a 1995 Bass tracker boat new seats new carpet new 50 HP Mercury motor new pull cover new batteries new Fish finder as well  ..ready to go $5500 would trade for UTV Ranger , or Razor",,5925857248,,17,,Kawasaki,,,$5500,power, (Amarillo),Bass Tracker  1995,https://amarillo.craigslist.org/boa/5925857248.html,
2,salvage,,2016-12-18 09:30,"I have a project boat for sale. Was gonna fix it up but just got too busy. Needs interior, motor work, and some small fiberglass patch work. No holes that I know of but not for sure. Looks very structurally sound. It come with the trailer and title. The trailer alone is worth 300-400$ 15ft in length I think. Wanting 300$ for it, or trade for guns or maybe a good pellet gun and a little cash, just ask, worst I can do is say no. Will negotiate on price but not a ton of u have questions or interests please email me, will get back to you as soon as I can",,5924172609,,15,,,,,$300,power,,Project boat,https://amarillo.craigslist.org/boa/5924172609.html,
3,,,2016-12-17 14:46,Game fisher flat bottom boat 9' long swivel seats Comes with electric trolling motor $675,,5923432413,,9,,,,,$675,power, (Amarillo),Game fisher flat bottom boat 9',https://amarillo.craigslist.org/boa/5923432413.html,
4,excellent,,2016-12-16 17:47,Super nice Lowe pontoon boat 70 horse Johnson and Terranova 105 pound 24 volt wireless remote anchor mode auto track point lock all options 1 year old battires on board minn kota charger. Blue top optima starter battery.Built in live well 4 move able fishing seats wrap around couch and table captains seat all seats in great condition always stored under cover hd gps depth finder rod holders lots of storage comes with everything you need to get on the water and start catching Walleye right now this boat is excellent in every way and needs nothing also included is a custom built fitted cover $8500 cash only title in hand call or text if interested in buying show contact info,,5893438210,,24,,Lowe,,,$8500,power, (Logan nm),Lowe 22 foot pontoon w/gps trolling motor,https://amarillo.craigslist.org/boa/5893438210.html,2001
5,excellent,"['35.230900', '-101.806000']",2016-12-15 13:33,Boat for sale 1000.00$ OBO Luis Garcia show contact info Includes 2 seats and the electric engine.,,5920701091,35.230900,10,-101.806000,Pelican,"https://maps.google.com/maps/preview/@35.230900,-101.806000,16z",,$1000,power,,Pelican Boat For Sale 1000$ OBO,https://amarillo.craigslist.org/boa/5920701091.html,
6,,"['35.199900', '-101.849600']",2016-12-13 15:27,"Very clean always inside kept 2009 triton explorer bass boat with 115 HP mercury optimax, 75 lb wireless controlled motorguide trolling motor, lowrance hds8 and another lowrance hds7 fish finders loaded with fishy waypoints from surrounding lakes one at wheel and one on fishing deck, 2 live wells, custom tarp from Parker boats, motor cover, good tires on trailer. if you're looking for a bass boat don't wait until summer time when they jack up the prices look around this is a steal need it gone call/text show contact info I will take serious buyer to Meredith to see the boat run please don't waste my time I don't need help selling",,5902458517,35.199900,18,-101.849600,,"https://maps.google.com/maps/preview/@35.199900,-101.849600,16z",,$13900,power,,2009 triton explorer,https://amarillo.craigslist.org/boa/5902458517.html,
7,,,2016-12-12 22:12,"Thinking about selling my boat if anyone's interested. 2012 Triton 19SE Dual Console w/ 2012 Mercury 225 OptiMax. Boat measures 19' 8"". Upgraded interior Tons of storage All new batteries this fall (2) 8' Power Poles w/ remotes Hotfoot On-board charger 82# MotorGuide Tournament Series trolling motor Lowrance HDS-5 at the wheel Lowrance Elite-7 HDI at the bow KeelGuard Double axle trailer w/ break-away tongue New tires this summer 2 boat covers, motor cowl cover, and Power Pole covers $35,000 Contact Chris @ eight0six-3six9-seven4seven1. Thanks.",,5917137129,,20,,,,,$35000,power, (Plainview),2012 Triton 19SE Dual Console,https://amarillo.craigslist.org/boa/5917137129.html,
8,,,2016-12-09 17:04,"CALIFORNIA PROCOM JET BOAT 1977 PROCOM jet boat. Length-18'. Newly redone interior. Good condition. Fast! $7,500. CASH ONLY NO PAYPAL or CASHIERS CHECKS!! Call or text",,5912842106,,18,,PROCOM,,Jet Boat,$7500,power," (Tuscola,TX)",PROCOM JET BOAT,https://amarillo.craigslist.org/boa/5912842106.html,1977
9,good,,2016-12-08 16:30,For sale o trade  2 kawasaki jet ski 750,,5911347714,,10,,,,,$2300,power, (pampa),1996 2 kawasaki jet ski,https://amarillo.craigslist.org/boa/5911347714.html,
10,,"['35.667800', '-101.397400']",2016-12-05 17:06,"2014 pelican predator 10'3"" 2 man bass boat on a trailer. Comes with 30lb trolling motor and 5 hp Mercury outboard motor and a new deep cycle battery. Have title to the boat.",,5906991224,35.667800,123,-101.397400,,"https://maps.google.com/maps/preview/@35.667800,-101.397400,16z",,$1000,power, (Borger),"Pelican predator 10'3"" boat",https://amarillo.craigslist.org/boa/5906991224.html,
11,excellent,,2016-12-04 07:55,"Got a nice crown line boat for sale looks great and runs great also, has many extras and new carpet.",,5904764861,,18,,Crownline,,182 br,$8500,power, (Childress),Crown line boat,https://amarillo.craigslist.org/boa/5904764861.html,1996
12,good,,2016-12-03 08:24,"I'm selling my 15 ft bayliner boat and trailer for 2,000 obo.",,5903433729,,15,,,,,$2000,power, (Amarillo),15 bayliner,https://amarillo.craigslist.org/boa/5903433729.html,
13,good,"['35.245199', '-101.935272']",2016-12-01 19:50,"Great Christmas gift!!!  18 Foot Supercharged 215 Horsepower SeaDoo Challenger jet boat for sale with only 27 hours! This boat is in great shape and seats 8 people easily.  Comes with folding tongue trailer so it can fit in a lot of garages.  Tires are in great shape with a never used spare on it.   Comes with a Vaccuhold strapless cover that is easy to put on and travel with.  Has a radio and two marine speakers.  Plenty of Storage in the bow, stern, glovebox and floorboard.  Comes with water temp gauge and depth finder built into the console.  Also has the hydro-turf on the back swim platform to insure no slipping. Had the 100 hour maintenance done on it last year when it only had 13 hours by the local Sea Doo Dealer (Amarillo Outdoor Power).  This was to insure that the supercharger and the factory ceramic washers were replaced with the stainless steel ones and that the supercharger itself was rebuilt.  If you see other Challengers out there insure this has been done or you will inherent a problem.  Also had the oil and coolant changed at this time as well.  As you can see by the pictures there is nothing cosmetically wrong with this boat besides normal wear and tear.  Have two working DESS keys for it.  This thing turns on a dime and is a blast to drive and ride in. Thank you for your time and if interested please reply to this ad or text/call 361-947- Six O Six Nine.  I will not hold this boat for anyone, first come first serve in Craigslist world, No Payments or  scheduled payments will be accepted, Cash or Cashier Check only please.  It is listed at a good price so no low ball offers please.  Title is in Hand.  If interested in more pictures or have specific questions please let me know.",27,5901549574,35.245199,18,-101.935272,,"https://maps.google.com/maps/preview/@35.245199,-101.935272,16z",,$14000,power, (NW-AMA),2007 Sea Doo Challenger 180 SE...only 27 hours,https://amarillo.craigslist.org/boa/5901549574.html,2007
14,,,2016-12-01 08:54,"I have a 1961 Hydrodyne boat, 1975 evinrude motor, and trailer for sale. Boat is in ok shape, needs a little TLC. Motor, was told has very good compression, but needs ignition system. clean and clear titles $500",,5900574515,,16,,Hydrodyne,,,,power,,"**** $500 OBO **** Boat,Motor,and Trailer",https://amarillo.craigslist.org/boa/5900574515.html,
15,like new,,2016-11-30 14:20,"FOR SALE    **17,995** 2008 Stingray 205 LR bowrider 250 hours Inboard/outboard 4 blade stainless prop Volvo Penta 5.0 GXI EZ loader trailer Model: MIR4000 Spare tire, Dual axel, Disc brakes, Swing tongue, LED lights **ONE OWNER** Sport bucket driver &observer seat w/booster Ken wood cd stereo, Snap-in carpet, walk through, ski well Swim platform, Bimini top, Wrap-a-round backseat, 3 step ladder, Power trim, tilt steering wheel, canvas custom boat cover with gas access",250,5899612108,,20,,Stingray,,Bowrider 205LR,$17995,power," (Amarillo, TX)",2008 Stingray 205 LR Bowrider,https://amarillo.craigslist.org/boa/5899612108.html,2008
16,excellent,,2016-11-30 11:24,"Awsum boat with factory ballast and a killer sound system!  Rotating board racks, and storage cover (slightly torn). LESS then 300 hours!! Hollar for more pics and details. 806fourfourfive2123",,5899280914,,21,,,,,$38000,power," (Dallas-Fort, Austin)",2006 Malibu Wakesetter VLX,https://amarillo.craigslist.org/boa/5899280914.html,
17,,,2016-11-30 09:32,"2008 MasterCraft X-15. Perfect condition. Always stored indoors. Went from factory shrink wrap to indoor 'high and dry' marina. 190 hrs on MCX 350 HP Indmar inboard engine. Dealer serviced twice annually. Video and standard instrumentation, perfect pass, premium sound with iPod connection, wakeboard tower with racks, factory ballast (3 tanks - not 'bags'). Dual axle factory trailer included. Priced to move quickly.",,5898955261,,21,,,,,$11700,power,,MASTERCRAFT X15..2008.. This Boat Is INCREDIBLE!!,https://amarillo.craigslist.org/bod/5898955261.html,
