,condition,coord_pair,date,description,engine hours (total),id,lat,length overall (LOA),long,make / manufacturer,map_URL,model name / number,price,propulsion type,region,title,url,year manufactured
0,excellent,[],2016-12-20 16:32,"This 2005 Formula 400 SS has Twin Merc 496 Mag HO Duoprops 425 h.p. each, Kohler 7.3 KW 1003 hours, Marine heat and air, Windlass, Remote spotlight, Cockpit table and refrigerator, Cockpit filler cushions, Electric engine hatch, Dual battery switch, Battery charger, Depth finder and compass, Single disc c/d with i-pod connection, Central vac, Vacuflush head, Cabin TV, Microwave, Refrigerator For more information call 918-691-8823",,5927410228,,40,,Formula,https://maps.google.com/?q=loc%3A+%32%34%33+N+Beach+Drive+Disney+TX+US,400 SS,$149900,power," (Cedar Port Marina, Disney, OK)",2005 Formula 400 SS,https://austin.craigslist.org/bod/5927410228.html,2005
1,like new,,2016-12-20 16:25,"2016 ....16' 5"" ft. Long. Continental Aluminum Double Jet Ski Trailer. Like new...less than 6 months old and used 1 time. 2500lb. Capacity and 2999lb. GVWR. For any size jet skiis including the large ones. 105"" wide @ outside fenders. 82"" outside frame. (4) bunks: 80"" long 2"" X 4"" Bunks. 4 1/2"" X 3"" Aluminum I-Beam construction. Trailer just had follow up service.  Tires...205/65-10 (20.5 X 8.0 - 10) Radials. New Spare w/ new Galv. bracket and new S/S bearing buddies. Have Doc. of Origination, owners manual, warranty, etc. Paper work...Tags good till 05/17 Serious Inquires Only! $1495 Cash Only. Just Calls, no texting... show contact info Thank You",,5904046929,,16,,Continental,,AWC25E-2500,$1495,power,,2016 Continental Aluminum (Wide) Double Jet Ski Trailer *Like New*,https://austin.craigslist.org/boa/5904046929.html,2016
2,,,2016-12-20 16:00,"This is a fantastic kayak! Great for both rivers and lakes, very stable, tracks well. It's not extremely heavy. I can load it on top of my SUV by myself. Tons of space in the hull, great for camping. I've added a Railblaza rod holder that I'll throw in (see pic). Comes with the Jackson elite seat which can be adjusted to sit high or low. I replaced the bungee on the hatches. I have some left over I can throw in as well. It does have the usual river rash but there are no cracks or repairs.",,5915177272,,11,,,,,$800,human, (N. Austin),Jackson Coosa,https://austin.craigslist.org/boa/5915177272.html,
3,like new,,2016-12-20 15:55,"I have 2016 Spark HO with 2 1/2 years free maintenance left no warranty and comes with SeaDoo Trailer. Runs great jumps me 230lbs outta the water!!! I paid $9800 for all asking $8000 or will trade for a truck compatible price. I can meet at Medina lake to prove no issues. MSO title free and clear and trailer title free and clear. If you can read this ad it's still for sale, I will not respond to ""is this still for sale"" No shipping local only no checks of any kind serious inquiries only 2 one zero 4 three nine 5 3 eight 4",13,5919443504,,11,,SeaDoo,,Spark,$8000,power, (Austin / San Antonio),2016 SeaDoo Spark 90HO,https://austin.craigslist.org/boa/5919443504.html,2016
4,excellent,,2016-12-20 15:54,"LOW HOURS Runs great, just spent 800$ on maintaince Tires on trailer are new Has a bimini fold down top Excellent condition runs and drives great Garage kept Call show contact info",125,5903965473,,18,,Maxum,,Maxum 1800 sr,$10500,power, (Austin),Maxum 1800 SR ski boat,https://austin.craigslist.org/boa/5903965473.html,2004
5,,"['30.753800', '-98.429500']",2016-12-20 15:51,"1987 procraft 1950v contender bass boat, very solid hull, transom, etc. 1987 evinrude xp 150hp outboard, runs great 130lbs compression on all cylinders. needs lower unit rebuilt or replaced. this is a project, needs carpet, seats, trolling mtr. steering cables.  great tandem trailer. have all the paper. 1.500.00 call or text jim",,5927357317,30.753800,20,-98.429500,,"https://maps.google.com/maps/preview/@30.753800,-98.429500,16z",,$1500,power,,"project procraft 20 ft.  bass boat, trailer",https://austin.craigslist.org/boa/5927357317.html,
6,excellent,"['30.370500', '-97.942700']",2016-12-20 15:32,"2008 Yamaha AR 230 Wakeboard boat. 23 foot boat. Large fits 12 people. Has wakeboard tower, wakeboard rack, and bimini top. Great family boat or party at the cove. I have title in hand, and ready to sell. Comes with trailer. Selling cheap because one engine needs block replaced. Quoted at around $5,000. I do not use it enough to spend the money to fix it. If you are serious about purchasing, please call or text 512-650-five712",,5927331401,30.370500,24,-97.942700,,"https://maps.google.com/maps/preview/@30.370500,-97.942700,16z",,$13999,power," (Lakeway, Tx)",2008 Yamaha AR 230 Wakeboard boat,https://austin.craigslist.org/boa/5927331401.html,
7,good,,2016-12-20 15:28,"24' boat, in-board motor, trailer.  have registration.  Needs some work but worth the cost.  No time to do the work myself.",,5902073129,,24,,,,,$2500,power,,For Sale...as is,https://austin.craigslist.org/boa/5902073129.html,
8,excellent,"['30.743164', '-98.436813']",2016-12-20 14:52,"We just had this boat in the water Labor day weekend doing all kinds of water fun pulling one and two people at a time. Great fun for water sports and family fun. Wakeboard and Ski tower Has Canopy Has Covers Has like new carpet Great condition! This boat has been great for the family, but they are about to be off to college.",325,5903799466,30.743164,21,-98.436813,Glastron,"https://maps.google.com/maps/preview/@30.743164,-98.436813,16z",Gt205,$14900,power, (Lake Buchanan),Glastron GT205 2007,https://austin.craigslist.org/boa/5903799466.html,2007
9,excellent,,2016-12-20 14:51,"1997 fisher f-18 fs has a mercury force 120hp just fully serviced new plugs wires new impeller lower unit oil changed runs great  interior and carpet in great shape no rips or tears plenty of storage live wells Motor guide trolling motor 24v has matching fisher trailer fairly new tires  bearings been serviced fold away tounge 1 owner has 130hrs has been a great boat for me and my family  garage kept its entire life  have titles the boat and motor axing $5,950 for more info plz call show contact info",130,5927271484,,18,,Fisher,,F18,$5950,power, (Woodlands conroe tx),1997 fisher f-18 Fish and ski one owner low hours,https://austin.craigslist.org/boa/5927271484.html,1997
