,condition,coord_pair,date,description,engine hours (total),id,lat,length overall (LOA),long,make / manufacturer,map_URL,model name / number,price,propulsion type,region,title,url,year manufactured
0,,"['27.634900', '-97.310300']",2016-12-20 13:29,"2005 Glacier Bay.  26' Canyon Runner, Twin 150 Yamaha 4 Stroke, 400 hours.  New Garmin.  Includes custom trailer.",400,5927147578,27.634900,26,-97.310300,Glacier  Bay,"https://maps.google.com/maps/preview/@27.634900,-97.310300,16z",Canyon Runner,$48000,power, (North Padre Island),2005 Glacier Bay Boat,https://beaumont.craigslist.org/boa/5927147578.html,2005
1,excellent,"['29.458500', '-95.034500']",2016-12-20 12:53,YAMAHA 100 ... 4 STROKE ... EXCELLENT CONDITION ... READY TO FISH ... CALL MIKE FOR MORE QUESTIONS ... show contact info ... $9900 ...,,5924296857,29.458500,17,-95.034500,scout,"https://maps.google.com/maps/preview/@29.458500,-95.034500,16z",sportfish 175,$9900,power, (Dickinson),2001 Scout 175 Sportfish ...,https://beaumont.craigslist.org/boa/5924296857.html,2001
2,excellent,"['30.281800', '-94.219100']",2016-12-20 10:39,"I am selling My 2007 Ranger 169 Ghost Technical Polling Skiff Has hydraulic jack plate Lenco trim Tabs 20' Push poll Trolling Motor GPS/Depth finder Polling platform over the outboard Low Hrs on the 2007 Yamaha 90 4 Stroke outboard Plenty of storage so you can keep all you life jackets and tackle off the deck. wide walk around gunnel walls Under Gunnel rod storage Ranger Trail Trailer 4 bladed Stainless Steel prop to hop up out of the skinny water. Drafts 6""+ of water so you can get in the back water, perfect for fly fishing for reds and trout. Center console power steering everything works great, Runs like a corvette. Best of all it catches fish. Has zero hull slap so you don't spook the fish, I am selling to get a bass/bay Ranger boat. since I fish bass tournaments now. There is nothing this boat can't do. Asking $20,000.00 O.B.O serious inquiries only. beaumont.craigslist.org/boa/ show contact info html",200,5926725780,30.281800,17,-94.219100,Ranger,"https://maps.google.com/maps/preview/@30.281800,-94.219100,16z",169 Ghost,$20000,power, (Lumberton),2007 Ranger 169 Ghost,https://beaumont.craigslist.org/boa/5926725780.html,2007
3,excellent,"['29.572100', '-95.130300']",2016-12-20 07:28,NICE BOAT ... READY TO FISH ... FOR MORE INFO CALL MIKE ... show contact info,,5926620272,29.572100,17,-95.130300,CAROLINA SKIFF,"https://maps.google.com/maps/preview/@29.572100,-95.130300,16z",17,$4000,power, (HOUSTON),94 CAROLINA SKIFF 17 ... 94 YAMAHA 50 ...,https://beaumont.craigslist.org/boa/5926620272.html,1994
4,,"['30.177500', '-93.840900']",2016-12-19 20:04,"Low hours, anchor trolley system, added deluxe swivel seat, lots of storage, will pole in 3"" of water, one ram mount removeable rod holder, paddle holder, 2 extra fuel canisters each holding 1/3 of a gallon.  Goes about  8 miles on a tank. Weighs 185 lbs with the motor and easily loads in the back of a pickup. 14.5 feet over all. Very stable and easy to fish out of. Texas registered and title in hand.",,5903921626,30.177500,14,-93.840900,,"https://maps.google.com/maps/preview/@30.177500,-93.840900,16z",,$2200,power, (Little Cypress/Mauriceville),2016 Solo Skiff w/ 2016 Tohatsu 3.5 hp motor,https://beaumont.craigslist.org/boa/5903921626.html,2016
5,good,,2016-12-19 18:08,"2008 Tracker Marine Tahoe Boat for sale. Its been a great boat but is time to let it go. Just got it out of the shop and had the carburetor rebuilt, brand new starter installed and all fluids changed but took it out for a trail run and now the starter sounds like it is free spinning. Comes with trailer, the tower and tower speakers, tower led lights, amp and a 10 "" kicker woofer. Any questions call show contact info Will consider all reasonable trades. Low Nada is $11,100.",,5893948892,,20,,,,,$7000,power, (Cypress),2008 TRACKER MARINE TAHOE BOAT,https://beaumont.craigslist.org/boa/5893948892.html,
6,,,2016-12-19 15:23,"(Please call if you have one sitting around) I am looking to Buy any 15hp - 300hp Yamaha Outboard Motors, Dead or Alive, parts, or even if motor is not complete. I will buy.   (I can travel and remove, load by myself)  Call, Text, or Email show contact info",,5917908871,,1,,,,,,power,,Im looking for Yamaha Outboard Motors for parts. All Siz(will pay cash,https://beaumont.craigslist.org/boa/5917908871.html,
7,new,,2016-12-19 11:02,"2016 Epic 23 S/C w/ Suzuki DF-175 (6 year warranty). Duel Simrad NS7's, Stereo w/ 4 speakers, Atlas Hyd. Jack plate,Lenco trim tabs, underwater light's. Any questions call show contact info",0,5912601677,,23,,Epic,,23S/C,$39950,power, (Stuart),2016 Epic 23 S/C,https://beaumont.craigslist.org/boa/5912601677.html,2016
8,new,,2016-12-19 11:02,"2016 Epic 25 S/C W/ 225 Suzuki, Atlas Hydraulic Jack Plate, Simrad NX-7 Touch screen,Year end BLOWOUT........More info call show contact info",0,5912526697,,25,,Epic,,25 S/C,$42900,power, (Stuart),2016 Epic 25 S/C,https://beaumont.craigslist.org/boa/5912526697.html,2016
9,like new,"['30.021100', '-94.115700']",2016-12-19 10:44,"G3 17 FT Center Console Gator Tough 70 Yamaha with Bow Fishing Lights and brand new Minn Kota Trolling Motor. Heavy Duty Galvanized Trailer. Blue tooth radio system. 65 quart Yeti cooler/seat is included. $9,900 OBO",,5925459348,30.021100,17,-94.115700,G3,"https://maps.google.com/maps/preview/@30.021100,-94.115700,16z",GATOR TOUGH,,power,,G3 17 FT Center Console Gator Tough 70 Yamaha with Bow Fishing Lights,https://beaumont.craigslist.org/boa/5925459348.html,2008
