,condition,coord_pair,date,description,engine hours (total),id,lat,length overall (LOA),long,make / manufacturer,map_URL,model name / number,price,propulsion type,region,title,url,year manufactured
0,new,[],2016-12-20 15:28,Got it for Christmas and never used it. Cost $400.00 sell for $185. firm....,0,5927324982,,9,,Heritage,https://maps.google.com/?q=loc%3A+Medford+Ave%2E+at+Marrs+Brownsville+TX+US,unk,$185,human, (Brownsville),$400.00 kayak for $185.,https://brownsville.craigslist.org/boa/5927324982.html,2015
1,excellent,"['26.167100', '-98.052900']",2016-12-20 14:02,"***JUST REDUCED*** Beautiful boat that has been re-done and refreshed. only 30 hours on the rebuilt engine. New Coastline Trailer New Controls New Water pump and Thermostat New wiring and hoses New Optima Battery New Steering Wheel New Gauges New Upholstery New Lights Yeti 110 Ice chest Lowrance Elite 7 Chirp Micro Power Pole It has tilt/trim, a CMC Jackplate, and custom compression plate It catches fish!!! Its a great boat that runs really skinny and dry. I'm open to trading for something interesting or maybe owner financing with big down payment.",30,5906546161,26.167100,14,-98.052900,Freedom,"https://maps.google.com/maps/preview/@26.167100,-98.052900,16z",Chiquita,$10500,power, (Donna),2005 Chiquita with 2009 Yamaha 70HP,https://brownsville.craigslist.org/boa/5906546161.html,2005
2,,[],2016-12-20 12:02,IF YOU REPAIR BOATS THIS IS FOR YOUR EYES ONLY OR REPAIR AUTOS LOOK AT THESE ITEMS I HAVE FOR SALE AT LA BODEGA 223 PAREDES LINE RD.BROWNSVILLE OPENED MONDAY THRU SUNDAY 10AM TO 6PM. CALL ERIC show contact info DYNA- HAIR WITH CHOPPED FIBERGLASS LONG STRAND 9.5LB. REGULAR PRICE $60.00 EACH OUR PRICE $25.00EACH FIBERGLASS RESIN JELLY KITS 3M $10.00 EACH KIT.,,5907975687,,1,,,https://maps.google.com/?q=loc%3A+%32%32%33+PAREDES+LINE+RD%2E+BROWNSVILLE+TX+US,,$25,human, (223 PAREDES LINE RD.),BONDO/ FIBERGLASS,https://brownsville.craigslist.org/boa/5907975687.html,
3,excellent,,2016-12-20 09:00,"1996 shoalwater boat, gel-coat (2 seasons old) Aluminum Front Spider tower & Ice chest holders ( front and rear), New ice chests with upholstery, new windshield and grab rail, New 3 blade SS prop. (16 pitch) new tachometer, new NFB steering cable. 20 gallon clear fuel tank, Trailer- new axles (installed by CAMCO ) Purchase includes life (4) jackets, anchor, fire extinguisher and cast net, landing net and aluminum measuring stick. This boat is ready to drop in the water and go fishing. Must see in person to appreciate. ***Boat in storage at Move it self storage in Donna, TX. (expressway & Val Verde Rd) ****NEGOTIABLE*****",,5926719246,,18,,Johnson,,115 HP Ocean Pro,$9500,power, (San Juan),1996 18' Shoalwater w/ 115 HP- 2000 Johnson Ocean Pro and Trailer,https://brownsville.craigslist.org/boa/5926719246.html,2000
4,new,"['25.950376', '-97.321693']",2016-12-20 08:50,"I have for sale submersible green fishing lights they're brand new. This light wilI attract  the bait fish and then the big fish will follow .New not used they 2,000 lumens so they are super  bright . You will change your fishing luck you will fall in love with this light. Perfect for Christmas.  $45 no less. 956 336 643four",,5926707164,25.950376,12,-97.321693,,"https://maps.google.com/maps/preview/@25.950376,-97.321693,16z",,$45,power,,Submersible Led fishing light,https://brownsville.craigslist.org/boa/5926707164.html,
5,excellent,[],2016-12-20 02:27,"For Sale: 2012 Carolina Skiff JVX 18cc. Has about 65 hours on meter but the meter Was installed when the boat was about 1 ½ years old. Total hours approx. 75-80. 4"" to 8"" draft and 78"" beam. 17'9"" OAL. 19 gallon fiberglass fuel tank bilge pump, 2 live wells 12v moto guide trolling motor with remote. Hummingbird Fish finder/GPS, Bimini Top, Maclain galvanize/aluminum trailer. Zuzuki 50 HP motor with garden hose motor flush, no muffs needed. 8 flush mounted rod holders for traveling and 4 rod holders mounted for fishing. Clothe cover included No e-mails or soliciting. $17,200 with trolling motor and battery. Reasonable offers considered show contact info Ray",80,5926497291,,18,,Carolina Skiff,https://maps.google.com/?q=loc%3A+%35%34%30%31+W+Business+%38%33+HARLINGEN+TX+US,JVX 18cc,$17200,power,,2012 Carolina Skiff JVX 18cc for sale,https://brownsville.craigslist.org/boa/5926497291.html,2012
6,,,2016-12-20 01:29,"Like new less than 2 hours, in video below 12 foot Jon boat planes with 2 ppl and gear. $800 obo text or leave voicemail 956534O583 https://youtu.be/XJBdwrFZTfU",,5902343031,,25,,,,,$800,power, (Brownsville),2014 Mercury 2.5hp like new *2 hours*,https://brownsville.craigslist.org/boa/5902343031.html,
7,,"['26.130782', '-97.444611']",2016-12-19 21:18,I am offering towing services to anyone who needs it if you are in a Los Fresnos or immediate surrounding areas starting at $60 i do cover valley-wide call for pricing and details also do accept credit card debit cards or cash I'm ready to work right now also will do jump-starts lockouts Tire changes fuel delivery,,5926329709,26.130782,123,-97.444611,,"https://maps.google.com/maps/preview/@26.130782,-97.444611,16z",,,sail,,towing,https://brownsville.craigslist.org/boa/5926329709.html,
8,new,,2016-12-19 20:59,I have for sale a Igloo Sportsman 20 Quart Cooler.It is BRAND NEW and NEVER been used!!!I am asking $80 for it.If interested please call show contact info or show contact info Thanks for looking!!!,,5913004754,,20,,Igloo,,Sportsman,$1,human, (Brownsville),***Igloo Sportsman 20 Qt. Cooler***,https://brownsville.craigslist.org/boa/5913004754.html,
9,excellent,"['26.195100', '-97.689000']",2016-12-19 19:21,"I have a Dargel fishermen 186 in Excellent condition. Always garage kept. Comes with the trailer, Hull, and just the controls for a Suzuki. Boat is very solid! If interested call or text show contact info I have title in hand.",0,5916860104,26.195100,18,-97.689000,Dargel 186,"https://maps.google.com/maps/preview/@26.195100,-97.689000,16z",Dargel Fisherman 186,$4800,power, (Harlingen),2003 Dargel Fisherman 186,https://brownsville.craigslist.org/boa/5916860104.html,2003
