,condition,coord_pair,date,description,engine hours (total),id,lat,length overall (LOA),long,make / manufacturer,map_URL,model name / number,price,propulsion type,region,title,url,year manufactured
0,,"['30.511800', '-96.317100']",2016-12-20 15:29,"1990 22' Maxum 200 HP Mercury ski cruiser , not running but turns over all title 975. 1987 19' Bayliner 125 mariner Mercury and troller needs work new front deck cut 975 Extra trailer tilt frame 17' long no title 375.",,5927288706,30.511800,22,-96.317100,Mercury,"https://maps.google.com/maps/preview/@30.511800,-96.317100,16z",maxum bayliner,$975,power,,2 boats  Ski cruiser / Bass ski /trailer 375,https://collegestation.craigslist.org/boa/5927288706.html,
1,,"['30.529800', '-96.714300']",2016-12-20 09:25,1996 Sea-Doo and Trailer Runs Great Asking $1600 Call show contact info Call/Text show contact info,,5917990580,30.529800,6,-96.714300,,"https://maps.google.com/maps/preview/@30.529800,-96.714300,16z",,$1600,human, (Caldwell (surrounding areas)),Sea-doo,https://collegestation.craigslist.org/boa/5917990580.html,
2,excellent,,2016-12-19 15:00,"For sell 16Ft John Boat Mercury. Only 40 hrs on Engine. Im asking $2,300 o.b.o. any offers.",40,5925911565,,16,,MERCURY,,,$2300,power," (College Station, Tx.)",16 FT JOHN BOAT,https://collegestation.craigslist.org/boa/5925911565.html,2008
3,fair,,2016-12-19 11:03,"2001 Monterey montura,21.3 ft. Volvo outdrive,v8,needs motor,has an easyload trailer,project boat,have titles on boat and trailer,needs a good cleaning ask for tom- show contact info",,5925523932,,21,,monterey,,montura,$1000,power, (navasota),2001 monteray,https://collegestation.craigslist.org/boa/5925523932.html,2001
4,,"['27.919724', '-97.159309']",2016-12-19 10:46,"14.5ft Solo Skiff on a modified trailer. 3.5hp Tohatsu motor. 21ft pole. Current registration, TX #'s and tags. 41 inches wide by 14.5 feet long. See www.soloskiff.com for photos, videos and details.",,5925494358,27.919724,14,-97.159309,,"https://maps.google.com/maps/preview/@27.919724,-97.159309,16z",,$5200,power, (Aransas Pass),14.5 FT Solo Skiff!,https://collegestation.craigslist.org/boa/5925494358.html,
5,,"['30.658200', '-96.335100']",2016-12-18 19:54,"Need to sell my boat quickly. Ready to go in water. Had floor replaced last year. 175hp. Have title to boat, motor, and trailer. (tires on trailer need to be aired up)",,5914247913,30.658200,18,-96.335100,,"https://maps.google.com/maps/preview/@30.658200,-96.335100,16z",,$3400,power, (Bryan),84 Center Console,https://collegestation.craigslist.org/boa/5914247913.html,
6,,"['30.358700', '-95.685700']",2016-12-18 14:33,12' Aluminum Sea King flat bottom boat. It weighs 90lbs and is very easy to transport. Comes with a Minn Kota 30lb trolling motor and an Exide battery. Has tags answer paperwork. Excellent condition and No leaks. Call or text for a picture Matt show contact info,,5924531028,30.358700,12,-95.685700,,"https://maps.google.com/maps/preview/@30.358700,-95.685700,16z",,$350,power,,Flat Bottom,https://collegestation.craigslist.org/boa/5924531028.html,
7,,"['29.403200', '-95.073400']",2016-12-17 07:00,"1984 20 ft ski barge with a 70 hp Evinrude with tilt and trim the motor run good it come with a troll motor and a new Garmin depth finder and trailer I have the title to the boat and motor, trailer in my name the tags are good to 2018 I am asking 1300 CASH OR TRADE NO SHIPPING OR PAYPAL I WILL NOT ANSWER ANY TXT MESSAGE PLEASE CALL FOR MORE INFO 979/877/9one9two",,5912448441,29.403200,20,-95.073400,,"https://maps.google.com/maps/preview/@29.403200,-95.073400,16z",,$1300,power,,SKI BARGE  WITH 70HP EVINRUDE,https://collegestation.craigslist.org/boa/5912448441.html,
8,,,2016-12-16 13:59,"2015 Sea Doo GTI 130 & 2014 Sea Doo Wake 155, Freshwater only, 25hrs on each, garage kept. 2015 Yacht club Dual ski trailer included. Clean clear titles in hand. Considering all reasonable people.  Call to make offer, to nitpick or to just chat.....I like people.  Contact Brandon @ show contact info Cheers!",,5914901993,,12,,,,,$19000,power,,"2015 Sea Doo GTI 130, 2014 Sea Doo Wake 155, Low hrs make offer",https://collegestation.craigslist.org/boa/5914901993.html,
9,fair,"['30.691300', '-96.371400']",2016-12-16 11:24,2000 Polaris Jet Ski's Pair of nice jet ski's asking 2500.00 cash for both and trailer. Special internet price.,,5898711320,30.691300,12,-96.371400,Polaris,"https://maps.google.com/maps/preview/@30.691300,-96.371400,16z",,$2500,power, (Bryan),2000 Polaris Jet Ski's,https://collegestation.craigslist.org/boa/5898711320.html,2000
10,,"['30.783300', '-96.723700']",2016-12-15 23:44,"Barn kept Boat for sale, great for the River or Lake.  16' Extra wide and extra deep with a great running and well maintained 2003 25hp johnson motor.  Fully wired, has a depth finder, front storage, titles on both boat and motor and it's ready to go!!!  $2000",,5921337067,30.783300,16,-96.723700,,"https://maps.google.com/maps/preview/@30.783300,-96.723700,16z",,$2000,power," (Gause, Tx)",River boat for sale,https://collegestation.craigslist.org/boa/5921337067.html,
11,excellent,"['30.607465', '-96.302607']",2016-12-15 22:51,"Air Nautique 2003 Air Nautique 216 in excellent condition.  Brand new motor with about 50 hours on it, also have all the warranty paperwork for the motor swap, as well as all the other paperwork for work done to it. Boat is detailed inside and out after every lake day. All work don't by 'The Right Shop in College Station by Greg Wilson will gladly get you in contact with him so he can tell you the condition of the boat. The boat is on Lake Bryan several times a week and weekends and is stored covered in a barn out of the sun when not on the lake. Gel coat and interior is still bright white because of this and not yellow or dull white like most older boats are because of poor storage conditions. Along with the new PCM 5.7l crate motor, it got a brand new 4-blade 14 pitch power prop, new perfect pass installed(just like what brand new boats have), bimini top installed, also have a surf gate and extra ballast bags equaling about 1600 pounds of extra ballast which makes for an excellent surf wave. Also will take you out for lake/day test drive to show you how everything works and how to set it up to wakesurf/wakeboard. Have receipts and records for everything done to the Nautique boat while I've owned it. Length: 22' Trailer Length: 25' Beam: 92"" Boat Weight: 3250lbs Ballast Weight: 500lbs Boat and trailer Weight: 3900lbs Personal Capacity: 10 people Weight Capacity: 1100lbs Engine: 5.7l 330hp PCM V8 Fuel Capacity: 30 Gallons Thanks for your time, call anytime, am also willing to meet depending on location. show contact info",50,5921306926,30.607465,22,-96.302607,Correct Craft,"https://maps.google.com/maps/preview/@30.607465,-96.302607,16z",Air Nautique 216,$27000,power, (College Station),2003 Air Nautique 216 Wakeboard Boat,https://collegestation.craigslist.org/boa/5921306926.html,2003
12,,,2016-12-15 15:44,16ft Javelin Bass Boat 140hp Evinrude Runs Good comes with trolling motor 2 new batteries,,5920892918,,16,,,,,$2500,power,,Bass Boat,https://collegestation.craigslist.org/boa/5920892918.html,
13,,"['30.968182', '-96.316688']",2016-12-15 09:03,"Work Barge with motor and trailer. It is a modified 1987 Tracker Pontoon barge with a 1991 Evinrude 25 HP Motor, and a trailer. Have paperwork on all 3 items. Asking $5500 or best offer. Email or text with questions or to view. Located just south of Franklin, TX in Robertson County.",,5903089617,30.968182,20,-96.316688,,"https://maps.google.com/maps/preview/@30.968182,-96.316688,16z",,$5500,power," (Franklin, TX)",Work Barge - Motor - Trailer,https://collegestation.craigslist.org/boa/5903089617.html,
14,excellent,[],2016-12-15 06:14,I have a 1995 Procraft bass boat that is in excellent condition. A 186 Dual Pro with a 175 Mercury motor. It's been garage kept for 20 years. It's a custom made boat and has many extras. If interested call for more information. Christmas Special !!! Asking $8000,60,5903077556,,19,,Mercury,https://maps.google.com/?q=loc%3A+%35%39+Hunters+Creek+Drive+Huntsville+TX+US,175 hp,$8000,power, (Huntsville),1995 ProCraft 186 Dual pro Bass Boat,https://collegestation.craigslist.org/boa/5903077556.html,1995
15,fair,"['30.637063', '-96.351342']",2016-12-14 21:33,"This is a sailboat built in Ft. Worth and I was told it is the last of its kind built. It is a racing boat. It needs to be painted. Last time I was inside, it was totally carpeted and had a great sound system. Unfortunately I have never been able to take her out on the water because of my physical ailments. Trailer does need new tires.",,5919921392,30.637063,22,-96.351342,,"https://maps.google.com/maps/preview/@30.637063,-96.351342,16z",,$2500,sail, (Bryan),22 ft 1987 Sailboat,https://collegestation.craigslist.org/boa/5919921392.html,1987
16,fair,"['30.916311', '-96.012011']",2016-12-14 17:36,"Needs a cleaning and a little work but nothing really hard just some things I had bought  and started to install but haven't had time to get it done, The boat will run as is so you could put it in the water now.",,5913568171,30.916311,28,-96.012011,Bass Tracker,"https://maps.google.com/maps/preview/@30.916311,-96.012011,16z",Pontoon Boat,$9000,power, (Madisonville),1987 Bass Tracker,https://collegestation.craigslist.org/boa/5913568171.html,1987
17,like new,"['30.558861', '-96.263752']",2016-12-13 08:48,"Like new, garage kept, 2013 Kawasaki Ultra 300x Jet Ski with about 55 hours and counting. Bought it new in 2015 and it has been great but as life changes some things must go. The ski has been  strictly maintained by me according to the book and everything functions as it should. The ski comes with an aluminum trailer, spare tire, guide poles, 2 keys (fast and slow), and a tarp. When using the fast key, the ski is incredibly fast topping out at ~67 mph. There is plenty of room for 3 adults and absolutely no problems with pulling a tube, wake board, ski, knee board, etc. It is very comfortable to cruise around on for sight seeing but we bought this over a boat for the power it has (300 hp) and easy ability to store in our garage. If  you're interested in the ski, please reply to the email and I'll get back with you ASAP. Also, I have the following items I'd be willing to sell: - wake board - knee board - skis - tubes (1 person and 4 person) - life jackets - ski ropes and tow ropes - maintenance equipment Thanks for your time.",55,5917448684,30.558861,12,-96.263752,Kawasaki,"https://maps.google.com/maps/preview/@30.558861,-96.263752,16z",Ultra 300x,$10750,power, (College Station),Kawasaki Ultra 300x Jet Ski (300 hp),https://collegestation.craigslist.org/boa/5917448684.html,2013
18,fair,"['30.522195', '-96.721058']",2016-12-12 20:58,"I am selling a 1996 Yamaha WaveVenture 1100 personal watercraft. I purchased this as a package deal for the sole purpose of keeping the other personal watercraft that came on the trailer, so I am selling this jet ski on a double trailer to someone who can enjoy it. It is over 20 years old, so it does show some age cosmetically and mechanically with some deep scratches on the hull and a broken mirror on the right side. As far as the engine goes,  I test ran it when I first purchased it at a private lake and it ran but seemed to be bogged down and would not get to full speed. I did have someone video it when it was running and it probably just needs a carb cleanup. I don't have time to mess with another project right now, which is also why I have it priced lower than it's worth. I do have a title to both the jet ski and trailer. Asking $1,200 OBO. I can be contacted at show contact info Thanks for looking",,5882928157,30.522195,10,-96.721058,Yamaha,"https://maps.google.com/maps/preview/@30.522195,-96.721058,16z",WaveVenture 1100,$1200,power, (Caldwell),1996 Yamaha Wave Venture 1100 Jet Ski,https://collegestation.craigslist.org/boa/5882928157.html,1996
19,excellent,,2016-12-12 17:58,"Up for trade is my ski, need nothing ready to ride, looking for motorcycles, atv, or anything fun",100,5883222444,,7,,seadoo,,gtx supercharged,$45,power, (college station),jet ski for trade 04 supercharged seadoo,https://collegestation.craigslist.org/boa/5883222444.html,2004
20,,[],2016-12-12 11:31,I have a 10' kayak that I need to sell or possibly trade for a 12' one. Please contact me if interested.  325-277-29 two two.,0,5916263530,,10,,No name on kayak,https://maps.google.com/?q=loc%3A+%36%30%37+Vikings+Veer+Somerville+TX+US,,$200,human, (Somerville),10' Kayak,https://collegestation.craigslist.org/boa/5916263530.html,
21,,"['30.511800', '-96.317100']",2016-12-12 11:16,"Sunfish sailboat includes, rudder, tiller, daggerboard, sail and mast. everything stored inside except boat. Boat needs a little work as it was blown off its rack during storm. Good cleaning and light fiberglass work required. Only asking 300 for all. The mast and sail are worth more than that.",,5916236993,30.511800,12,-96.317100,,"https://maps.google.com/maps/preview/@30.511800,-96.317100,16z",,$300,sail,,Sunfish Sailboat,https://collegestation.craigslist.org/boa/5916236993.html,
22,,"['31.230900', '-96.237500']",2016-12-11 13:47,I have a 1991 bayliner capri forsale runs great have title  4 cylinder motor,,5915127172,31.230900,18,-96.237500,,"https://maps.google.com/maps/preview/@31.230900,-96.237500,16z",,$2000,power,,Ski boat,https://collegestation.craigslist.org/boa/5915127172.html,
23,,"['30.597137', '-95.618644']",2016-12-11 10:35,I have for sale my 16 ft boat trailer with a free 15 ft bowrider ski boat. It has a title and it is solid. It comes with a 70 horse power Tohatsu motor on it. The motor currently dose not run it has low compression on one cylinder. I'm asking  $400 for it but price is negotiable and I might consider trades,,5914863216,30.597137,16,-95.618644,,"https://maps.google.com/maps/preview/@30.597137,-95.618644,16z",,$400,power, (Huntsville),16 ft boat trailer  with free boat,https://collegestation.craigslist.org/boa/5914863216.html,
24,excellent,,2016-12-10 22:49,2011 15' Alumacraft model #1540 with 2014 Mercury 20hp and homemade trailer. The motor was bought brand new in Feb of this year and has maybe 10 hours on it. I have the receipt for it. Have title for boat.,,5879745160,,15,,,,,$3300,power, (College Station),2011 Alumacraft with 2014 20hp Merc,https://collegestation.craigslist.org/boa/5879745160.html,
25,fair,"['30.604500', '-96.312300']",2016-12-09 23:31,I got those Jetski about a year ago on a trade I do not know nothing about the JetSki do have a title for it it's JetSki does not it run  when I got it knowledge I know it needs a new battery I would like to sell the Jetski also the trailer  galvanized for $700.00 or trade it for for wheelers or dirt bikes,,5913186764,30.604500,9,-96.312300,Kawasaki,"https://maps.google.com/maps/preview/@30.604500,-96.312300,16z",ZXI,$700,power,,Kawasaki 900 ZXI,https://collegestation.craigslist.org/boa/5913186764.html,1996
26,,"['30.357600', '-96.059400']",2016-12-09 04:34,"2000 Sea Ray 21ft boat Signature Series 5.0 Mercruiser with only 64 hours, bran new double axle trailer, ready to hit the water $9500.00 Message or call for more details show contact info",,5911876764,30.357600,5,-96.059400,,"https://maps.google.com/maps/preview/@30.357600,-96.059400,16z",,$9500,power,,2000 Sea-Ray 21ft. 5.0 Mercrusier Signature Series,https://collegestation.craigslist.org/boa/5911876764.html,
27,excellent,"['30.511800', '-96.317100']",2016-12-07 23:51,I have for sale a barely used heritage kayak that tracks well through the water and is designed for long distance travel. This kayak is bone stock and has no upgrades.,,5910375600,30.511800,14,-96.317100,Heritage,"https://maps.google.com/maps/preview/@30.511800,-96.317100,16z",Angler 14,$450,human, (College station),Heritage Angler 14',https://collegestation.craigslist.org/boa/5910375600.html,
28,good,"['30.675715', '-96.227875']",2016-12-07 10:02,"PRICED TO SALE $11,300 2005 CROWNLINE 192 BR Powered by a 220 HP Mercruiser 5.0 with a 4 Blade SS Prop. Tinted windows, swim ladder, sport seating. Includes a custom built tandem axle trailer with brakes and sport rims.  Clean and clear titles in hand.  Ready for the lake.",230,5868909227,30.675715,20,-96.227875,CROWNLINE,"https://maps.google.com/maps/preview/@30.675715,-96.227875,16z",192 BR,$11300,power, (Bryan),2005 CROWNLINE 192 BR,https://collegestation.craigslist.org/boa/5868909227.html,2005
29,like new,"['30.511800', '-96.317100']",2016-12-06 23:03,I need it gone asap. Down with trades,,5908871482,30.511800,12,-96.317100,Ocean kayak,"https://maps.google.com/maps/preview/@30.511800,-96.317100,16z",,$1000,human, (College station),Barley used ocean kayak with rudder,https://collegestation.craigslist.org/boa/5908871482.html,
30,excellent,"['30.407600', '-96.535800']",2016-12-06 22:18,"69 Jon boat , fits 3 to 4 people. Comes with a trolly motor. I do not have the title because we used it on a private lake. Although I have the paper work to get the title. OBO ON PRICE",,5908839950,30.407600,14,-96.535800,,"https://maps.google.com/maps/preview/@30.407600,-96.535800,16z",,$400,power, (SOMERVILLE),1969 4x14 Jon Boat,https://collegestation.craigslist.org/boa/5908839950.html,
31,excellent,,2016-12-06 19:13,"2016 Monterey MS 186 3.0 L Mercruiser! Many Upgrades! Like New! Dual Switchable Batteries! 2 10"" Diamond Audio Subwoofers! Blue LED lighting! Less than 50 hours! All Maintenance Done by Mercruiser Dealer! Still Under Factory Warranty! Contact with any questions or for more details!",50,5908661158,,19,,Monterey,,MS 186,$23500,power," (Huntsville, TX)",2014 Monterey MS 186,https://collegestation.craigslist.org/boa/5908661158.html,2014
32,excellent,,2016-12-06 03:45,1980 Arrow glass cougar tri hull boat.. 15 foot.. 70 HP motor.. Was previously owned by my grandfather and is very well taken care of and used very little.. Will start on first try every time.. New tires and interior.. $1500,100,5907484363,,15,,Arrow Glass,,,$1500,power,,Arrow Glass Cougar Boat,https://collegestation.craigslist.org/boa/5907484363.html,1980
33,,"['29.421208', '-96.897697']",2016-12-05 20:59,"NEW Venom Outdoor 15/46 Custom Duck/Mud Boat Small and light weight boat with enough motor to push a load .125"" (1/8 in) Hull Thickness Tapered Chine - shallow draft and does not slide in turns 2 seats with storage Bilge Battery Fuel Tank Trolling motor plug Spud pole mount Shark Eye Nav Lights Grab Bar Hunt Deck Heavy Duty Switch Panel with 12V Accessory Storage under front deck Used Mudbuddy 35hp Surface Drive Mud Motor with 134 hrs Power trim and clutch, Shifts from neutral to full forward or momentary forward for pulling up to the dock, decoys, or your trot line Trailer - McClain trailer with 4 bottom bunks, 2 side bunks, 13"" tires, lights, and winch $11,500 Located in Hallettsville, TX show contact info show contact info - text www.venomoutdoor.com keywords: Copperhead, Mud Motor, Surface Drive, Duck Hunting, Shallow Water, Bay Fishing, River Fishing, Boat, Outboard, Camping, Mud Buddy, Gator Tail, Go Devil, Pro Drive, Duck Boat, Mud Boat, Gator Trax, Excel, Alweld, Alumacraft, G3, Weld Craft, Duck Hunting, Prodigy, Xpress, war eagle, lowe, phowler",,5907262606,29.421208,15,-96.897697,,"https://maps.google.com/maps/preview/@29.421208,-96.897697,16z",,$11500,power,,NEW 15/46 custom Venom Outdoor with used 35hp Mud Buddy,https://collegestation.craigslist.org/boa/5907262606.html,
