,condition,coord_pair,date,description,engine hours (total),id,lat,length overall (LOA),long,make / manufacturer,map_URL,model name / number,price,propulsion type,region,title,url,year manufactured
0,like new,"['29.891704', '-95.555134']",2016-12-20 16:19,"Only 150 Hours and under warranty HULL - 2011 VERY CLEAN SKEETER 22ZX BAY MOTOR - 2011 YAMAHA 200HP 4-STROKE SHO - UNDER WARRANTY JANUARY 2018 TRAILER - NEW 2016 MCCLAIN ALUMINUM CUSTOM BUILT FOR BOAT Brand New Electronics: Lowrance HDS 12 GPS/FISHFINDER Gen 3 w/ 3D Structure Scan (1 month old) $3500 installed Minn Kota Ulterra 36Volt (1 month old) $2500 installed New Fusion MS RA70 - Bluetooth Head Unit 4 - New Fusion FR7021 Speakers Specs: Skeeter ZX 22 Bay LOA: 21'10"" Beam: 8'2"" Draft: 10"" Fuel: 60 gals. Max hp: 250 There is nothing wrong with the boat at all it is in perfect condition. We will keep using this boat until we sale or find a new one so hours will likely go up a little bit. Boat is currently in Sargent, TX but can easily be pulled back to Houston if needed.",155,5927393798,29.891704,22,-95.555134,Skeeter,"https://maps.google.com/maps/preview/@29.891704,-95.555134,16z",ZX 22 Bay,$39500,power, (Houston),2011 SKEETER 22FT BAY BOAT W/ 200HP YAMAHA SHO 4STROKE,https://dallas.craigslist.org/dal/boa/5927393798.html,2011
1,excellent,,2016-12-20 16:11,"98 Viper Cobra 201D- 20'6"" dual console, dual livewells, lots of dry storage. Brand new llebroc gt2 seats, not installed yet! Boats in great shape, no damage, solid transom, has 84lb motor guide trolling motor with recessed foot. Boat could use a good buffing but still pretty, has hotfoot, comes with a lowrance color fish finder with gps! 98 mercury 200 hp- just rebuilt and has zero hours on it! Motor does need throttle linkage and throttle re installed! Has 4 blade stainless prop, custom motor cover and decals on cowling. Don't have time or money to finish! Make someone a great rig! My loss your gain! These cobras are rare! Hit me up for details! $6000",,5927383894,,20,,,,,$6000,power, (Teague),Viper Cobra 201d,https://dallas.craigslist.org/dal/boa/5927383894.html,
2,,"['32.829700', '-97.145400']",2016-12-20 16:04,"Looking for cabin cruiser flybridge,or powerboat that is in a slip or a trailer that needs work and you are tired of looking at or paying slip fees for so if you have one that is cheap or you want gone email what you have and what you want for it just looking for one as a winter project.Thanks and God Bless",,5921049595,32.829700,27,-97.145400,,"https://maps.google.com/maps/preview/@32.829700,-97.145400,16z",,,power,,"Wanting cabin cruiser, flybridge,or powerboat you dont want",https://dallas.craigslist.org/mdf/boa/5921049595.html,
3,,"['32.829700', '-97.145400']",2016-12-20 16:03,"Do you have a sailboat in a slip that you don't use or want anymore and tired of paying slip fees then let me know.I am looking for one that has a cabin that you can stand up in but anything will work,so if you have one that you want gone then email me.Thanks",,5921017132,32.829700,1,-97.145400,,"https://maps.google.com/maps/preview/@32.829700,-97.145400,16z",,,sail,,Looking for unwanted sailboat,https://dallas.craigslist.org/mdf/boa/5921017132.html,
4,excellent,"['33.238113', '-96.788692']",2016-12-20 15:55,"1989 Nissan 17' Outdoor motor runs strong - 90hp Has trolling motor Seats in great shape Carpet good Fiberglass boat - not aluminum Have titles for trailer, boat, boat engine Registered through August 2017 Cash only. Open to trade offers Call or text 9.7..2--213..-2,4,77 In prosper east of Denton and west mckinney",,5927352121,33.238113,16,-96.788692,Nissan,"https://maps.google.com/maps/preview/@33.238113,-96.788692,16z",,$2500,power, (North frisco),Nice running Nissan sport fishing boat,https://dallas.craigslist.org/ndf/boa/5927352121.html,1988
5,good,"['33.440378', '-101.850789']",2016-12-20 15:53,"condition: good engine hours (total): 143 length overall (LOA): 22 make / manufacturer: Advantage model name / number: Citation propulsion type: power year manufactured: 2005 2005 Advantage Citation Bow Rider with Mid Cuddy, one of a kind well maintained. Powered by 6.2 325 horse mercruiser, it has a fuel capacity of 52 gallons. Boat has 2 deep cell batteries with a battery switch that were purchased last season. Drive is a bravo1 with drive shower and skeg guard. It has 2 stainless props 3 & 4 blade. Exterior is in very good condition, it has 3 1/4 inch chips in the gel coat, if not for those, it would be in excellent condition. Interior is also in very good condition with room for 10 riders. It has bolster seats, tilt steering and a blender in the cabin for your favorite blended drink. Clarion sound system with 10 mid range and 2 12"" subs, miss are powered by a 1200 watt Clarion amp and the subs are powered by Alpine mono D amp. Trailer is in very good condition, some surface rust on rails, just cosmetic. Tires are 2 years old and it comes with 2 spares. Boat has not been on water this year but has been detailed and serviced.",143,5927359919,33.440378,22,-101.850789,Advantage,"https://maps.google.com/maps/preview/@33.440378,-101.850789,16z",Citation,$24000,power,,2005 Advantage Citation,https://dallas.craigslist.org/dal/boa/5927359919.html,2005
6,,"['32.733200', '-96.195000']",2016-12-20 15:49,this is a permit to build your own boat house up to 75 wide call for info,,5903377959,32.733200,75,-96.195000,,"https://maps.google.com/maps/preview/@32.733200,-96.195000,16z",,$1,human, (Lazy  acres),I got a  permit or a  boat house on Lake Texoma Texas side,https://dallas.craigslist.org/dal/boa/5903377959.html,
7,excellent,[],2016-12-20 15:44,"I have A very nice Baja boat for sale. It's a 26' with a brand new 454 engine with zero hours on it. A completely brand new interior from end to end. Beautiful interior, Red and Black with just a touch of yellow. Lots of other new parts. Brand spanking new Bimini that has never been installed, completely new sound system that has never been installed. Two brand new batteries. Brand new Cabin cover. And a lot more. All the boating gear you will need for fun times on the water all brand new tables, life jackets adults teens and kids. knee board, boogie board rope's oh yeah it also has on board battery charger and captain call exhaust and so much more. So you will not Only look good on the water but you will also be heard. It can be seen at Ceder Creek Fiberglass in Mabank, Just ask for Kile.",0,5886516795,,26,,Baja,https://maps.google.com/?q=loc%3A+%31%30%37+Southern+Pine+Pl+Mabank+TX+US,,$15500,power, (Mabank),26' Baja with cuddy,https://dallas.craigslist.org/sdf/boa/5886516795.html,1998
8,,"['32.850750', '-96.714706']",2016-12-20 15:24,"can be paddled solo or tandem 16' 9"" very light for a tandem at 48lbs skin on frame from the 60s excellent condition inside and out, very fast and stable tracks well in wind beautiful oak trim, ash frame and floor, ready to paddle lakes and rivers 425.00 near white rock lake",,5914982386,32.850750,16,-96.714706,,"https://maps.google.com/maps/preview/@32.850750,-96.714706,16z",,$425,human, (Dallas),Vintage Wooden skin Kayak,https://dallas.craigslist.org/dal/boa/5914982386.html,
9,excellent,"['32.522210', '-92.639465']",2016-12-20 15:14,"-YAMAHA SHO 250 HP MOTOR -3 LOWRANCE HDS GEN2 GRAPHS: 10 INCH, 8 INCH, AND 5 INCH -109 LB THRUST MOTORGUIDE WITH BUILT IN TRANSDUCER -TWO 8 FT POWER POLES PRO SERIES WITH REMOTE AND FOOT PETALS -HYDROWAVE -LIGHTED STORAGE -TANDEM TRAILER WITH SWING AWAY TONGUE -HOT FOOT THE MOTOR STILL HAS WARRANTY UNTIL 10/22/2017",,5927305217,32.522210,20,-92.639465,Skeeter,"https://maps.google.com/maps/preview/@32.522210,-92.639465,16z",FX20,$39000,power,,2012 Skeeter FX20 Bass Boat Garage Kept,https://dallas.craigslist.org/dal/boa/5927305217.html,2012
