,condition,coord_pair,date,description,engine hours (total),id,lat,length overall (LOA),long,make / manufacturer,map_URL,model name / number,price,propulsion type,region,title,url,year manufactured
0,good,,2016-12-20 15:54,"This is a ""Crosby"" boat built in 1962.  It is solid with no leaks. Great fishing boat!  I put an old 55hp Montgomery Wards engine on it and adapted it to be tiller steering, runs great.  I have clear title. The trailer is also solid with good tires and a spare.  All registrations are current.",,5918181795,,14,,Crosby,,66507,$1200,power, (Livingston area),14' fiberglass tri-hull fishing boat and 55hp engine with trailer,https://nacogdoches.craigslist.org/boa/5918181795.html,1962
1,good,,2016-12-20 14:45,"EXTREMELY CLEAN 91 STRATOS 274 WITH 175 HP EVINRUDE. HAS ON BOARD 3 BANK CHARGER, KEEL GUARD. 70lb MINNKOTA FORTREX.CARPET HAS A COUPLE OF BAD SPOTS(small) BUT LOOKS GOOD. SEATS LOOK BRAND NEW!  AN INEXSPENSIVE BOAT THAT YOU CAN GO STRAIGHT TO THE WATER. TAGS GOOD, HAVE TITLES. CALL OR TEXT DON @ show contact info I WILL LISTEN TO A REAL OFFER OR PARTIAL TRADE.   *** I DO NOT NEED HELP SELLING THIS NOR DO I TAKE PAYPAL $ 6200.00     obo        MAKE ME AN OFFER    I NEED CHRISTMAS MONEY",,5909778465,,18,,Stratos,,274,$4900,power, (Huntsville),18' Stratos 274,https://nacogdoches.craigslist.org/boa/5909778465.html,1991
2,,"['33.093400', '-96.645400']",2016-12-20 08:06,Aluminum Welded Hull 75 Johnson Outboard  (75 Horsepower) Trolling Motor Included Needs new flooring - See pictures - Boat motor was tuned up 2 years ago but never put into the water Single Axle trailer Title in Hand,,5923819590,33.093400,16,-96.645400,,"https://maps.google.com/maps/preview/@33.093400,-96.645400,16z",,$2000,power, (Lucas),Dura Weld Aluminum Bass Boat - Johnson 75 HP w/ Trolling motor,https://nacogdoches.craigslist.org/boa/5923819590.html,
3,,,2016-12-19 10:23,2 man bass buster boat with 3.5 hp Kawasaki outboard motor. Perfect for crappie fishing and I've taken it duck hunting a few times.  Motor was fully serviced last year. Also have a good deep cycle battery two trolling motors and gas can. Can also throw in a couple life jackets and a paddle. I can come down on the pice quite a bit if you don't want the motor. College is over and it's time to let it go. $350 OBO Need it gone ASAP call or text if interested 830-798-seven8nine0,,5916582282,,10,,,,,$350,power, (Nacogdoches),Bass buster boat and outboard motor,https://nacogdoches.craigslist.org/boa/5916582282.html,
4,good,"['32.213100', '-94.783400']",2016-12-19 07:54,"fencing from a 26 foot san pan.  you see it here.  all hardware for mounting included, SST screws, nuts, bolts, washers, etc.  not interested in a trade.  only cash.  don't ask what it will fit it will fit what ever you attach it to.  was on a 26 footer. frame straight.  old style eight feet wide deck.  six feet between pontoons centers.  could use soap and water but it is either something you need or you don't.",500,5902559322,32.213100,26,-94.783400,pontoon,"https://maps.google.com/maps/preview/@32.213100,-94.783400,16z",fencing and rails,$350,power, (henderson),pontoon fencing good shape,https://nacogdoches.craigslist.org/boa/5902559322.html,1992
5,excellent,,2016-12-18 21:15,"1648 welded with 40 horse evinrude. Electric start. Boat, motor, and trailer are 1997 model. Titles in hand. Will trade for tiller steer, semi v, welded 15' or 16' open floor style. 3500 cash Call or text only show contact info",,5924960600,,16,,Sea ark,,,$3500,power, (Huntington),1648 sea ark with 40 evinrude,https://nacogdoches.craigslist.org/boa/5924960600.html,1997
6,excellent,"['30.157900', '-95.198000']",2016-12-18 20:38,2003 Skeeter TZX 190 150 V Max Yamaha Hot foot Blinker trim HDS 7 @Dash with side imageing HDS 5@Bow with side imaging New 70lb Minkota Edge Trolling motor New seats Lots of storage Matching Skeeter Trailor with swing away tongue Execelent condition Surge breaks,,5906220048,30.157900,19,-95.198000,Skeeter,"https://maps.google.com/maps/preview/@30.157900,-95.198000,16z",TZX 190,$13000,power, (New Caney),2003 Skeeter TZX 190,https://nacogdoches.craigslist.org/boa/5906220048.html,2003
7,good,[],2016-12-18 12:55,"Personal  Hatteras 58 ft motor yacht with newly rebuilt detriot 8v 92 diesel engines turbos at 550 hp each with 3 staterooms and large saloon and large aft deck and well equipped galley Large upper deck and flybridge  wide body Leather furniture and  decorator accessories  5 foot swim platform for water sports   58 ft boat with overall length 67 feet and 16 beam.. the Seabyrd   Great weekend floating condo in best slip in Galveston Yacht Basin  Owners retiring $295,000. reduced to $219,950 I  also have next slip Hatteras Sport Fish with strong 6 v 92 turbo D Dec diesel engines  and new genset wih two staterooms and two heads and well equipped galley large refrigerator   two ac units  fishing chair and rear opening door for fish recovery and more  46  feet and great boat  the PhantaSea   $ 179,500.reduced to $109,5000 CAUTION DO NOT BOARD BOATS SECURITY SYSTEMS IN PLACE  GUARDS WILL REMOVE YOU FROM MARINA WITHOUT PRIOR PERMISSION",200,5904735087,,58,,Hatteras,https://maps.google.com/?q=loc%3A+%36%31%35+Holiday+Dr+Galveston+TX+US,Widebody58/sportfish46,$219950,power, (Galveston),Hatteras Motor Yacht 58/ Sport fish 46,https://nacogdoches.craigslist.org/boa/5904735087.html,1980
8,excellent,[],2016-12-18 12:54,"Hatteras wide body with 16 ft beam  large flybridge and fore deck and aft deck  with 3 staterooms and 3 headsand showers and fully equipped galley with large refrigerator  and 15 kw genset and cruise air  ac systems  up and lower and galley unit five foot swim platform for easy access to water  REDUCED TO $219,950 was $269,950.. great floating condo no taxes ALSO HATTERAS 46 SPORTFISH  $109,950.   was $149,950.  New rebuilt  1350 hp  Detroit DDEC new genset  new interior and new paint  two cruise air ac unit",200,5894274400,,58,,Hatteras,https://maps.google.com/?q=loc%3A+%36%31%35+Holiday+Dr+Galveston+TX+US,Motor yacht,$219950,power, (Galveston),HATTERAS  58  ft Motor Yacht,https://nacogdoches.craigslist.org/boa/5894274400.html,1980
9,excellent,[],2016-12-18 12:34,"Hatteras wide body with 16 ft beam  large flybridge and fore deck and aft deck  with 3 staterooms and 3 headsand showers and fully equipped galley with large refrigerator  and 15 kw genset and cruise air  ac systems  up and lower and galley unit five foot swim platform for easy access to water Always under cover Galveston Yacht Basis reduced to $219,950.",200,5904733344,,58,,Hatteras,https://maps.google.com/?q=loc%3A+%36%31%35+Holiday+Dr+Galveston+TX+US,Motor yacht,$219950,power, (Galveston),HATTERAS  58  ft Motor Yacht,https://nacogdoches.craigslist.org/boa/5904733344.html,1980
