,condition,coord_pair,date,description,engine hours (total),id,lat,length overall (LOA),long,make / manufacturer,map_URL,model name / number,price,propulsion type,region,title,url,year manufactured
0,excellent,,2016-12-19 17:13,"I've decided its time to sell my low milage Hobie PA 12 fishing kayak after over a year of not putting it in the water. This is 2014 year model if i remember correctly and includes the galvinized skidoo trailer, hd Hobie cart, trolling motor an mount, stake out pole, turbo fins, anchor trolley and anchor, drift sock, rod holders and other items I'm probably forgetting about. The trailer is a modified skidoo trailer with lockable aluminum tool box and is registered and TX plated in my name about 6 months ago. Im located in Fort Davis, Texas 79734 and can be reached at ocotillo_outfitting at h0tma1l d0t c0m. The price for the package is $3000 and I will consider certain firearms as partial trade.",,5926095253,,12,,hobie,,pro angler,,human,,Hobie Pro Angler 12 Kayak Fishing,https://delrio.craigslist.org/boa/5926095253.html,2014
1,good,,2016-12-19 10:27,I do have a boat in working condition need carpet and battery I bay new chair but I need a truck that is way I'm selling my boat thank you,,5925461924,,18,,Tracker,,Evinrude,$3200,power,,Bass boat trucker,https://delrio.craigslist.org/boa/5925461924.html,1990
2,excellent,,2016-12-18 07:59,"3-N-1 Dawn Trakker Kayak by Ocean Kayak. 11' long. Can be used as a sit on top, sit inside or enclosed with the skirt. Comes with what you see in the pictures, plus skipper plugs and a paddle. $325 obo cash only.",,5901448605,,11,,Ocean Kayak,,Dawn Trakker,$325,human," (Del Rio, Tx)",Dawn Trakker by Ocean Kayak,https://delrio.craigslist.org/boa/5901448605.html,
3,,"['33.093400', '-96.645400']",2016-12-17 02:16,skeeter 1995 200GX 200H mercury EF/dual axle & new trolling motor 19.09ft,,5922720366,33.093400,19,-96.645400,,"https://maps.google.com/maps/preview/@33.093400,-96.645400,16z",,$8500,power,,Skeeter 95' w/mercury motor,https://delrio.craigslist.org/boa/5922720366.html,
4,excellent,"['29.211700', '-98.855200']",2016-12-13 12:49,"Asking $17,500k obo 50.4 hrs on motor. New trailer bunks and hubbs replaced Oct 15. Tires are 2nd set and in good shape, spare never used. Upgraded charger from 2 bank to 3 bank. Gear: net, paddle, throw float, life jackets, anchor, and few more things if wanted, so fish ready. Have original heavy duty shipping cover and after market ""dust"" cover, not for hauling. see pics and attached docs for details. length 18'8"" Priced to sell",50,5917866259,29.211700,18,-98.855200,NITRO,"https://maps.google.com/maps/preview/@29.211700,-98.855200,16z",,$17500,power, (Natalia),2010 Nitro Z-7 w/150 Optimax & trailer,https://delrio.craigslist.org/boa/5917866259.html,2010
5,like new,"['29.361232', '-100.787201']",2016-12-12 17:50,"Perception angling kayak. Retails for $600, selling for $400. Comes with whisper paddle, anchor, harmony seat, and life jacket. Great for lake Amistad, only used last summer. Selling because I am moving and can't take it with.",,5916870821,29.361232,11,-100.787201,,"https://maps.google.com/maps/preview/@29.361232,-100.787201,16z",,$400,human, (Laughlin AFB),Striker 11.5' Fishing Kayak,https://delrio.craigslist.org/boa/5916870821.html,
6,like new,,2016-12-08 13:22,sale or trade for  pick up truck,,5911087043,,19,,centur,,,$5000,power, (del rio),like new boat,https://delrio.craigslist.org/boa/5911087043.html,1981
7,,[],2016-12-07 09:49,boat stalls for rent 11' x 30',,5909240289,,30,,,https://maps.google.com/?q=loc%3A+skyline+Del+Rio+TX+US,,$50,human, (amistade),boat storage,https://delrio.craigslist.org/boa/5909240289.html,
8,,"['29.410200', '-100.893200']",2016-12-03 23:43,"Hi, I will be in Del Rio Feb 3rd-13th and am looking for a boat to rent for a few of the days. It doesn't have to be anything special, a little jon boat with a small motor would suffice. Just something that can get me across lake amistad. I've tried to find something online and all I can find is the military boat rentals and I'm not military. If you have a boat or know someone that does and wants to make a few bucks please let me know. Or if I'm just missing a rental place please fill me in. I'm from Alaska and own two boats and run them a ton up the shallow rivers up here so I'm no rookie to boating. Any help will be appreciated. Thank you 907-306-79 four four",0,5904570947,29.410200,12,-100.893200,,"https://maps.google.com/maps/preview/@29.410200,-100.893200,16z",,$1,power, (Spur 454),Wanted: Boat to Rent in feb,https://delrio.craigslist.org/boa/5904570947.html,
9,,"['29.410200', '-100.893200']",2016-11-28 11:00,Motor was running fine but has been sitting for awhile. Comes with trolling motor. Title in hand.,,5895972431,29.410200,12,-100.893200,,"https://maps.google.com/maps/preview/@29.410200,-100.893200,16z",,$1000,power,,Starcraft with sea king Chrysler motor,https://delrio.craigslist.org/boa/5895972431.html,
