,condition,coord_pair,date,description,engine hours (total),id,lat,length overall (LOA),long,make / manufacturer,map_URL,model name / number,price,propulsion type,region,title,url,year manufactured
0,,,2016-12-20 13:56,"1998 Monterey 230 explore open center consoul deck boat 5.7 liter 350 inboard volvo penta out drive runs great done full service oil change lower unit new plugs fuel pump boat has 250 hrs has custom t-top whit lock box lights and rod holders interior in great shape no rips or tears floor in great shape no soft spots has plenty storage on board restroom porta potie dry storage sink and. Refrigerator Fits 13 people or 1900 pounds all lights and gauges works ship to shore am fm CD player rear ladder Anchor rear trim tags galvanize Trailer in great shape tandem axle all lights work bearings have been serviced surge brakes tires in good shape has been great boat for me and my Family we are the second owners has been very well-maintained and kept up over the years have clean and clear title to boat and motor axing 12,800 or best offer for more info please call show contact info thank you have a great day",250,5917835908,,23,,Monterey,,Deck boat,$12800,power, (Conroe woodlands),1998 Monterey 230 explore open center counsel with T top low hours,https://galveston.craigslist.org/boa/5917835908.html,1998
1,,"['27.634900', '-97.310300']",2016-12-20 13:27,"2005 Glacier Bay.  26' Canyon Runner, Twin 150 Yamaha 4 Stroke, 400 hours.  New Garmin.  Includes custom trailer.",400,5927144605,27.634900,26,-97.310300,Glacier  Bay,"https://maps.google.com/maps/preview/@27.634900,-97.310300,16z",Canyon Runner,$48000,power, (North Padre Island),2005 Glacier Bay Boat,https://galveston.craigslist.org/boa/5927144605.html,2005
2,,"['29.458500', '-95.034500']",2016-12-20 12:52,EXCELLENT CONDITION ... 4 STROKE YAMAHA 100 ... READY TO FISH ... FOR MORE QUESTIOS CALL MIKE ... show contact info,,5924304997,29.458500,18,-95.034500,scout,"https://maps.google.com/maps/preview/@29.458500,-95.034500,16z",sportfish 175,$9900,power, (Dickinson),2001 Scout 175 Sportfish,https://galveston.craigslist.org/boa/5924304997.html,2001
3,good,,2016-12-20 12:08,Pretty decent night fishing setup. Lost title. No motor. Trailer is ok. Take as is. $1000 16ft. Deep/wide style camo painted John boat. Text me in Dickinson,,5927015804,,16,,,,,$1000,power,,John boat with submersible lights,https://galveston.craigslist.org/boa/5927015804.html,
4,good,,2016-12-20 08:54,"Well built and very strong boat. Has a spacious v-berth. Huge head, nice sleeping couch and a beautiful dinette table. This boat has a tremendous amount of storage, would be a perfect live-aboard or long cruise. It has a marine AC and heat 16000 BTU, gas burning stove and oven. Good sails, good rigging with self tilling winches. The ham has a fold-out table with gauge cluster. Boat is priced cheap to move quickly. Definitely a steal. Call or text at show contact info for questions or to see.",,5923704947,,34,,,,,$8000,sail, (kemah),1966 34 Columbia Sailboat,https://galveston.craigslist.org/boa/5923704947.html,
5,good,,2016-12-20 08:53,"Best looking 32 Endeavor on clear lake. Boat has many upgrades; new rigging, new bottom job in November 2016, new zincs, new cushions inside and out, 16000 BTU marine AC, Garmin GPS touch screen all in one with depth and speed. Sails are in good condition. Has roller fuller with 125 jib. Top side repainted. New nonskid paint. All outside wood redone last year. In process of installing new floors. Clean title in hand. Call or text show contact info for questions or to see. Will consider any reasonable trade, including land.",,5916684744,,32,,,,,$15000,sail, (Kemah),1979 32 Endeavor,https://galveston.craigslist.org/boa/5916684744.html,
6,,"['27.873374', '-97.324992']",2016-12-20 08:47,"2001 18.2 Foot Sea Fox ALL WOOD FREE!!! Made with Sea Fox's Exclusive Fiber 4 System. 2001 90 HP Mercury Saltwater Series motor, with a stainless steel prop 2001 Magnum Trailer. This boat is a great family fishing boat and is ready for the water. Clear titles on Boat, Motor and Trailer. $6800.00 361-850-090nine",,5926703874,27.873374,19,-97.324992,,"https://maps.google.com/maps/preview/@27.873374,-97.324992,16z",,,power,,2001 Sea Fox,https://galveston.craigslist.org/boa/5926703874.html,
7,excellent,"['34.503388', '-115.773926']",2016-12-20 08:07,"2004 Majestic Savage Creek 17 ft - $10000 (LHC) image 1 of 4 1 1 2 3 4 © craigslist - Map data © OpenStreetMap (google map) condition: excellent length overall (LOA): 17 make / manufacturer: Majestic Savage Creek propulsion type: power year manufactured: 2004 © craigslist - Map data © OpenStreetMap (google map) condition: excellent engine hours (total): low length overall (LOA): 17 make / manufacturer: Majestic model name / number: Savage Creek propulsion type: power year manufactured: 2004 2004 17 ft. Majestic Savage Creek flats boat. 90 hp Tohatsu 2 stroke, low hours. Power steering and motor jack. Motor guide great white 82 lb, 24 volt thrust trolling motor. Three (3) new marine batteries. Built in charger for auxilary batteries. Aluminum trailer with 2 spare tires. OBO Current Arizona registration. Original value over $28,000. Price lashed $1000. Was $11,000. Now $10,000. OBO.......................Will consider towing boat to a agreeable location. Ph. 256-3four7-7692 do NOT contact me with unsolicited services or offers do NOT contact me with unsolicited services or offers post id: show contact info posted: less than a minute ago email to friend ♥ best of [?] language of posting : english Avoid scams, deal locally Beware wiring (e.g. Western Union), cashier checks, money orders, shipping.",,5926657205,34.503388,17,-115.773926,majestic,"https://maps.google.com/maps/preview/@34.503388,-115.773926,16z",savage creek,$10000,power, (LHC),2004 Majestic Savage Creek 17 ft,https://galveston.craigslist.org/boa/5926657205.html,2004
8,excellent,"['29.458500', '-95.034500']",2016-12-20 07:22,ready to fish ... runs great ... for more info call mike ... show contact info,,5926615686,29.458500,17,-95.034500,CAROLINA SKIFF,"https://maps.google.com/maps/preview/@29.458500,-95.034500,16z",17,$4000,power, (Dickinson),94 CAROLINA SKIFF 17 ... 94 YAMAHA 50 ...,https://galveston.craigslist.org/boa/5926615686.html,1994
9,,"['29.213609', '-95.426216']",2016-12-19 20:46,"SERIOUS INQUIRIES ONLY! ! ! Title in hand for the boat, trailer & motor 1987 Proline 19ft Runs good, needs spark plugs other than that it has no problems. We installed a new radio & speakers, also comes w / new fish finder. Will also come with 3 brand new life jackets. Uses the red gas tank shown in photo. Sold ""AS IS "" Tags are up to date. Located in Angleton",,5926313988,29.213609,19,-95.426216,,"https://maps.google.com/maps/preview/@29.213609,-95.426216,16z",,$2800,power, (Angleton),1987 Proline Boat 19ft $2800,https://galveston.craigslist.org/boa/5926313988.html,
